,A.Open,A.High,A.Low,A.Close,A.Volume,A.Adjusted,Y,Diff,Class
1/2/2001,38.537197,38.537197,35.09478,36.391273,2261600,31.855646,40.146637,-3.755364,1
1/3/2001,35.139484,40.414879,34.021816,40.146637,4502600,35.142952,41.666668,-1.520031,1
1/4/2001,40.683117,42.69492,39.565449,41.666668,4398300,36.473541,39.386623,2.280045,0
1/5/2001,40.951359,41.666668,38.268955,39.386623,3277000,34.477669,38.09013,1.296493,0
1/8/2001,38.805435,39.878399,37.419529,38.09013,2273200,33.342766,37.911301,0.178829,0
1/9/2001,38.268955,39.297211,37.061874,37.911301,2474100,33.186222,39.565449,-1.654148,1
1/10/2001,37.55365,39.744278,37.464233,39.565449,2405900,34.634205,41.174892,-1.609443,1
1/11/2001,39.967812,41.264305,38.403076,41.174892,3517000,36.043049,40.146637,1.028255,0
1/12/2001,41.174892,41.487839,39.833691,40.146637,2549200,35.142952,41.62196,-1.475323,1
1/16/2001,40.23605,41.666668,39.565449,41.62196,2600900,36.43441,44.304363,-2.682403,1
1/17/2001,42.15844,45.198498,42.15844,44.304363,8383100,38.782494,48.327969,-4.023606,1
1/18/2001,44.304363,48.640915,43.186695,48.327969,6978500,42.304607,46.897354,1.430615,0
1/19/2001,48.28326,48.28326,46.182045,46.897354,6185100,41.052299,44.885551,2.011803,0
1/22/2001,46.942059,46.942059,43.902004,44.885551,2822400,39.291237,44.885551,0,1
1/23/2001,44.840843,45.779686,43.991417,44.885551,3067900,39.291237,41.487839,3.397712,0
1/24/2001,45.064377,45.332619,41.487839,41.487839,5283800,36.31699,39.520744,1.967095,0
1/25/2001,40.549,41.040771,38.62661,39.520744,4284300,34.595066,39.073677,0.447067,0
1/26/2001,38.850143,39.833691,37.687767,39.073677,3729800,34.203728,38.92704,0.146637,0
1/29/2001,39.69957,40.414879,38.62661,38.92704,3051200,34.075367,39.16309,-0.23605,1
1/30/2001,39.592274,39.592274,38.984264,39.16309,2389400,34.281994,39.020027,0.143063,0
1/31/2001,39.341915,39.878399,38.125893,39.020027,2555500,34.156757,38.483547,0.53648,0
2/1/2001,38.197426,38.662376,37.374821,38.483547,3490500,33.687149,37.339054,1.144493,0
2/2/2001,38.533619,39.155937,37.195995,37.339054,3020900,32.685291,35.193134,2.14592,0
2/5/2001,38.340485,38.583691,34.334763,35.193134,3698900,30.806839,36.459229,-1.266095,1
2/6/2001,35.336193,37.55365,35.336193,36.459229,3243300,31.915125,35.86552,0.593709,0
2/7/2001,36.051502,36.552216,35.157368,35.86552,1774400,31.395414,38.776825,-2.911305,1
2/8/2001,35.944206,39.155937,35.944206,38.776825,4129100,33.943878,37.55365,1.223175,0
2/9/2001,38.783978,39.141632,37.2103,37.55365,2443700,32.873146,36.566525,0.987125,0
2/12/2001,37.410587,37.904148,36.015736,36.566525,3014300,32.009048,33.884121,2.682404,0
2/13/2001,36.480686,36.90987,33.876968,33.884121,4389700,29.660965,34.334763,-0.450642,1
2/14/2001,34.513592,35.050072,34.170242,34.334763,4302300,30.055439,38.519314,-4.184551,1
2/15/2001,35.550785,39.341915,35.472103,38.519314,3954800,33.718452,35.765381,2.753933,0
2/16/2001,35.765381,36.123032,34.799713,35.765381,5005100,31.30776,31.473534,4.291847,0
2/20/2001,35.193134,35.37196,30.758226,31.473534,6347700,27.550825,28.755365,2.718169,0
2/21/2001,30.042919,30.221745,28.040058,28.755365,9363600,25.171438,27.947067,0.808298,0
2/22/2001,28.576538,29.041489,27.539341,27.947067,6720000,24.463882,27.39628,0.550787,0
2/23/2001,27.95422,28.161659,25.429184,27.39628,5408500,23.981743,27.39628,0,1
2/26/2001,26.959942,27.718168,26.680973,27.39628,3722100,23.981743,27.288984,0.107296,0
2/27/2001,27.002861,28.369099,26.387697,27.288984,3646400,23.887814,25.751074,1.53791,0
2/28/2001,27.467812,27.753935,25.608011,25.751074,3531200,22.541586,27.403433,-1.652359,1
3/1/2001,25.679543,27.896996,24.606581,27.403433,5090800,23.988003,27.203148,0.200285,0
3/2/2001,26.072962,28.783978,26.065809,27.203148,3432000,23.812674,27.217453,-0.014305,1
3/5/2001,27.2103,28.061516,26.53791,27.217453,2032800,23.825205,29.041489,-1.824036,1
3/6/2001,27.968527,29.556509,27.968527,29.041489,3737600,25.4219,29.298998,-0.257509,1
3/7/2001,30.257511,30.314735,29.041489,29.298998,2736700,25.647308,28.612303,0.686695,0
3/8/2001,29.306152,29.484978,28.32618,28.612303,2838200,25.046206,26.502146,2.110157,0
3/9/2001,27.968527,28.233191,26.216022,26.502146,2820700,23.199051,25.042919,1.459227,0
3/12/2001,25.751074,26.180258,25.035765,25.042919,3404100,21.921692,26.165951,-1.123032,1
3/13/2001,25.464951,26.380543,25.143061,26.165951,2649700,22.904758,25.250359,0.915592,0
3/14/2001,25.178827,26.244635,24.992847,25.250359,3685200,22.103275,24.928469,0.32189,0
3/15/2001,25.393419,26.158798,24.699572,24.928469,2882200,21.821508,24.856939,0.07153,0
3/16/2001,24.606581,25.572247,24.291845,24.856939,4145900,21.758886,26.459227,-1.602288,1
3/19/2001,24.749641,26.8598,24.041489,26.459227,2405500,23.161478,24.535049,1.924178,0
3/20/2001,25.929899,25.929899,24.535049,24.535049,4223200,21.477119,22.60372,1.931329,0
3/21/2001,23.619457,24.134478,21.173105,22.60372,8677600,19.786497,24.892704,-2.288984,1
3/22/2001,22.818312,25.02146,22.775393,24.892704,4605000,21.790201,27.060085,-2.167381,1
3/23/2001,24.892704,28.25465,24.892704,27.060085,5074700,23.687452,26.516453,0.543632,0
3/26/2001,26.552217,26.924177,25.851215,26.516453,2916900,23.211567,26.416309,0.100144,0
