,DVA.Open,DVA.High,DVA.Low,DVA.Close,DVA.Volume,DVA.Adjusted,Y,Difference,Class
1/2/2001,5.708333,5.75,5.145833,5.354167,2508200,5.354167,5.875,-0.520833,1
1/3/2001,5.291667,5.958333,5.166667,5.875,5533400,5.875,5.5625,0.3125,0
1/4/2001,5.791667,5.895833,5.458333,5.5625,3093600,5.5625,5.604167,-0.041667,1
1/5/2001,5.583333,5.770833,5.458333,5.604167,2079600,5.604167,5.604167,0,1
1/8/2001,5.541667,5.666667,5.458333,5.604167,1640000,5.604167,5.791667,-0.1875,1
1/9/2001,5.541667,5.854167,5.520833,5.791667,3354600,5.791667,5.916667,-0.125,1
1/10/2001,5.729167,6.020833,5.6875,5.916667,2031800,5.916667,6.104167,-0.1875,1
1/11/2001,5.916667,6.125,5.729167,6.104167,2042600,6.104167,6,0.104167,0
1/12/2001,6.0625,6.1875,5.958333,6,1296200,6,6.208333,-0.208333,1
1/16/2001,5.979167,6.208333,5.958333,6.208333,3185600,6.208333,6.166667,0.041666,0
1/17/2001,6.166667,6.541667,6.104167,6.166667,2852400,6.166667,5.583333,0.583334,0
1/18/2001,6.125,6.145833,5.458333,5.583333,2789600,5.583333,5.354167,0.229166,0
1/19/2001,5.541667,5.541667,5.083333,5.354167,3578400,5.354167,5.583333,-0.229166,1
1/22/2001,5.354167,5.666667,5.333333,5.583333,1475600,5.583333,5.645833,-0.0625,1
1/23/2001,5.604167,5.645833,5.5625,5.645833,980000,5.645833,5.729167,-0.083334,1
1/24/2001,5.666667,5.75,5.645833,5.729167,900200,5.729167,5.6875,0.041667,0
1/25/2001,5.6875,5.770833,5.6875,5.6875,501800,5.6875,5.770833,-0.083333,1
1/26/2001,5.729167,5.833333,5.416667,5.770833,1124000,5.770833,6.246666,-0.475833,1
1/29/2001,5.853333,6.33,5.84,6.246666,2906400,6.246666,6.07,0.176666,0
1/30/2001,6.1,6.23,5.933333,6.07,1866200,6.07,6.516667,-0.446667,1
1/31/2001,6.033333,6.533333,6.026667,6.516667,3382800,6.516667,6.486667,0.03,0
2/1/2001,6.433333,6.516667,6.266667,6.486667,1057800,6.486667,6.25,0.236667,0
2/2/2001,6.483333,6.483333,6.166667,6.25,1887800,6.25,5.166667,1.083333,0
2/5/2001,5,5.5,4.666667,5.166667,13317200,5.166667,5.4,-0.233333,1
2/6/2001,5.17,5.576667,5.166667,5.4,2192600,5.4,5.416667,-0.016667,1
2/7/2001,5.35,5.483333,5.34,5.416667,1267800,5.416667,5.3,0.116667,0
2/8/2001,5.333333,5.416667,5.166667,5.3,2341800,5.3,5.016667,0.283333,0
2/9/2001,5.303333,5.303333,4.913333,5.016667,3960800,5.016667,4.866667,0.15,0
2/12/2001,5,5.063334,4.753334,4.866667,5065400,4.866667,5.133333,-0.266666,1
2/13/2001,4.873333,5.366667,4.753334,5.133333,3630800,5.133333,5.023334,0.109999,0
2/14/2001,5.083333,5.106667,5.016667,5.023334,931400,5.023334,5.04,-0.016666,1
2/15/2001,5,5.096667,4.983333,5.04,1534400,5.04,5.266667,-0.226667,1
2/16/2001,5.066667,5.316667,5,5.266667,1413000,5.266667,5.2,0.066667,0
2/20/2001,5.2,5.323333,5.16,5.2,1183800,5.2,5.096667,0.103333,0
2/21/2001,5.183333,5.183333,5.066667,5.096667,1076600,5.096667,5.313334,-0.216667,1
2/22/2001,5.1,5.333333,5.1,5.313334,1239200,5.313334,5.316667,-0.003333,1
2/23/2001,5.33,5.36,5.25,5.316667,1843200,5.316667,5.636667,-0.32,1
2/26/2001,5.33,5.65,5.33,5.636667,1151600,5.636667,5.82,-0.183333,1
