Code,Industry
MAT,CC
MSI,COM
XL,FIN
EW,NCC
AMZN,COM
NWL,CC
ROP,IND
HCP,FIN
XYL,NCC
BMY,COM
NFLX,BM
ADT,BM
EMN,NCC
IP,FIN
AMGN,NCC
REGN,PU
DHR,FIN
SCG,FIN
PLD,FIN
BXP,FIN
CME,PU
SE,NCC
AVB,PU
AEP,FIN
EL,IND
PPL,PU
VTR,FIN
CHRW,COM
DTV,NCC
EIX,PU
VNO,PU
TWX,PU
CI,FIN
NEE,PU
D,CC
EXC,FIN
PSA,IND
DUK,NCC
SBUX,CC
MMC,PU
GRMN,IND
DGX,NCC
GT,PU
SO,NCC
CELG,PU
AEE,FIN
PFE,COM
AIV,NCC
CNP,NCC
AON,NCC
FFIV,FIN
MDT,FIN
PRGO,CC
BIIB,NCC
EQR,CC
PGR,BM
NKE,FIN
PAYX,PU
JCI,NCC
MON,COM
PNC,COM
XEL,COM
MO,FIN
SNI,NCC
HSY,FIN
KEY,IND
TRIP,NCC
ABT,FIN
ALL,IND
ESS,COM
RSG,NCC
MDLZ,PU
AFL,PU
AME,FIN
CCI,PU
BSX,FIN
SRE,CC
DTE,PU
MET,PU
NRG,FIN
PBCT,CC
VFC,CC
PNW,CC
WEC,PU
USB,FIN
CMG,BM
GPC,FIN
WMT,FIN
ED,COM
ABBV,FIN
CINF,NCC
ECL,PU
BBT,IND
UNM,COM
JNPR,TECH
QCOM,NCC
ICE,NCC
XRAY,IND
NI,IND
MMM,FIN
CA,COM
HUM,IND
SNA,PU
SRCL,COM
AIZ,FIN
CL,CC
CTL,NCC
PDCO,BM
COL,TECH
PEG,FIN
SYMC,IND
AMT,NCC
TIF,CC
HRL,COM
IFF,FIN
FIS,IND
NDAQ,TECH
PNR,IND
AET,NCC
COST,IND
GLW,TECH
HIG,NCC
LEG,FIN
MCHP,NCC
TXT,TECH
SYY,TECH
LMT,CC
CTXS,FIN
ZTS,IND
INTU,NCC
PEP,FIN
TRV,NCC
MA,IND
TDC,CC
AVGO,PU
AN,FIN
IR,FIN
UNH,NCC
CB,IND
KMB,CC
FB,FIN
PH,NCC
MCD,CC
ETR,NCC
RF,PU
EXPD,NCC
L,IND
LLY,IND
ACT,PU
WM,IND
DRI,FIN
ZION,EN
KO,FIN
RL,CC
ADP,COM
CMS,CC
SYK,NCC
TEL,TECH
GD,NCC
FE,NCC
ITW,NCC
FITB,IND
VLO,COM
HBAN,NCC
YUM,IND
DIS,FIN
CCL,CC
ALXN,BM
FSLR,IND
PM,CC
UHS,TECH
JNJ,PU
OMC,IND
TSN,IND
APH,NCC
BAC,CC
HAS,TECH
PPG,NCC
DE,COM
FAST,COM
CRM,NCC
SEE,TECH
AIG,IND
SWK,FIN
NOC,COM
TSS,NCC
AZO,TECH
FISV,CC
BDX,IND
CSCO,NCC
CMCSA,TECH
MPC,FIN
PG,NCC
ADBE,FIN
HON,NCC
MTB,CC
EXPE,NCC
MNST,TECH
VRSN,IND
F,EN
RTN,FIN
VAR,NCC
DNB,FIN
GNW,FIN
LH,FIN
ALTR,CC
SPG,CC
WU,FIN
MHK,NCC
BAX,TECH
RHT,FIN
DOV,NCC
FTI,IND
NTRS,FIN
PVH,NCC
MAC,IND
TROW,NCC
BK,NCC
