"","Open","High","Low","Close","Volume"
"2001-01-02",0.927258,0.954044,0.904937,0.927258,113078000
"2001-01-03",0.886834,1.043084,0.88237,1.020763,204268400
"2001-01-04",1.140628,1.166298,1.045762,1.063619,184849000
"2001-01-05",1.060941,1.092191,0.998441,1.020763,103089000
"2001-01-08",1.059236,1.062585,0.987808,1.032451,93424800
"2001-01-09",1.044625,1.103777,1.026768,1.071411,147232400
"2001-01-10",1.041379,1.063701,0.996736,1.032451,145195400
"2001-01-11",0.99706,1.157775,0.99706,1.12206,200933600
"2001-01-12",1.120518,1.129446,1.062482,1.071411,105844200
"2001-01-16",1.089837,1.147872,1.058587,1.067515,76529600
"2001-01-17",1.101606,1.101606,1.025713,1.048035,210218400
"2001-01-18",1.102416,1.169381,1.089024,1.164916,306752600
"2001-01-19",1.211101,1.220029,1.157529,1.215565,194166000
"2001-01-22",1.186588,1.226767,1.141945,1.199981,129831800
"2001-01-23",1.193079,1.309151,1.175222,1.277901,219882600
"2001-01-24",1.286829,1.291294,1.210936,1.277901,179272800
"2001-01-25",1.28748,1.28748,1.229444,1.242837,122427200
"2001-01-26",1.214997,1.237319,1.183747,1.219461,120705200
"2001-01-29",1.20014,1.35639,1.20014,1.351926,213882200
"2001-01-30",1.34243,1.37368,1.293322,1.355822,173105800
"2001-01-31",1.339101,1.41053,1.334637,1.34803,182676200
"2001-02-01",1.285612,1.343647,1.272219,1.316862,92423800
"2001-02-02",1.321409,1.379444,1.276766,1.285694,106835400
"2001-02-05",1.280743,1.285207,1.227171,1.258421,71528800
"2001-02-06",1.247665,1.335835,1.236504,1.316862,115677800
"2001-02-07",1.286788,1.302413,1.226521,1.293485,98471800
"2001-02-08",1.280092,1.315806,1.253306,1.293485,151032000
"2001-02-09",1.290404,1.312725,1.160939,1.192189,147520800
"2001-02-12",1.18261,1.249574,1.164753,1.227253,68530000
"2001-02-13",1.250225,1.285939,1.183261,1.192189,59267600
"2001-02-14",1.193244,1.224494,1.144137,1.215565,77280000
"2001-02-15",1.223843,1.286343,1.223843,1.250629,77854000
"2001-02-16",1.184396,1.22011,1.166539,1.184396,65977800
"2001-02-20",1.20404,1.221897,1.132611,1.14154,78723400
"2001-02-21",1.131962,1.252498,1.131962,1.176605,97564600
"2001-02-22",1.190565,1.212887,1.114672,1.172708,107990400
"2001-02-23",1.159315,1.177172,1.132529,1.172708,73466400
"2001-02-26",1.184315,1.228958,1.148601,1.215565,51609600
"2001-02-27",1.201076,1.212237,1.158665,1.207773,87129000
"2001-02-28",1.218002,1.222466,1.128716,1.137644,127058400
"2001-03-01",1.101848,1.168813,1.057206,1.168813,82615400
"2001-03-02",1.133017,1.284802,1.128552,1.199981,101550400
"2001-03-05",1.198681,1.279038,1.189752,1.270109,81043200
"2001-03-06",1.284435,1.380417,1.282203,1.340238,182950600
"2001-03-07",1.329118,1.35144,1.28894,1.324654,104885200
"2001-03-08",1.288454,1.319704,1.270596,1.297382,51214800
"2001-03-09",1.289102,1.293567,1.244459,1.262317,74783800
"2001-03-12",1.236913,1.250306,1.125306,1.16102,97755000
"2001-03-13",1.170354,1.219461,1.121247,1.219461,110832400
"2001-03-14",1.135613,1.27847,1.131148,1.274005,119443800
"2001-03-15",1.312074,1.347789,1.227253,1.227253,132329400
"2001-03-16",1.178714,1.272464,1.169785,1.223357,117579000
"2001-03-19",1.223762,1.286262,1.205905,1.281798,89002200
"2001-03-20",1.300914,1.316539,1.227253,1.227253,124801600
"2001-03-21",1.229971,1.308096,1.200954,1.254525,92843800
"2001-03-22",1.258744,1.356958,1.245351,1.34803,180825400
"2001-03-23",1.366779,1.473922,1.362315,1.433743,236222000
"2001-03-26",1.454121,1.498407,1.311264,1.357692,183612800
"2001-03-27",1.359212,1.438498,1.356355,1.42564,135955400
"2001-03-28",1.375576,1.405576,1.334147,1.382004,146165600
"2001-03-29",1.350159,1.470159,1.330873,1.404445,153266400
