"","ABBV.Open","ABBV.High","ABBV.Low","ABBV.Close","ABBV.Volume","ABBV.Adjusted"
"2013-01-02",34.919998,35.400002,34.099998,35.119999,13767900,27.193508
"2013-01-03",35,35,34.16,34.830002,16739300,26.968964
"2013-01-04",34.619999,34.889999,34.25,34.389999,21372100,26.628265
"2013-01-07",34.150002,35.450001,34.150002,34.459999,17897100,26.682472
"2013-01-08",34.290001,34.639999,33.360001,33.709999,17863300,26.101748
"2013-01-09",33.610001,33.950001,33.610001,33.900002,18800400,26.248867
"2013-01-10",33.66,34,33.330002,34,15658100,26.326286
"2013-01-11",33.59,33.900002,33.349998,33.849998,11191500,26.522167
"2013-01-14",34.009998,34.25,33.799999,34.09,11584900,26.71022
"2013-01-15",33.709999,34.720001,33.709999,34.599998,13040200,27.10981
"2013-01-16",34.470001,35.540001,34.450001,35.540001,16512700,27.846325
"2013-01-17",35.75,36.700001,35.75,36.419998,14424800,28.535812
"2013-01-18",36.43,37.32,36.040001,37.32,17842200,29.240984
"2013-01-22",36.98,37.25,35.93,36.419998,15809700,28.535812
"2013-01-23",36.91,37.84,36.5,37.799999,10981600,29.617075
"2013-01-24",37.790001,38.52,37.23,37.459999,11327100,29.350679
"2013-01-25",37.52,37.84,36.639999,37.599998,8934600,29.460369
"2013-01-28",37.650002,37.869999,36.709999,36.889999,7140100,28.904072
"2013-01-29",36.709999,37.459999,36.25,37.310001,8838500,29.23315
"2013-01-30",36.810001,37.529999,36.810001,36.93,10841800,28.935417
"2013-01-31",36.84,36.93,36.27,36.689999,10720700,28.74736
"2013-02-01",36.84,37.200001,36.52,37.18,9527500,29.131302
"2013-02-04",36.639999,37.299999,36.549999,37.279999,6348000,29.209644
"2013-02-05",37.419998,37.73,37.18,37.200001,7284400,29.146965
"2013-02-06",36.959999,37.279999,36.860001,37.139999,5738900,29.099962
"2013-02-07",37.57,37.57,35.799999,36.419998,9872500,28.535812
"2013-02-08",36.369999,36.419998,35.830002,36.25,13858700,28.402624
"2013-02-11",36.130001,36.18,35.75,35.849998,6032100,28.089211
"2013-02-12",35.77,35.900002,35.200001,35.419998,7473800,27.752293
"2013-02-13",35.419998,35.57,35.150002,35.27,4859800,27.634775
"2013-02-14",35.049999,36.73,35.009998,36.57,7570100,28.653351
"2013-02-15",36.93,37.810001,36.93,37.580002,13296300,29.444706
"2013-02-19",37.540001,38.330002,37.110001,38.189999,8292700,29.922649
"2013-02-20",38.16,39.130001,37.610001,38.610001,8096400,30.251724
"2013-02-21",38.490002,39.029999,38.189999,38.779999,7260900,30.384928
"2013-02-22",38.790001,38.849998,38.139999,38.459999,4490400,30.134199
"2013-02-25",38.540001,38.610001,37.369999,37.369999,4665600,29.280167
"2013-02-26",37.599998,37.599998,36.959999,37.09,4463000,29.060781
"2013-02-27",36.970001,36.98,36.400002,36.73,12238400,28.778715
"2013-02-28",36.66,37.139999,36.5,36.919998,10321000,28.927572
"2013-03-01",36.799999,38.07,36.549999,37.810001,8929400,29.624918
