"","Open","High","Low","Close","Volume"
"2001-01-02",9.778286,9.872036,9.293911,9.700161,1869200
"2001-01-03",9.628778,10.488153,9.628778,9.894403,3751600
"2001-01-04",10.112249,10.323187,8.393499,9.080999,7423200
"2001-01-05",9.109097,9.171597,8.499722,8.765347,2172400
"2001-01-08",8.580775,9.362025,8.580775,9.299525,3538400
"2001-01-09",9.136309,9.448809,9.073809,9.323809,2543200
"2001-01-10",9.22624,10.16374,9.22624,9.66374,3056400
"2001-01-11",9.632826,9.820326,9.335951,9.335951,2761200
"2001-01-12",9.27671,9.65171,9.27671,9.542335,3970400
"2001-01-16",9.525024,9.759399,9.431274,9.493774,1907200
"2001-01-17",9.643056,9.814931,9.455556,9.518056,1474000
"2001-01-18",9.682053,9.713303,8.557053,8.728928,4550400
"2001-01-19",8.82672,8.82672,7.686095,8.17047,6192800
"2001-01-22",8.117979,8.711729,8.071104,8.571104,2798000
"2001-01-23",8.303233,9.068858,8.303233,9.068858,1855600
"2001-01-24",9.072563,9.103813,8.588188,8.838188,1892000
"2001-01-25",8.733653,9.358653,8.718028,9.202403,950800
"2001-01-26",9.119107,9.556607,9.119107,9.165982,1905600
"2001-01-29",8.968378,9.475878,8.938378,9.473378,1670400
"2001-01-30",9.436864,9.439364,9.224364,9.321864,1395600
"2001-01-31",9.210784,9.365784,9.083284,9.290784,844000
"2001-02-01",9.451684,9.451684,8.916684,9.226684,2734400
"2001-02-02",9.362479,9.612479,9.199979,9.537479,1401600
"2001-02-05",9.460622,9.873122,9.410622,9.718122,2099600
"2001-02-06",9.625018,10.057518,9.625018,10.042518,1569600
"2001-02-07",10.04818,10.07068,9.56068,9.93568,889600
"2001-02-08",9.892608,10.140108,9.892608,9.955108,1748400
"2001-02-09",9.871565,10.184065,9.871565,10.159065,739200
"2001-02-12",10.016042,10.766042,10.016042,10.396042,1780000
"2001-02-13",10.496027,10.683527,10.308527,10.683527,2130400
"2001-02-14",10.593007,10.788007,10.518007,10.650507,1394000
"2001-02-15",10.553311,10.690811,10.278311,10.353311,1747600
"2001-02-16",10.148028,10.713028,10.073028,10.633028,1330400
"2001-02-20",10.662631,10.955131,10.602631,10.747631,1784000
"2001-02-21",10.600255,11.050255,10.425255,10.625255,1692400
"2001-02-22",10.629155,10.721655,10.391655,10.611655,1857200
"2001-02-23",10.648907,10.808907,10.461407,10.586407,3251200
"2001-02-26",10.440276,10.987776,10.440276,10.877776,1300800
"2001-02-27",10.872991,11.107991,10.735491,10.937991,2022000
"2001-02-28",11.067397,11.329897,10.404897,10.434897,3040400
"2001-03-01",10.505365,10.655365,10.367865,10.520365,1993200
"2001-03-02",10.47414,11.03164,10.44664,10.89914,3777600
"2001-03-05",11.110782,11.200782,10.828282,11.198282,2224400
"2001-03-06",11.137307,11.317307,10.374807,11.062307,4041600
"2001-03-07",11.164336,11.226836,10.566836,10.706836,2711200
"2001-03-08",10.731527,10.759027,10.346527,10.464027,2071600
