"","ACN.Open","ACN.High","ACN.Low","ACN.Close","ACN.Volume","ACN.Adjusted"
"2001-07-19",15.1,15.29,15,15.17,34994300,11.497672
"2001-07-20",15.05,15.05,14.8,15.01,9238500,11.376402
"2001-07-23",15,15.01,14.55,15,7501000,11.368821
"2001-07-24",14.95,14.97,14.7,14.86,3537300,11.262713
"2001-07-25",14.7,14.95,14.65,14.95,4208100,11.330926
"2001-07-26",14.95,14.99,14.5,14.5,6335300,10.989861
"2001-07-27",14.51,14.59,14.5,14.51,3524000,10.997442
"2001-07-30",14.5,14.78,14.5,14.7,3654300,11.141445
"2001-07-31",14.71,15.01,14.6,14.96,1429000,11.338507
"2001-08-01",15,15.5,14.9,15.5,2087900,11.747784
"2001-08-02",15.4,15.5,15.1,15.4,1717400,11.671991
"2001-08-03",15.4,15.4,14.98,15.15,983600,11.482512
"2001-08-06",15.15,15.22,15.02,15.1,777400,11.444615
"2001-08-07",15.1,15.55,15.1,15.5,788900,11.747784
"2001-08-08",15.4,15.6,15,15,2190300,11.368821
"2001-08-09",15.05,15.5,15,15.5,928000,11.747784
"2001-08-10",15.4,15.4,15.12,15.19,703300,11.512826
"2001-08-13",15.15,15.34,14.9,15.01,1770400,11.376402
"2001-08-14",15.05,15.06,14.65,14.7,1000800,11.141445
"2001-08-15",14.75,14.9,14.7,14.79,530900,11.209657
"2001-08-16",14.78,14.78,14.05,14.05,1522700,10.648798
"2001-08-17",14.06,14.8,13.9,14.52,2342400,11.005018
"2001-08-20",14.6,15.35,14.49,15.35,1434900,11.634097
"2001-08-21",15.25,15.6,15.01,15.46,1038200,11.717466
"2001-08-22",15.32,15.39,14.78,15.34,829000,11.626516
"2001-08-23",15.45,15.45,15.25,15.25,470000,11.558303
"2001-08-24",15.25,15.48,15,15.4,689000,11.671991
"2001-08-27",15.48,15.65,15.4,15.48,827700,11.732627
"2001-08-28",15.42,15.58,15.25,15.36,736900,11.641674
"2001-08-29",15.29,15.31,15,15.01,397400,11.376402
"2001-08-30",14.85,15.04,14.85,14.95,640100,11.330926
"2001-08-31",15,15.1,14.9,14.9,3337900,11.293029
"2001-09-04",15,15.65,15,15.38,1068600,11.656833
"2001-09-05",15.38,15.38,14.9,14.91,1053200,11.300609
"2001-09-06",14.75,15.01,14.4,14.5,1384500,10.989861
"2001-09-07",14.45,14.64,14.35,14.52,1408500,11.005018
"2001-09-10",14.58,15.16,14.55,15.15,622100,11.482512
"2001-09-17",15.14,15.14,14.47,14.6,1934300,11.065654
"2001-09-18",14.6,15,14.35,14.55,902800,11.027756
"2001-09-19",14.6,14.69,13.72,13.95,2415400,10.573005
"2001-09-20",13.9,13.9,12.84,12.95,3498900,9.815083
"2001-09-21",12.85,13,12.16,12.75,2051800,9.663499
"2001-09-24",13,13.28,12.95,13.2,1964200,10.004564
"2001-09-25",13.2,13.2,12.7,12.8,1827300,9.701395
"2001-09-26",12.8,12.96,12.2,12.2,3327200,9.246641
"2001-09-27",12.26,12.26,11.61,11.85,2347500,8.981372
"2001-09-28",12.1,13.45,12.1,12.75,2844000,9.663499
"2001-10-01",12.65,13,12.65,12.7,878800,9.625601
"2001-10-02",12.55,12.7,12.12,12.58,1900400,9.534652
"2001-10-03",12.62,13.06,12.6,12.95,2539400,9.815083
"2001-10-04",12.97,13.8,12.97,13.49,3108500,10.224361
"2001-10-05",13.5,13.74,13.32,13.55,2172300,10.269836
"2001-10-08",13.6,13.69,13.23,13.23,576100,10.027302
"2001-10-09",13.48,13.8,13.38,13.4,1601100,10.15615
"2001-10-10",13.35,13.75,13.3,13.67,1700400,10.360787
"2001-10-11",15.5,15.5,14.7,15.16,4214100,11.490088
"2001-10-12",15.26,16.549999,15.26,16.549999,5193300,12.543601
"2001-10-15",16.51,17.950001,16.51,17.5,3277900,13.263627
"2001-10-16",17.65,18.049999,16.9,17.450001,1996000,13.225732
"2001-10-17",17.65,17.74,16.85,16.98,1877100,12.869507
"2001-10-18",16.98,16.98,16.610001,16.700001,942000,12.65729
"2001-10-19",16.700001,16.85,16.540001,16.85,2062500,12.770978
"2001-10-22",17,17.57,16.969999,17.5,469600,13.263627
"2001-10-23",17.5,17.73,17.27,17.620001,915400,13.354578
"2001-10-24",17.68,17.76,17.57,17.74,472600,13.445527
