"","Open","High","Low","Close","Volume"
"2001-07-19",11.427672,11.617672,11.327672,11.497672,34994300
"2001-07-20",11.416402,11.416402,11.166402,11.376402,9238500
"2001-07-23",11.368821,11.378821,10.918821,11.368821,7501000
"2001-07-24",11.352713,11.372713,11.102713,11.262713,3537300
"2001-07-25",11.080926,11.330926,11.030926,11.330926,4208100
"2001-07-26",11.439861,11.479861,10.989861,10.989861,6335300
"2001-07-27",10.997442,11.077442,10.987442,10.997442,3524000
"2001-07-30",10.941445,11.221445,10.941445,11.141445,3654300
"2001-07-31",11.088507,11.388507,10.978507,11.338507,1429000
"2001-08-01",11.247784,11.747784,11.147784,11.747784,2087900
"2001-08-02",11.671991,11.771991,11.371991,11.671991,1717400
"2001-08-03",11.732512,11.732512,11.312512,11.482512,983600
"2001-08-06",11.494615,11.564615,11.364615,11.444615,777400
"2001-08-07",11.347784,11.797784,11.347784,11.747784,788900
"2001-08-08",11.768821,11.968821,11.368821,11.368821,2190300
"2001-08-09",11.297784,11.747784,11.247784,11.747784,928000
"2001-08-10",11.722826,11.722826,11.442826,11.512826,703300
"2001-08-13",11.516402,11.706402,11.266402,11.376402,1770400
"2001-08-14",11.491445,11.501445,11.091445,11.141445,1000800
"2001-08-15",11.169657,11.319657,11.119657,11.209657,530900
"2001-08-16",11.378798,11.378798,10.648798,10.648798,1522700
"2001-08-17",10.545018,11.285018,10.385018,11.005018,2342400
"2001-08-20",10.884097,11.634097,10.774097,11.634097,1434900
"2001-08-21",11.507466,11.857466,11.267466,11.717466,1038200
"2001-08-22",11.606516,11.676516,11.066516,11.626516,829000
"2001-08-23",11.758303,11.758303,11.558303,11.558303,470000
"2001-08-24",11.521991,11.751991,11.271991,11.671991,689000
"2001-08-27",11.732627,11.902627,11.652627,11.732627,827700
"2001-08-28",11.701674,11.861674,11.531674,11.641674,736900
"2001-08-29",11.656402,11.676402,11.366402,11.376402,397400
"2001-08-30",11.230926,11.420926,11.230926,11.330926,640100
"2001-08-31",11.393029,11.493029,11.293029,11.293029,3337900
"2001-09-04",11.276833,11.926833,11.276833,11.656833,1068600
"2001-09-05",11.770609,11.770609,11.290609,11.300609,1053200
"2001-09-06",11.239861,11.499861,10.889861,10.989861,1384500
"2001-09-07",10.935018,11.125018,10.835018,11.005018,1408500
"2001-09-10",10.912512,11.492512,10.882512,11.482512,622100
"2001-09-17",11.605654,11.605654,10.935654,11.065654,1934300
"2001-09-18",11.077756,11.477756,10.827756,11.027756,902800
"2001-09-19",11.223005,11.313005,10.343005,10.573005,2415400
"2001-09-20",10.765083,10.765083,9.705083,9.815083,3498900
"2001-09-21",9.763499,9.913499,9.073499,9.663499,2051800
"2001-09-24",9.804564,10.084564,9.754564,10.004564,1964200
"2001-09-25",10.101395,10.101395,9.601395,9.701395,1827300
"2001-09-26",9.846641,10.006641,9.246641,9.246641,3327200
"2001-09-27",9.391372,9.391372,8.741372,8.981372,2347500
"2001-09-28",9.013499,10.363499,9.013499,9.663499,2844000
"2001-10-01",9.575601,9.925601,9.575601,9.625601,878800
"2001-10-02",9.504652,9.654652,9.074652,9.534652,1900400
"2001-10-03",9.485083,9.925083,9.465083,9.815083,2539400
"2001-10-04",9.704361,10.534361,9.704361,10.224361,3108500
"2001-10-05",10.219836,10.459836,10.039836,10.269836,2172300
"2001-10-08",10.397302,10.487302,10.027302,10.027302,576100
"2001-10-09",10.23615,10.55615,10.13615,10.15615,1601100
"2001-10-10",10.040787,10.440787,9.990787,10.360787,1700400
"2001-10-11",11.830088,11.830088,11.030088,11.490088,4214100
"2001-10-12",11.253602,12.543601,11.253602,12.543601,5193300
"2001-10-15",12.273627,13.713628,12.273627,13.263627,3277900
"2001-10-16",13.425731,13.82573,12.675731,13.225732,1996000
"2001-10-17",13.539507,13.629507,12.739507,12.869507,1877100
"2001-10-18",12.937289,12.937289,12.56729,12.65729,942000
"2001-10-19",12.620979,12.770978,12.460979,12.770978,2062500
"2001-10-22",12.763627,13.333627,12.733626,13.263627,469600
"2001-10-23",13.234577,13.464577,13.004577,13.354578,915400
"2001-10-24",13.385527,13.465527,13.275527,13.445527,472600
"2001-10-25",13.445527,13.455527,12.835526,13.445527,265100
"2001-10-26",13.434578,13.514578,13.234577,13.354578,566500
"2001-10-29",13.471522,13.481523,13.151523,13.301522,616200
"2001-10-30",13.249941,13.259939,12.94994,13.14994,574700
"2001-10-31",13.166681,13.346681,12.846681,13.316681,718600
"2001-11-01",13.087542,14.157542,13.087542,13.877541,1089900
"2001-11-02",14.082069,14.682069,13.682069,13.832069,2372800
"2001-11-05",13.868381,13.888381,13.388381,13.718381,1552700
"2001-11-06",13.62985,13.62985,12.99985,13.619849,562600
