"","Open","High","Low","Close","Volume"
"2017-12-13",24.727097,24.807097,24.627096,24.697096,40300
"2017-12-14",25.780102,25.780102,24.510102,24.540102,74100
"2017-12-15",25.35689,25.35689,24.576889,24.70789,74300
"2017-12-18",24.926962,25.895962,24.912962,24.912962,29200
"2017-12-19",25.460333,26.770332,24.921331,25.050333,31300
"2017-12-20",25.380898,25.380898,24.950897,25.020897,28300
"2017-12-21",25.52052,26.19052,25.04052,25.04052,33300
"2017-12-22",25.520897,25.520897,24.967898,25.020897,7800
"2017-12-26",25.506764,25.506764,25.216765,25.236763,22400
"2017-12-27",25.391506,25.561506,25.241506,25.251507,18200
"2017-12-28",25.536763,25.546763,25.366762,25.524763,30500
"2017-12-29",26.122631,26.202631,25.754631,25.76263,49900
"2018-01-02",26.28495,26.39495,25.91995,26.20495,66100
"2018-01-03",26.690512,27.100511,26.390512,26.460512,66100
"2018-01-04",27.016827,29.046828,25.846827,26.096827,81700
"2018-01-05",26.449389,26.449389,25.809389,25.949389,45800
"2018-01-08",26.061949,26.077948,25.551949,25.801949,24700
"2018-01-09",25.992769,25.992769,25.712768,25.754768,13500
"2018-01-10",25.892615,25.892615,25.552615,25.763615,16700
"2018-01-11",25.801863,25.920862,25.711863,25.806862,13200
"2018-01-12",25.911097,25.951096,25.778095,25.851095,15000
"2018-01-16",26.102614,26.102614,25.730614,25.763615,9900
"2018-01-17",25.849047,26.059048,25.771048,25.969048,21300
"2018-01-18",26.063093,26.063093,25.713093,25.736094,17400
"2018-01-19",26.008774,26.048775,25.769776,25.984776,20600
"2018-01-22",26.185461,26.185461,26.049462,26.175461,15700
"2018-01-23",26.439318,26.529318,26.246319,26.529318,23500
"2018-01-24",26.539762,26.689762,26.404762,26.503763,13700
"2018-01-25",26.041026,26.597026,26.041026,26.431025,7700
"2018-01-26",26.784368,26.814369,26.430368,26.814369,12300
"2018-01-29",26.857611,26.857611,26.51461,26.627611,15000
"2018-01-30",26.674404,26.674404,26.114405,26.236404,12000
"2018-01-31",26.47495,26.47495,26.14595,26.20495,8500
"2018-02-01",26.395633,26.395633,26.125633,26.165634,9800
"2018-02-02",26.242463,26.242463,25.702462,25.772461,13800
"2018-02-05",25.695944,25.695944,24.869946,24.995945,20200
"2018-02-06",24.715945,24.995945,24.565945,24.995945,21700
"2018-02-07",25.027054,25.153055,24.904055,24.932055,11100
"2018-02-08",25.023968,25.023968,24.533966,24.533966,10300
"2018-02-09",24.574087,24.574087,24.022087,24.527086,12100
"2018-02-12",24.571235,24.881234,24.471235,24.691236,6800
"2018-02-13",24.830946,24.830946,24.570946,24.707945,3000
"2018-02-14",24.763215,25.153214,24.763215,25.153214,3800
