"","Open","High","Low","Close","Volume"
"2001-01-02",33.237724,33.737724,30.987724,32.237724,3520100
"2001-01-03",29.88205,37.44455,26.00705,37.38205,8229000
"2001-01-04",37.253006,37.253006,34.253006,35.753006,5871500
"2001-01-05",37.166416,37.166416,31.978916,32.666416,3621200
"2001-01-08",32.926815,32.926815,29.364315,31.551815,3649200
"2001-01-09",31.528584,32.091084,29.716084,31.466084,3517200
"2001-01-10",29.300652,34.175652,29.175652,33.738152,4326600
"2001-01-11",30.936893,36.561893,30.874393,35.624393,4882700
"2001-01-12",35.44772,36.51022,34.01022,36.01022,3928900
"2001-01-16",35.240597,36.053097,34.553097,36.053097,3945700
"2001-01-17",39.900505,40.775505,38.338005,39.525505,5345000
"2001-01-18",35.500683,41.625683,32.625683,40.125683,14827800
"2001-01-19",40.311157,40.373657,37.561157,39.311157,5100600
"2001-01-22",39.723392,40.223392,37.785892,38.410892,3146600
"2001-01-23",38.312748,39.812748,37.062748,38.625248,3020200
"2001-01-24",38.546734,40.171734,37.546734,38.796734,2737100
"2001-01-25",38.573139,39.323139,37.198139,37.510639,2255500
"2001-01-26",36.30352,38.05352,35.42852,37.55352,2990800
"2001-01-29",36.947327,38.947327,35.597329,38.877327,2015400
"2001-01-30",37.325759,41.77576,36.77576,41.43576,3118200
"2001-01-31",40.527909,44.33791,40.237912,42.937908,3986700
"2001-02-01",43.005813,43.905815,40.405815,40.605816,3131100
"2001-02-02",42.912166,43.592166,37.692165,37.862167,3414400
"2001-02-05",37.3862,37.936199,35.436199,36.936199,2620100
"2001-02-06",36.52906,38.539058,35.629058,35.969059,2304500
"2001-02-07",36.983894,36.983894,32.973896,33.883896,4271900
"2001-02-08",34.147824,35.847825,33.247822,34.617825,2860000
"2001-02-09",35.239723,35.969723,32.169724,33.259724,2416300
"2001-02-12",31.442211,34.662212,31.442211,32.99221,2939500
"2001-02-13",31.677528,34.07753,31.677528,32.587528,2619200
"2001-02-14",30.743923,35.893925,29.993923,34.953922,3535200
"2001-02-15",35.781174,37.321175,34.621174,35.331173,3660600
"2001-02-16",34.952484,35.052482,32.752483,33.952484,4370300
"2001-02-20",34.381605,34.881605,30.831606,30.831606,5744300
"2001-02-21",29.708853,32.828852,29.708853,31.208853,5261400
"2001-02-22",30.705719,33.695721,30.255718,31.215717,4388600
"2001-02-23",31.382886,32.032888,28.932885,30.282888,4543800
"2001-02-26",30.928118,31.57812,28.428118,29.638117,3509100
"2001-02-27",29.957839,30.147842,27.15784,27.607841,4467400
"2001-02-28",28.284416,28.284416,25.284416,25.584415,5170300
"2001-03-01",24.259445,28.639446,23.769443,28.259445,6101400
"2001-03-02",26.20691,30.756909,26.20691,29.356907,5229800
"2001-03-05",29.135424,30.535426,28.935423,29.185423,2708300
"2001-03-06",30.52294,32.77294,30.02294,30.52294,3918100
"2001-03-07",31.161132,31.161132,28.451133,29.151134,4760600
"2001-03-08",29.230942,29.480942,28.230942,28.430943,2937400
"2001-03-09",27.786869,28.32687,26.586868,27.216869,2397900
"2001-03-12",27.095949,28.29595,25.945947,25.995951,4945000
"2001-03-13",25.642376,27.682377,25.192375,27.532375,3409700
"2001-03-14",26.555719,28.465719,25.655717,27.175718,3462900
"2001-03-15",28.860475,29.110475,27.660479,27.820478,3902100
"2001-03-16",26.808857,28.548859,26.808857,27.168858,4478400
"2001-03-19",27.589247,27.869246,26.079245,27.539248,3551100
"2001-03-20",27.823208,29.123207,26.173206,26.373207,4346500
"2001-03-21",26.784416,28.134414,25.284416,25.584415,4409900
"2001-03-22",23.286754,29.166756,23.286754,27.806755,5087700
"2001-03-23",29.312484,30.952488,27.102485,29.912487,5092600
"2001-03-26",30.732275,30.732275,27.122274,28.122274,3141200
"2001-03-27",27.848413,30.148412,26.838415,27.628412,3970800
"2001-03-28",27.752994,28.552993,25.502994,25.652996,3602100
"2001-03-29",25.804264,27.804264,24.254265,25.104263,3833300
"2001-03-30",26.067331,26.357332,23.817331,24.857332,4082700
"2001-04-02",25.854101,26.304097,21.9041,22.484098,4737700
"2001-04-03",22.963185,23.763184,21.113184,21.263184,4690300
"2001-04-04",21.756325,23.726324,20.866325,21.256325,5672600
"2001-04-05",21.937704,24.707704,21.437704,24.157705,4040100
"2001-04-06",23.634998,24.704998,21.884998,22.634998,3904800
"2001-04-09",22.980495,23.480495,20.480495,21.880495,3338300
"2001-04-10",21.669632,25.069634,21.319634,23.869633,3810600
"2001-04-11",27.500463,29.750463,26.170461,26.750463,5398200
"2001-04-12",24.791967,29.691969,23.441969,29.061968,5019900
"2001-04-16",28.631094,29.531096,26.231092,27.011095,4026600
"2001-04-17",26.643658,29.04366,25.813656,26.983658,3603900
"2001-04-18",27.011681,34.271679,27.011681,31.071678,5959400
"2001-04-19",30.21635,34.21635,29.666351,33.37635,4700600
"2001-04-20",33.677528,34.527531,31.89753,32.587528,2875300
"2001-04-23",32.634489,32.634489,29.884489,30.934488,2008800
"2001-04-24",31.221339,33.021338,29.191336,29.871336,2549500
"2001-04-25",29.447315,31.647316,28.757317,30.797318,2647300
"2001-04-26",31.754028,32.604026,29.254028,29.254028,2124200
"2001-04-27",29.944439,30.844441,29.534439,30.694439,2058600
"2001-04-30",31.640343,33.650341,30.540345,32.450344,4063100
"2001-05-01",31.606317,32.356317,30.006314,32.306313,2958600
"2001-05-02",33.169818,34.669818,32.519816,34.56982,3911400
"2001-05-03",34.402146,34.502144,32.502144,32.752144,2871600
"2001-05-04",30.96635,34.44635,30.416351,33.37635,2795200
"2001-05-07",34.212085,35.112087,32.212085,32.512089,2755500
"2001-05-08",33.806187,33.806187,32.376187,32.896187,2449000
"2001-05-09",31.941884,32.601884,30.991883,31.791882,2295100
"2001-05-10",33.230342,34.180343,31.380344,31.380344,1970900
"2001-05-11",31.903075,32.073077,30.203079,31.003078,1899500
"2001-05-14",31.015902,31.015902,29.765902,30.8659,1772900
"2001-05-15",30.737127,32.657125,30.357126,31.147127,2036400
"2001-05-16",30.594326,32.784324,29.984325,32.354324,2194300
"2001-05-17",32.047981,33.777981,31.397979,33.197983,2113600
"2001-05-18",32.331016,34.091018,31.631015,33.781017,2365600
"2001-05-21",32.55606,36.456062,32.336059,36.456062,3236100
"2001-05-22",36.751564,36.951565,34.751564,35.701565,2618900
"2001-05-23",35.442566,35.592568,33.932568,34.192566,2312700
"2001-05-24",34.61658,34.626583,32.196582,33.266582,2498700
"2001-05-25",33.485177,34.035176,32.685178,33.335175,1729800
"2001-05-29",33.019134,33.179134,31.719135,32.169136,2080000
"2001-05-30",32.840175,32.840175,29.190173,29.830177,3410700
"2001-05-31",29.597239,31.20724,29.597239,30.557238,3351900
"2001-06-01",30.683221,31.913225,29.873224,31.483225,2617400
"2001-06-04",31.750205,32.100203,30.350203,30.900202,1521800
"2001-06-05",29.885179,33.785176,29.855176,33.335175,2263700
"2001-06-06",33.319484,33.969486,31.859485,33.369488,2328200
"2001-06-07",31.937122,35.397121,31.737121,35.187122,4831700
"2001-06-08",35.782169,35.782169,32.71217,33.82217,1748300
"2001-06-11",34.352665,34.352665,31.872665,32.532665,1422400
"2001-06-12",31.936106,32.436106,28.786104,31.586103,3753400
"2001-06-13",32.208586,33.038584,30.248583,30.248583,2605100
"2001-06-14",31.147908,31.147908,27.217907,27.847904,3801000
"2001-06-15",26.73535,28.73535,26.23535,27.875349,3933900
"2001-06-18",28.590867,29.590867,27.690865,28.190865,3585600
"2001-06-19",29.818863,30.468865,28.098862,28.238861,4247700
"2001-06-20",28.069392,28.969389,26.16939,28.019388,4330600
"2001-06-21",27.857841,28.647842,26.957839,27.607841,3317800
"2001-06-22",27.643402,28.543404,26.633404,27.093403,3193000
"2001-06-25",27.686363,28.086365,26.886364,27.436363,2472000
"2001-06-26",25.924393,28.874394,25.924393,28.554394,2868300
"2001-06-27",28.646055,29.256056,27.386057,28.376055,2687500
"2001-06-28",27.889926,30.649929,27.889926,29.93993,2779000
"2001-06-29",30.065564,32.415562,29.505562,29.665562,3357900
"2001-07-02",29.887393,32.097396,29.057395,31.037395,2239300
"2001-07-03",31.06879,31.868789,30.668788,30.968792,1064800
"2001-07-05",28.655373,31.205372,28.655373,30.015369,1655900
"2001-07-06",30.344256,30.354254,27.894255,28.074255,1902600
"2001-07-09",28.153344,29.113347,27.833344,27.923344,3391000
"2001-07-10",29.319559,29.459558,26.229559,26.599558,3081600
"2001-07-11",26.467634,28.107633,26.287633,26.887636,3474500
"2001-07-12",27.004616,32.104614,26.704612,30.344616,4346700
"2001-07-13",30.721529,31.201528,29.071527,29.521528,3058600
"2001-07-16",30.569319,30.67932,27.079317,27.779318,3586400
"2001-07-17",27.267347,29.017347,25.817346,28.897348,3656600
"2001-07-18",29.231604,30.331602,26.631606,26.791605,3324900
"2001-07-19",27.29246,30.29246,27.20246,28.842459,4434500
"2001-07-20",27.465561,29.665562,26.665562,29.665562,2767800
"2001-07-23",30.337713,30.657713,27.987715,28.197714,2155800
"2001-07-24",27.859902,29.479901,27.5499,28.8699,4122000
"2001-07-25",28.364731,29.974727,26.624729,29.75473,4059900
"2001-07-26",27.738851,33.14885,27.588849,33.108849,5046200
"2001-07-27",33.517723,33.737724,31.587722,32.237724,3670600
"2001-07-30",32.566246,32.806248,31.166244,32.066246,2678200
"2001-07-31",31.801815,33.351814,31.551815,31.551815,4089700
"2001-08-01",33.295448,35.12545,32.745449,34.295448,4894700
"2001-08-02",34.326862,35.386863,33.476864,34.226864,3448100
"2001-08-03",34.509552,34.509552,33.029548,33.60955,2461600
"2001-08-06",32.931274,34.031277,32.381275,33.671276,2377700
"2001-08-07",33.689335,33.839337,32.149334,32.889336,2222400
"2001-08-08",33.501816,35.351814,31.551815,31.551815,3106900
"2001-08-09",31.829818,32.629817,30.929821,31.599819,2708300
"2001-08-10",31.186382,33.076382,30.10638,32.546383,3458100
"2001-08-13",33.60268,33.85268,33.01268,33.60268,3272900
"2001-08-14",34.106392,34.546391,33.556393,33.61639,2398500
"2001-08-15",34.25003,34.64003,32.200031,32.32003,2351200
"2001-08-16",31.754529,33.154526,30.694527,33.074528,3338300
"2001-08-17",32.03043,32.730431,31.270432,32.69043,3435700
"2001-08-20",32.520253,33.770253,32.070252,33.040249,2414900
"2001-08-21",34.107395,34.237396,30.987396,31.037395,3031700
"2001-08-22",31.036698,32.756699,29.786698,32.676697,4689200
"2001-08-23",32.431705,33.821705,31.991707,33.211704,3265500
"2001-08-24",32.668327,34.398331,32.668327,34.398331,3531600
"2001-08-27",33.460221,36.17022,33.060219,36.01022,3948100
"2001-08-28",36.293412,36.633412,35.14341,35.173409,3420200
"2001-08-29",35.834939,36.664937,33.154938,33.444935,2968700
"2001-08-30",34.006314,34.456315,31.686315,32.306313,3553000
"2001-08-31",31.514461,33.364464,31.31446,32.834461,2176800
"2001-09-04",33.771679,34.641678,30.951679,31.071678,3658200
"2001-09-05",31.113788,31.963791,28.563789,30.433788,4740600
"2001-09-06",30.797408,31.297408,28.507407,29.137409,4285200
"2001-09-07",28.682537,31.182537,28.352535,29.082539,4295100
"2001-09-10",28.983313,30.173311,28.333311,28.753309,3568400
"2001-09-17",26.853595,27.603595,24.903599,26.743599,3546500
"2001-09-18",28.065922,28.57592,23.855919,23.855919,3313400
"2001-09-19",24.136036,24.546036,20.226034,23.266033,4863500
"2001-09-20",22.786267,24.886265,21.956265,22.086266,4555200
"2001-09-21",20.434662,22.244663,20.084662,21.434662,4594200
"2001-09-24",20.800768,24.94077,20.800768,22.840767,4537500
"2001-09-25",22.228287,24.678288,21.82829,24.178288,5005400
"2001-09-26",24.942108,24.942108,22.34211,22.532108,3457000
"2001-09-27",22.43339,22.93339,18.93339,21.983389,5734600
"2001-09-28",21.869222,23.379225,21.649223,22.429224,4362900
"2001-10-01",22.815044,23.505047,20.815044,21.805046,2766600
"2001-10-02",21.69512,22.705118,21.505119,22.045118,3207400
"2001-10-03",20.544338,26.284335,20.244336,25.344337,5784600
"2001-10-04",24.848645,26.988644,23.888646,26.448647,4769300
"2001-10-05",25.989162,26.929161,23.639164,26.229164,3654300
"2001-10-08",25.568273,27.398275,24.588273,27.148275,3607000
"2001-10-09",27.593693,27.603691,25.073692,25.083691,3479500
"2001-10-10",23.932253,27.052252,23.912252,27.052252,4498200
"2001-10-11",26.086283,30.386282,26.086283,30.166281,5747000
"2001-10-12",29.059533,29.839536,27.049535,29.569536,4325000
"2001-10-15",29.286361,29.296364,27.096363,27.436363,4595300
"2001-10-16",27.526194,29.086191,26.786192,28.856192,4098100
"2001-10-17",31.511755,31.611753,27.201754,27.271753,4763800
"2001-10-18",27.755549,28.525549,24.195548,24.555548,7355500
"2001-10-19",24.589333,25.259331,22.949333,24.80933,5613200
"2001-10-22",24.032112,26.672111,22.932109,26.572113,3516100
"2001-10-23",26.374226,27.774228,25.224224,25.934227,3797000
"2001-10-24",25.651544,27.441541,25.541544,26.551542,2893600
"2001-10-25",24.82753,28.627529,23.987529,28.547527,3817100
"2001-10-26",27.651134,29.251132,27.431133,29.151134,4065000
"2001-10-29",29.563263,29.573261,25.813263,26.613262,3563300
"2001-10-30",26.536955,26.786955,23.986956,24.486956,5512700
"2001-10-31",25.064543,27.644545,25.064543,26.064543,5319100
"2001-11-01",25.436363,27.636364,25.006363,27.436363,4166700
"2001-11-02",27.357841,28.957839,26.65784,27.607841,3926700
"2001-11-05",28.158185,28.808187,27.658185,28.808187,3750100
"2001-11-06",27.907241,30.95724,27.507239,30.557238,4701500
"2001-11-07",29.687397,32.037395,29.287395,31.037395,5194000
"2001-11-08",32.494081,32.494081,29.094079,29.494081,6356900
"2001-11-09",29.101479,30.601479,28.671479,30.351479,3755400
"2001-11-12",30.368534,31.768536,28.928536,31.078537,3772000
"2001-11-13",31.985806,32.655804,31.205803,32.525803,3336000
"2001-11-14",32.751941,33.331943,31.081943,32.031944,3636400
"2001-11-15",32.211751,32.411752,30.961751,31.311754,3230600
