"","Open","High","Low","Close","Volume"
"2001-01-02",9.746913,9.746913,9.389771,9.389771,1637200
"2001-01-03",9.464692,9.643263,8.51231,8.988501,2634000
"2001-01-04",8.790531,9.08815,8.492911,9.028627,3116100
"2001-01-05",9.106211,9.106211,8.570495,8.868115,1375100
"2001-01-08",8.715611,9.489421,8.596564,9.429897,2025700
"2001-01-09",9.370374,9.489421,9.132278,9.429897,1777500
"2001-01-10",9.01323,9.429897,8.83466,9.429897,1375900
"2001-01-11",9.467357,9.467357,8.991166,9.229261,1321200
"2001-01-12",9.308182,9.486754,8.891515,9.189135,1440400
"2001-01-16",8.934313,9.52955,8.934313,9.470027,1358800
"2001-01-17",9.331586,9.629205,9.272061,9.510156,1173200
"2001-01-18",9.464692,9.524215,8.690882,8.988501,1705900
"2001-01-19",8.966431,9.085478,8.549764,8.787859,2606500
"2001-01-22",8.808591,9.046686,8.451448,8.868115,2639900
"2001-01-23",8.674151,9.447961,8.614627,9.269389,2247300
"2001-01-24",9.36504,9.484088,8.769802,8.948373,1775500
"2001-01-25",9.046686,9.046686,8.749067,8.868115,2197500
"2001-01-26",8.772468,9.308182,8.65342,9.189135,2099000
"2001-01-29",9.181109,9.238252,9.085871,9.181109,2533200
"2001-01-30",9.074621,9.646049,8.931763,9.59843,3389200
"2001-01-31",9.58126,9.686022,9.343165,9.619356,1666400
"2001-02-01",9.630274,9.639797,9.22075,9.49694,885600
"2001-02-02",9.540379,9.902283,9.130855,9.864189,2555100
"2001-02-05",9.677653,10.315748,9.610987,10.134796,2980600
"2001-02-06",9.984909,10.051576,9.575385,9.651575,2031500
"2001-02-07",9.430318,10.239842,9.344604,10.154127,2820100
"2001-02-08",10.187746,10.311556,9.654412,10.282984,2558500
"2001-02-09",9.779319,10.207891,9.617415,9.922177,2291300
"2001-02-12",9.808186,10.160567,9.789138,10.160567,1400400
"2001-02-13",10.228347,10.228347,9.904537,10.018823,1380400
"2001-02-14",9.905371,10.238705,9.667277,9.857752,1990800
"2001-02-15",9.852122,10.042597,9.42355,9.471169,2930700
"2001-02-16",9.293594,9.788833,9.293594,9.703118,2093400
"2001-02-20",9.877638,9.925258,9.734782,9.915734,1609700
"2001-02-21",9.966985,10.043176,9.538414,9.728891,1044200
"2001-02-22",9.470367,10.070368,9.146558,10.070368,2699200
"2001-02-23",10.156052,10.156052,9.52748,9.632242,1438900
"2001-02-26",9.355239,10.021905,9.298095,10.012381,1374900
"2001-02-27",10.028052,10.037576,9.618528,9.780433,1460200
"2001-02-28",9.744291,9.763338,9.420481,9.696671,1042800
"2001-03-01",9.813481,9.813481,9.442052,9.651575,1304200
"2001-03-02",9.62133,9.849902,9.583235,9.754663,1204900
"2001-03-05",9.6471,9.828052,9.437575,9.780433,1046300
"2001-03-06",9.742619,9.837856,9.504523,9.799761,920800
"2001-03-07",9.655215,9.731406,9.579025,9.683786,853900
"2001-03-08",9.472039,10.005372,9.405373,9.967278,1549400
"2001-03-09",9.751017,9.865303,9.598636,9.722445,953000
"2001-03-12",9.821315,9.916553,9.249886,9.5356,1621600
"2001-03-13",9.505056,9.533627,9.124103,9.400294,1224600
