"","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"2001-01-02",50.161304,50.409138,48.971706,49.21954,2220000,32.827995
"2001-01-03",49.169975,49.616074,47.980377,48.178642,1927500,32.133739
"2001-01-04",48.22821,48.376911,43.321125,44.956821,5020900,29.984886
"2001-01-05",43.618526,44.26289,43.023727,43.51939,3097900,29.026152
"2001-01-08",43.568958,46.989048,43.568958,46.691647,3641600,31.141956
"2001-01-09",46.790783,48.624741,46.592514,48.129078,3301700,32.100685
"2001-01-10",47.782112,48.624741,47.286446,48.277775,3194400,32.199867
"2001-01-11",48.327343,49.269108,47.930813,48.029945,1839500,32.034569
"2001-01-12",48.376911,49.715206,48.277775,49.021275,2391100,32.69577
"2001-01-16",48.971706,49.516941,48.624741,49.169975,1919200,32.794922
"2001-01-17",49.36824,49.36824,47.831676,47.831676,2330500,31.902327
"2001-01-18",47.980377,48.624741,47.088181,47.633411,2928000,31.77009
"2001-01-19",47.68298,49.21954,47.385578,47.583847,3110000,31.737043
"2001-01-22",47.583847,47.68298,45.997719,46.54295,2838900,31.042789
"2001-01-23",46.989048,47.881245,46.790783,47.187313,2231700,31.472561
"2001-01-24",47.782112,48.07951,47.385578,47.68298,1692800,31.803139
"2001-01-25",47.782112,48.426476,47.534279,47.534279,1733500,31.703972
"2001-01-26",47.732544,48.029945,46.790783,47.137749,1782400,31.439508
"2001-01-29",47.139729,48.297604,47.139729,47.980377,1038300,32.001503
"2001-01-30",48.36898,48.36898,47.028702,47.686943,2011800,31.80579
"2001-01-31",47.187313,47.615566,46.473557,47.472816,2837900,31.662971
"2001-02-01",46.885948,47.393509,46.632168,47.345924,1972100,31.578348
"2001-02-02",47.306274,47.306274,44.847775,45.7598,4774200,30.52043
"2001-02-05",45.7598,46.790783,45.7598,46.774921,1480900,31.197493
"2001-02-06",46.782852,47.821766,46.354595,47.298344,1540700,31.546589
"2001-02-07",47.187313,47.583847,46.925602,47.330067,1435400,31.567768
"2001-02-08",47.385578,47.845558,47.306274,47.544193,1505600,31.710594
"2001-02-09",47.544193,47.583847,47.068356,47.250759,1269300,31.514866
"2001-02-12",46.870087,47.282482,46.307011,46.798714,1364500,31.21336
"2001-02-13",46.870087,48.15485,46.870087,47.567986,1556800,31.726456
"2001-02-14",46.949394,47.25869,46.727337,46.893879,1755300,31.276836
"2001-02-15",46.576653,47.211105,46.433903,46.727337,1517800,31.165771
"2001-02-16",46.671822,46.790783,45.521877,46.735268,1818000,31.17107
"2001-02-20",45.958065,46.433903,45.061901,45.165001,2209000,30.123734
"2001-02-21",44.847775,46.338734,44.847775,45.680492,1217100,30.467546
"2001-02-22",45.672562,45.672562,44.609856,45.204655,2148200,30.150177
"2001-02-23",45.521877,45.521877,44.712952,44.895359,2152500,29.943893
"2001-02-26",44.895359,45.680492,44.649509,45.680492,2107700,30.467546
"2001-02-27",45.680492,45.950134,45.04604,45.950134,1974100,30.6474
"2001-02-28",45.997719,47.163521,45.997719,46.790783,2377800,31.20808
"2001-03-01",46.671822,46.941463,45.989788,46.941463,1909500,31.308565
"2001-03-02",46.275291,47.385578,45.839104,46.743198,1718100,31.176334
"2001-03-05",46.314941,47.361786,45.870827,46.917671,1614600,31.292704
"2001-03-06",47.425232,47.425232,46.394249,46.592514,1335200,31.07584
"2001-03-07",46.989048,47.108006,46.394249,46.671822,1285200,31.183409
"2001-03-08",46.632168,47.179382,46.433903,47.171452,1549400,31.517237
"2001-03-09",47.163521,47.171452,45.839104,45.870827,2590700,30.648224
"2001-03-12",44.609856,45.149139,44.19746,44.213322,2511600,29.540777
"2001-03-13",44.221252,44.736744,44.221252,44.578133,1774400,29.784519
"2001-03-14",43.539219,43.975403,42.587543,42.587543,4330700,28.454533
"2001-03-15",42.111702,43.103035,40.731773,41.278984,5437400,27.580227
"2001-03-16",41.041065,41.160027,38.439816,39.565968,6759100,26.435684
"2001-03-19",39.565968,41.961021,39.335979,41.041065,3316300,27.42127
"2001-03-20",41.041065,41.675518,40.44627,40.477993,2750600,27.045052
"2001-03-21",40.129044,42.230663,40.129044,41.635864,4300800,27.818668
"2001-03-22",41.556557,42.714432,40.374893,41.437599,3085700,27.686209
"2001-03-23",41.635864,42.270317,40.8428,40.8428,2407900,27.288794
"2001-03-26",41.834129,42.968212,41.659657,42.405136,1900600,28.332653
"2001-03-27",42.405136,43.103035,41.318638,42.976143,1994300,28.714167
"2001-03-28",42.627193,42.666847,42.05619,42.357552,1551800,28.300861
"2001-03-29",42.317902,42.627193,41.477253,42.072048,1653800,28.110111
"2001-03-30",42.627193,43.618526,41.683449,43.126823,1848500,28.81485
"2001-04-02",43.103035,44.118156,42.769947,43.214062,2652600,28.873138
"2001-04-03",43.182339,43.182339,41.643795,41.715172,1605500,27.871656
