"","Open","High","Low","Close","Volume"
"2001-01-02",33.769759,34.017593,32.580161,32.827995,2220000
"2001-01-03",33.125072,33.571171,31.935474,32.133739,1927500
"2001-01-04",33.256275,33.404976,28.34919,29.984886,5020900
"2001-01-05",29.125288,29.769652,28.530489,29.026152,3097900
"2001-01-08",28.019267,31.439357,28.019267,31.141956,3641600
"2001-01-09",30.76239,32.596348,30.564121,32.100685,3301700
"2001-01-10",31.704204,32.546833,31.208538,32.199867,3194400
"2001-01-11",32.331967,33.273732,31.935437,32.034569,1839500
"2001-01-12",32.051406,33.389701,31.95227,32.69577,2391100
"2001-01-16",32.596653,33.141888,32.249688,32.794922,1919200
"2001-01-17",33.438891,33.438891,31.902327,31.902327,2330500
"2001-01-18",32.117056,32.76142,31.22486,31.77009,2928000
"2001-01-19",31.836176,33.372736,31.538774,31.737043,3110000
"2001-01-22",32.083686,32.182819,30.497558,31.042789,2838900
"2001-01-23",31.274296,32.166493,31.076031,31.472561,2231700
"2001-01-24",31.902271,32.199669,31.505737,31.803139,1692800
"2001-01-25",31.951805,32.596169,31.703972,31.703972,1733500
"2001-01-26",32.034303,32.331704,31.092542,31.439508,1782400
"2001-01-29",31.160855,32.31873,31.160855,32.001503,1038300
"2001-01-30",32.487827,32.487827,31.147549,31.80579,2011800
"2001-01-31",31.377468,31.805721,30.663712,31.662971,2837900
"2001-02-01",31.118372,31.625933,30.864592,31.578348,1972100
"2001-02-02",32.066904,32.066904,29.608405,30.52043,4774200
"2001-02-05",30.182372,31.213355,30.182372,31.197493,1480900
"2001-02-06",31.031097,32.070011,30.60284,31.546589,1540700
"2001-02-07",31.425014,31.821548,31.163303,31.567768,1435400
"2001-02-08",31.551979,32.011959,31.472675,31.710594,1505600
"2001-02-09",31.8083,31.847954,31.332463,31.514866,1269300
"2001-02-12",31.284733,31.697128,30.721657,31.21336,1364500
"2001-02-13",31.028557,32.31332,31.028557,31.726456,1556800
"2001-02-14",31.332351,31.641647,31.110294,31.276836,1755300
"2001-02-15",31.015087,31.649539,30.872337,31.165771,1517800
"2001-02-16",31.107624,31.226585,29.957679,31.17107,1818000
"2001-02-20",30.916798,31.392636,30.020634,30.123734,2209000
"2001-02-21",29.634829,31.125788,29.634829,30.467546,1217100
"2001-02-22",30.618084,30.618084,29.555378,30.150177,2148200
"2001-02-23",30.570411,30.570411,29.761486,29.943893,2152500
"2001-02-26",29.682413,30.467546,29.436563,30.467546,2107700
"2001-02-27",30.377758,30.6474,29.743306,30.6474,1974100
"2001-02-28",30.415016,31.580818,30.415016,31.20808,2377800
"2001-03-01",31.038924,31.308565,30.35689,31.308565,1909500
"2001-03-02",30.708427,31.818714,30.27224,31.176334,1718100
"2001-03-05",30.689974,31.736819,30.24586,31.292704,1614600
"2001-03-06",31.908558,31.908558,30.877575,31.07584,1335200
"2001-03-07",31.500635,31.619593,30.905836,31.183409,1285200
"2001-03-08",30.977953,31.525167,30.779688,31.517237,1549400
"2001-03-09",31.940918,31.948849,30.616501,30.648224,2590700
"2001-03-12",29.937311,30.476594,29.524915,29.540777,2511600
"2001-03-13",29.427638,29.94313,29.427638,29.784519,1774400
"2001-03-14",29.406209,29.842393,28.454533,28.454533,4330700
"2001-03-15",28.412945,29.404278,27.033016,27.580227,5437400
"2001-03-16",27.910781,28.029743,25.309532,26.435684,6759100
"2001-03-19",25.946173,28.341226,25.716184,27.42127,3316300
"2001-03-20",27.608124,28.242577,27.013329,27.045052,2750600
"2001-03-21",26.311848,28.413467,26.311848,27.818668,4300800
"2001-03-22",27.805167,28.963042,26.623503,27.686209,3085700
"2001-03-23",28.081858,28.716311,27.288794,27.288794,2407900
"2001-03-26",27.761646,28.895729,27.587174,28.332653,1900600
"2001-03-27",28.14316,28.841059,27.056662,28.714167,1994300
"2001-03-28",28.570502,28.610156,27.999499,28.300861,1551800
"2001-03-29",28.355965,28.665256,27.515316,28.110111,1653800
"2001-03-30",28.31522,29.306553,27.371476,28.81485,1848500
"2001-04-02",28.762111,29.777232,28.429023,28.873138,2652600
"2001-04-03",29.338823,29.338823,27.800279,27.871656,1605500
"2001-04-04",26.414495,27.913385,26.414495,27.61202,3292600
"2001-04-05",27.325462,28.530918,27.325462,28.332653,1729100
"2001-04-06",28.58524,28.58524,27.276684,27.792175,1303200
"2001-04-09",27.422843,28.572788,27.422843,28.1366,1171000
"2001-04-10",28.091509,29.487299,27.774283,28.067717,2419100
"2001-04-11",26.732603,27.40671,26.018846,26.811911,5112200
"2001-04-12",26.49573,27.312586,26.146781,27.288794,3036600
"2001-04-16",27.179137,27.615321,26.35435,26.711226,2374700
"2001-04-17",26.476995,28.531034,26.476995,27.182825,4111500
"2001-04-18",26.953672,29.356657,26.953672,28.761858,3260900
"2001-04-19",28.283101,29.258569,28.211724,28.639977,2347100
"2001-04-20",28.641739,28.665531,27.690064,28.237278,2074200
"2001-04-23",28.344341,28.352272,27.368874,27.638515,1392600
"2001-04-24",27.157206,28.346804,27.077899,27.55374,2016200
"2001-04-25",26.669433,28.660022,26.669433,28.1366,1643400
"2001-04-26",28.802629,29.556039,27.613031,28.073011,2699400
"2001-04-27",27.704967,29.005592,27.625663,29.005592,1658400
"2001-04-30",29.142495,29.546959,28.024277,28.745964,1794000
"2001-05-01",28.153458,28.867218,27.78072,28.581715,1817800
"2001-05-02",28.887209,29.323393,28.014838,28.062422,2568200
"2001-05-03",28.463656,28.582614,27.115447,27.79748,1861300
"2001-05-04",27.852751,28.146185,27.265883,27.686209,2003100
"2001-05-07",27.620592,28.175737,27.073377,27.898165,1652500
"2001-05-08",27.687078,28.162916,27.488813,28.083612,2205700
"2001-05-09",27.946058,28.794638,27.47022,28.041227,1548600
"2001-05-10",28.16337,28.670931,28.068201,28.290258,1144300
"2001-05-11",28.587691,28.651137,27.493266,27.707392,1610800
"2001-05-14",27.144911,27.977629,26.954577,27.977629,1771700
"2001-05-15",27.982868,28.450775,27.554615,27.951145,1370100
"2001-05-16",27.240723,29.548539,27.002804,29.461304,2248000
"2001-05-17",29.397791,29.596056,28.64438,29.429514,2519500
"2001-05-18",29.271109,29.596266,28.874579,29.524889,1888600
"2001-05-21",29.071446,30.261044,29.071446,30.086567,1451400
"2001-05-22",30.289114,30.60634,29.4564,29.630873,1566000
"2001-05-23",29.818016,30.2542,29.223217,29.381828,1352200
"2001-05-24",29.226551,29.861004,29.004493,29.694458,1701700
"2001-05-25",29.990474,30.466316,29.633598,29.673252,1093700
"2001-05-29",29.831154,29.93425,29.355312,29.355312,1009000
"2001-05-30",29.52117,30.028731,29.005678,29.037401,1099800
"2001-05-31",29.316366,29.427397,28.475718,28.475718,1826600
"2001-06-01",28.52173,29.711328,28.252088,28.957918,1243900
"2001-06-04",28.895203,29.783436,28.895203,29.291737,914100
"2001-06-05",28.564011,30.269097,28.564011,30.150139,1442000
"2001-06-06",30.322184,30.520449,29.703596,29.806692,1613100
"2001-06-07",29.897829,30.104028,29.318895,29.461645,2238200
"2001-06-08",29.684544,29.692474,28.962856,29.010441,876000
"2001-06-11",29.264221,29.288013,28.693214,29.010441,1260700
"2001-06-12",29.152033,29.152033,28.398622,28.723776,1536600
"2001-06-13",29.039331,29.039331,28.309713,28.309713,1238600
"2001-06-14",28.821314,28.837172,27.052779,27.338282,2482100
"2001-06-15",27.10689,28.383726,27.10689,27.646173,3266600
"2001-06-18",27.765454,28.2175,27.702008,27.725801,1249900
"2001-06-19",28.069687,28.704136,27.625569,27.784184,1335400
"2001-06-20",27.990064,29.258966,27.545949,27.704561,2433200
"2001-06-21",27.688845,28.632589,27.577814,27.736429,1481200
"2001-06-22",27.986179,28.311332,27.312072,27.39138,1953600
"2001-06-25",27.373079,28.356478,27.373079,27.444456,1478000
"2001-06-26",27.308176,27.950556,27.292314,27.736429,1834200
"2001-06-27",27.827564,28.224098,27.39138,27.39138,1531300
"2001-06-28",27.354672,28.147736,27.283295,27.465698,1976800
"2001-06-29",28.19889,28.603351,26.279674,26.382774,2585600
"2001-07-02",26.344653,27.891127,26.344653,27.42322,1839400
"2001-07-03",28.129368,28.129368,27.463192,27.502846,1170800
"2001-07-05",27.534318,27.716725,27.343983,27.439152,1126300
"2001-07-06",26.800792,27.284561,26.5708,27.125946,1808600
"2001-07-09",26.756858,28.184375,26.756858,28.033691,1967600
"2001-07-10",28.516684,28.516684,27.572936,27.842577,1796300
"2001-07-11",27.741342,28.106153,27.495493,27.646173,1682100
"2001-07-12",27.012755,28.694052,26.988963,28.559229,1775900
"2001-07-13",28.006072,28.521564,27.768153,28.394672,1157600
"2001-07-16",28.398997,28.438647,27.994532,28.161074,952500
"2001-07-17",27.863817,28.561712,27.713136,28.522058,1154800
"2001-07-18",28.687258,28.687258,27.521456,28.187628,1446000
"2001-07-19",27.964725,28.638832,27.964725,28.638832,1368000
"2001-07-20",28.690313,28.698244,28.174822,28.293783,1006500
"2001-07-23",28.584231,28.6794,27.47394,27.545317,1329300
"2001-07-24",27.641752,28.157243,27.11833,27.205568,3593500
"2001-07-25",27.113807,27.431033,27.082084,27.39138,2522700
"2001-07-26",27.45891,27.490633,26.657915,27.094103,1573700
"2001-07-27",27.231474,27.382155,26.914248,27.072863,1675500
"2001-07-30",27.12806,27.429421,26.715664,26.993237,2220400
"2001-07-31",27.08597,27.569738,26.927355,27.046316,1769800
"2001-08-01",27.337704,27.337704,26.33844,26.536709,3906200
"2001-08-02",26.977323,26.993184,25.311887,25.660837,5521400
"2001-08-03",25.520371,25.520371,24.838333,24.917641,4217700
"2001-08-06",24.660746,26.032747,24.652815,25.45381,3361700
"2001-08-07",25.512583,25.726709,25.425348,25.607752,2008200
