"","Open","High","Low","Close","Volume"
"2001-06-15",12.720793,12.720793,12.310793,12.420793,511400
"2001-06-18",12.402254,12.702254,12.252254,12.662254,408000
"2001-06-19",12.937227,13.137227,12.687227,13.087227,216400
"2001-06-20",13.037227,13.187227,12.837227,13.087227,54400
"2001-06-21",13.055956,13.425956,13.045956,13.405956,80700
"2001-06-22",13.503073,14.483073,13.503073,14.053073,127900
"2001-06-25",14.249657,14.349657,13.899657,14.149657,87100
"2001-06-26",14.19795,14.27795,14.14795,14.19795,48900
"2001-06-27",14.083947,14.633947,14.033947,14.593947,139800
"2001-06-28",14.497704,14.737704,14.387704,14.487704,195100
"2001-06-29",14.587704,15.387704,14.487704,14.487704,130700
"2001-07-02",14.758195,15.108195,13.818195,13.908195,42000
"2001-07-03",13.93873,14.53873,13.93873,14.45873,35600
"2001-07-05",14.380873,14.930873,14.380873,14.680873,97100
"2001-07-06",14.889413,14.889413,14.239413,14.439413,149700
"2001-07-09",14.491121,14.691121,14.351121,14.391121,130000
"2001-07-10",14.39795,14.59795,14.19795,14.19795,189200
"2001-07-11",14.201367,14.301367,14.101367,14.101367,76800
"2001-07-12",14.180532,14.690532,14.180532,14.690532,177600
"2001-07-13",14.460041,15.270041,14.460041,15.270041,144200
"2001-07-16",15.280628,15.280628,14.680628,14.970628,38600
"2001-07-17",14.958675,15.458675,14.958675,15.308675,32900
"2001-07-18",15.227937,16.177937,14.927937,16.177937,102500
"2001-07-19",16.339891,16.839891,15.439891,15.839891,303700
"2001-07-20",15.889413,15.889413,14.189413,14.439413,82700
"2001-07-23",14.47283,14.54283,14.30283,14.34283,55500
"2001-07-24",14.368443,14.368443,13.518443,13.618443,45600
"2001-07-25",13.638932,13.638932,13.038932,13.038932,65800
"2001-07-26",13.030396,13.430396,13.030396,13.280396,653100
"2001-07-27",13.366736,13.666736,13.356736,13.666736,62000
"2001-07-30",13.658879,14.008879,13.658879,13.888879,54800
"2001-07-31",13.857704,14.487704,13.857704,14.487704,268500
"2001-08-01",14.387704,14.887704,14.387704,14.487704,19200
"2001-08-02",14.470628,14.970628,14.370628,14.970628,36900
"2001-08-03",14.970628,14.970628,14.770628,14.970628,34300
"2001-08-06",14.967554,15.057554,14.917554,15.057554,2700
"2001-08-07",15.064043,15.164043,14.774043,14.874043,23200
"2001-08-08",15.130873,15.260873,14.680873,14.680873,28500
"2001-08-09",14.738044,14.738044,14.338044,14.478044,9400
"2001-08-10",14.589413,14.789413,14.439413,14.439413,26800
"2001-08-13",14.422335,15.362335,14.422335,14.922335,55800
"2001-08-14",14.920628,15.170628,14.920628,14.970628,59200
"2001-08-15",15.098429,15.598429,14.958429,15.598429,29400
"2001-08-16",15.598429,15.618429,15.468429,15.598429,12300
"2001-08-17",15.635015,15.745013,15.635015,15.695014,6100
"2001-08-20",15.589891,15.839891,15.589891,15.839891,36200
"2001-08-21",15.736472,16.086473,15.736472,15.936473,92800
"2001-08-22",15.86209,15.86209,15.06209,15.21209,11600
"2001-08-23",15.17131,15.17131,14.72131,14.95131,23500
"2001-08-24",14.884631,14.954631,14.434631,14.574631,11100
"2001-08-27",14.489413,14.529413,14.189413,14.439413,16900
"2001-08-28",14.341461,14.381461,13.891461,14.381461,10800
"2001-08-29",14.475998,14.885998,13.735998,14.535998,209600
"2001-08-30",14.487363,14.587363,14.237363,14.497363,388900
"2001-08-31",14.579167,14.879167,14.579167,14.729167,103800
"2001-09-04",14.824043,14.874043,14.784043,14.874043,17100
"2001-09-05",14.835014,16.005013,14.835014,15.695014,108600
"2001-09-06",15.600137,15.700137,15.550137,15.550137,70100
"2001-09-07",15.497404,15.647406,15.497404,15.627405,48500
"2001-09-10",15.603552,15.653553,15.453552,15.453552,91400
"2001-09-17",14.025272,14.025272,13.425272,13.425272,28900
"2001-09-18",13.373088,13.373088,12.073088,12.073088,111300
"2001-09-19",12.110656,12.110656,10.710656,11.010656,23300
"2001-09-20",11.262364,11.262364,10.962364,10.962364,166200
"2001-09-21",10.690163,11.590163,10.640163,11.590163,280000
"2001-09-24",11.632103,14.082103,11.632103,13.232103,98800
"2001-09-25",13.511271,14.411271,13.511271,13.821271,54600
"2001-09-26",13.811367,14.151367,13.811367,14.101367,25100
"2001-09-27",14.010381,15.360381,14.010381,15.260381,65100
"2001-09-28",15.195014,15.695014,14.345014,15.695014,104400
"2001-10-01",15.540776,15.540776,14.390777,14.400777,180100
"2001-10-02",14.414782,14.414782,14.004782,14.004782,12600
"2001-10-03",14.01649,14.01649,13.95649,13.95649,57300
"2001-10-04",13.954782,14.054782,13.904782,14.004782,83300
"2001-10-05",14.008195,14.018195,13.908195,13.908195,49100
"2001-10-08",13.909221,13.919221,13.879221,13.879221,53900
"2001-10-09",13.830588,13.840588,13.830588,13.840588,13800
"2001-10-10",13.808195,14.008195,13.808195,13.908195,74000
"2001-10-11",14.001367,14.101367,14.001367,14.101367,118600
"2001-10-12",14.096243,14.296243,14.096243,14.246243,30700
"2001-10-15",14.251121,14.391121,14.241121,14.391121,62300
"2001-10-16",14.388387,14.478387,14.388387,14.468387,31700
"2001-10-17",14.727118,14.927118,14.687118,14.787118,106400
"2001-10-18",14.784387,14.954387,14.784387,14.864387,49100
"2001-10-19",14.864043,14.924043,14.774043,14.874043,52000
"2001-10-22",14.967554,15.157554,14.957554,15.057554,117100
"2001-10-23",15.051748,15.221748,15.041748,15.221748,44200
"2001-10-24",15.305259,15.405259,15.205259,15.405259,67000
"2001-10-25",15.296719,15.64672,15.296719,15.64672,21800
"2001-10-26",15.456285,15.456285,15.356285,15.376285,30700
"2001-10-29",15.438675,15.458675,15.108675,15.308675,24300
"2001-10-30",15.366871,15.366871,14.916871,15.076871,20800
"2001-10-31",14.953552,15.453552,14.353552,15.453552,40900
"2001-11-01",15.453552,15.453552,15.153552,15.453552,61600
"2001-11-02",15.364917,15.454917,14.864917,15.414917,87100
"2001-11-05",15.27209,15.27209,14.56209,15.21209,19800
"2001-11-06",15.178044,15.678045,14.478044,14.478044,28600
"2001-11-07",14.446967,15.436967,14.446967,15.356967,16100
"2001-11-08",15.253552,15.453552,15.113552,15.453552,44400
"2001-11-09",15.25799,15.40799,15.16799,15.32799,7900
"2001-11-12",15.330381,15.430381,15.260381,15.260381,8900
"2001-11-13",15.330381,15.330381,15.230381,15.260381,11200
"2001-11-14",15.204576,15.454576,15.204576,15.424576,29800
"2001-11-15",15.159891,15.98989,15.139891,15.839891,24500
"2001-11-16",15.736472,16.236472,15.736472,15.936473,16100
"2001-11-19",16.019397,16.619398,16.019397,16.419397,95800
"2001-11-20",16.444673,16.444673,15.694673,15.704673,33600
"2001-11-21",15.694771,15.98477,15.694771,15.98477,3100
"2001-11-23",16.121109,16.371109,16.121109,16.371109,7100
"2001-11-26",16.657444,16.757444,16.627443,16.757444,198600
"2001-11-27",16.71769,16.71769,16.437691,16.46769,12400
"2001-11-28",16.439397,16.449398,16.349397,16.419397,6000
"2001-11-29",16.429397,16.659397,16.119398,16.419397,22000
"2001-11-30",16.436473,16.706473,15.636474,15.936473,54900
"2001-12-03",15.90526,15.915258,15.405259,15.405259,33200
"2001-12-04",15.41209,15.41209,15.21209,15.21209,36600
"2001-12-05",15.21765,15.33765,14.30765,15.33765,64500
"2001-12-06",15.549396,16.519397,15.549396,16.419397,129300
"2001-12-07",16.415984,17.395984,16.415984,16.515984,101000
"2001-12-10",16.627596,16.627596,16.127596,16.187595,73800
"2001-12-11",16.272815,16.372816,16.262815,16.322815,74800
"2001-12-12",16.242131,16.522131,15.72213,16.342131,113700
"2001-12-13",16.320082,16.460083,16.300081,16.400082,16400
"2001-12-14",16.434771,16.48477,15.834771,15.98477,28700
"2001-12-17",15.819742,16.419742,15.539743,16.409742,22000
"2001-12-18",16.460175,16.770177,16.430176,16.680176,175400
"2001-12-19",16.692907,16.692907,16.562906,16.602907,76600
"2001-12-20",16.632471,16.632471,16.322472,16.332472,81600
"2001-12-21",16.319397,16.419397,16.269397,16.419397,41700
"2001-12-24",16.509153,16.739153,16.409153,16.709152,26700
"2001-12-26",16.714277,16.764278,16.424278,16.564278,36300
"2001-12-27",16.511337,18.061338,16.511337,18.061338,123500
"2001-12-28",18.854505,18.854505,17.524505,18.254505,103600
"2001-12-31",18.32597,18.645969,18.24597,18.49597,59100
"2002-01-02",18.601981,18.601981,16.80198,16.91198,102000
"2002-01-03",16.783198,18.083199,16.753199,17.443197,44400
"2002-01-04",17.444259,18.594259,17.444259,18.54426,106000
"2002-01-07",18.504305,20.184303,18.504305,19.674305,172600
"2002-01-08",19.487415,20.767416,19.277416,20.717417,111200
"2002-01-09",20.596786,20.746788,19.796787,19.886787,159100
"2002-01-10",19.88645,19.996451,19.77645,19.89645,303300
"2002-01-11",19.949864,20.099863,19.799864,19.799864,281700
"2002-01-14",19.873276,19.903276,19.653276,19.703276,63000
"2002-01-15",19.697907,20.137907,19.697907,20.137907,191800
"2002-01-16",20.130052,20.380052,20.080051,20.360052,25500
"2002-01-17",20.380052,20.410051,20.280052,20.360052,20900
"2002-01-18",20.455957,20.525957,20.375957,20.475958,21400
"2002-01-22",20.48108,20.48108,20.181079,20.331078,136600
"2002-01-23",20.308633,21.248634,20.248634,21.248634,378700
"2002-01-24",21.096242,21.366243,20.246242,21.316242,147400
"2002-01-25",21.3218,21.8918,21.191801,21.441801,105400
"2002-01-28",21.441801,21.4918,21.191801,21.441801,78300
"2002-01-29",21.461272,21.73127,20.89127,20.89127,109000
"2002-01-30",20.834974,21.634974,20.734974,21.634974,98000
"2002-01-31",21.465714,21.475712,20.655712,20.765713,375800
"2002-02-01",20.782785,20.782785,20.282785,20.282785,237700
"2002-02-04",20.066938,20.066938,19.116937,19.316938,137700
"2002-02-05",19.251093,19.331093,18.351093,18.351093,133800
"2002-02-06",18.399385,18.599386,17.749386,18.399385,234600
"2002-02-07",18.422554,18.602554,18.342554,18.592554,161100
"2002-02-08",18.578891,19.178891,18.428891,18.978891,320100
"2002-02-11",18.723771,19.12377,18.323771,19.12377,51500
"2002-02-12",19.225958,20.475958,19.025957,20.475958,96400
"2002-02-13",20.581078,20.73108,19.831078,20.331078,75400
"2002-02-14",20.367757,20.767757,20.367757,20.707758,100500
"2002-02-15",20.756636,20.756636,20.326635,20.456636,28500
"2002-02-19",20.546734,20.756733,20.226732,20.736732,168400
"2002-02-20",20.738882,20.958883,20.658882,20.958883,93800
"2002-02-21",20.975958,20.975958,20.375957,20.475958,6700
"2002-02-22",20.532785,20.532785,20.282785,20.282785,94400
"2002-02-25",20.286884,20.286884,20.146885,20.166883,17200
"2002-02-26",20.149521,20.199521,19.789521,19.809521,81600
"2002-02-27",19.901322,20.09132,19.861321,20.041321,249000
"2002-02-28",20.025957,20.475958,19.565958,20.475958,95700
"2002-03-01",20.315026,20.965028,20.315026,20.785027,76500
