"","AEP.Open","AEP.High","AEP.Low","AEP.Close","AEP.Volume","AEP.Adjusted"
"2001-01-02",46.125,46.125,45.25,45.5625,1197100,19.797874
"2001-01-03",45.5625,46.625,43.5,43.75,1463900,19.010302
"2001-01-04",43,43.0625,40.5,41.5625,1898000,18.059797
"2001-01-05",41.5,42.4375,40.75,40.8125,1489500,17.733898
"2001-01-08",40.8125,41.5625,40.3125,41.5,1262200,18.032637
"2001-01-09",41.5,42.25,41.125,42.25,857200,18.358522
"2001-01-10",42.125,42.75,41.375,41.625,1391700,18.086954
"2001-01-11",41.75,41.75,39.25,39.8125,1553500,17.299368
"2001-01-12",39.625,40.5,39.3125,40.5,1502100,17.598108
"2001-01-16",40.625,40.75,39.4375,40.6875,2228300,17.679588
"2001-01-17",40.6875,41.4375,40.125,40.6875,1274800,17.679588
"2001-01-18",40.4375,41.3125,40.4375,41.1875,1283700,17.896845
"2001-01-19",40.875,42.0625,40.0625,41.25,1274700,17.923994
"2001-01-22",41.5625,42.5,41.1875,41.625,713600,18.086954
"2001-01-23",42.25,42.8125,42.0625,42.125,472800,18.304209
"2001-01-24",42.25,43.4375,42.25,43.125,813800,18.738728
"2001-01-25",44.125,44.1875,43.5,43.5625,823500,18.928827
"2001-01-26",43.6875,44.0625,42.875,43.375,1162900,18.847359
"2001-01-29",43.360001,44.75,43.360001,43.860001,565000,19.058104
"2001-01-30",43.939999,44.169998,43.450001,43.93,747400,19.088518
"2001-01-31",43.93,43.93,43,43.25,1368800,18.793045
"2001-02-01",43.25,43.439999,42.709999,43.02,1069100,18.693102
"2001-02-02",43.049999,43.799999,43.029999,43.299999,474500,18.814764
"2001-02-05",43.5,44.189999,43.5,44,591500,19.118929
"2001-02-06",44,44.599998,43.990002,44.509998,2436100,19.340538
"2001-02-07",44.75,45.07,44.200001,44.369999,774800,19.543148
"2001-02-08",44.549999,45.279999,44.400002,45.200001,718800,19.908737
"2001-02-09",45.599998,46.310001,45.349998,46.119999,1059500,20.313955
"2001-02-12",46.25,46.470001,45,45.52,785700,20.049683
"2001-02-13",45.52,46.200001,44.810001,45.490002,691500,20.036461
"2001-02-14",45.490002,46.779999,44.900002,45.32,677900,19.961586
"2001-02-15",45.25,45.439999,44.849998,45.360001,551200,19.979212
"2001-02-16",45.799999,46.5,45.799999,46.279999,904800,20.384428
"2001-02-20",46,47.150002,45.98,46.970001,637100,20.688343
"2001-02-21",46.970001,47.950001,46.830002,46.950001,684200,20.679533
"2001-02-22",47.25,47.93,47.049999,47.490002,828300,20.917383
"2001-02-23",47.599998,47.919998,46.029999,47.200001,962600,20.78965
"2001-02-26",47.209999,48.099998,46.849998,47.279999,885000,20.824883
"2001-02-27",47,47.700001,47,47.48,652300,20.912971
"2001-02-28",48,48.060001,47.049999,47.540001,776900,20.939405
"2001-03-01",47.599998,47.990002,47.299999,47.549999,651200,20.9438
