"","AFL.Open","AFL.High","AFL.Low","AFL.Close","AFL.Volume","AFL.Adjusted"
"2001-01-02",18.046875,18.046875,17.359375,17.40625,2741200,8.673495
"2001-01-03",17.59375,17.59375,16.828125,16.9375,4972800,8.439919
"2001-01-04",17.0625,17.09375,16.109375,16.28125,6482000,8.112907
"2001-01-05",16.078125,16.15625,15.9375,16.09375,4759200,8.019477
"2001-01-08",16.109375,16.203125,15.96875,16.09375,4007200,8.019477
"2001-01-09",16.109375,16.4375,16.109375,16.28125,2799600,8.112907
"2001-01-10",16.15625,16.796875,16.15625,16.4375,3977200,8.190767
"2001-01-11",16.40625,16.6875,16.15625,16.15625,3532800,8.05062
"2001-01-12",16.28125,16.28125,15.3125,15.484375,4965200,7.715831
"2001-01-16",15.515625,16.140625,15.40625,15.5625,7270400,7.754759
"2001-01-17",15.6875,15.734375,15.421875,15.484375,3058000,7.715831
"2001-01-18",15.5,15.5625,15.21875,15.359375,2122000,7.653541
"2001-01-19",15.359375,15.359375,13.9375,14.171875,11203200,7.06181
"2001-01-22",14.375,14.96875,14.375,14.9375,10577600,7.44332
"2001-01-23",15,15.640625,15,15.5625,7613200,7.754759
"2001-01-24",15.546875,15.65625,15.390625,15.53125,3026000,7.739182
"2001-01-25",15.53125,15.640625,15.4375,15.609375,1917200,7.778118
"2001-01-26",15.59375,15.84375,15.484375,15.5,1961600,7.723615
"2001-01-29",15.625,15.86,15.2,15.2525,2631200,7.600284
"2001-01-30",15.3125,15.425,15.0875,15.2375,5292800,7.592813
"2001-01-31",15.3125,15.3125,14.375,14.745,8076400,7.347396
"2001-02-01",14.9525,15.11,14.6875,14.9125,4421200,7.430863
"2001-02-02",14.9625,15.045,14.875,14.925,7180000,7.437093
"2001-02-05",15.3125,15.925,15.2275,15.715,4728800,7.830748
"2001-02-06",15.9375,15.9375,15.4225,15.525,3780000,7.736068
"2001-02-07",15.25,16,15.25,15.8375,3584400,7.891791
"2001-02-08",16.1875,16.1875,15.675,15.875,4972800,7.910474
"2001-02-09",15.8125,15.95,15.675,15.8,2718400,7.873102
"2001-02-12",15.6875,16.092501,15.65,15.8175,2324400,7.88182
"2001-02-13",15.8125,16,15.625,15.745,3572000,7.888085
