"","AMAT.Open","AMAT.High","AMAT.Low","AMAT.Close","AMAT.Volume","AMAT.Adjusted"
"2001-01-02",19.40625,20.5,19,19.75,38484000,15.150672
"2001-01-03",19.53125,24.90625,19.5,24.8125,67596400,19.034233
"2001-01-04",23.9375,25.0625,21.78125,22.1875,96405800,17.020535
"2001-01-05",22.5,23.03125,21.21875,21.34375,44271200,16.373272
"2001-01-08",21.21875,22.9375,20.96875,22.875,47549000,17.547928
"2001-01-09",23.28125,23.3125,21.34375,21.75,43600000,16.68491
"2001-01-10",21.15625,22.59375,20.875,22.375,57989400,17.164368
"2001-01-11",22.15625,23.5,21.5625,23.1875,75593400,17.787645
"2001-01-12",23.0625,23.9375,22.34375,23.1875,59513800,17.787645
"2001-01-16",22.9375,22.9375,21.5625,22.21875,42672000,17.044508
"2001-01-17",24.4375,24.65625,23.625,24.09375,75288000,18.482861
"2001-01-18",24,25.125,23.46875,25.03125,58978800,19.202034
"2001-01-19",25.4375,25.75,24.4375,24.96875,49209000,19.154093
"2001-01-22",24.90625,24.90625,24,24.46875,32757400,18.770535
"2001-01-23",23.90625,24.3125,23.46875,24.125,33189600,18.506832
"2001-01-24",24.3125,25,24.0625,24.8125,43990000,19.034233
"2001-01-25",24.5,24.84375,24.125,24.375,34780000,18.698612
"2001-01-26",23.625,24.1875,23.53125,23.9375,40658800,18.363008
"2001-01-29",23.84375,25.40625,23.71875,25.09375,22680600,19.249977
"2001-01-30",25.3125,26.96875,25.125,26.21875,51582600,20.112995
"2001-01-31",25.5,26.40625,25.0625,25.15625,67726000,19.297926
"2001-02-01",25.1875,25.5625,24.78125,25.28125,25992600,19.393814
"2001-02-02",25.46875,25.8125,23.8125,23.875,24192200,18.31505
"2001-02-05",23.34375,23.375,22.007813,22.90625,32440600,17.571905
"2001-02-06",22.59375,23.5625,22.40625,22.9375,25638000,17.595873
"2001-02-07",22.8125,23.3125,21.5,22.375,34065000,17.164368
"2001-02-08",21.875,22.90625,21.09375,21.1875,37558000,16.253414
"2001-02-09",21.1875,22.53125,21,21.3125,32504200,16.349295
"2001-02-12",21.40625,22.5,21.101563,22,28449600,16.876696
"2001-02-13",22.25,22.5,20.5,20.625,42626000,15.821899
"2001-02-14",21,23.84375,21,23.40625,95765800,17.95546
"2001-02-15",23.875,25.3125,23.71875,24.71875,55611800,18.962311
"2001-02-16",23.78125,24.367188,23.21875,24.117188,44393600,18.500834
"2001-02-20",24.1875,24.5,22.9375,22.96875,30658000,17.619844
"2001-02-21",22.25,24.8125,22.25,23.3125,44030400,17.883547
"2001-02-22",23.5,24.875,22.625,23.40625,55033600,17.95546
"2001-02-23",23.625,24,22.03125,23.96875,43567200,18.386971
