"","Open","High","Low","Close","Volume"
"2001-01-02",16.626001,16.938501,16.313501,16.438501,2038800
"2001-01-03",16.687088,17.062088,15.812088,16.155838,4367200
"2001-01-04",16.154305,16.248055,14.841805,15.373055,4025800
"2001-01-05",15.231765,15.888015,15.169265,15.481765,2049400
"2001-01-08",15.503626,16.097376,15.378626,16.003626,1649200
"2001-01-09",15.752319,16.752319,15.627319,16.221069,2173400
"2001-01-10",16.170805,16.389555,15.889555,16.264555,1244200
"2001-01-11",16.632671,16.851421,15.570171,15.851421,2278400
"2001-01-12",15.984388,16.609388,14.921888,15.046888,3418400
"2001-01-16",14.901453,15.526453,14.588953,14.807703,3584400
"2001-01-17",14.995086,15.245086,14.120086,14.307586,4923800
"2001-01-18",14.204443,15.266943,14.141943,14.829443,3064800
"2001-01-19",14.741049,14.897299,13.991049,14.459799,2440800
"2001-01-22",14.184009,14.840259,13.902759,14.590259,2170400
"2001-01-23",14.352615,15.446365,14.352615,15.133865,2170600
"2001-01-24",14.917846,15.574096,14.417846,15.199096,1992600
"2001-01-25",14.485693,14.985693,13.923193,14.829443,5314400
"2001-01-26",15.211099,15.242349,14.148599,14.242349,3407200
"2001-01-29",14.296994,14.296994,13.421994,13.616994,4305200
"2001-01-30",13.887108,14.70711,13.852108,14.097109,4599600
"2001-01-31",13.566383,14.716383,13.566383,14.716383,5131000
"2001-02-01",14.287008,14.792009,14.262009,14.612009,3597400
"2001-02-02",14.581306,14.606306,14.206306,14.396307,2784800
"2001-02-05",14.125886,14.595885,14.125886,14.465886,2246400
"2001-02-06",14.580238,14.765237,14.145237,14.490238,2544400
"2001-02-07",14.470752,14.835752,14.420751,14.82075,2356600
"2001-02-08",14.793373,15.018374,14.743374,14.883373,4990800
"2001-02-09",14.730064,14.955064,14.605064,14.685064,1531800
"2001-02-12",14.761118,14.761118,14.231119,14.511118,2761400
"2001-02-13",14.590581,14.590581,14.215581,14.535581,3216000
"2001-02-14",14.69211,14.69211,14.062111,14.17211,3893400
"2001-02-15",14.167177,14.177178,13.517178,13.777176,8581600
"2001-02-16",13.69779,14.177789,13.69779,14.042789,3943800
"2001-02-20",14.327872,14.477872,13.927872,14.332871,2458600
"2001-02-21",14.176369,14.711369,13.886368,14.336369,2481200
"2001-02-22",14.368503,14.543502,13.603504,14.238504,2072600
"2001-02-23",14.273129,14.293127,13.803128,14.158127,1934600
"2001-02-26",13.956132,14.201133,13.756133,14.151134,1654000
"2001-02-27",14.051801,14.4318,14.0118,14.381801,2172000
"2001-02-28",14.309642,15.109641,14.28464,14.839641,6557800
"2001-03-01",15.029277,15.029277,14.304276,14.399277,3704800
"2001-03-02",14.350096,14.570097,14.125095,14.525097,2681600
"2001-03-05",14.403193,14.823193,14.003191,14.808191,1955400
"2001-03-06",15.017501,15.017501,14.677501,14.937501,2325400
"2001-03-07",14.724781,15.17478,14.699782,15.09478,4161200
"2001-03-08",15.238908,15.238908,14.848906,15.003907,2842800
"2001-03-09",15.050033,15.050033,14.400034,14.920032,1448800
"2001-03-12",14.873524,14.923525,14.598525,14.923525,2006400
"2001-03-13",15.046435,15.046435,13.896436,13.941436,3989000
"2001-03-14",14.033726,14.033726,13.553724,13.738726,3195600
"2001-03-15",13.865232,14.04523,13.460231,13.735231,2614800
"2001-03-16",13.542425,13.942424,13.542425,13.602424,2930200
"2001-03-19",13.525278,13.945278,13.525278,13.700279,1918000
"2001-03-20",13.633394,14.213394,13.623394,13.623394,2378200
