"","Open","High","Low","Close","Volume"
"2001-01-02",34.00157,34.00157,30.559153,31.855646,2261600
"2001-01-03",30.135799,35.411194,29.018131,35.142952,4502600
"2001-01-04",35.48999,37.501793,34.372322,36.473541,4398300
"2001-01-05",36.042405,36.757714,33.360001,34.477669,3277000
"2001-01-08",34.058071,35.131035,32.672165,33.342766,2273200
"2001-01-09",33.543876,34.572132,32.336795,33.186222,2474100
"2001-01-10",32.622406,34.813034,32.532989,34.634205,2405900
"2001-01-11",34.835969,36.132462,33.271233,36.043049,3517000
"2001-01-12",36.171207,36.484154,34.830006,35.142952,2549200
"2001-01-16",35.0485,36.479118,34.377899,36.43441,2600900
"2001-01-17",36.636571,39.676629,36.636571,38.782494,8383100
"2001-01-18",38.281001,42.617553,37.163333,42.304607,6978500
"2001-01-19",42.438205,42.438205,40.33699,41.052299,6185100
"2001-01-22",41.347745,41.347745,38.30769,39.291237,2822400
"2001-01-23",39.246529,40.185372,38.397103,39.291237,3067900
"2001-01-24",39.893528,40.16177,36.31699,36.31699,5283800
"2001-01-25",35.623322,36.115093,33.700932,34.595066,4284300
"2001-01-26",33.980194,34.963742,32.817818,34.203728,3729800
"2001-01-29",34.847897,35.563206,33.774937,34.075367,3051200
"2001-01-30",34.711178,34.711178,34.103168,34.281994,2389400
"2001-01-31",34.478645,35.015129,33.262623,34.156757,2555500
"2001-02-01",33.401028,33.865978,32.578423,33.687149,3490500
"2001-02-02",33.879856,34.502174,32.542232,32.685291,3020900
"2001-02-05",33.95419,34.197396,29.948468,30.806839,3698900
"2001-02-06",30.792089,33.009546,30.792089,31.915125,3243300
"2001-02-07",31.581396,32.08211,30.687262,31.395414,1774400
"2001-02-08",31.111259,34.32299,31.111259,33.943878,4129100
"2001-02-09",34.103474,34.461128,32.529796,32.873146,2443700
"2001-02-12",32.85311,33.346671,31.458259,32.009048,3014300
"2001-02-13",32.25753,32.686714,29.653812,29.660965,4389700
"2001-02-14",30.234268,30.770748,29.890918,30.055439,4302300
"2001-02-15",30.749923,34.541053,30.671241,33.718452,3954800
"2001-02-16",31.30776,31.665411,30.342092,31.30776,5005100
"2001-02-20",31.270425,31.449251,26.835517,27.550825,6347700
"2001-02-21",26.458992,26.637818,24.456131,25.171438,9363600
"2001-02-22",25.093353,25.558304,24.056156,24.463882,6720000
"2001-02-23",24.539683,24.747122,22.014647,23.981743,5408500
"2001-02-26",23.545405,24.303631,23.266436,23.981743,3722100
"2001-02-27",23.601691,24.967929,22.986527,23.887814,3646400
"2001-02-28",24.258324,24.544447,22.398523,22.541586,3531200
"2001-03-01",22.264113,24.481566,21.191151,23.988003,5090800
"2001-03-02",22.682488,25.393504,22.675335,23.812674,3432000
"2001-03-05",23.818052,24.669268,23.145662,23.825205,2032800
"2001-03-06",24.348938,25.93692,24.348938,25.4219,3737600
"2001-03-07",26.605821,26.663045,25.389799,25.647308,2736700
"2001-03-08",25.740055,25.918881,24.760083,25.046206,2838200
"2001-03-09",24.665432,24.930096,22.912927,23.199051,2820700
"2001-03-12",22.629847,23.059031,21.914538,21.921692,3404100
"2001-03-13",22.203758,23.11935,21.881868,22.904758,2649700
"2001-03-14",22.031743,23.097551,21.845763,22.103275,3685200
"2001-03-15",22.286458,23.051837,21.592611,21.821508,2882200
"2001-03-16",21.508528,22.474194,21.193792,21.758886,4145900
"2001-03-19",21.451892,23.562051,20.74374,23.161478,2405500
"2001-03-20",22.871969,22.871969,21.477119,21.477119,4223200
