"","BA.Open","BA.High","BA.Low","BA.Close","BA.Volume","BA.Adjusted"
"2001-01-02",65.3125,65.3125,60.5625,62,3762500,40.672409
"2001-01-03",62,63.75,59.1875,62.5625,6428600,41.041416
"2001-01-04",62.5625,64.1875,60.25,61,3868900,40.016403
"2001-01-05",61,61.5,58.125,58.75,4012600,38.540394
"2001-01-08",58.75,60.5,58.6875,59,3055100,38.704411
"2001-01-09",59,59,57.1875,58.9375,4372800,38.663391
"2001-01-10",58.9375,60.875,58.3125,60.375,3674200,39.606415
"2001-01-11",60.375,60.75,59,59.125,3385300,38.786396
"2001-01-12",59.125,60.6875,58.5625,60.625,3161000,39.770405
"2001-01-16",60.625,61.625,59.5,61,3274400,40.016403
"2001-01-17",61,62.6875,58.25,58.75,6608400,38.540394
"2001-01-18",58,58,55.625,57.375,6047900,37.638374
"2001-01-19",57.375,57.4375,55.5,55.6875,4295900,36.531361
"2001-01-22",55.6875,56.875,55.6875,56,3605600,36.736362
"2001-01-23",56.1875,58,56.1875,57.5,4417400,37.720387
"2001-01-24",57.5,58,56.875,57.4375,2998400,37.679379
"2001-01-25",57.4375,59.6875,56.5,59.25,3684000,38.868393
"2001-01-26",59.25,59.6875,57.5,58.0625,2300200,38.089371
"2001-01-29",57.990002,57.990002,56.310001,56.459999,2364700,37.038136
"2001-01-30",56.459999,56.59,54.560001,56.150002,3703800,36.834778
"2001-01-31",56.5,58.91,56.5,58.5,3614900,38.376385
"2001-02-01",58.5,58.5,56.060001,56.52,4105500,37.077515
"2001-02-02",56.52,57.5,56.040001,56.849998,2121700,37.293968
"2001-02-05",56.849998,58.040001,56.419998,57.93,2188100,38.002464
"2001-02-06",57.93,58.459999,56.470001,56.73,2367000,37.215248
"2001-02-07",56.73,57.889999,56.650002,57.450001,2182900,37.800858
"2001-02-08",57.450001,58.259998,57.119999,57.509998,2802100,37.840332
"2001-02-09",57.509998,58.169998,56.779999,57.34,2017300,37.728474
"2001-02-12",58.209999,59.099998,58.209999,59.07,2875500,38.866787
"2001-02-13",59.09,61.380001,59.09,60.720001,4984900,39.952438
"2001-02-14",60.720001,61.939999,60.34,60.59,3697900,39.866901
"2001-02-15",60.59,60.759998,58.84,60.150002,2569700,39.577389
"2001-02-16",60.150002,60.610001,59.630001,59.990002,2934600,39.472118
"2001-02-20",60.150002,62.799999,60.150002,61.849998,3144600,40.69595
"2001-02-21",61.849998,62.380001,60.150002,60.200001,2299500,39.61031
"2001-02-22",60.200001,62.23,60.200001,61.279999,2767600,40.320919
"2001-02-23",61.279999,61.75,60.549999,61.610001,2267000,40.538059
"2001-02-26",61.610001,62.970001,61.02,62.759998,1854600,41.294697
"2001-02-27",62.759998,63.900002,62,63.700001,2993000,41.913223
"2001-02-28",63.700001,63.830002,61.990002,62.200001,3053200,40.926254
"2001-03-01",61.860001,61.860001,58.599998,59.650002,4226100,39.248405
"2001-03-02",59.650002,61.450001,58.299999,60.099998,3796100,39.544483
"2001-03-05",60.099998,62.150002,59.880001,61.91,2814700,40.735458
"2001-03-06",61.91,62.59,61.290001,62.130001,2783400,40.880211
"2001-03-07",62.130001,64.209999,61.869999,64.099998,3475800,42.176403
"2001-03-08",64.099998,65.199997,63.549999,64.75,4227400,42.604084
"2001-03-09",64.75,65.599998,64.199997,65.5,2721500,43.09758
"2001-03-12",64.32,64.32,60.959999,61,4324900,40.136688
"2001-03-13",61,62.990002,60.060001,60.57,4802100,39.853752
"2001-03-14",59.509998,59.509998,56.830002,58.02,6086000,38.175911
"2001-03-15",58.02,58.02,55.509998,56.099998,5186800,36.91256
"2001-03-16",56.099998,56.200001,52.849998,53.75,11244000,35.366337
"2001-03-19",53.75,56.25,53.75,56.02,6193500,36.859943
"2001-03-20",56.02,57.189999,54.759998,55,4360500,36.188816
"2001-03-21",55,55.400002,53.200001,53.849998,3758400,35.432133
"2001-03-22",53.349998,53.349998,49.700001,52,6703700,34.214863
"2001-03-23",52,53.439999,51.599998,53,4632500,34.872849
"2001-03-26",53.549999,56.169998,53.549999,55.439999,4780200,36.478321
"2001-03-27",55.439999,56.240002,54.25,55.200001,3634800,36.320404
"2001-03-28",55.18,55.18,54,55,2861600,36.188816
"2001-03-29",55,56.299999,54.25,55.950001,2814300,36.813881
"2001-03-30",55.950001,57.27,55.310001,55.709999,3742700,36.655972
"2001-04-02",55.709999,56.599998,54.529999,55.02,3182600,36.201965
"2001-04-03",55.02,55.450001,54.110001,54.610001,3337500,35.932205
"2001-04-04",54.610001,55.200001,53.919998,54.630001,2954700,35.945358
"2001-04-05",55.84,57.5,55.84,56.810001,2704800,37.379745
"2001-04-06",56.650002,56.650002,55.32,55.98,2785500,36.833641
"2001-04-09",56,57.740002,56,56.869999,2549800,37.419224
"2001-04-10",57.830002,60.189999,57.830002,59.82,4486300,39.360271
"2001-04-11",59.82,61,58.5,59.119999,3980800,38.899689
"2001-04-12",59.119999,60.5,58.619999,60.5,1607300,39.807674
"2001-04-16",60.5,60.98,59.18,59.75,2145500,39.314205
"2001-04-17",59.75,60.599998,59,60.599998,2258600,39.873486
"2001-04-18",60.700001,63.73,60.700001,61.299999,3078200,40.334072
"2001-04-19",61.299999,61.619999,59.549999,60.630001,3551000,39.893238
"2001-04-20",60.630001,64.910004,60.5,61.700001,7352100,40.597263
"2001-04-23",61.279999,61.279999,59.610001,60.139999,4319900,39.570816
"2001-04-24",60.139999,62.130001,60,60.799999,3094100,40.005077
"2001-04-25",60.41,60.41,59.900002,60.34,3228400,39.702415
"2001-04-26",60.34,61.200001,59.77,60.98,3036600,40.123508
"2001-04-27",60.98,61.799999,60.84,61.610001,2141800,40.538059
"2001-04-30",61.799999,64.160004,61.799999,61.799999,3112800,40.663078
"2001-05-01",62.700001,64.480003,62.700001,63.43,4773800,41.735569
"2001-05-02",63.43,64.300003,63.25,64,3346200,42.110607
"2001-05-03",64,64.199997,62.709999,64,2171400,42.110607
"2001-05-04",64,65,63,64.5,2391200,42.439594
"2001-05-07",64.5,65.269997,64.25,64.690002,2149200,42.564617
"2001-05-08",64.690002,65.199997,64.300003,64.629997,2663200,42.525146
"2001-05-09",64.629997,65.510002,64,65,2575400,42.88139
"2001-05-10",65.160004,66,65.160004,65.949997,2441900,43.508121
"2001-05-11",65.949997,66.43,65.300003,66.010002,1659000,43.547699
"2001-05-14",66.010002,66.75,65.870003,66.739998,1399700,44.029285
"2001-05-15",66.699997,66.699997,65.440002,66.589996,2684000,43.930332
"2001-05-16",66.589996,66.75,65.650002,66.75,3985800,44.035892
"2001-05-17",66.75,69.849998,66.559998,68.790001,6050600,45.381695
"2001-05-18",68.790001,68.900002,67.970001,68.349998,3360700,45.091419
"2001-05-21",68.349998,68.75,67.870003,68.690002,1554800,45.315739
"2001-05-22",68.690002,68.949997,67.5,68,2812700,44.860519
"2001-05-23",67.650002,67.650002,66,66,3687500,43.541119
"2001-05-24",66,67.459999,64.050003,65.199997,4253400,43.013325
"2001-05-25",64.900002,64.900002,62.900002,63.330002,3187800,41.779667
"2001-05-29",63.330002,63.900002,63.200001,63.529999,2271400,41.911613
"2001-05-30",63.529999,63.950001,62.799999,63.049999,3197700,41.59494
"2001-05-31",63.049999,63.400002,62.330002,62.889999,2653000,41.489388
"2001-06-01",62.900002,65.57,62.900002,65,3301500,42.88139
"2001-06-04",65,66.699997,64.900002,66.029999,2465900,43.56089
"2001-06-05",66.699997,67.550003,66.699997,66.93,3385500,44.154625
"2001-06-06",66.260002,66.260002,65.720001,66.099998,3493500,43.607063
"2001-06-07",66.059998,66.059998,65.120003,65.650002,2176200,43.310207
"2001-06-08",65.620003,65.620003,64.099998,64.589996,2250000,42.610897
"2001-06-11",64.589996,64.75,63.669998,64.5,1662300,42.551529
"2001-06-12",64.5,66.139999,64.199997,65.709999,3116800,43.349777
"2001-06-13",65.709999,66.489998,65.400002,65.489998,2164000,43.204636
"2001-06-14",65.489998,65.489998,63.32,63.560001,3756600,41.931381
"2001-06-15",63.720001,64.510002,63.720001,64.25,5906700,42.3866
"2001-06-18",64.410004,64.989998,64.410004,64.879997,2425600,42.802212
"2001-06-19",64.879997,64.879997,61.540001,61.799999,4464100,40.770321
"2001-06-20",61.799999,62.849998,60.380001,61.110001,5950700,40.315094
"2001-06-21",60,60,56.700001,57.75,9721900,38.098457
"2001-06-22",57.75,57.880001,55.400002,57,6131500,37.603672
"2001-06-25",57,57.779999,56.389999,56.959999,5424700,37.577293
"2001-06-26",56.959999,57.82,56.049999,57.02,4629500,37.616879
"2001-06-27",57.02,58.040001,56.880001,57.700001,3117600,38.06546
"2001-06-28",57.700001,58.380001,56.880001,57.240002,4013500,37.761997
"2001-06-29",56.889999,57.5,55.580002,55.599998,4835800,36.68008
"2001-07-02",56.299999,57.220001,56.299999,56.360001,3333200,37.18148
"2001-07-03",56.360001,57.060001,56.150002,56.330002,2202600,37.161674
"2001-07-05",56.330002,56.720001,55.150002,55.23,3141600,36.435982
"2001-07-06",55.23,55.48,53.77,54.299999,4111300,35.82246
"2001-07-09",54.02,54.02,52.549999,52.830002,5602100,34.852665
"2001-07-10",53.189999,54.619999,53.189999,54.150002,4709600,35.723503
"2001-07-11",54.150002,54.209999,52.900002,52.900002,3300000,34.898861
"2001-07-12",53.259998,54.790001,53.259998,54.5,3217800,35.954391
"2001-07-13",54.5,55.209999,53.77,55.07,1639000,36.330437
"2001-07-16",55.07,55.389999,54.080002,55.279999,1950800,36.468967
"2001-07-17",55.400002,56.720001,55.400002,56.299999,3848400,37.141872
"2001-07-18",56.299999,57.599998,55.049999,57.130001,5456400,37.689445
"2001-07-19",57.130001,57.950001,55.700001,56.389999,3427200,37.201241
"2001-07-20",56.389999,57.150002,56.27,56.790001,1834100,37.465141
"2001-07-23",56.790001,57.25,56.049999,56.25,2123900,37.108898
"2001-07-24",56.25,56.599998,55.189999,55.259998,2178000,36.455772
"2001-07-25",55.82,56.849998,55.82,56.669998,1590500,37.385967
"2001-07-26",56.669998,58.18,56.52,58.110001,2311300,38.335964
"2001-07-27",58.110001,58.900002,57.950001,58.139999,2612400,38.355755
"2001-07-30",58.639999,58.900002,57.400002,57.400002,2634300,37.86755
"2001-07-31",57.200001,58.790001,57.119999,58.529999,2661300,38.613037
"2001-08-01",58.650002,59.34,58.52,59,2175100,38.923111
"2001-08-02",59.5,59.75,58.32,58.82,2348200,38.804348
"2001-08-03",58.82,59.25,58.560001,59.209999,1947300,39.061649
"2001-08-06",59,59.799999,58.34,58.400002,2732600,38.52729
"2001-08-07",57.439999,57.73,56.5,57.5,4131900,37.933533
"2001-08-08",57.150002,57.68,56.32,56.610001,2982800,37.346382
