"","BAX.Open","BAX.High","BAX.Low","BAX.Close","BAX.Volume","BAX.Adjusted"
"2001-01-02",24.018875,24.562059,23.984926,24.341391,6082200,13.54555
"2001-01-03",24.341391,24.748777,23.085279,23.458717,6970000,13.054364
"2001-01-04",23.255024,23.322922,21.761271,22.13471,9195400,12.317575
"2001-01-05",22.372353,22.677893,22.185633,22.542097,11758400,12.544277
"2001-01-08",22.609995,23.305948,22.593019,23.085279,6467800,12.846548
"2001-01-09",23.594513,23.594513,23.305948,23.322922,8781200,12.978792
"2001-01-10",23.322922,23.611488,22.728815,23.068306,4742000,12.837101
"2001-01-11",23.136204,23.407795,22.270506,22.983433,5899600,12.789872
"2001-01-12",22.983433,23.119228,22.406301,22.660917,3536100,12.610395
"2001-01-16",22.660917,23.051331,22.474199,23.034357,4508900,12.818211
"2001-01-17",23.068306,23.102255,22.474199,22.559071,5580800,12.55372
"2001-01-18",22.694866,23.119228,22.660917,23.085279,6149600,12.846548
"2001-01-19",23.085279,23.39082,22.457224,22.559071,4754500,12.55372
"2001-01-22",22.457224,23.73031,22.457224,23.594513,6084800,13.129927
"2001-01-23",23.458717,23.458717,22.677893,23.085279,7184600,12.846548
"2001-01-24",22.643944,22.677893,22.13471,22.626968,8393100,12.591504
"2001-01-25",22.779739,23.509642,22.593019,23.509642,8689500,13.082696
"2001-01-26",23.509642,24.171646,23.475693,23.781233,4323000,13.233835
"2001-01-29",23.669201,24.307442,23.669201,23.826725,4199600,13.259146
"2001-01-30",23.829441,23.886475,23.533405,23.764259,2158700,13.224384
"2001-01-31",23.859316,23.900055,23.302553,23.867464,3544200,13.281818
"2001-02-01",23.900055,23.900055,23.628464,23.894623,2850600,13.296934
"2001-02-02",23.878326,23.967953,23.508963,23.804996,4032500,13.24705
"2001-02-05",23.574144,23.927214,23.574144,23.8566,4207700,13.275775
"2001-02-06",23.900055,23.900055,23.696362,23.886475,1920500,13.292401
"2001-02-07",23.954372,24.063009,23.737099,23.886475,4294600,13.292401
"2001-02-08",23.886475,23.967953,23.70994,23.967953,3084000,13.337737
"2001-02-09",23.900055,24.160782,23.859316,23.905487,2348300,13.302975
"2001-02-12",23.981531,24.323736,23.967953,24.307442,2838000,13.526662
"2001-02-13",24.293861,24.321022,23.737099,24.103748,4234300,13.413304
"2001-02-14",24.02227,24.209669,23.832157,23.845736,4256300,13.269729
"2001-02-15",24.035851,24.035851,23.231939,23.348724,4239400,12.993153
"2001-02-16",23.438349,23.55785,23.237371,23.55785,5019600,13.10952
"2001-02-20",23.70994,24.342749,23.696362,24.225964,6309100,13.481317
"2001-02-21",24.185225,25.301466,24.185225,24.904943,9158200,13.859156
"2001-02-22",25.122215,25.225422,24.329168,24.576317,7393000,13.676287
"2001-02-23",24.443237,24.646931,23.935362,24.280283,6451200,13.511545
"2001-02-26",24.443237,24.543726,23.973385,24.543726,4619400,13.658144
"2001-02-27",24.543726,24.755568,24.38892,24.722977,2877100,13.757895
"2001-02-28",24.98642,25.258013,24.915806,25.010864,5868700,13.918097
"2001-03-01",24.98642,25.157522,24.416079,25.152092,5845500,13.996695
"2001-03-02",25.296034,25.388376,24.744703,25.347637,5660700,14.105509
"2001-03-05",25.347637,25.855513,25.339489,25.855513,5563500,14.388128
"2001-03-06",25.733297,25.763172,25.556763,25.646387,4549800,14.27176
"2001-03-07",25.774036,25.784899,24.3346,24.535578,9717100,13.653607
"2001-03-08",24.579033,25.198261,24.266703,25.181967,6144800,14.013319
"2001-03-09",25.358501,25.412819,24.809885,25.230852,4223600,14.04052
"2001-03-12",25.190115,25.488865,24.443237,24.511135,5585500,13.640009
"2001-03-13",24.443237,25.002716,23.989679,24.959261,6292900,13.889383
"2001-03-14",24.959261,24.959261,24.307442,24.579033,6757500,13.677798
"2001-03-15",24.714828,24.714828,24.280283,24.456818,7061700,13.609782
"2001-03-16",24.38892,24.524715,24.187941,24.416079,11473400,13.587108
"2001-03-19",24.307442,24.492125,24.171646,24.448669,3968000,13.60525
"2001-03-20",24.443237,24.646931,24.204237,24.280283,4603600,13.511545
"2001-03-21",24.38892,24.606192,23.954372,24.285715,10797800,13.514567
"2001-03-22",23.927214,24.038567,23.087996,23.139599,14565900,12.876776
"2001-03-23",23.465508,23.954372,23.438349,23.897339,7155500,13.298448
"2001-03-26",23.897339,24.342749,23.76969,24.209669,4527300,13.472247
"2001-03-27",24.429657,24.847908,24.321022,24.538294,7008600,13.655119
"2001-03-28",24.538294,25.285172,24.361759,25.168386,6254600,14.005757
"2001-03-29",25.168386,25.659967,24.98642,25.51874,7670700,14.200723
"2001-03-30",25.801195,25.801195,25.217274,25.567627,6662200,14.227929
"2001-04-02",25.53232,25.53232,24.731125,25.171103,4763700,14.007269
"2001-04-03",25.035307,25.16567,24.307442,24.443237,5645600,13.602222
"2001-04-04",24.497555,25.149376,23.984247,25.054317,8143400,13.942284
"2001-04-05",25.461706,25.6654,25.258013,25.529604,7021200,14.206765
"2001-04-06",25.434546,25.448126,24.171646,24.3346,8940200,13.541769
"2001-04-09",24.429657,24.633352,24.307442,24.560022,4253800,13.667217
"2001-04-10",24.831614,25.067898,24.253124,24.587181,5932000,13.682327
"2001-04-11",24.579033,24.579033,23.832157,24.171646,5807600,13.451093
"2001-04-12",24.239544,24.573601,24.049429,24.318306,3623800,13.532702
"2001-04-16",24.521999,24.837046,24.171646,24.565454,4111300,13.67024
"2001-04-17",24.633352,25.179251,24.608908,24.972841,6398900,13.896944
