"","Open","High","Low","Close","Volume"
"2001-01-02",20.229925,20.479925,18.854925,19.417425,5586500
"2001-01-03",19.106215,22.668715,17.793715,22.606215,5985000
"2001-01-04",21.740961,22.740961,20.365961,21.865961,7120700
"2001-01-05",22.05209,22.17709,20.92709,21.23959,5147900
"2001-01-08",21.318766,21.631266,20.693766,21.068766,3121000
"2001-01-09",21.021566,21.209066,19.896566,20.271566,5083900
"2001-01-10",20.137867,21.090992,19.340992,20.840992,2899400
"2001-01-11",20.774305,21.524305,20.399305,21.524305,6979300
"2001-01-12",21.607666,22.107666,20.482666,20.670166,6654700
"2001-01-16",20.744421,22.338171,20.588171,22.150671,2988800
"2001-01-17",22.282598,22.970098,22.220098,22.720098,3802100
"2001-01-18",22.868055,22.899305,21.336805,21.524305,2748900
"2001-01-19",20.682648,21.682648,20.182648,21.182648,4933500
"2001-01-22",20.904861,22.029861,20.842361,21.467361,3846200
"2001-01-23",21.581247,21.768747,17.893747,21.581247,3341400
"2001-01-24",21.673624,21.704874,20.642374,20.954874,2685700
"2001-01-25",21.066668,21.660418,20.910418,21.410418,3701000
"2001-01-26",21.485401,23.110401,21.235401,21.922901,3621900
"2001-01-29",22.083982,22.896482,21.396482,22.833982,5089800
"2001-01-30",22.749254,23.561754,21.936754,23.061754,5225800
"2001-01-31",23.075605,25.200605,23.075605,24.200605,9033600
"2001-02-01",24.381182,24.943682,23.256182,23.631182,3607100
"2001-02-02",23.763105,24.450605,23.513105,24.200605,2954800
"2001-02-05",23.711721,24.274221,23.711721,24.086721,2642400
"2001-02-06",24.130455,24.724205,24.036705,24.599205,2702300
"2001-02-07",24.505455,24.786705,24.099205,24.599205,3747100
"2001-02-08",24.879086,25.160336,23.285336,23.972836,3745800
"2001-02-09",23.874254,24.624254,22.999254,23.061754,1788900
"2001-02-12",23.104761,24.557886,23.042261,24.542261,1905700
"2001-02-13",24.581165,24.893665,23.956165,24.143665,2274600
"2001-02-14",23.843647,24.718647,23.406147,24.656147,2713700
"2001-02-15",24.678375,24.740875,24.053375,24.428375,2639600
