"","BDX.Open","BDX.High","BDX.Low","BDX.Close","BDX.Volume","BDX.Adjusted"
"2001-01-02",34.375,35.1875,33.9375,34.1875,1149100,25.466143
"2001-01-03",34.4375,34.5,32.9375,33.0625,1018200,24.62813
"2001-01-04",33.125,33.375,31.375,31.875,951300,23.743567
"2001-01-05",31.625,31.8125,30.9375,31.3125,768200,23.32456
"2001-01-08",31.25,31.625,31,31.5625,566300,23.510782
"2001-01-09",31.5625,32.8125,31.375,32.625,573900,24.302235
"2001-01-10",32.625,32.625,31.6875,31.9375,528400,23.790115
"2001-01-11",32.1875,33.4375,32,33.125,875900,24.67469
"2001-01-12",33,33.0625,31.9375,32.5,402500,24.209124
"2001-01-16",32.5,33.625,32.4375,33,528800,24.581581
"2001-01-17",33.125,33.3125,32.3125,32.5,509200,24.209124
"2001-01-18",32.375,34.1875,31.5625,33.75,1057900,25.14024
"2001-01-19",33.5,33.5625,31.8125,32.375,958000,24.116013
"2001-01-22",32.375,34.9375,32.375,34.8125,1276000,25.931698
"2001-01-23",34.0625,34.5,34.0625,34.1875,629700,25.466143
"2001-01-24",34.375,35.125,33.75,34.875,1134600,25.978251
"2001-01-25",34.5,35.375,34.25,35.25,1503000,26.257597
"2001-01-26",35,35.0625,34.5625,35,865100,26.071367
"2001-01-29",35.400002,35.75,34.75,35.060001,931900,26.116055
"2001-01-30",35,35.040001,34.400002,34.84,941900,25.952185
"2001-01-31",34.799999,34.799999,33.860001,34.380001,615100,25.609529
"2001-02-01",34.630001,35.040001,34.150002,34.84,855000,25.952185
"2001-02-02",35.299999,36.279999,35.299999,36.25,2559500,27.002483
"2001-02-05",36.810001,36.98,35.630001,35.959999,1822300,26.786465
"2001-02-06",36.450001,37.040001,35.900002,36.599998,2265500,27.263203
"2001-02-07",36.349998,36.470001,35.709999,36.060001,1033800,26.860956
"2001-02-08",36.099998,36.990002,36.07,36.98,837600,27.546267
"2001-02-09",36.869999,37.18,36.5,37.029999,1050400,27.583502
"2001-02-12",37.029999,37.900002,36.799999,37.669998,1456700,28.060242
"2001-02-13",38,39.25,37.66,39,2172800,29.050943
"2001-02-14",38.650002,38.66,36.900002,37.380001,1505500,27.844223
"2001-02-15",37.080002,37.32,36.099998,36.5,797300,27.188705
"2001-02-16",36.650002,37,36.25,36.759998,631700,27.382364
"2001-02-20",36.400002,37.330002,36.110001,37.099998,870100,27.635639
"2001-02-21",37.169998,37.84,37.009998,37.200001,944600,27.710138
"2001-02-22",37.029999,37.5,36,36.389999,606500,27.106762
"2001-02-23",36,36.25,34.93,35.200001,1452700,26.220343
"2001-02-26",35.029999,36.849998,35.029999,36.560001,1260300,27.233418
"2001-02-27",36.560001,36.610001,35.689999,35.889999,644500,26.734327
"2001-02-28",35.25,36.099998,35.25,35.98,674400,26.801367
"2001-03-01",36.23,36.349998,35.259998,36.060001,659500,26.860956
"2001-03-02",35.849998,35.990002,34.810001,35.849998,704200,26.704523
"2001-03-05",35.830002,35.860001,35,35.470001,722800,26.421467
"2001-03-06",35.720001,35.799999,34.779999,34.869999,735300,25.974529
"2001-03-07",35.02,35.529999,34.919998,35.040001,1343100,26.172462
"2001-03-08",35.290001,35.869999,35.07,35.650002,859700,26.628096
"2001-03-09",35.5,36.099998,35.310001,36,861000,26.889517
"2001-03-12",35.900002,36.209999,35.009998,35.509998,1285800,26.523525
"2001-03-13",35.5,35.5,34.77,34.98,908100,26.127655
"2001-03-14",34.73,34.970001,33.880001,34.119999,640800,25.485289
"2001-03-15",34.369999,34.419998,33.75,33.900002,758600,25.320953
"2001-03-16",33.200001,33.84,32.349998,32.450001,1648800,24.237911
"2001-03-19",32.959999,34.599998,32.77,34.509998,1259800,25.776598
"2001-03-20",34.299999,34.650002,33.599998,33.599998,1155500,25.096882
"2001-03-21",33.759998,34.290001,33.119999,33.860001,1287100,25.291088
"2001-03-22",33.200001,33.27,31.1,32,1455100,23.901791
"2001-03-23",32.139999,33.040001,31.92,33.009998,1406700,24.656193
"2001-03-26",33,33.849998,32.900002,32.900002,1066500,24.574028
"2001-03-27",33,33.18,32.77,33,740900,24.648726
"2001-03-28",32.799999,33.43,32.709999,33.150002,1202000,24.760775
"2001-03-29",33.400002,34.82,33.150002,34.369999,984500,25.672022
"2001-03-30",34.599998,35.93,34.549999,35.32,1585800,26.381603
"2001-04-02",35.900002,36.450001,34.900002,35.150002,925900,26.254639
"2001-04-03",34.950001,35.200001,33.700001,33.880001,761300,25.30603
"2001-04-04",33.880001,34.23,33.52,33.84,663500,25.276142
"2001-04-05",34,34.990002,33.799999,34.98,829400,26.127655
"2001-04-06",34.98,34.98,34.029999,34.529999,576500,25.791534
"2001-04-09",34.75,35.450001,34.470001,34.740002,521700,25.948393
"2001-04-10",34.950001,35.25,34.349998,34.939999,749900,26.097773
"2001-04-11",34.700001,34.700001,33.75,33.889999,598700,25.313484
"2001-04-12",33.900002,34.459999,33.869999,34.459999,590500,25.739246
"2001-04-16",34.650002,34.93,33.950001,34.34,405200,25.649614
"2001-04-17",34.48,35.880001,34.349998,35.02,653700,26.157515
"2001-04-18",35.32,35.349998,34.450001,34.669998,1165300,25.896103
"2001-04-19",34.5,34.880001,33.299999,33.849998,1434100,25.283606
"2001-04-20",33.700001,33.900002,32,32.799999,1682200,24.49934
"2001-04-23",32.5,33.080002,32,32.330002,1008500,24.148279
"2001-04-24",32.349998,32.599998,31.15,31.200001,1593700,23.304245
"2001-04-25",31.450001,31.85,31.299999,31.58,2015800,23.588087
