"","BEN.Open","BEN.High","BEN.Low","BEN.Close","BEN.Volume","BEN.Adjusted"
"2001-01-02",12.666667,12.8,12.333333,12.5,2098500,8.326095
"2001-01-03",12.583333,13.45,12.466666,13.33,3647100,8.878951
"2001-01-04",13.5,13.776667,13.016666,13.096666,1911300,8.723526
"2001-01-05",13.18,13.266666,12.836667,12.966666,1452000,8.636934
"2001-01-08",13.033334,13.033334,12.766666,12.953333,702900,8.628053
"2001-01-09",12.953333,12.99,12.673333,12.676666,753000,8.44377
"2001-01-10",12.593333,12.966666,12.593333,12.89,1303200,8.58587
"2001-01-11",12.973333,13.326667,12.85,12.95,1160400,8.625832
"2001-01-12",13.016666,13.216666,12.83,12.916667,1599300,8.603633
"2001-01-16",12.9,13.306666,12.833333,13.166667,965100,8.770154
"2001-01-17",13.17,13.45,13.17,13.29,1838400,8.852305
"2001-01-18",13.206667,13.63,12.883333,13.44,2170200,8.952218
"2001-01-19",13.5,13.533334,13.283334,13.343333,1481700,8.887829
"2001-01-22",13.333333,13.603333,13.27,13.55,1638000,9.025486
"2001-01-23",13.583333,13.883333,13.58,13.743333,820800,9.154263
"2001-01-24",13.916667,14.133333,13.733334,13.996667,1487700,9.323008
"2001-01-25",13.96,14.233334,13.5,14.173333,1939800,9.440683
"2001-01-26",14.25,14.966666,14.25,14.486667,2881500,9.649389
"2001-01-29",14.486667,15.833333,14.433333,15.683333,5023500,10.446474
"2001-01-30",15.6,16,15.413333,15.836667,3645600,10.548612
"2001-01-31",15.766666,15.77,15.376667,15.586667,2163900,10.382088
"2001-02-01",15.373333,15.963333,15.333333,15.943334,2334000,10.619655
"2001-02-02",15.86,16.1,15.636666,15.816667,3592800,10.535285
"2001-02-05",15.816667,15.816667,15.41,15.566667,2248800,10.368761
"2001-02-06",15.533334,15.533334,14.863334,14.893333,3186900,9.920262
"2001-02-07",14.893333,14.983334,14.733334,14.753333,2245500,9.827013
"2001-02-08",14.753333,14.946667,14.616667,14.646667,1884300,9.755968
"2001-02-09",14.646667,14.646667,14.266666,14.416667,2415300,9.602764
"2001-02-12",14.666667,14.783334,14.426666,14.783334,2729100,9.846993
"2001-02-13",14.333333,14.683333,14.333333,14.65,3019500,9.758183
"2001-02-14",14.733334,14.8,14.516666,14.543333,987300,9.68714
"2001-02-15",14.466666,14.566667,14.386666,14.433333,2004300,9.613869
"2001-02-16",14.433333,14.533334,14.366667,14.48,1559700,9.64495
"2001-02-20",14.433333,14.483334,13.75,13.8,2728500,9.192009
"2001-02-21",13.866667,13.976666,13.75,13.8,1732200,9.192009
"2001-02-22",13.833333,13.833333,13.416667,13.786667,2779200,9.18313
"2001-02-23",13.766666,13.833333,13.35,13.816667,2019900,9.203109
"2001-02-26",14.083333,14.25,13.666667,14.243333,1558500,9.487307
"2001-02-27",14.326667,14.406667,13.916667,14.223333,1238400,9.473989
"2001-02-28",14.266666,14.266666,13.833333,13.913333,1011600,9.267498
"2001-03-01",13.913333,13.913333,13.6,13.723333,2190000,9.14094
"2001-03-02",13.783334,14.33,13.733334,14.283334,2325300,9.513953
"2001-03-05",14.216666,14.4,13.953333,14.12,1342500,9.405156
"2001-03-06",14.266666,14.453333,14.083333,14.16,1121400,9.431802
"2001-03-07",14.243333,14.3,14.036667,14.283334,801300,9.513953
"2001-03-08",14.4,14.65,14.296667,14.473333,1963200,9.640507
"2001-03-09",14.5,14.563334,14.076667,14.25,1725000,9.491749
"2001-03-12",14.166667,14.17,13.616667,13.72,2235600,9.138723
"2001-03-13",13.666667,13.69,13.473333,13.53,2073300,9.012163
"2001-03-14",13.233334,13.366667,12.933333,13.126667,1875900,8.74351
"2001-03-15",13.1,13.476666,13.1,13.45,1872000,8.958879
"2001-03-16",13.133333,13.433333,13.026667,13.026667,3284100,8.676902
"2001-03-19",13.026667,13.496667,12.84,13.426666,2247900,8.943334
"2001-03-20",13.5,13.616667,12.89,12.916667,1821900,8.603633
"2001-03-21",12.883333,13.033334,12.666667,12.67,2274000,8.439331
"2001-03-22",12.616667,12.616667,11.4,12.026667,3112200,8.010814
"2001-03-23",12.316667,12.95,12.183333,12.886666,3066600,8.583645
"2001-03-26",12.886666,13.216666,12.87,12.96,1768800,8.632499
"2001-03-27",12.983334,13.246667,12.79,13.216666,2029800,8.803458
"2001-03-28",13.15,13.216666,12.766666,12.963333,1416900,8.634718
"2001-03-29",12.983334,13.126667,12.796667,12.93,1774200,8.626935
"2001-03-30",12.926666,13.116667,12.816667,13.036667,1429200,8.698106
"2001-04-02",12.953333,13.473333,12.883333,13.196667,1747500,8.804854
"2001-04-03",13.113334,13.166667,12.383333,12.49,1541400,8.333364
"2001-04-04",12.3,12.6,12.016666,12.293333,1588800,8.202146
"2001-04-05",12.366667,13.18,12.35,13.18,2877900,8.793736
"2001-04-06",13.133333,13.15,12.646667,12.68,2079300,8.460133
"2001-04-09",12.716666,13.133333,12.683333,12.883333,1616100,8.595798
"2001-04-10",12.883333,13.696667,12.883333,13.696667,8007300,9.138459
"2001-04-11",14,14.316667,13.926666,14.286667,4102500,9.532103
"2001-04-12",14.203333,14.323334,14.113334,14.253333,2135400,9.509862
"2001-04-16",14.253333,14.4,13.903334,14,1955700,9.340841
"2001-04-17",13.983334,14.25,13.836667,14.25,1985400,9.507641
"2001-04-18",14.243333,15,14.09,15,2956500,10.008047
"2001-04-19",15,15,14.533334,14.75,1925100,9.841239
"2001-04-20",14.683333,14.683333,14.433333,14.683333,1348800,9.796762
"2001-04-23",14.416667,14.483334,14.31,14.45,1342500,9.641083
"2001-04-24",14.45,14.733334,14.45,14.566667,2125500,9.718922
"2001-04-25",14.583333,14.75,14.286667,14.75,1156800,9.841239
"2001-04-26",14.666667,15.133333,14.506667,15.033334,2758500,10.030285
"2001-04-27",15.2,15.266666,14.97,15.033334,1841100,10.030285
"2001-04-30",15.033334,15.063334,14.43,14.55,1917900,9.707802
"2001-05-01",14.633333,14.816667,14.276667,14.816667,1968900,9.885726
"2001-05-02",14.733334,14.793333,14.466666,14.606667,2245500,9.745613
"2001-05-03",14.616667,14.633333,14.166667,14.326667,1992600,9.558795
"2001-05-04",14.326667,14.416667,14.133333,14.416667,1685700,9.618843
"2001-05-07",14.416667,14.533334,14.2,14.326667,1120500,9.558795
"2001-05-08",14.283334,14.4,14.066667,14.143333,5117400,9.436474
"2001-05-09",14.083333,14.166667,14,14.086667,864900,9.398664
"2001-05-10",14.15,14.266666,14.01,14.11,1462800,9.414233
"2001-05-11",14.11,14.116667,13.82,13.866667,1348800,9.251877
"2001-05-14",13.933333,13.966666,13.666667,13.933333,1661700,9.296359
"2001-05-15",14.016666,14.116667,13.836667,13.97,1216800,9.320826
"2001-05-16",13.966666,14.57,13.766666,14.5,1821300,9.674438
"2001-05-17",14.516666,14.796667,14.403334,14.69,2762700,9.801208
"2001-05-18",14.7,14.703333,14.49,14.623333,2065500,9.75673
"2001-05-21",14.6,14.816667,14.566667,14.756667,1470900,9.845693
