"","Open","High","Low","Close","Volume"
"2001-01-02",8.492762,8.626095,8.159428,8.326095,2098500
"2001-01-03",8.132284,8.998951,8.015617,8.878951,3647100
"2001-01-04",9.12686,9.403527,8.643526,8.723526,1911300
"2001-01-05",8.850268,8.936934,8.506935,8.636934,1452000
"2001-01-08",8.708054,8.708054,8.441386,8.628053,702900
"2001-01-09",8.720437,8.757104,8.440437,8.44377,753000
"2001-01-10",8.289203,8.662536,8.289203,8.58587,1303200
"2001-01-11",8.649165,9.002499,8.525832,8.625832,1160400
"2001-01-12",8.703632,8.903632,8.516966,8.603633,1599300
"2001-01-16",8.503487,8.910153,8.43682,8.770154,965100
"2001-01-17",8.732305,9.012305,8.732305,8.852305,1838400
"2001-01-18",8.718885,9.142218,8.395551,8.952218,2170200
"2001-01-19",9.044496,9.07783,8.82783,8.887829,1481700
"2001-01-22",8.808819,9.078819,8.745486,9.025486,1638000
"2001-01-23",8.994263,9.294263,8.99093,9.154263,820800
"2001-01-24",9.243008,9.459674,9.059675,9.323008,1487700
"2001-01-25",9.22735,9.500684,8.76735,9.440683,1939800
"2001-01-26",9.412722,10.129388,9.412722,9.649389,2881500
"2001-01-29",9.249808,10.596474,9.196474,10.446474,5023500
"2001-01-30",10.311945,10.711945,10.125278,10.548612,3645600
"2001-01-31",10.562087,10.565421,10.172088,10.382088,2163900
"2001-02-01",10.049654,10.639654,10.009654,10.619655,2334000
"2001-02-02",10.578618,10.818618,10.355284,10.535285,3592800
"2001-02-05",10.618761,10.618761,10.212094,10.368761,2248800
"2001-02-06",10.560263,10.560263,9.890263,9.920262,3186900
"2001-02-07",9.967013,10.057014,9.807014,9.827013,2245500
"2001-02-08",9.862634,10.055968,9.725968,9.755968,1884300
"2001-02-09",9.832764,9.832764,9.452763,9.602764,2415300
"2001-02-12",9.730326,9.846993,9.490325,9.846993,2729100
"2001-02-13",9.441516,9.791516,9.441516,9.758183,3019500
"2001-02-14",9.877141,9.943807,9.660473,9.68714,987300
"2001-02-15",9.647202,9.747203,9.567202,9.613869,2004300
"2001-02-16",9.598283,9.698284,9.531617,9.64495,1559700
