"","CCI.Open","CCI.High","CCI.Low","CCI.Close","CCI.Volume","CCI.Adjusted"
"2001-01-02",27.125,27.125,25,25.625,416900,20.964022
"2001-01-03",25.015625,28.375,24.1875,28.0625,1885200,22.958162
"2001-01-04",28.0625,29.5625,27.25,29.5,1067000,24.134197
"2001-01-05",29.21875,29.25,25.625,26.0625,2291700,21.321943
"2001-01-08",26.296875,27,25.5,26.6875,336800,21.833265
"2001-01-09",27.0625,27.8125,26.8125,27.625,623500,22.600239
"2001-01-10",27.734375,27.75,27,27.5,1060400,22.49798
"2001-01-11",27.453125,30.125,27.25,29.625,2675700,24.236456
"2001-01-12",27.1875,27.625,26.0625,26.75,5842200,21.884399
"2001-01-16",26.8125,26.875,25.0625,26,2417100,21.270819
"2001-01-17",26.3125,27,26.3125,26.5,1561900,21.679871
"2001-01-18",26.9375,27,25.625,26.5,872800,21.679871
"2001-01-19",26.609375,26.875,26.1875,26.6875,742300,21.833265
"2001-01-22",26.5625,27,26.375,26.375,796800,21.57761
"2001-01-23",26.625,27.375,26.375,27.25,1830600,22.293453
"2001-01-24",27.4375,27.5,26.75,27,1057000,22.088926
"2001-01-25",27,27.1875,26.5625,27.0625,2055200,22.140059
"2001-01-26",26.5625,28.875,26.5,28.8125,2071500,23.571747
"2001-01-29",28.8125,29.6875,28.625,29.5,2658500,24.134197
"2001-01-30",29.8125,29.875,29.0625,29.4375,1285400,24.083063
"2001-01-31",29.625,29.6875,27.25,27.9375,1285300,22.855906
"2001-02-01",28.1875,28.75,27.6875,28.625,1231100,23.41835
"2001-02-02",28.5625,28.5625,27.5625,27.9375,1330500,22.855906
"2001-02-05",27.9375,27.96875,26.375,26.5,1602700,21.679871
"2001-02-06",26.40625,27.875,26.25,26.9375,1903000,22.037794
"2001-02-07",26.6875,28.875,26.625,28.25,1314000,23.111561
"2001-02-08",28.25,28.9375,27.3125,27.625,957400,22.600239
"2001-02-09",27.4375,27.5,24.4375,25.5,2839600,20.861759
"2001-02-12",25.5,26.8125,25.1875,26.5,598800,21.679871
"2001-02-13",26.625,27.125,26.5625,26.9375,1289300,22.037794
"2001-02-14",27,27.1875,26.25,26.5625,949900,21.730999
"2001-02-15",27.0625,27.0625,25.25,25.5625,1831500,20.912891
"2001-02-16",25.25,26.75,24.25,26.25,1834500,21.475346
"2001-02-20",26.25,26.625,23,23.9375,1390500,19.583466
"2001-02-21",23.6875,24.375,23.375,24.3125,1180300,19.890259
"2001-02-22",24.1875,24.875,22.625,24.6875,1152100,20.197046
"2001-02-23",25,25.1875,23,24.3125,1337100,19.890259
"2001-02-26",24.5,25.4375,24.25,25.4375,728500,20.810633
"2001-02-27",25.40625,25.4375,24.3125,25,670800,20.452707
"2001-02-28",25.1875,25.4375,24.5,25.125,848600,20.554974
"2001-03-01",25,25.4375,24.375,24.9375,957300,20.401577
"2001-03-02",24.75,25.5,23.625,25,1486500,20.452707
"2001-03-05",24.9375,25.1875,24.125,25,883000,20.452707
"2001-03-06",25.25,25.5625,24.9375,25.3125,887100,20.708366
"2001-03-07",25.5625,25.5625,24.25,24.875,937900,20.350441
"2001-03-08",24.625,24.875,23.8125,23.8125,549700,19.481201
"2001-03-09",23.890625,24,22.5,23.3125,659000,19.072151
"2001-03-12",22.8125,22.875,20.4375,20.625,2534500,16.87348
"2001-03-13",20.1875,20.9375,17.8125,18.875,4471600,15.441795
"2001-03-14",18.5625,18.9375,16.3125,16.9375,4585900,13.85671
"2001-03-15",17.4375,18.0625,16.65625,17,2900700,13.90784
"2001-03-16",17.0625,17.25,16.25,16.625,1863900,13.601049
"2001-03-19",16.6875,17.5,16,17.375,1073100,14.214631
"2001-03-20",17.4375,17.5625,16.375,16.625,1083000,13.601049
"2001-03-21",16.6875,17,15,15,1024300,12.271624
"2001-03-22",15.1875,15.3125,13.875,14.5625,1385000,11.913701
"2001-03-23",14.8125,15.5625,14.5625,15.125,1112400,12.373885
"2001-03-26",15.71875,16.125,15,15.25,532700,12.476153
"2001-03-27",15.4375,17.5,15.1875,17.3125,1279500,14.163502
"2001-03-28",17.125,17.3125,15.5,15.75,3041900,12.885206
"2001-03-29",15.6875,16.5,15.5,15.5,1229400,12.680679
"2001-03-30",15.8125,15.8125,13.875,14.8125,2698100,12.118228
"2001-04-02",15,15,13.5,14.125,1319600,11.55578
"2001-04-03",12.3125,13.375,11.5,11.9375,4335200,9.76617
"2001-04-04",11.625,12.8125,11.1875,12.3125,2280600,10.072959
"2001-04-05",12.75,14.5625,12.5625,14.5625,1665800,11.913701
"2001-04-06",14.546875,14.5625,13.625,14,1013100,11.453517
"2001-04-09",14.09,15.06,14.05,15.01,1086600,12.279806
"2001-04-10",15.92,18.4,15.5,18.15,1228600,14.848665
"2001-04-11",19.25,20.75,18.67,19.26,2603400,15.756764
"2001-04-12",19.25,20.120001,19,19.99,1735300,16.353983
"2001-04-16",19.98,20,19,19,576200,15.544059
"2001-04-17",19.299999,20.219999,18.799999,20.139999,1154400,16.4767
"2001-04-18",20.6,23.9,20.459999,22.870001,2362900,18.710135
"2001-04-19",22.5,23.65,22.4,23.459999,993500,19.192822
"2001-04-20",23.389999,23.450001,21.459999,22.49,1158600,18.399254
"2001-04-23",22.299999,22.450001,20.700001,21.299999,311600,17.425707
"2001-04-24",21.5,21.5,20.41,20.43,624800,16.713951
"2001-04-25",20.5,21.5,20.5,21.5,234100,17.589331
"2001-04-26",21.4,22.6,21.4,22.559999,420300,18.456516
"2001-04-27",22.360001,23.75,22.35,23.559999,352900,19.274632
"2001-04-30",23.809999,25.76,23.65,24.49,951300,20.035473
"2001-05-01",24.5,24.5,23.16,23.75,659800,19.430075
"2001-05-02",24,24.07,23.700001,23.74,826500,19.421892
"2001-05-03",23.6,23.6,22.67,22.82,395200,18.669231
"2001-05-04",22.4,22.5,21.51,22.4,688400,18.325626
"2001-05-07",22.65,22.75,21.85,21.85,258900,17.875664
"2001-05-08",21.4,21.41,19.549999,20.200001,1023300,16.525789
"2001-05-09",20.25,20.27,19.6,20.190001,463400,16.517607
"2001-05-10",20.280001,20.389999,19.02,19.4,497100,15.871296
"2001-05-11",19.4,19.4,18.6,18.98,632100,15.527695
"2001-05-14",19.15,19.15,18.299999,18.75,423400,15.33953
"2001-05-15",18.75,18.889999,18,18.379999,394200,15.03683
"2001-05-16",18.950001,18.98,17.92,18.5,641900,15.135005
"2001-05-17",18.799999,19.1,18.610001,18.620001,2986600,15.233176
"2001-05-18",18.75,18.879999,17.6,17.75,1371200,14.521424
"2001-05-21",18,18,17.1,17.450001,1570000,14.275989
"2001-05-22",17.450001,17.75,17.299999,17.6,840100,14.398708
"2001-05-23",17.5,17.5,17,17,462800,13.90784
"2001-05-24",17,17.450001,17,17.25,503700,14.112365
"2001-05-25",17.25,17.5,17.02,17.030001,304800,13.932386
"2001-05-29",17.1,17.17,16.35,16.35,288600,13.376072
"2001-05-30",16.1,16.24,15.75,16.040001,1492800,13.122458
"2001-05-31",16.200001,16.639999,16.15,16.6,469500,13.580597
"2001-06-01",16.5,16.5,16,16.049999,304100,13.130637
"2001-06-04",16.25,16.450001,16,16.280001,535300,13.318804
"2001-06-05",16.450001,16.5,16.049999,16.280001,917400,13.318804
"2001-06-06",16.43,16.540001,16.1,16.299999,566300,13.335165
"2001-06-07",16.27,16.6,16.209999,16.6,1040700,13.580597
"2001-06-08",16.75,16.84,16.5,16.559999,184300,13.547872
"2001-06-11",16.450001,16.68,16.26,16.549999,985500,13.539692
"2001-06-12",16.370001,16.379999,15.6,15.9,890200,13.00792
"2001-06-13",15.9,16.360001,15.81,15.82,292600,12.942473
"2001-06-14",15.82,15.82,14,15,808100,12.271624
"2001-06-15",15,15.09,13.92,14.3,410600,11.69895
"2001-06-18",14.3,14.36,13.2,13.75,410700,11.24899
"2001-06-19",14.65,14.65,13.2,13.4,726800,10.962649
"2001-06-20",13.41,14.39,13.39,14.39,852500,11.772579
"2001-06-21",14.15,14.3,13.5,14.21,631400,11.625319
"2001-06-22",14.21,14.3,13.7,13.98,261000,11.437153
"2001-06-25",13.98,14.5,13.95,14.2,335100,11.617136
"2001-06-26",14.1,14.55,13.7,14.4,1089200,11.780757
"2001-06-27",14.3,14.45,13.92,14.05,274600,11.494423
"2001-06-28",14.1,14.97,14.1,14.9,2657200,12.189812
"2001-06-29",15,16.4,14.92,16.4,2023700,13.416973
"2001-07-02",16.15,16.15,15.75,15.95,745000,13.048827
"2001-07-03",15.75,15.99,15.2,15.83,207900,12.950653
"2001-07-05",15.75,15.78,15.29,15.41,374200,12.60705
"2001-07-06",15.16,15.17,14.5,14.5,1319700,11.862573
"2001-07-09",14.51,15,14.26,14.64,364100,11.977107
"2001-07-10",14.65,14.99,13.98,14.08,335600,11.518965
"2001-07-11",13.78,13.78,13.15,13.3,550700,10.88084
"2001-07-12",13.75,14,13.35,13.59,720500,11.118092
"2001-07-13",13.65,14.25,13.5,14.25,281500,11.658044
"2001-07-16",14,14.25,13.05,13.16,569400,10.766305
"2001-07-17",13.16,13.3,13.01,13.06,347800,10.684493
"2001-07-18",13.06,13.2,12.62,12.72,409900,10.406339
"2001-07-19",12.55,12.55,9.75,10.55,4185700,8.631041
"2001-07-20",10.8,11.09,10.6,10.99,1342300,8.99101
"2001-07-23",10.99,11.09,10.45,10.45,623700,8.549232
"2001-07-24",10.45,10.45,9.94,9.95,3006900,8.140176
"2001-07-25",9.98,10.3,9.66,9.86,984400,8.066546
"2001-07-26",9.93,10,9.69,9.87,671200,8.074728
"2001-07-27",9.95,9.96,9.6,9.68,643700,7.919288
"2001-07-30",9.78,10,9.75,9.89,813700,8.091093
"2001-07-31",9.9,9.99,9.75,9.75,765500,7.976554
"2001-08-01",9.75,9.75,8.49,8.5,2777800,6.95392
"2001-08-02",8.8,9.35,8.8,9.25,2788300,7.567502
"2001-08-03",9.15,9.56,9.02,9.51,1290000,7.78021
"2001-08-06",9.48,9.7,9.26,9.7,679800,7.935648
"2001-08-07",9.6,9.77,9.45,9.55,401000,7.812936
"2001-08-08",9.5,10.29,9.25,9.74,1873100,7.968377
"2001-08-09",9.74,10,9.3,9.44,797500,7.722941
"2001-08-10",9.5,9.83,9.05,9.65,756400,7.894744
"2001-08-13",9.65,9.65,9.2,9.59,647200,7.845658
"2001-08-14",9.67,9.78,9.35,9.4,373800,7.690217
"2001-08-15",9.6,9.6,8.7,8.75,2684900,7.158447
"2001-08-16",8.75,8.75,8.15,8.2,2571900,6.708487
"2001-08-17",8.07,8.2,7.93,8,1848900,6.544867
"2001-08-20",8,8,7.5,7.7,1865100,6.299434
"2001-08-21",7.95,7.95,7.5,7.51,1426100,6.143993
"2001-08-22",7.6,7.72,7.4,7.57,1067300,6.193079
"2001-08-23",7.67,8.4,7.61,8.36,3549800,6.839385
"2001-08-24",8.35,9.08,8.35,9.08,3164400,7.428423
"2001-08-27",9.12,10.36,9.08,10.34,3442600,8.45924
"2001-08-28",10.45,10.55,9.96,10,1830000,8.181083
"2001-08-29",10.4,10.6,9.95,10,1337500,8.181083
"2001-08-30",10,10.11,9.83,9.91,868500,8.107452
"2001-08-31",9.91,10.19,9.9,10.19,490400,8.336524
"2001-09-04",10.19,10.19,9.8,9.85,1052000,8.058367
"2001-09-05",9.75,9.84,8.52,8.9,1380600,7.281162
"2001-09-06",8.95,9,7.91,8.3,1797300,6.790298
"2001-09-07",8.1,8.9,7.9,8.85,716000,7.240259
"2001-09-10",8.85,9.35,8.47,9,866900,7.362974
"2001-09-17",9,9.9,8.75,9,2020400,7.362974
"2001-09-18",9.25,9.7,9.12,9.14,1238200,7.477511
"2001-09-19",9.24,9.66,8,8.7,983300,7.117542
"2001-09-20",8.75,8.95,8.12,8.24,651400,6.741211
"2001-09-21",7.75,8.95,7.4,8.4,1087500,6.87211
"2001-09-24",8.9,8.95,8.3,8.9,709900,7.281162
"2001-09-25",8.9,9.18,8.44,8.7,663500,7.117542
"2001-09-26",8.8,8.85,7.99,8.04,622300,6.577591
"2001-09-27",8.14,8.15,7.61,7.91,1049600,6.471237
"2001-09-28",8,9,7.99,9,987300,7.362974
"2001-10-01",8.9,8.9,8.14,8.88,784100,7.264801
"2001-10-02",8.88,9.4,8.87,9.4,1291600,7.690217
"2001-10-03",9,9.24,8.9,9.14,2631500,7.477511
"2001-10-04",9.1,10.12,8.88,9.81,3038800,8.025641
"2001-10-05",9.71,9.73,9.25,9.58,519300,7.837478
"2001-10-08",9.48,9.71,9.2,9.3,590200,7.608407
"2001-10-09",9.3,10.15,9.2,10.01,900400,8.189263
"2001-10-10",10.01,10.71,10,10.56,1263900,8.639222
"2001-10-11",10.75,12.1,10.75,11.8,2275500,9.653678
"2001-10-12",11.5,11.51,10.5,11.02,1594400,9.015553
"2001-10-15",10.92,10.94,10.34,10.5,1082600,8.590136
"2001-10-16",10.5,10.82,10.16,10.75,1058200,8.794665
"2001-10-17",10.9,11.25,10.6,10.8,1162000,8.835571
"2001-10-18",10.8,11.08,10.8,10.99,802500,8.99101
"2001-10-19",10.99,11.81,10.91,11.71,1678100,9.580049
"2001-10-22",11.71,11.71,11.3,11.65,1146200,9.53096
"2001-10-23",11.55,11.98,11.46,11.58,781300,9.473693
"2001-10-24",11.58,11.74,11.21,11.37,1307400,9.30189
"2001-10-25",11.3,11.48,11.1,11.45,612700,9.367339
"2001-10-26",11.5,12.45,11.45,12.15,1309100,9.940013
