"","CI.Open","CI.High","CI.Low","CI.Close","CI.Volume","CI.Adjusted"
"2001-01-02",44.433334,44.983334,42.616665,42.803333,1867800,39.175869
"2001-01-03",42.700001,43.619999,42.416668,42.833332,2882400,39.203327
"2001-01-04",42.333332,42.333332,37.666668,38,5146800,34.77961
"2001-01-05",38.299999,40.033333,37.583332,38.333332,4346400,35.084694
"2001-01-08",39.166668,40.066666,38.490002,39.650002,1925100,36.289776
"2001-01-09",39.666668,40.099998,39.533333,39.933334,2666400,36.549107
"2001-01-10",39.933334,41.083332,39.933334,40.916668,3167100,37.449093
"2001-01-11",40.75,40.883335,38.25,38.796665,1848900,35.508759
"2001-01-12",38.783333,38.783333,37.266666,38.400002,2668500,35.145714
"2001-01-16",38,39.133335,37.849998,38.416668,3623700,35.160965
"2001-01-17",38.416668,38.416668,37.916668,38.046665,2775000,34.822323
"2001-01-18",38.046665,38.486668,37.950001,38.09,2470200,34.861984
"2001-01-19",38.093334,38.333332,35.916668,36.5,4893900,33.406731
"2001-01-22",36.583332,38.916668,36.583332,38.193333,2476200,34.956551
"2001-01-23",38.276669,39.846668,38.276669,39.099998,2562000,35.786392
"2001-01-24",38.333332,40.466667,38.333332,40.16,3143100,36.756554
"2001-01-25",39.266666,40.216667,38.956665,39.586666,2227800,36.231815
"2001-01-26",39.586666,40.816666,39.586666,40.416668,2338200,36.991467
"2001-01-29",41,41.083332,38.833332,38.833332,1943100,35.542324
"2001-01-30",38.333332,38.333332,37.333332,38.029999,2455200,34.80706
"2001-01-31",38.033333,38.033333,36.380001,37.049999,3431400,33.910118
"2001-02-01",37.049999,38.400002,36.966667,38,3767700,34.77961
"2001-02-02",38.966667,39.733334,38.966667,39.5,3513000,36.152496
"2001-02-05",40.083332,41.083332,39.849998,40.503334,2265900,37.070797
"2001-02-06",40.333332,40.333332,39.106667,39.16,1595700,35.841301
"2001-02-07",39.833332,40.873333,39.799999,39.933334,2404200,36.549107
"2001-02-08",39.933334,40.799999,39.366665,40.296665,2685900,36.881638
"2001-02-09",40.333332,40.333332,35,36.916668,12273900,33.788086
"2001-02-12",38.333332,38.333332,37.183334,37.733334,6195300,34.535545
"2001-02-13",37.833332,37.91,37.233334,37.516666,3161400,34.337242
"2001-02-14",37.383335,37.700001,35.716667,36,3594600,32.9491
"2001-02-15",36.25,36.283333,35.616665,36.080002,3581400,33.022343
"2001-02-16",36.080002,36.540001,36.02,36.209999,1983900,33.141312
"2001-02-20",36.226665,36.5,35.083332,35.433334,3260700,32.430454
"2001-02-21",35.433334,35.650002,34.833332,35.189999,2320200,32.207741
"2001-02-22",35.433334,35.533333,34.833332,35.333332,3613200,32.338936
"2001-02-23",35.583332,35.766666,33.666668,34.066666,3132000,31.179607
"2001-02-26",34.166668,35.580002,34.166668,35.366665,2605500,32.36945
"2001-02-27",35.366665,37.333332,35.366665,36.953335,3381300,33.821655
"2001-02-28",37.233334,37.233334,36.349998,36.556667,2482500,33.458595
"2001-03-01",36.333332,37.25,35.5,36.650002,2941200,33.544022
"2001-03-02",36.25,38.633335,36.25,37.473331,2619000,34.297562
"2001-03-05",37,37,36.296665,36.773335,3251100,33.656902
"2001-03-06",36.776669,37.166668,36.446667,36.799999,1387200,33.681297
"2001-03-07",36.583332,37,36.509998,36.673332,2210700,33.56538
"2001-03-08",36.676666,37.666668,36.673332,37.483334,1926600,34.306736
"2001-03-09",37.433334,37.650002,37.216667,37.333332,2375700,34.266953
"2001-03-12",37.266666,37.573334,36.866665,36.946667,2574600,33.912056
"2001-03-13",36.896667,37.033333,35.849998,36.933334,3786000,33.899815
"2001-03-14",36.333332,36.663334,35.966667,36.216667,2521500,33.242008
"2001-03-15",36.416668,37.066666,36.383335,37.016666,1963200,33.976311
"2001-03-16",36.333332,37.139999,35.119999,35.593334,2951700,32.669868
"2001-03-19",35.766666,36.369999,35.009998,36.25,2903700,33.272606
"2001-03-20",36.166668,36.443333,35.166668,35.166668,1840500,32.278252
"2001-03-21",34.849998,35.75,34.466667,34.523335,3559200,31.687769
"2001-03-22",34.533333,34.533333,33.099998,33.463333,5309700,30.714817
"2001-03-23",33.666668,35,33.506668,34.336666,2343000,31.516418
