"","Open","High","Low","Close","Volume"
"2001-01-02",18.384892,18.725029,18.214825,18.441582,669700
"2001-01-03",17.665756,19.25306,17.665756,19.139679,886000
"2001-01-04",19.607424,19.66411,18.416944,18.587015,1126000
"2001-01-05",18.642223,19.039047,17.905262,18.528843,533700
"2001-01-08",18.079788,18.93013,18.079788,18.703373,364600
"2001-01-09",18.813772,18.870462,17.96343,18.587015,455800
"2001-01-10",18.387861,19.167337,18.331171,18.557928,366200
"2001-01-11",18.916005,19.001042,17.583806,18.1507,508900
"2001-01-12",18.590106,18.845206,17.08784,17.59804,533400
"2001-01-16",17.118407,17.912058,17.118407,17.685301,688100
"2001-01-17",17.878516,17.878516,17.368312,17.481688,256800
"2001-01-18",17.504085,17.645809,17.192291,17.248981,561500
"2001-01-19",17.549628,17.549628,16.699286,16.812666,734700
"2001-01-22",16.20097,17.788273,16.144283,17.278069,839700
"2001-01-23",17.304185,17.530942,16.737291,17.190809,669600
"2001-01-24",17.218411,17.275097,16.878273,17.16172,590200
"2001-01-25",17.219893,17.616721,16.993136,17.219893,418900
"2001-01-26",17.360876,17.474256,16.907361,17.190809,332700
"2001-01-29",17.470541,17.541403,16.98868,17.04537,446800
"2001-01-30",17.18189,17.23858,16.444929,16.841753,624700
"2001-01-31",17.061084,17.061084,16.4375,16.55088,443700
"2001-02-01",16.494938,17.033489,16.353214,16.579971,260100
"2001-02-02",16.489523,16.858004,16.46118,16.645418,277500
"2001-02-05",16.55608,17.491455,16.35767,16.754494,244900
"2001-02-06",16.46861,17.205572,16.369401,16.936296,554700
"2001-02-07",16.370296,17.305672,16.228573,17.248981,222900
"2001-02-08",17.501858,17.558544,16.708206,17.16172,172600
"2001-02-09",17.287044,17.414596,16.791015,17.074463,147200
"2001-02-12",16.545567,17.679356,16.092053,17.452599,383100
"2001-02-13",17.564487,17.663696,17.110973,17.394421,489100
"2001-02-14",17.671925,17.785301,16.821583,17.16172,319800
"2001-02-15",16.908848,17.475738,16.398643,17.248981,289100
"2001-02-16",16.763193,17.925325,16.734849,17.372602,223000
"2001-02-20",17.583174,17.69655,16.902899,17.016279,214600
"2001-02-21",17.429565,17.457908,16.154054,16.55088,309200
"2001-02-22",16.360636,17.040907,15.510296,16.87084,395500
"2001-02-23",17.055302,17.069474,15.76562,16.601788,203000
"2001-02-26",16.837298,16.893988,16.100337,16.667231,315300
"2001-02-27",16.195029,17.087885,16.195029,17.04537,284000
"2001-02-28",16.962568,17.302702,16.679121,17.132635,449400
"2001-03-01",16.968142,17.492518,15.735148,17.350794,272100
"2001-03-02",16.937931,17.95834,16.25766,17.278069,310200
"2001-03-05",17.563005,17.60552,17.052801,17.336248,316800
"2001-03-06",17.536144,18.230587,16.940906,17.394421,266400
"2001-03-07",17.310875,17.792733,17.282528,17.452599,179400
"2001-03-08",17.17659,17.970238,17.06321,17.743481,217300
"2001-03-09",17.907602,18.020979,17.227327,17.510775,199700
"2001-03-12",17.532429,17.702495,17.192291,17.248981,301100
"2001-03-13",17.357906,17.471287,16.791015,17.074463,214900
"2001-03-14",17.122237,17.178924,15.761691,16.72541,276100
"2001-03-15",16.506075,17.299726,16.392698,17.016279,261800
"2001-03-16",16.262548,17.282957,16.205862,16.914476,769800
"2001-03-19",17.204299,17.459403,16.495685,16.609062,232600
"2001-03-20",16.555343,17.122237,16.328586,16.72541,311000
