"","Open","High","Low","Close","Volume"
"2001-01-02",35.379391,36.379391,34.754391,34.754391,1102700
"2001-01-03",33.937519,36.125019,32.937519,35.937519,1252600
"2001-01-04",35.273815,38.148815,35.211315,36.898815,1193000
"2001-01-05",37.537006,37.537006,35.162006,35.974506,1132500
"2001-01-08",36.704227,36.704227,34.266727,35.641727,767600
"2001-01-09",36.098595,36.661095,35.098595,35.161095,933700
"2001-01-10",33.621475,36.308975,33.308975,35.308975,1408500
"2001-01-11",35.24913,36.68663,34.68663,35.12413,965400
"2001-01-12",35.889935,35.889935,33.389935,34.014935,948300
"2001-01-16",33.683083,35.308083,32.933083,34.495583,1169000
"2001-01-17",35.063354,35.500854,34.000854,34.125854,882500
"2001-01-18",34.784298,34.784298,33.409298,33.534298,927500
"2001-01-19",33.81509,34.25259,32.87759,33.12759,1295100
"2001-01-22",32.59153,33.96653,32.21653,33.90403,1264100
"2001-01-23",33.870583,34.995583,33.870583,34.495583,659700
"2001-01-24",33.823059,35.323059,33.198059,35.198059,539200
"2001-01-25",34.857414,36.169914,34.607414,35.419914,827400
"2001-01-26",34.89793,36.96043,34.77293,36.08543,727500
"2001-01-29",36.703861,37.703861,35.75386,35.91386,1879900
"2001-01-30",35.089496,36.089496,34.139495,36.079498,922700
"2001-01-31",36.361321,36.371319,34.801319,35.671318,760900
"2001-02-01",36.188911,36.288909,34.848911,35.138912,885800
"2001-02-02",35.159187,36.059189,35.159187,35.399189,745900
"2001-02-05",35.99583,35.99583,35.045834,35.635834,554900
"2001-02-06",35.279763,35.279763,33.909764,35.079762,1301100
"2001-02-07",35.143131,35.343132,33.643131,34.843132,923100
"2001-02-08",34.4627,35.082699,33.3027,34.452702,1126100
"2001-02-09",35.591885,36.001885,34.191883,35.351883,1571700
"2001-02-12",35.58543,36.785431,35.485432,36.08543,1055400
"2001-02-13",36.400768,36.500766,35.450767,35.990768,860500
"2001-02-14",35.629085,37.079086,35.629085,36.529087,1615800
"2001-02-15",37.069934,37.069934,36.179935,36.469936,1384300
"2001-02-16",35.499676,38.339676,35.439674,37.889679,1802100
"2001-02-20",38.257703,38.327702,36.727704,37.327702,1283600
"2001-02-21",37.310375,37.870377,37.160378,37.280376,1551600
"2001-02-22",37.288963,37.688965,35.898964,37.238964,1461300
"2001-02-23",37.067551,37.567551,34.967553,37.197552,1089800
"2001-02-26",36.607166,38.08717,35.327168,38.067165,1033200
"2001-02-27",37.997726,38.79773,36.857727,38.167725,1436100
"2001-02-28",38.753074,38.853072,36.813075,37.653076,735500
"2001-03-01",37.190678,37.960674,36.580677,37.960674,706700
