"","Open","High","Low","Close","Volume"
"2002-12-06",4.574079,5.414079,4.554079,5.354079,27551000
"2002-12-09",5.380252,5.400252,5.068252,5.244252,3149500
"2002-12-10",5.195357,5.445357,5.115357,5.335357,1723000
"2002-12-11",5.151654,5.711654,5.071654,5.623654,2549000
"2002-12-12",5.710131,5.710131,5.418131,5.480131,1355500
"2002-12-13",5.499683,5.511683,5.367683,5.447683,987500
"2002-12-16",5.459041,5.509041,5.349041,5.379041,798000
"2002-12-17",5.346256,5.546256,5.306256,5.400256,1646000
"2002-12-18",5.431374,5.431374,5.301374,5.325374,742000
"2002-12-19",5.329197,5.359197,5.253197,5.279197,684000
"2002-12-20",5.137525,5.577525,5.057525,5.547525,904500
"2002-12-23",5.606481,5.646481,5.406481,5.416481,638500
"2002-12-24",5.482799,5.482799,5.354799,5.372799,218000
"2002-12-26",5.416638,5.426638,5.306638,5.316638,325000
"2002-12-27",5.341755,5.341755,5.191755,5.241755,830500
"2002-12-30",5.277693,5.387693,5.237693,5.281693,1076500
"2002-12-31",5.170931,5.476931,5.170931,5.448931,1778000
"2003-01-02",5.444419,5.502419,5.402419,5.456419,315000
"2003-01-03",5.300009,5.716009,5.260009,5.716009,861500
"2003-01-06",5.389059,6.053059,5.389059,6.003059,1874500
"2003-01-07",5.989075,6.109075,5.839075,5.993075,1383000
"2003-01-08",5.995826,6.043826,5.923826,5.991826,411000
"2003-01-09",5.931625,6.151625,5.843625,6.121625,649000
"2003-01-10",6.086136,6.186136,6.058136,6.114136,844000
"2003-01-13",6.06876,6.20476,6.04276,6.19276,810000
"2003-01-14",6.231863,6.307863,6.121863,6.127863,554000
"2003-01-15",6.142016,6.142016,5.814016,5.872016,1459000
"2003-01-16",5.987593,5.987593,5.641593,5.663593,725000
"2003-01-17",5.664663,5.718663,5.574663,5.618663,590500
"2003-01-21",5.667525,5.697525,5.509525,5.547525,468000
"2003-01-22",5.540083,5.560083,5.500083,5.510083,163500
"2003-01-23",5.423833,5.733833,5.409833,5.669833,476000
"2003-01-24",5.536526,5.886526,5.466526,5.864526,685000
"2003-01-27",5.880172,5.902172,5.762172,5.772172,209000
"2003-01-28",5.800219,5.856219,5.740219,5.742219,364500
"2003-01-29",5.683374,5.903374,5.655374,5.803374,401500
"2003-01-30",5.976324,5.994324,5.436324,5.516324,735000
"2003-01-31",5.604155,5.614155,5.206155,5.304155,2886000
"2003-02-03",5.305435,5.395435,5.247435,5.285435,780000
"2003-02-04",5.281755,5.281755,5.151755,5.241755,740000
"2003-02-05",5.251307,5.261307,5.131307,5.209307,1159000
"2003-02-06",5.219355,5.283355,5.169355,5.179355,1077500
"2003-02-07",5.153484,5.263484,5.143484,5.255484,744500
"2003-02-10",5.18856,5.44656,5.17656,5.36656,278500
"2003-02-11",5.37333,5.47933,5.35333,5.35533,222500
"2003-02-12",5.32333,5.36333,5.26933,5.35533,355500
"2003-02-13",5.298962,5.472962,5.292962,5.428962,265500
"2003-02-14",5.393765,5.613765,5.393765,5.553765,958000
"2003-02-18",5.602263,5.612263,5.482263,5.556263,753500
"2003-02-19",5.539462,5.633462,5.513462,5.587462,420500
"2003-02-20",5.573915,5.633915,5.553915,5.619915,159000
"2003-02-21",5.597095,5.721095,5.589095,5.661095,206000
"2003-02-24",5.57556,5.73556,5.57556,5.68356,182500
"2003-02-25",5.662028,5.722028,5.632028,5.706028,144500
"2003-02-26",5.738599,5.790599,5.610599,5.658599,214000
"2003-02-27",5.792002,5.794002,5.404002,5.404002,945000
"2003-02-28",5.412799,5.522799,5.336799,5.372799,565000
"2003-03-03",5.368784,5.468784,5.356784,5.382784,211000
"2003-03-04",5.400096,5.428096,5.344096,5.344096,151000
"2003-03-05",5.388958,5.414958,5.262958,5.272958,269500
"2003-03-06",5.255757,5.363757,5.255757,5.301757,352500
"2003-03-07",5.304505,5.382505,5.276505,5.300505,175500
"2003-03-10",5.288264,5.364264,5.286264,5.304264,163000
"2003-03-11",5.312993,5.378993,5.272993,5.292993,104500
"2003-03-12",5.310766,5.340766,5.210766,5.306766,312000
"2003-03-13",5.320296,5.360296,5.302296,5.324296,204000
"2003-03-14",5.269444,5.449444,5.269444,5.409444,471500
"2003-03-17",5.203796,5.801796,5.203796,5.753796,607000
"2003-03-18",5.750319,5.922319,5.696319,5.766319,478500
"2003-03-19",5.709016,5.879016,5.709016,5.879016,149500
"2003-03-20",5.985711,5.985711,5.703711,5.703711,571000
"2003-03-21",5.617799,5.903799,5.617799,5.897799,632500
"2003-03-24",5.810496,6.052496,5.756496,6.010496,1112000
"2003-03-25",5.968338,6.088338,5.968338,6.064338,545500
"2003-03-26",6.053102,6.155102,6.053102,6.073102,1076000
"2003-03-27",6.023192,6.123192,5.903192,6.123192,777500
"2003-03-28",6.121884,6.121884,6.041884,6.091884,306500
"2003-03-31",6.10928,6.10928,5.95128,6.02928,435000
"2003-04-01",6.044737,6.050737,5.928737,6.006737,232000
"2003-04-02",5.872529,6.058529,5.844529,6.030529,536000
"2003-04-03",6.029556,6.229556,6.029556,6.045556,633000
"2003-04-04",6.050581,6.140581,6.032581,6.060581,321500
"2003-04-07",6.247711,6.277711,5.841711,5.847711,1109500
"2003-04-08",5.84566,5.87966,5.75566,5.81766,398000
"2003-04-09",5.81397,5.88397,5.75397,5.85397,390000
"2003-04-10",5.836302,5.906302,5.786302,5.900302,224500
"2003-04-11",5.942475,5.942475,5.828475,5.856475,178500
"2003-04-14",5.801138,5.967138,5.787138,5.949138,212500
"2003-04-15",5.941886,5.981886,5.933886,5.947886,198500
"2003-04-16",5.949658,6.021658,5.943658,5.961658,280000
"2003-04-17",6.054723,6.266723,6.040723,6.140723,1067500
"2003-04-21",6.124655,6.134655,6.010655,6.100655,243500
"2003-04-22",6.078636,6.386636,5.912636,6.234636,1607000
"2003-04-23",6.281542,6.473542,6.223542,6.323542,1540000
"2003-04-24",6.241281,6.461281,6.241281,6.461281,644000
"2003-04-25",6.397718,6.617718,6.397718,6.567718,905000
"2003-04-28",6.387113,7.095113,6.387113,6.937113,2717500
"2003-04-29",6.920418,7.062418,6.794418,6.968418,1455000
"2003-04-30",6.891862,7.121862,6.795862,7.079862,885500
"2003-05-01",7.136698,7.188698,6.984698,6.984698,1156500
"2003-05-02",6.867463,7.235463,6.867463,7.137463,740500
"2003-05-05",7.162421,7.352421,7.084421,7.112421,693000
"2003-05-06",7.134852,7.134852,6.980852,7.074852,661000
"2003-05-07",7.102155,7.162155,6.902155,6.962155,704500
"2003-05-08",6.938605,6.974605,6.848605,6.934605,707000
"2003-05-09",6.933182,7.093182,6.843182,6.977182,461000
"2003-05-12",6.889895,7.209895,6.859895,7.099895,457500
"2003-05-13",6.937813,7.417813,6.937813,7.337813,1083500
"2003-05-14",7.334039,7.474039,7.294039,7.324039,763000
"2003-05-15",7.306318,7.390318,7.256318,7.340318,279500
"2003-05-16",7.227115,7.513115,7.133115,7.513115,498000
"2003-05-19",7.501553,7.519553,7.295553,7.331553,547500
"2003-05-20",7.312301,7.482301,7.312301,7.330301,461500
"2003-05-21",7.265184,7.415184,7.187184,7.409184,355000
"2003-05-22",7.419548,7.575548,7.395548,7.475548,583000
"2003-05-23",7.449657,7.545657,7.443657,7.535657,161000
"2003-05-27",7.478268,7.478268,7.388268,7.454268,409000
"2003-05-28",7.385467,7.609467,7.385467,7.569467,506500
"2003-05-29",7.585171,7.619171,7.469171,7.543171,856500
"2003-05-30",7.450441,7.762441,7.442441,7.698441,820000
"2003-06-02",7.669817,7.915817,7.669817,7.769817,704500
"2003-06-03",7.709626,7.849626,7.709626,7.803626,741000
"2003-06-04",7.743816,7.965816,7.737816,7.913816,547000
"2003-06-05",7.928027,8.010027,7.858027,7.890027,363000
"2003-06-06",8.029347,8.029347,7.655347,7.655347,1028000
"2003-06-09",7.550841,7.818841,7.536841,7.780841,1836500
