"","Open","High","Low","Close","Volume"
"2001-01-02",13.448686,13.50137,12.342248,12.763745,948200
"2001-01-03",14.912477,15.597413,11.066289,11.698541,1469300
"2001-01-04",12.582535,12.740597,9.473971,11.212658,4550200
"2001-01-05",11.477907,11.952094,10.95103,10.95103,2669100
"2001-01-08",10.663723,11.664785,10.663723,11.137911,1427200
"2001-01-09",11.573158,11.678533,10.519409,10.782846,1352700
"2001-01-10",11.299587,11.563024,9.613588,10.61465,1182900
"2001-01-11",12.491395,12.491395,9.172082,9.698956,3784500
"2001-01-12",9.112397,10.53496,8.585522,10.166148,2321400
"2001-01-16",10.592829,10.645518,9.012204,9.96058,1861800
"2001-01-17",10.115266,10.431392,9.588392,9.904518,1921900
"2001-01-18",9.289147,10.659022,9.183772,10.184834,1960000
"2001-01-19",10.354834,10.881709,9.511834,10.091397,1036600
"2001-01-22",9.678214,10.837338,9.520152,10.521214,1320100
"2001-01-23",10.344467,11.292843,10.344467,10.502529,1344900
"2001-01-24",9.89053,11.15503,9.679782,10.838906,1441700
"2001-01-25",10.957784,11.906159,10.747033,11.063159,1626600
"2001-01-26",10.335661,11.810911,10.177597,11.231348,2466700
"2001-01-29",11.081267,12.076004,11.081267,11.317307,1172200
"2001-01-30",11.783741,11.783741,11.09248,11.176779,1283000
"2001-01-31",11.0027,11.382051,10.345161,11.27246,1364200
"2001-02-01",11.598857,11.759029,10.798007,11.093057,1398900
"2001-02-02",10.925752,11.423121,10.925752,11.254521,1239000
"2001-02-05",11.274877,11.637367,11.156856,11.359176,827600
"2001-02-06",11.331934,11.87145,11.213911,11.46681,908400
"2001-02-07",11.78206,12.667211,11.487008,11.942227,1729800
"2001-02-08",11.511065,12.480517,11.511065,12.295058,1469500
"2001-02-09",12.229777,12.718714,11.951586,12.330935,809200
"2001-02-12",12.6426,13.10625,11.64786,12.280108,1852500
"2001-02-13",12.416933,12.821573,11.793111,12.172464,2980300
"2001-02-14",12.444498,13.000879,11.947126,12.225316,2404100
"2001-02-15",12.149624,12.326653,11.694405,12.267644,1243500
"2001-02-16",12.198982,12.662631,11.870212,12.409728,1588700
"2001-02-20",11.565382,13.040632,11.565382,12.669714,938000
"2001-02-21",13.046042,13.846892,12.666693,12.666693,1092600
"2001-02-22",12.401875,13.371324,12.157407,12.696923,829400
"2001-02-23",13.207269,13.477029,11.875325,12.482285,1635300
"2001-02-26",12.210661,13.05366,11.78916,12.615302,970800
"2001-02-27",12.4439,12.899119,12.275301,12.814822,902100
"2001-02-28",12.944409,13.15516,12.295297,12.699937,832800
"2001-03-01",12.702443,13.174524,12.154493,12.575994,1272300
"2001-03-02",12.357627,12.821277,12.012001,12.627388,813900
"2001-03-05",12.872154,12.990173,12.298912,12.551815,695600
"2001-03-06",12.589019,12.597449,11.939906,12.521579,847600
"2001-03-07",12.436005,12.874363,11.997643,12.503445,1406100
"2001-03-08",12.31659,12.64536,12.147988,12.603208,866600
"2001-03-09",12.504137,12.740175,12.234377,12.672735,718800
"2001-03-12",13.064647,13.157379,12.617859,12.651577,1542900
"2001-03-13",12.381228,13.038771,12.044027,12.802729,2297800
"2001-03-14",12.575406,12.760869,11.96845,12.727147,1948600
"2001-03-15",12.894524,13.400323,12.599473,12.869233,1190200
"2001-03-16",12.696923,13.202725,12.444024,12.696923,1258200
"2001-03-19",13.298819,13.357828,12.422098,12.78459,980600
"2001-03-20",12.980046,13.317247,12.516397,12.727147,855900
"2001-03-21",12.754428,13.833465,12.366645,12.476237,1204900
"2001-03-22",13.651972,13.94702,11.122969,11.974402,1728400
"2001-03-23",11.206291,11.964988,10.363288,11.880691,1586800
"2001-03-26",11.646726,12.548738,11.646726,12.388567,1164800
"2001-03-27",11.827871,12.915338,11.827871,12.805749,902200
"2001-03-28",12.600467,12.971385,12.119956,12.962955,1411200
"2001-03-29",12.329997,13.257297,11.908496,13.232005,1417700
"2001-03-30",12.583521,14.10092,12.583521,13.679419,2374400
"2001-04-02",13.673886,14.449448,13.007916,13.800335,1939900
"2001-04-03",13.135286,14.441938,12.629488,14.172178,2823800
"2001-04-04",14.550664,14.828855,13.960565,13.960565,3455200
"2001-04-05",14.24074,14.24074,13.43146,13.70965,2063700
"2001-04-06",14.809348,15.146548,11.77455,13.165499,3500800
"2001-04-09",13.164033,14.12505,12.784684,13.543381,1627700
"2001-04-10",13.492272,14.411141,13.492272,13.854759,1149300
"2001-04-11",14.176497,14.243937,13.207049,13.754996,1189300
