"","Open","High","Low","Close","Volume"
"2001-01-02",51.980976,51.980976,48.418476,49.293476,1245400
"2001-01-03",47.572491,55.072491,46.822491,53.322491,1958300
"2001-01-04",52.572491,56.759991,52.134991,53.322491,3103600
"2001-01-05",48.457859,51.770359,48.457859,51.332859,2022300
"2001-01-08",51.702896,52.140396,49.202896,49.890396,1577900
"2001-01-09",50.785912,51.410912,47.910912,48.348412,1276400
"2001-01-10",47.651848,50.151848,47.339348,50.089348,1109300
"2001-01-11",49.948994,53.323994,49.948994,50.636494,1208000
"2001-01-12",50.774265,52.024265,49.961765,50.586765,927100
"2001-01-16",51.04459,52.91959,50.29459,51.48209,1252200
"2001-01-17",52.501125,54.438625,52.126125,52.626125,2501700
"2001-01-18",52.22451,53.53701,49.09951,50.53701,3926300
"2001-01-19",49.208061,49.708061,47.770561,48.895561,3853800
"2001-01-22",48.26667,50.70417,47.82917,49.64167,2856200
"2001-01-23",49.76408,50.82658,49.57658,50.13908,1393400
"2001-01-24",49.990978,52.303478,49.553478,52.178478,1605100
"2001-01-25",52.158123,52.345623,50.720623,51.283123,1081000
"2001-01-26",51.040733,52.290733,49.915733,52.228233,893100
"2001-01-29",51.891487,54.241485,51.871482,53.521484,1592800
"2001-01-30",53.980797,54.130799,51.730797,51.730797,3184500
"2001-01-31",51.634999,51.634999,49.164998,50.154999,2136000
"2001-02-01",50.335014,50.335014,49.235016,49.765015,1502500
"2001-02-02",50.077942,51.367943,48.937942,49.207943,1098900
"2001-02-05",49.154251,49.394253,48.444252,49.144253,876000
"2001-02-06",49.113094,49.943092,47.953094,49.253094,1264800
"2001-02-07",49.322377,51.132374,48.982376,48.982376,953000
"2001-02-08",48.973663,50.773662,48.973663,49.133663,1192300
"2001-02-09",48.975658,50.615657,48.665656,49.55566,775900
"2001-02-12",49.007927,50.757927,49.007927,50.757927,1054400
"2001-02-13",51.112667,51.562672,49.762669,49.762669,792700
"2001-02-14",50.261788,50.50179,47.75179,47.851788,1335400
"2001-02-15",47.914284,48.914284,45.874287,48.584286,2432700
"2001-02-16",48.690261,49.640262,48.070263,48.170261,1276500
"2001-02-20",48.050136,48.910137,45.750137,46.10014,1639100
"2001-02-21",46.467941,46.477944,44.017945,44.467941,2049900
"2001-02-22",44.667648,44.667648,39.417648,43.687649,2991100
"2001-02-23",43.356799,45.046802,41.746799,44.706802,1888600
"2001-02-26",45.16924,45.50924,42.77924,44.18924,1928700
"2001-02-27",43.602181,46.502178,42.392178,46.092178,2367500
"2001-02-28",46.880199,46.890202,42.840198,43.9902,1607400
"2001-03-01",44.428093,44.478092,43.008095,44.428093,1200700
"2001-03-02",44.132606,46.332607,43.682605,45.582607,1065400
"2001-03-05",47.182476,47.232475,44.582478,45.192474,1251300
"2001-03-06",45.342605,47.432605,44.852607,45.582607,783100
"2001-03-07",45.879479,46.319478,44.379479,45.399479,1496400
"2001-03-08",45.639808,46.19981,45.239811,45.749809,877700
"2001-03-09",45.912838,45.952839,44.052837,45.112839,950500
