"","Open","High","Low","Close","Volume"
"2001-01-02",9.521514,10.140897,9.426225,9.497692,2363800
"2001-01-03",9.605357,9.795938,9.128909,9.248021,2812400
"2001-01-04",9.181237,9.252705,8.418921,9.133593,2767300
"2001-01-05",8.895056,9.681194,8.895056,9.300035,2212700
"2001-01-08",9.310438,9.703508,9.215149,9.310438,1424000
"2001-01-09",9.450668,9.498313,8.783641,9.1648,2215800
"2001-01-10",9.212755,9.35569,8.903065,8.998354,1889500
"2001-01-11",9.139628,9.425497,8.996693,9.091982,2183600
"2001-01-12",8.9608,9.175202,8.865509,9.175202,2763100
"2001-01-16",8.908161,9.479898,8.884338,9.456075,3681600
"2001-01-17",9.989527,9.989527,9.203389,9.227212,4978700
"2001-01-18",9.413426,9.413426,8.984621,9.175202,1864300
"2001-01-19",9.17219,9.338946,8.98161,9.196011,2495800
"2001-01-22",9.060143,9.60806,9.036322,9.393657,2802700
"2001-01-23",9.344347,9.582571,9.249058,9.487282,2349400
"2001-01-24",9.51714,9.683896,9.350382,9.445672,2860700
"2001-01-25",9.568844,9.950003,9.497378,9.664133,3971000
"2001-01-26",9.990568,10.085859,9.442653,9.466476,3363400
"2001-01-29",9.61608,9.61608,9.295907,9.532224,1728400
"2001-01-30",9.625263,9.66338,9.156439,9.587149,1818900
"2001-01-31",9.899616,9.899616,9.518458,9.758587,2984800
"2001-02-01",9.835719,9.835719,9.385951,9.660386,2119000
"2001-02-02",9.717291,9.896435,9.610567,9.675364,2125100
"2001-02-05",8.689184,8.963619,8.250852,8.879764,35424600
"2001-02-06",8.873605,8.987952,8.568679,8.987952,17784700
"2001-02-07",8.805445,9.205662,8.710156,9.129431,13989700
"2001-02-08",9.140167,9.174471,8.915283,9.121109,10950000
"2001-02-09",9.06959,9.317343,9.023852,9.279229,8208900
"2001-02-12",9.476533,9.503213,9.247838,9.377431,10666400
"2001-02-13",9.201363,9.525349,9.07177,9.513912,7761800
"2001-02-14",9.619877,9.638935,9.151053,9.414051,12059800
"2001-02-15",9.604295,9.604295,9.20408,9.337485,10194100
"2001-02-16",9.611209,9.649323,9.298659,9.466368,6016100
"2001-02-20",9.462129,9.698448,9.359216,9.469751,4012500
"2001-02-21",9.562204,9.592696,9.337321,9.386872,4923400
"2001-02-22",9.495742,9.549104,9.320409,9.36996,5810900
"2001-02-23",9.450103,9.499654,9.12993,9.309075,5598700
"2001-02-26",9.374729,9.454773,9.287064,9.302309,5439900
"2001-02-27",9.489077,9.531004,9.210831,9.302309,4170900
"2001-02-28",9.660626,9.664439,8.974541,9.016469,5163200
"2001-03-01",8.861842,9.216319,8.858031,9.04861,5786300
"2001-03-02",8.758106,9.387016,8.681875,9.29554,5594500
"2001-03-05",9.210307,9.450436,9.17219,9.366581,4833100
"2001-03-06",9.358096,9.472444,9.156083,9.373344,3839600
"2001-03-07",9.312997,9.522635,9.286317,9.503577,6389700
"2001-03-08",9.204193,9.74925,9.143207,9.745437,8868200
"2001-03-09",9.778933,9.977135,9.576918,9.721759,5198600
"2001-03-12",9.947816,9.951629,9.482802,9.517108,4501200
"2001-03-13",9.754575,9.758386,9.16759,9.327678,3986000
"2001-03-14",9.28587,9.308741,9.068612,9.251567,4478700
"2001-03-15",9.287897,9.364128,9.00584,9.310766,3510600
"2001-03-16",9.329843,9.390829,9.20025,9.29554,5779200
"2001-03-19",9.192056,9.611331,9.192056,9.390258,5184100
"2001-03-20",9.339369,9.827252,9.103051,9.430848,5073400
"2001-03-21",9.593678,9.593678,9.060058,9.304,4785600
"2001-03-22",9.650458,9.650458,8.701373,9.021546,5963900
"2001-03-23",8.914962,9.261816,8.667209,9.20083,6403600
"2001-03-26",9.302601,9.455065,9.115834,9.119644,5290900
"2001-03-27",9.141606,9.408417,9.118737,9.156853,4863000
"2001-03-28",9.231539,9.254408,9.037147,9.063827,4812400
"2001-03-29",9.090991,9.090991,8.55737,9.030005,6272100
"2001-03-30",8.697102,9.406056,8.697102,9.310766,4520900
"2001-04-02",9.668633,9.817286,8.982549,9.043534,4936500
"2001-04-03",9.175796,9.309202,8.882305,8.962347,4655800
"2001-04-04",8.948957,9.444463,8.933711,9.128101,5641400
"2001-04-05",8.805821,9.400429,8.741024,9.385182,6166200
"2001-04-06",9.474234,9.474234,8.868193,9.314148,4512500
"2001-04-09",9.252415,9.519227,9.252415,9.515414,3638300
"2001-04-10",9.515478,9.847086,9.477361,9.74036,5933200
