"","Open","High","Low","Close","Volume"
"2001-01-02",42.568073,42.568073,39.068073,39.693073,1502700
"2001-01-03",39.946835,41.259335,39.009335,39.446835,1791100
"2001-01-04",39.0131,39.8881,38.4506,39.2006,1611300
"2001-01-05",39.539459,39.601959,37.414459,37.476959,1857500
"2001-01-08",37.509186,38.946686,36.821686,37.821686,1173900
"2001-01-09",37.9506,39.2631,36.7006,39.2006,1140400
"2001-01-10",39.21566,39.27816,36.71566,38.21566,1192400
"2001-01-11",38.613247,38.988247,35.550747,36.738247,1314600
"2001-01-12",36.32711,36.32711,34.01461,35.01461,2282900
"2001-01-16",35.082836,35.957836,34.332836,35.457836,940200
"2001-01-17",35.732529,37.420029,35.107529,36.295029,1514400
"2001-01-18",36.393524,36.456024,35.706024,36.393524,1062000
"2001-01-19",36.557865,37.38599,35.01099,36.88599,1063000
"2001-01-22",36.910538,37.910538,35.285538,36.098038,609700
"2001-01-23",35.713707,37.588707,35.276207,37.526207,735600
"2001-01-24",37.442776,37.505276,35.692776,36.442776,752600
"2001-01-25",36.762955,39.075455,36.137955,37.575455,811200
"2001-01-26",38.02816,38.71566,36.59066,38.21566,620500
"2001-01-29",37.753616,39.128616,37.128616,39.003616,533800
"2001-01-30",38.565964,38.940964,36.815964,37.378464,948800
"2001-01-31",37.771404,38.021404,36.146404,36.958904,1110000
"2001-02-01",36.953754,37.219379,35.094379,35.969379,1256100
"2001-02-02",35.847038,37.331413,34.831413,34.831413,850200
"2001-02-05",35.143841,36.487591,34.706341,36.018841,716400
"2001-02-06",35.992802,37.805302,35.930302,36.117802,764200
"2001-02-07",36.195881,37.508381,36.133381,37.008381,915000
"2001-02-08",37.669827,38.669827,36.982327,37.107327,636600
"2001-02-09",36.836449,38.961449,36.711449,37.898949,936900
"2001-02-12",37.935402,39.060402,37.310402,37.997902,800100
"2001-02-13",38.638615,38.888615,36.388615,36.513615,918500
"2001-02-14",36.594326,37.047451,35.297451,36.859951,719700
"2001-02-15",37.576115,38.263615,35.888615,36.513615,661800
"2001-02-16",35.915359,37.540359,35.415359,35.462234,645200
"2001-02-20",35.998039,36.560539,35.498039,35.623039,879000
"2001-02-21",36.034492,37.596992,35.346992,35.721992,852100
"2001-02-22",36.537117,37.412117,35.037117,35.474617,1402000
"2001-02-23",35.899147,36.024147,33.336647,34.336647,1338100
"2001-02-26",34.177689,36.427689,33.677689,36.365189,961400
"2001-02-27",36.841888,37.029388,33.341888,33.841888,1631900
"2001-02-28",33.432674,33.620174,27.995174,28.510799,44222700
"2001-03-01",28.139004,31.201504,28.076504,29.389004,6786600
"2001-03-02",29.542671,29.745796,28.605171,29.042671,2171300
"2001-03-05",28.657263,29.032263,27.782263,28.844763,1600700
"2001-03-06",28.592119,30.435869,28.185869,29.685869,1505800
"2001-03-07",29.737961,29.737961,29.112961,29.487961,1058700
"2001-03-08",29.948904,30.527029,29.152029,29.339529,1374700
"2001-03-09",29.040058,29.602558,28.243183,29.290058,1315200
"2001-03-12",28.014074,29.451574,27.639074,28.201574,1884300
"2001-03-13",28.756283,29.193783,27.443783,27.756283,2101500
"2001-03-14",27.477684,27.915184,26.665184,26.915184,2008500
"2001-03-15",27.795324,29.201574,26.639074,28.201574,1808700
"2001-03-16",27.797913,29.672913,27.672913,28.547913,2881100
"2001-03-19",28.256149,30.818649,28.193649,30.131149,1614600
"2001-03-20",30.753666,31.128666,28.003666,28.003666,1008200
"2001-03-21",27.675461,29.987961,27.300461,29.487961,1947100
"2001-03-22",29.151964,30.589464,28.839464,30.526964,2004300
"2001-03-23",30.930561,32.243061,30.868061,31.368061,2436300
"2001-03-26",31.817009,32.667007,31.367008,31.657009,2690900
"2001-03-27",31.987859,31.987859,30.987859,31.387861,1113800
"2001-03-28",31.290791,31.93079,30.410789,31.11079,913200
"2001-03-29",31.045389,31.915392,29.965391,30.67539,1025500
"2001-03-30",30.845781,31.585779,30.26578,31.205778,1056200
"2001-04-02",31.451659,31.711658,29.72166,30.461658,1160200
"2001-04-03",30.803818,30.81382,28.88382,28.933819,1054300
"2001-04-04",29.03754,29.937538,28.577537,29.527538,1237100
"2001-04-05",29.418327,30.408329,28.678329,30.398331,1138000
"2001-04-06",29.883354,30.323357,28.633354,29.923355,1245400
"2001-04-09",29.910848,30.710847,29.590849,29.97085,858100
"2001-04-10",29.972452,32.182451,29.972452,31.332453,2061400
"2001-04-11",31.023251,31.833248,30.283249,31.82325,1412900
"2001-04-12",31.342414,32.27241,30.602412,31.902411,693500
"2001-04-16",32.050372,32.710372,30.590373,31.15037,866300
"2001-04-17",30.54406,32.194062,30.334061,32.124062,1079600
"2001-04-18",31.014358,35.804355,30.954357,34.364357,2442100
"2001-04-19",34.127296,34.297298,33.287296,33.897297,1940600
"2001-04-20",33.187766,33.32777,31.537769,32.907768,1847000
"2001-04-23",32.988171,33.568172,32.448174,33.05817,1056100
"2001-04-24",33.528617,34.158618,32.298617,32.638618,828400
"2001-04-25",32.429821,33.54982,31.99982,33.469818,887000
"2001-04-26",33.540672,34.580673,33.030673,33.200672,776500
"2001-04-27",33.609779,34.23978,33.089778,34.229782,673700
"2001-04-30",34.251007,35.511005,34.131004,34.681007,1109100
"2001-05-01",34.397968,37.29797,34.02797,36.857971,1316100
"2001-05-02",36.899593,37.989594,36.889591,37.649593,2042700
"2001-05-03",37.688008,37.69801,35.048008,36.098007,1445600
"2001-05-04",35.016811,35.376812,34.06681,35.266811,1492200
"2001-05-07",35.085582,35.93558,34.535583,34.815582,1118900
"2001-05-08",35.491841,35.591839,33.591839,34.79184,890000
"2001-05-09",34.815174,35.665176,34.095176,34.665176,722800
"2001-05-10",34.637252,34.927253,33.947254,34.657253,702800
"2001-05-11",34.881877,35.611877,34.021877,34.031879,715000
"2001-05-14",34.310165,35.150165,33.950164,34.760166,512200
"2001-05-15",34.581413,35.681411,34.531414,34.831413,762000
"2001-05-16",34.082984,36.822986,33.782985,36.762985,880900
"2001-05-17",36.422108,37.55211,36.352109,37.412106,1092500
"2001-05-18",37.315857,37.485859,36.785858,37.245857,746500
"2001-05-21",36.957439,39.13744,35.947437,38.987438,1011200
"2001-05-22",38.883277,39.533279,38.453277,38.813278,783700
"2001-05-23",38.877072,38.917069,37.897068,38.077068,610800
"2001-05-24",37.862442,39.162446,37.372445,38.892445,639900
"2001-05-25",39.315392,39.55539,37.96539,38.23539,487000
"2001-05-29",37.655845,38.795845,37.345844,37.625843,962800
"2001-05-30",37.270454,37.560451,36.880451,37.190453,1347400
"2001-05-31",37.311299,38.341301,36.791298,36.921299,1110400
"2001-06-01",36.802098,37.702095,36.032097,37.602097,1035000
"2001-06-04",37.787948,37.787948,36.407947,37.237949,800200
"2001-06-05",37.091647,38.151649,36.681648,38.021648,647800
