"","Open","High","Low","Close","Volume"
"2001-01-02",1.48003,1.481332,1.314666,1.340707,1521600
"2001-01-03",1.333402,1.588611,1.317777,1.588611,1692000
"2001-01-04",1.551631,1.61934,1.551631,1.606319,1744800
"2001-01-05",1.613509,1.613509,1.271061,1.406478,2925600
"2001-01-08",1.423743,1.431555,1.340409,1.350826,717600
"2001-01-09",1.373961,1.457294,1.373961,1.449482,684000
"2001-01-10",1.457518,1.457518,1.410643,1.441893,1236000
"2001-01-11",1.443672,1.558256,1.443672,1.558256,576000
"2001-01-12",1.5462,1.629533,1.533179,1.613908,1336800
"2001-01-16",1.618883,1.822008,1.587633,1.798571,3192000
"2001-01-17",1.814937,1.882645,1.791499,1.861812,2445600
"2001-01-18",1.860173,1.956527,1.818506,1.917464,921600
"2001-01-19",1.920866,1.983366,1.889616,1.978808,1116000
"2001-01-22",1.984949,1.984949,1.776615,1.925053,1586400
"2001-01-23",1.898932,2.180182,1.867682,2.01612,2932800
"2001-01-24",2.033828,2.033828,1.908828,2.033828,2616000
"2001-01-25",2.02356,2.028769,1.919394,2.028769,895200
"2001-01-26",1.974905,2.058238,1.901988,1.912405,1024800
"2001-01-29",1.944471,2.004367,1.796685,1.973117,1159200
"2001-01-30",1.955852,2.028769,1.94804,2.028769,595200
"2001-01-31",2.014188,2.032417,1.988146,1.993354,705600
"2001-02-01",1.969469,2.021552,1.923245,2.008531,436800
"2001-02-02",2.008407,2.016871,1.837183,1.902287,1044000
"2001-02-05",1.910696,1.9133,1.848196,1.88205,823200
"2001-02-06",1.927284,2.005409,1.903847,1.937701,3360000
"2001-02-07",1.960696,1.960696,1.846113,1.864342,1341600
"2001-02-08",1.890906,1.909135,1.846635,1.846635,679200
"2001-02-09",1.868288,1.889121,1.816205,1.818809,1315200
"2001-02-12",1.80936,1.819777,1.726027,1.785923,1567200
"2001-02-13",1.787862,1.845153,1.69932,1.720153,751200
"2001-02-14",1.720232,1.738461,1.629086,1.629086,950400
"2001-02-15",1.637639,1.692327,1.629827,1.692327,1185600
"2001-02-16",1.664501,1.700959,1.638459,1.664501,818400
"2001-02-20",1.674094,1.780864,1.614198,1.780864,1408800
"2001-02-21",1.69318,1.802555,1.69318,1.751773,1476000
"2001-02-22",1.742775,1.742775,1.609962,1.659441,1634400
"2001-02-23",1.669261,1.679678,1.552074,1.679678,1956000
"2001-02-26",1.684291,1.725958,1.673874,1.699916,816000
"2001-02-27",1.700363,1.736821,1.67953,1.684738,751200
"2001-02-28",1.685593,1.699916,1.663458,1.699916,1524000
"2001-03-01",1.6892,1.72045,1.652742,1.710034,2328000
"2001-03-02",1.679829,1.690245,1.669412,1.67462,1730400
"2001-03-05",1.680315,1.681617,1.585263,1.613908,1296000
"2001-03-06",1.622983,1.659441,1.617775,1.659441,288000
"2001-03-07",1.660038,1.675663,1.639205,1.639205,1020000
"2001-03-08",1.644487,1.670529,1.618446,1.636675,1274400
"2001-03-09",1.636899,1.644711,1.613461,1.629086,2556000
