"","Open","High","Low","Close","Volume"
"2001-01-02",22.949617,22.949617,21.512117,21.637117,5539200
"2001-01-03",22.024876,22.024876,19.993626,20.431126,8372400
"2001-01-04",20.921055,21.296055,18.546055,19.296055,11753000
"2001-01-05",19.337431,19.962431,18.868681,19.556181,9049000
"2001-01-08",19.685371,20.091621,19.279121,20.029121,6677600
"2001-01-09",20.150707,20.744457,19.713207,20.525707,6356400
"2001-01-10",20.257935,21.257935,20.039185,21.164185,5884400
"2001-01-11",21.532475,21.594975,19.688725,20.407475,5218200
"2001-01-12",20.460697,20.460697,19.960697,20.241947,3163600
"2001-01-16",20.02906,20.96656,20.02906,20.90406,3855000
"2001-01-17",21.019783,21.269783,20.457283,20.738533,4233000
"2001-01-18",20.828039,21.421789,20.640539,21.140539,4204000
"2001-01-19",21.326706,21.326706,20.451706,20.639206,4520000
"2001-01-22",20.601433,21.195183,20.320183,20.757683,4592600
"2001-01-23",20.754265,21.160515,20.598015,21.160515,3039000
"2001-01-24",21.009434,21.634434,20.884434,21.634434,4550400
"2001-01-25",21.579489,21.766989,20.735739,21.610739,5023600
"2001-01-26",21.452105,22.108355,21.358355,22.108355,3931400
"2001-01-29",22.182186,22.307186,21.482187,21.857187,2976200
"2001-01-30",21.893437,21.893437,21.318436,21.743435,4045200
"2001-01-31",21.369838,22.594838,21.244838,22.444838,4456200
"2001-02-01",22.599544,22.769544,21.719543,21.959543,3891200
"2001-02-02",22.131101,22.451101,21.781101,22.331102,4929600
"2001-02-05",22.576134,22.646136,21.631135,21.876135,4306600
"2001-02-06",22.172886,22.332886,21.247887,21.807886,6131000
"2001-02-07",21.622321,22.702321,21.547321,22.672321,4373600
"2001-02-08",22.841589,22.86159,22.291588,22.376589,5143800
"2001-02-09",22.362096,22.552097,21.752096,22.422096,3582400
"2001-02-12",22.423139,22.74814,22.10314,22.74814,3501800
"2001-02-13",22.664561,22.714562,22.18956,22.304562,3048800
"2001-02-14",22.229624,22.664623,22.009623,22.539623,3912600
"2001-02-15",22.485233,22.790234,22.160233,22.710234,2107000
"2001-02-16",22.705975,23.655975,22.705975,23.350975,6648200
"2001-02-20",23.357631,24.382631,23.357631,23.502632,5745200
"2001-02-21",23.323912,23.623913,22.498913,22.588913,6704000
"2001-02-22",22.820157,22.870156,21.495156,22.130156,5847800
"2001-02-23",21.982117,22.202116,21.382117,21.622116,3308000
"2001-02-26",21.396807,22.286806,21.391808,22.281807,5557400
"2001-02-27",22.814623,23.214623,22.489622,22.539623,5515400
"2001-02-28",22.777277,23.727277,22.752277,23.127277,5985200
"2001-03-01",23.318245,23.368244,22.318245,22.528244,5370600
"2001-03-02",22.399807,23.074806,22.199806,22.899807,4435800
"2001-03-05",22.705839,23.305839,22.705839,22.880838,3273400
"2001-03-06",23.187717,23.202716,22.697717,22.937717,3154800
"2001-03-07",22.802655,23.552655,22.772656,23.047655,3651400
"2001-03-08",22.969332,23.694333,22.869332,23.544331,3298000
"2001-03-09",23.367987,23.372987,22.842988,23.077986,2578200
"2001-03-12",22.97957,22.984569,22.629569,22.64957,3544400
"2001-03-13",22.774529,22.829527,20.934529,21.614527,5098400
"2001-03-14",21.062395,21.862394,21.037395,21.762396,2882200
"2001-03-15",21.801577,22.076576,21.776575,22.031576,3577000
"2001-03-16",22.232369,22.482369,20.957367,21.072369,3944600
"2001-03-19",21.253738,21.378738,20.478739,21.083738,3018800
"2001-03-20",21.400814,21.475815,20.500814,20.700813,3024000
"2001-03-21",20.652464,20.927466,20.277464,20.852465,4180200
"2001-03-22",21.02668,21.02668,19.941681,20.32168,4856600
"2001-03-23",20.223837,20.863836,19.623837,20.863836,4179800
"2001-03-26",20.98159,21.091591,20.066591,20.886591,5559600
"2001-03-27",20.720846,21.560844,20.600845,21.390844,5659400
"2001-03-28",21.276388,21.351387,20.561388,21.326387,4207800
"2001-03-29",21.297213,21.477211,20.627213,21.402212,5629200
"2001-03-30",21.655649,22.42565,21.480648,22.17565,3937000
"2001-04-02",22.188287,22.363287,21.798286,22.073288,3623600
"2001-04-03",22.346678,22.411679,21.796679,21.811678,5582000
"2001-04-04",21.814879,22.064879,21.739878,21.989878,5385600
