"","CVX.Open","CVX.High","CVX.Low","CVX.Close","CVX.Volume","CVX.Adjusted"
"2001-01-02",42.59375,43.46875,42.46875,42.96875,3957200,19.463465
"2001-01-03",42.5,42.71875,40.9375,41.3125,5330000,18.71323
"2001-01-04",40.875,41,40.03125,40.4375,5514600,18.316889
"2001-01-05",40.4375,41.15625,40.28125,40.75,3438200,18.458439
"2001-01-08",40.75,41.1875,40.53125,40.65625,3288000,18.415977
"2001-01-09",40.65625,40.71875,39.8125,40.125,3825200,18.175344
"2001-01-10",40.125,40.15625,39.84375,40.0625,4376200,18.147022
"2001-01-11",40.5625,40.8125,40.25,40.71875,5133200,18.444279
"2001-01-12",40.75,40.75,39.8125,40.46875,5148400,18.331045
"2001-01-16",40.4375,40.5,39.75,40.5,5990400,18.345198
"2001-01-17",40.1875,40.46875,39.6875,40.125,5570600,18.175344
"2001-01-18",40,40.28125,39.65625,39.71875,5045000,17.991323
"2001-01-19",39.40625,40,39.21875,39.65625,4766800,17.963003
"2001-01-22",39.375,39.96875,39.34375,39.8125,4818800,18.033783
"2001-01-23",39.84375,40.09375,39.375,39.78125,4825600,18.019634
"2001-01-24",40.09375,40.125,39.5,39.9375,3268000,18.090401
"2001-01-25",40.0625,41.65625,40.0625,41.59375,8396200,18.840624
"2001-01-26",41.59375,41.75,41,41.3125,4139800,18.71323
"2001-01-29",40.810001,40.904999,40.455002,40.75,3165000,18.458439
"2001-01-30",40.674999,41.049999,40.5,40.93,2629600,18.539978
"2001-01-31",41.299999,41.639999,40.950001,41.639999,3285200,18.861576
"2001-02-01",41.639999,41.639999,40.779999,41.634998,2901000,18.85931
"2001-02-02",41.634998,41.790001,41.005001,41.209999,2958000,18.666796
"2001-02-05",41.400002,41.799999,41.275002,41.285,3338200,18.700777
"2001-02-06",41.525002,42.650002,41.305,42.345001,6619000,19.180925
"2001-02-07",42.16,42.224998,41.529999,41.674999,4463600,18.87742
"2001-02-08",41.68,42.349998,41.564999,42.130001,3951400,19.083546
"2001-02-09",42.555,43.279999,42.549999,42.945,4152800,19.452707
"2001-02-12",43,43.345001,42.375,43.264999,4442600,19.597656
"2001-02-13",42.82,43,42.375,43,3622400,19.477613
"2001-02-14",43.145,43.349998,42.669998,42.924999,5079000,19.742071
"2001-02-15",42.5,42.740002,42.349998,42.700001,4665400,19.638594
"2001-02-16",43.025002,43.744999,42.775002,43.275002,5898200,19.903038
"2001-02-20",43.150002,43.544998,43.035,43.25,3801000,19.891552
"2001-02-21",43.25,43.610001,42.855,42.965,5134600,19.760469
"2001-02-22",43.200001,43.439999,42.970001,43.040001,4092400,19.794958
"2001-02-23",43.040001,43.145,42.07,42.23,3910600,19.422426
"2001-02-26",42,42.625,41.799999,42.279999,4188800,19.445421
"2001-02-27",42.299999,43.07,42.294998,42.849998,4672200,19.707573
"2001-02-28",42.955002,43.125,42.654999,42.830002,4308800,19.698376
"2001-03-01",42.830002,43.549999,42.830002,43.419998,5236000,19.969728
"2001-03-02",43.5,44.25,43.299999,44.224998,5213800,20.339968
"2001-03-05",44.375,45.360001,44.375,45.189999,6764600,20.783796
"2001-03-06",45.195,45.494999,45.025002,45.224998,6489800,20.799889
"2001-03-07",45.5,45.880001,45.41,45.689999,4273400,21.013748
"2001-03-08",45.695,46.5,45.445,46.474998,5803000,21.374781
"2001-03-09",46.474998,46.724998,46.044998,46.389999,3767800,21.335693
"2001-03-12",46.369999,46.395,45.915001,46.055,4479600,21.18162
"2001-03-13",46.040001,46.040001,45.049999,45.310001,5286600,20.838972
"2001-03-14",44.575001,45.025002,44.424999,44.764999,4671800,20.588322
"2001-03-15",44.764999,44.880001,43.814999,44.349998,4381200,20.397451
"2001-03-16",43.799999,44.299999,43.59,43.75,7003000,20.121498
"2001-03-19",44.049999,44.950001,44,44.529999,5335800,20.480246
"2001-03-20",44.700001,45.625,44.404999,45.314999,5971200,20.841286
"2001-03-21",45.044998,45.275002,44.404999,44.84,5890400,20.622816
"2001-03-22",44.75,45,42.674999,43.75,9461800,20.121498
"2001-03-23",43.349998,44,42.900002,43.349998,7401600,19.937536
"2001-03-26",43.900002,44.084999,43.209999,43.220001,3789800,19.877745
"2001-03-27",43.625,44.110001,43.474998,43.915001,5296600,20.197397
"2001-03-28",43.23,43.580002,42.875,43.299999,3563000,19.914545
"2001-03-29",42.900002,43.220001,42.665001,43.209999,3887800,19.87315
"2001-03-30",43.560001,44.334999,43.375,43.900002,3907000,20.190495
"2001-04-02",43.900002,44.049999,43.060001,43.435001,5444400,19.976631
"2001-04-03",43.310001,43.490002,42.294998,43,5366200,19.776562
"2001-04-04",43,43.974998,43,43.849998,5048400,20.167498
"2001-04-05",44.349998,44.950001,44.035,44.84,4891800,20.622816
