"","Open","High","Low","Close","Volume"
"2007-05-03",19.700167,19.900168,18.500166,18.670166,8052800
"2007-05-04",19.174444,19.274444,18.624445,18.904444,5437300
"2007-05-07",19.185785,19.275785,18.185785,18.345785,2646300
"2007-05-08",18.058005,18.058005,17.358004,17.688004,4166100
"2007-05-09",17.792169,18.24217,17.672168,17.83217,7541100
"2007-05-10",17.841078,18.041077,17.601076,17.751078,3170600
"2007-05-11",17.80065,17.89065,17.200652,17.39065,3539400
"2007-05-14",17.281211,17.52121,16.881211,17.02121,1924800
"2007-05-15",16.849472,17.049472,16.349472,16.399473,3438700
"2007-05-16",16.245617,16.665618,16.205618,16.525618,2607600
"2007-05-17",16.918345,17.868346,16.788346,17.138346,8979000
"2007-05-18",17.559651,17.579652,16.629653,17.399651,6562200
"2007-05-21",17.320328,17.460327,17.120327,17.120327,2077700
"2007-05-22",17.172837,17.602838,17.072837,17.552837,4014700
"2007-05-23",17.59955,17.799551,17.19955,17.309549,2387100
"2007-05-24",17.328345,17.448346,16.968346,17.138346,2362000
"2007-05-25",17.16407,17.194069,16.834071,16.90407,895000
"2007-05-29",17.021424,17.311425,16.961424,17.201424,2918800
"2007-05-30",17.172303,17.272304,16.932303,17.102304,2829300
"2007-05-31",17.26538,17.395381,17.145381,17.165379,3435200
"2007-06-01",17.165911,17.86591,17.11591,17.61591,2299400
"2007-06-04",16.836157,17.186155,16.826157,16.976156,5692700
"2007-06-05",16.975273,17.165274,16.855273,17.075274,4510000
"2007-06-06",16.827254,17.057253,16.777253,17.057253,2595300
"2007-06-07",16.94177,17.02177,16.32177,16.65177,3062100
"2007-06-08",16.337143,16.967142,16.337143,16.967142,2124100
"2007-06-11",16.731666,17.001667,16.401666,16.561666,1870000
"2007-06-12",16.329685,16.889684,16.199685,16.579685,8636200
"2007-06-13",16.635947,16.855948,16.515948,16.795946,3110200
"2007-06-14",16.630218,17.140218,16.560218,17.030218,8069700
"2007-06-15",17.022196,17.272196,16.582198,17.012196,3418900
"2007-06-18",16.815832,17.065832,16.665832,16.705833,1339900
"2007-06-19",16.723186,17.213186,16.683185,17.003187,3113000
"2007-06-20",17.084711,17.574711,16.904711,17.444712,4031500
"2007-06-21",17.269871,17.66987,17.08987,17.57987,3985700
"2007-06-22",17.546131,17.896131,17.416132,17.796131,11822000
"2007-06-25",17.767789,17.817788,17.187789,17.507788,1974400
"2007-06-26",17.571853,17.731853,17.341853,17.561853,2237000
"2007-06-27",17.478772,17.668772,17.208771,17.498772,2216000
"2007-06-28",17.804043,17.944042,17.674044,17.724043,2547200
"2007-06-29",17.601076,17.881077,17.561077,17.751078,2022200
"2007-07-02",17.632948,17.822948,17.592949,17.642948,1831600
"2007-07-03",17.706661,18.256662,17.706661,18.246662,2960900
"2007-07-05",17.979954,18.699954,17.889954,18.489954,2640100
"2007-07-06",18.489286,18.839287,18.319286,18.769287,1966900
