"","Open","High","Low","Close","Volume"
"2001-01-02",27.794044,27.794044,25.794044,26.778419,2411200
"2001-01-03",25.911776,28.036776,24.943026,27.708651,2812800
"2001-01-04",28.404613,28.420238,21.967113,22.623363,4475600
"2001-01-05",22.380451,23.474201,20.411701,22.114826,3949200
"2001-01-08",21.720648,23.486273,21.720648,22.970648,2261600
"2001-01-09",23.231121,24.465496,21.309246,22.027996,2907200
"2001-01-10",21.440371,23.549746,21.440371,22.846621,1792400
"2001-01-11",23.235807,23.704557,21.579557,21.829557,2279600
"2001-01-12",22.174299,22.611799,20.393049,20.502424,2270800
"2001-01-16",19.945881,20.914631,19.852131,20.539631,3854000
"2001-01-17",21.256149,22.537399,18.928024,19.224899,4994800
"2001-01-18",17.26259,19.35634,16.528215,19.20009,6434400
"2001-01-19",19.141609,19.875984,18.625984,19.485359,2310400
"2001-01-22",19.094893,21.204268,19.094893,20.266768,2308400
"2001-01-23",20.623058,21.341808,20.029308,21.060558,1264400
"2001-01-24",20.913637,22.382387,20.585512,21.866762,2059200
"2001-01-25",21.83923,22.21423,21.073605,21.792355,1160800
"2001-01-26",21.935223,22.044598,20.716473,21.903973,1906800
"2001-01-29",21.695147,21.807646,21.057646,21.432646,972800
"2001-01-30",21.33832,22.74832,21.02582,21.79582,1738000
"2001-01-31",22.122131,22.122131,20.352131,20.539631,2624400
"2001-02-01",20.780806,21.815805,19.590805,19.620806,2276800
"2001-02-02",19.571856,20.309355,19.121855,19.741856,1963200
"2001-02-05",19.146591,20.67159,19.139091,20.224092,1464400
"2001-02-06",19.564737,22.314737,19.564737,22.127237,1950400
"2001-02-07",21.614477,22.801977,21.364477,22.416977,1131200
"2001-02-08",22.354174,22.604174,21.494173,21.494173,887200
"2001-02-09",21.455948,21.875948,20.950949,21.650948,894400
"2001-02-12",21.481615,22.294115,21.344114,22.206615,843600
"2001-02-13",22.316673,22.741672,21.829174,21.879173,1309600
"2001-02-14",22.162045,22.287045,20.687045,21.512045,1322800
"2001-02-15",22.450697,22.475697,21.165697,21.363197,1656000
"2001-02-16",21.216165,21.833665,21.016164,21.303665,652400
"2001-02-20",21.238595,21.463595,20.763594,21.313595,1113600
"2001-02-21",21.673401,21.673401,20.023401,20.120901,1243200
"2001-02-22",20.459101,20.584101,19.114102,19.646601,1735200
"2001-02-23",19.168505,20.418505,18.698506,20.043505,1309200
"2001-02-26",19.632916,22.057915,19.495415,21.142916,1744000
"2001-02-27",21.144466,21.496965,20.509466,21.136967,1010400
"2001-02-28",21.131686,22.191685,20.691685,20.916685,1151200
"2001-03-01",21.608966,21.608966,19.488966,20.176466,1432000
"2001-03-02",20.159453,21.159453,19.679453,20.241953,1334000
"2001-03-05",20.363174,20.665674,19.365675,19.765675,1020000
"2001-03-06",20.500725,20.563225,18.675724,19.245726,1411600
"2001-03-07",19.556656,19.806656,19.059157,19.511656,1549200
"2001-03-08",19.279358,19.524359,18.379358,18.654358,1403600
"2001-03-09",18.451383,19.023883,18.013883,18.713884,1179600
"2001-03-12",18.548702,18.861202,16.848701,17.136202,2006400
"2001-03-13",17.415964,18.190964,16.853464,17.165964,1641600
"2001-03-14",16.85475,18.95475,16.66725,17.64225,1696800
"2001-03-15",18.102441,18.639941,16.514941,16.784941,1932800
"2001-03-16",16.857738,17.370239,16.120239,16.620239,1850800
"2001-03-19",16.717905,17.017906,15.605406,16.917906,1560000
"2001-03-20",17.01907,17.43157,16.16907,16.76907,1379200
"2001-03-21",17.27011,17.295112,15.95761,15.995111,1171600
"2001-03-22",15.80053,15.96303,14.225529,15.68553,2374000
"2001-03-23",16.100509,17.035508,16.05051,16.455509,1795600
"2001-03-26",16.637368,17.074868,16.349868,16.794867,1124800
"2001-03-27",16.741254,17.146255,16.683755,17.001255,1962400
"2001-03-28",16.644576,17.589575,16.494576,17.344576,1836000
"2001-03-29",17.306948,17.769448,16.706948,17.489447,1626400
"2001-03-30",17.668792,18.056293,17.543792,17.636293,1142800
"2001-04-02",17.246118,17.808618,16.686119,17.338619,1758400
"2001-04-03",17.391203,17.391203,16.773702,17.136202,1150000
"2001-04-04",16.809654,17.552154,16.572155,17.334654,1474000
"2001-04-05",17.641217,18.128716,16.841216,18.031216,1217600
"2001-04-06",17.982118,18.579618,17.767118,17.979618,1042800
"2001-04-09",18.178326,18.403327,17.628327,18.273327,746800
"2001-04-10",18.388883,19.136382,17.823882,18.713884,1820400
"2001-04-11",18.847401,19.3349,18.024901,18.1999,1212400
"2001-04-12",18.019037,18.894037,18.019037,18.694036,718800
"2001-04-16",18.499059,19.46656,18.374059,19.01156,1019600
"2001-04-17",18.758332,19.745831,18.633332,19.745831,592400
"2001-04-18",20.469524,20.469524,19.419525,19.847025,1650400
"2001-04-19",19.698068,20.420567,19.458068,20.420567,1016000
"2001-04-20",20.342588,20.555088,19.617588,20.480087,1166000
"2001-04-23",20.491953,20.704453,19.766953,20.241953,1943200
"2001-04-24",21.857903,22.357903,20.920403,21.720402,4102400
"2001-04-25",21.382755,23.020256,21.382755,23.020256,2743200
"2001-04-26",22.903757,23.966257,22.841257,23.468758,2078400
"2001-04-27",23.795765,24.183266,22.933266,23.595766,1232400
"2001-04-30",23.186598,24.611598,23.124098,24.449097,1729600
"2001-05-01",24.383638,24.523637,23.821138,24.508638,1656800
"2001-05-02",24.421015,24.921015,23.746016,24.846014,1453200
"2001-05-03",24.386869,24.386869,23.199369,23.77437,2208000
"2001-05-04",23.360456,24.080455,23.335456,23.635456,1398800
"2001-05-07",23.855556,24.130556,23.330557,23.558056,700800
"2001-05-08",23.838554,24.063554,22.916053,23.238554,964800
"2001-05-09",23.375546,23.838045,22.363045,22.663044,1505600
"2001-05-10",23.076325,23.076325,22.178826,22.563824,1050000
"2001-05-11",22.511755,23.299256,22.261755,22.764256,914000
"2001-05-14",22.909062,22.969061,22.296563,22.726561,685600
"2001-05-15",22.507368,23.079868,22.374868,23.069868,1113200
"2001-05-16",22.567266,25.004766,22.367265,25.004766,2402000
"2001-05-17",24.325761,25.763261,23.200761,25.45326,2303200
"2001-05-18",25.037621,26.725121,24.637621,25.600121,2833600
"2001-05-21",25.812942,25.935443,24.310443,24.790443,1637600
"2001-05-22",24.715082,24.915083,24.015083,24.387583,1197600
"2001-05-23",24.417995,24.620494,23.875495,24.270496,795600
"2001-05-24",24.205542,24.970541,24.205542,24.52054,1135600
"2001-05-25",24.505592,24.778093,24.368094,24.578093,844400
"2001-05-29",24.761219,24.761219,23.586219,24.11372,792000
"2001-05-30",23.854008,24.229008,22.894009,24.141508,1241200
"2001-05-31",24.042979,25.002978,23.770478,24.530478,1180800
"2001-06-01",24.224846,26.299847,23.524847,26.274845,1487600
"2001-06-04",26.450119,28.425122,25.225121,25.600121,1625600
"2001-06-05",25.440165,26.930163,25.435164,26.235163,1463600
"2001-06-06",26.257339,26.567341,24.972339,25.18734,1035000
"2001-06-07",25.629498,26.604501,24.929499,25.679497,1035800
"2001-06-08",25.820738,25.820738,25.095737,25.520739,464600
"2001-06-11",25.657585,26.357586,25.332584,26.052586,1574200
"2001-06-12",25.811966,26.311966,24.016966,25.746967,1367000
"2001-06-13",25.515081,25.965082,24.265081,24.965082,701400
"2001-06-14",24.649098,25.089099,24.229098,24.449097,553400
"2001-06-15",23.955793,25.505792,23.955793,25.000793,1098400
"2001-06-18",24.408882,25.88388,24.408882,25.373882,1021800
"2001-06-19",25.403732,26.50373,25.338731,25.393732,1222400
"2001-06-20",25.090622,26.95062,24.760622,26.560621,1308200
"2001-06-21",27.076874,29.076874,26.701874,28.576874,3321800
"2001-06-22",28.989122,29.309122,26.934122,27.009123,2089200
"2001-06-25",26.75395,28.403947,26.75395,28.18395,1251000
"2001-06-26",28.084627,28.089628,26.839628,27.584627,1325000
"2001-06-27",27.488228,28.418229,27.238228,28.148228,994800
"2001-06-28",28.355213,29.805214,28.355213,29.430214,1503600
"2001-06-29",29.783045,30.158045,28.933047,29.708044,2052000
"2001-07-02",30.223772,30.223772,28.248774,28.973772,1268400
"2001-07-03",29.408573,29.408573,28.408573,28.743572,610200
"2001-07-05",28.750794,28.920796,28.120797,28.715794,636400
"2001-07-06",28.633304,29.208305,28.083305,29.033306,441600
"2001-07-09",29.16203,29.282029,27.66203,28.557026,1016000
"2001-07-10",28.419931,28.43493,27.369932,27.544931,968200
"2001-07-11",27.425095,28.325092,25.850094,27.525093,2035400
"2001-07-12",27.91168,28.461679,27.686682,27.961679,1062600
"2001-07-13",28.054982,28.77998,27.27998,27.794979,1045600
"2001-07-16",27.498774,29.173773,26.973772,28.973772,1068800
"2001-07-17",28.35347,29.738468,28.13847,29.398468,980800
"2001-07-18",29.369345,29.809343,28.209345,29.029345,798800
