"","Open","High","Low","Close","Volume"
"2011-11-17",19.325193,19.995193,19.325193,19.405193,17557500
"2011-11-18",19.454969,19.63497,18.854969,19.104969,2718500
"2011-11-21",19.168139,19.398139,18.188139,18.468138,2366400
"2011-11-22",18.50423,18.91423,17.854231,18.104231,2988700
"2011-11-23",17.928595,17.978594,17.448593,17.858593,1061400
"2011-11-25",17.776796,18.046797,17.726797,17.876797,279600
"2011-11-28",18.0516,18.511599,17.861599,18.2316,700300
"2011-11-29",18.196108,18.196108,17.896109,18.186108,534000
"2011-11-30",18.269406,19.579405,18.239407,18.959406,569700
"2011-12-01",19.072121,19.172119,18.47212,18.932119,479900
"2011-12-02",19.02158,19.52158,18.971579,19.44158,584500
"2011-12-05",19.48549,19.945489,19.435489,19.805489,2067800
"2011-12-06",19.642998,20.252999,19.613,20.132998,524100
"2011-12-07",19.944725,20.114725,19.834725,20.014725,157600
"2011-12-08",19.7627,19.982702,19.662702,19.732702,377900
"2011-12-09",19.65729,20.017289,19.287289,19.787289,492700
"2011-12-12",19.458953,19.648953,19.308953,19.568953,431500
"2011-12-13",19.726996,19.896996,19.286995,19.386995,558700
"2011-12-14",19.217457,19.327458,18.687456,18.777456,1052600
"2011-12-15",19.08858,19.988579,18.898581,19.068579,712900
"2011-12-16",19.067673,19.607674,18.847674,19.077673,210300
"2011-12-19",19.175871,19.275871,18.865871,19.095871,149000
"2011-12-20",19.489851,19.749852,19.229851,19.559851,320200
"2011-12-21",19.438873,19.748872,19.358873,19.468872,268600
"2011-12-22",19.463678,19.883678,19.463678,19.823679,374500
"2011-12-23",19.840145,20.470146,19.650144,19.960146,542500
"2011-12-27",20.936313,20.936313,19.426313,19.696314,443100
"2011-12-28",19.857823,19.907823,19.177823,19.277824,144800
"2011-12-29",19.287063,19.497064,19.087064,19.487064,289100
"2011-12-30",19.516237,19.696237,19.146238,19.596239,128000
"2012-01-03",20.103075,20.923074,19.753074,20.233074,980300
"2012-01-04",21.195996,21.195996,19.815996,20.505997,393700
"2012-01-05",20.442096,20.442096,19.762095,20.142094,672500
"2012-01-06",20.105102,20.795103,19.965103,20.515102,578900
