"","EL.Open","EL.High","EL.Low","EL.Close","EL.Volume","EL.Adjusted"
"2001-01-02",21.875,21.90625,21.28125,21.34375,1032200,15.242488
"2001-01-03",21.34375,21.5,20.875,20.90625,2763000,14.930045
"2001-01-04",20.90625,20.90625,19.1875,19.46875,2210800,13.903466
"2001-01-05",19.4375,20.21875,19.0625,20.21875,2700000,14.43907
"2001-01-08",19.96875,21.625,19.1875,21.40625,4158800,15.287118
"2001-01-09",21.4375,22,21.1875,21.875,2249800,15.621873
"2001-01-10",21.875,21.875,21.15625,21.6875,1522600,15.487969
"2001-01-11",21.6875,21.84375,21.25,21.46875,1227200,15.331758
"2001-01-12",21.5,21.71875,21.3125,21.3125,1037000,15.220161
"2001-01-16",21.3125,21.3125,20.6875,20.9375,1011000,14.952363
"2001-01-17",20.875,20.90625,20.3125,20.625,2770000,14.729194
"2001-01-18",20.875,21.3125,20.71875,21.03125,2253600,15.019308
"2001-01-19",21.15625,21.21875,20.75,20.90625,1620800,14.930045
"2001-01-22",20.65625,20.6875,20.0625,20.09375,2917400,14.349806
"2001-01-23",20.09375,20.625,20.09375,20.5625,2978000,14.68456
"2001-01-24",20.5625,20.84375,20.1875,20.75,2087600,14.818463
"2001-01-25",20.875,20.9375,20.25,20.625,2180000,14.729194
"2001-01-26",20.625,20.71875,20.46875,20.625,1427400,14.729194
"2001-01-29",20.950001,20.950001,19.985001,20.225,1527000,14.443538
"2001-01-30",18.875,19.475,18.875,19.450001,5945400,13.890074
"2001-01-31",19.125,19.174999,18.6,19.049999,4471800,13.604419
"2001-02-01",19.290001,19.75,19.290001,19.625,2957200,14.015051
"2001-02-02",19.975,19.99,19.299999,19.450001,1844600,13.890074
"2001-02-05",19.455,19.549999,19.105,19.375,1598400,13.836516
"2001-02-06",19.5,20.125,19.245001,19.629999,2231800,14.01862
"2001-02-07",19.629999,19.709999,19.055,19.190001,2667400,13.7044
"2001-02-08",19.184999,20.25,19.025,20.110001,2632600,14.361407
"2001-02-09",20.075001,20.299999,19.424999,19.67,1203200,14.047181
"2001-02-12",19.690001,19.75,19.48,19.695,754000,14.065042
"2001-02-13",19.725,19.875,19.15,19.365,838200,13.829374
"2001-02-14",19.365,19.475,19,19.16,2642600,13.682971
"2001-02-15",19.125,19.83,19.065001,19.555,1228600,13.965057
"2001-02-16",19.450001,19.879999,19.370001,19.549999,900800,13.961487
"2001-02-20",19.875,19.950001,19.4,19.915001,1029600,14.222154
"2001-02-21",19.790001,19.950001,19.5,19.754999,835600,14.107888
"2001-02-22",19.725,19.9,19.375,19.5,1232600,13.925776
"2001-02-23",19.5,19.5,19,19.200001,1941000,13.711542
"2001-02-26",19.200001,19.74,19.174999,19.635,1237400,14.022188
"2001-02-27",19.51,19.535,18.940001,19.125,685200,13.657978
"2001-02-28",19.075001,19.525,19,19.32,605400,13.797235
"2001-03-01",19.125,19.565001,19.004999,19.305,915600,13.786522
"2001-03-02",19.555,19.940001,19.475,19.834999,952800,14.165021
"2001-03-05",19.834999,19.975,19.549999,19.870001,587000,14.190013
"2001-03-06",20.025,20.365,20,20.25,1824000,14.461392
"2001-03-07",20.225,20.705,20.1,20.245001,1255600,14.45782
"2001-03-08",20.275,20.799999,20.025,20.725,1100000,14.800608
"2001-03-09",20.275,20.35,19.895,20.280001,1229800,14.482812
"2001-03-12",20.280001,20.280001,19.785,19.995001,740400,14.27928
"2001-03-13",19.995001,19.995001,19.275,19.275,786200,13.765099
"2001-03-14",19.049999,19.445,18.785,18.9,886800,13.532399
"2001-03-15",19.25,19.549999,18.6,18.834999,2324400,13.485857
"2001-03-16",18.84,18.84,18.375,18.375,1118400,13.156502
"2001-03-19",18.375,18.549999,18.174999,18.5,959800,13.246
"2001-03-20",18.799999,18.985001,18.33,18.33,1018600,13.124281
"2001-03-21",17.625,17.9,17,17.555,3542400,12.56938
"2001-03-22",17.375,17.525,16.59,17.215,1716000,12.325939
"2001-03-23",17.215,17.4,16.975,17.15,1886000,12.279402
"2001-03-26",17.125,17.25,16.65,17.25,2250800,12.350999
"2001-03-27",17.275,17.674999,17.205,17.52,3782400,12.544319
"2001-03-28",17.5,17.795,17.5,17.75,2780000,12.709005
"2001-03-29",17.754999,17.91,17.545,17.9,1223400,12.816398
"2001-03-30",18.25,18.52,17.700001,18.209999,2183000,13.038359
"2001-04-02",18.174999,18.424999,18,18.155001,1054600,12.998981
"2001-04-03",18.125,18.4,18,18.030001,1445400,12.909479
"2001-04-04",18,18.375,17.924999,18.245001,1223800,13.06342
"2001-04-05",18.65,18.65,18.155001,18.65,1021000,13.353403
"2001-04-06",18.65,18.655001,18.049999,18.379999,749600,13.16008
"2001-04-09",18.549999,18.575001,18.219999,18.48,422200,13.231686
"2001-04-10",18.525,18.73,18.375,18.379999,1212600,13.16008
"2001-04-11",18.375,18.549999,18.25,18.34,1162000,13.131441
"2001-04-12",18.525,18.6,18.42,18.475,929600,13.228097
"2001-04-16",18.5,18.745001,18.385,18.610001,513800,13.324759
"2001-04-17",18.525,18.700001,18.125,18.700001,1780400,13.389203
"2001-04-18",18.700001,19,18.49,18.855,1581800,13.500182
"2001-04-19",19,19.025,18.450001,18.895,2640000,13.528819
"2001-04-20",18.865,19.049999,18.504999,19,1057800,13.603998
"2001-04-23",18.99,18.995001,18.555,18.695,1606200,13.385619
"2001-04-24",18.65,19.525,18.555,19.475,2474400,13.944102
"2001-04-25",19.225,19.684999,19.025,19.674999,1268800,14.087301
"2001-04-26",20,20.17,19.75,19.754999,2352800,14.144582
"2001-04-27",20,20.025,19.775,20,805400,14.320002
"2001-04-30",20.25,20.4,19.875,19.875,1063200,14.230499
"2001-05-01",20.125,20.549999,20.125,20.389999,1294600,14.599241
"2001-05-02",20.6,20.620001,20.299999,20.514999,1327200,14.688739
"2001-05-03",20.35,20.514999,20.25,20.35,784400,14.570598
"2001-05-04",20.35,20.49,20.135,20.43,405800,14.627885
"2001-05-07",20.5,20.5,20.004999,20.030001,708200,14.341479
"2001-05-08",20.059999,20.125,19.775,20.055,1485200,14.359381
"2001-05-09",19.950001,20.155001,19.950001,19.975,601200,14.302104
"2001-05-10",19.98,20.09,19.799999,20.09,1197800,14.384439
"2001-05-11",20.1,20.200001,19.91,19.975,996200,14.302104
"2001-05-14",20.049999,20.245001,20.045,20.174999,569400,14.445299
"2001-05-15",20.17,20.174999,19.705,19.844999,865200,14.20902
"2001-05-16",19.875,20.6,19.805,20.51,685400,14.685162
"2001-05-17",20.51,21.299999,20.475,21.25,2023400,15.215004
"2001-05-18",21.125,21.125,20.525,20.655001,1299200,14.788987
"2001-05-21",20.9,21,20.625,20.985001,1373200,15.025263
"2001-05-22",21.110001,21.125,20.620001,20.959999,1373600,15.007359
"2001-05-23",21.049999,21.174999,20.875,20.875,1274200,14.946505
"2001-05-24",20.875,21.049999,20.200001,21.01,1268200,15.043162
"2001-05-25",21.004999,21.01,20.785,20.934999,564000,14.989464
"2001-05-29",20.809999,20.995001,20.705,20.799999,713000,14.892795
"2001-05-30",20.9,20.985001,20.5,20.620001,946600,14.76392
"2001-05-31",20.25,20.6,20.200001,20.299999,1538800,14.534799
"2001-06-01",20.549999,20.865,20.405001,20.85,1061200,14.928598
"2001-06-04",20.725,20.995001,20.405001,20.940001,571200,14.993038
