"","Open","High","Low","Close","Volume"
"2001-01-02",12.238909,12.504534,11.785784,12.020159,8253200
"2001-01-03",11.996274,12.215024,10.886899,10.996274,10621200
"2001-01-04",11.063437,11.172812,10.188437,10.407187,14894000
"2001-01-05",10.620407,10.886032,10.370407,10.729782,6247200
"2001-01-08",10.743072,11.352447,10.743072,11.024322,7047200
"2001-01-09",11.19976,11.215385,10.652885,10.85601,7630000
"2001-01-10",10.87927,11.34802,10.84802,10.926145,4845600
"2001-01-11",11.093951,11.265826,10.625201,10.687701,4665600
"2001-01-12",10.684964,10.684964,10.403714,10.513089,6849600
"2001-01-16",10.218867,10.859492,10.156367,10.765742,4787200
"2001-01-17",10.785863,10.785863,9.942113,10.035863,7710800
"2001-01-18",9.831676,9.831676,9.159801,9.769176,14735600
"2001-01-19",9.625112,10.062612,9.421987,9.937612,9270400
"2001-01-22",9.918538,10.231038,9.918538,10.106038,3670000
"2001-01-23",10.158748,10.439998,10.143123,10.330623,5634400
"2001-01-24",10.346248,10.564998,10.205623,10.330623,6909600
"2001-01-25",10.297256,10.687881,10.250381,10.625381,3667600
"2001-01-26",10.574004,10.761504,10.449004,10.527129,4761200
"2001-01-29",10.563882,10.721382,10.191382,10.191382,3847600
"2001-01-30",10.216255,10.266255,9.798755,9.993755,4783200
"2001-01-31",10.013077,10.198077,9.763077,9.823077,6278000
"2001-02-01",9.938033,10.020533,9.450533,9.713033,4325600
"2001-02-02",9.719606,10.219606,9.719606,10.207106,7096000
"2001-02-05",9.924687,10.387187,9.924687,10.162187,3293200
"2001-02-06",10.265328,10.515328,10.072828,10.355328,3076800
"2001-02-07",10.521052,10.746052,10.111052,10.636052,4278000
"2001-02-08",10.578082,10.765582,10.328082,10.353082,2854400
"2001-02-09",10.320757,10.785757,10.290757,10.660757,3979200
"2001-02-12",10.953636,11.003636,10.366136,10.458636,3979200
"2001-02-13",10.263633,10.636133,10.176133,10.591133,3431600
"2001-02-14",10.603422,10.883422,10.553422,10.570922,3619200
"2001-02-15",10.61342,10.61342,10.09842,10.17342,4911200
"2001-02-16",10.404605,10.629605,10.262105,10.339605,4524400
"2001-02-20",10.347192,10.522192,10.272192,10.294692,3381200
"2001-02-21",10.438674,10.676174,10.038674,10.038674,6849600
"2001-02-22",10.116423,10.203923,9.878923,9.903923,3140400
"2001-02-23",9.919388,10.111888,9.666888,9.789388,3176400
"2001-02-26",9.836848,9.999348,9.761848,9.944348,4626000
"2001-02-27",9.932057,10.109557,9.909557,9.964557,2584400
"2001-02-28",9.984133,9.984133,9.641633,9.791633,3330000
"2001-03-01",9.703112,9.878112,9.640612,9.800612,4851200
"2001-03-02",9.928501,10.161001,9.828501,10.128501,9336000
"2001-03-05",10.237739,10.462739,10.212739,10.267739,2931200
"2001-03-06",10.421726,10.546726,10.396726,10.409226,4499600
"2001-03-07",10.647449,11.059949,10.584949,10.954949,8378800
"2001-03-08",11.147583,11.300083,10.672583,11.285083,5651200
"2001-03-09",11.218513,11.393513,11.078513,11.321013,6679200
"2001-03-12",11.267486,11.292486,10.647486,10.667486,4880800
"2001-03-13",10.679738,10.704738,10.299738,10.537238,6553200
"2001-03-14",10.292063,10.479563,10.142063,10.229563,4060400
"2001-03-15",10.461385,10.486385,9.986385,10.058885,3136400
"2001-03-16",9.986127,10.208627,9.926127,10.061127,4697600
"2001-03-19",9.989011,10.336511,9.989011,10.256511,2903600
"2001-03-20",10.292826,10.685326,10.177826,10.487826,5006800
"2001-03-21",10.578923,10.611423,9.853923,9.903923,5675600
"2001-03-22",9.935955,9.948455,9.310955,9.620955,4847600
"2001-03-23",9.629685,9.957185,9.519685,9.764685,3486400
"2001-03-26",9.768461,9.958461,9.695961,9.753461,4236000
"2001-03-27",9.798667,9.878667,9.436167,9.508667,11815600
"2001-03-28",9.558833,9.668833,9.333833,9.418833,2657200
"2001-03-29",9.293364,9.295864,8.805864,9.003364,6588000
"2001-03-30",8.974379,9.314379,8.974379,9.259379,5249200
"2001-04-02",9.361793,9.391793,8.849293,8.906793,8120800
"2001-04-03",8.949291,8.961791,8.451791,8.509291,5719600
"2001-04-04",8.630011,8.897511,8.480011,8.790011,7132400
"2001-04-05",8.774763,9.079763,8.699763,9.057263,8214800
"2001-04-06",9.074252,9.094252,8.761752,9.061752,3359200
"2001-04-09",9.20731,9.43231,9.20731,9.43231,2413600
"2001-04-10",9.557652,9.692652,9.412652,9.650152,4311600
"2001-04-11",9.849958,9.849958,9.564958,9.584958,3938000
"2001-04-12",9.629307,9.781807,9.569307,9.746807,3683600
"2001-04-16",9.700293,10.087793,9.700293,10.027793,3398800
"2001-04-17",10.007644,10.207644,9.857644,10.185144,5079600
"2001-04-18",10.208319,10.335819,9.978319,10.000819,8219600
"2001-04-19",9.969331,9.984331,9.346831,9.724331,8235200
"2001-04-20",9.685736,9.923236,9.585736,9.823236,3693600
"2001-04-23",9.817557,10.555057,9.792557,10.542557,9175200
"2001-04-24",10.386362,10.723862,10.386362,10.486362,6566400
"2001-04-25",10.672637,10.795137,10.510137,10.720137,5232000
"2001-04-26",10.944113,11.049113,10.751613,10.751613,4258000
"2001-04-27",10.76747,10.80497,10.49497,10.63247,4216000
"2001-04-30",10.630416,10.830416,10.180416,10.427916,5856800
"2001-05-01",10.414118,10.414118,10.104118,10.216618,7300000
"2001-05-02",10.180002,10.182502,9.532502,9.540002,9256000
"2001-05-03",9.563324,9.738324,9.225824,9.465824,6272400
"2001-05-04",9.4625,9.9,9.4625,9.8075,6524400
"2001-05-07",9.999503,10.049503,9.787003,9.812003,5735200
"2001-05-08",9.828174,9.940674,9.673174,9.890674,2998000
"2001-05-09",9.860419,10.160419,9.860419,10.160419,3400000
"2001-05-10",10.151054,10.226054,9.976054,10.021054,4598000
"2001-05-11",10.030338,10.030338,9.907838,9.982838,4509200
"2001-05-14",10.121618,10.216618,10.016618,10.216618,3010000
"2001-05-15",10.173503,10.673503,10.173503,10.601003,5835600
"2001-05-16",10.657974,10.930474,10.607974,10.627974,7744400
"2001-05-17",10.415055,10.887555,10.325055,10.810055,5707200
"2001-05-18",10.781567,11.131567,10.771567,11.064067,3606400
"2001-05-21",11.074944,11.209944,11.052444,11.189944,3418800
"2001-05-22",11.192534,11.192534,10.932534,11.100034,4126000
"2001-05-23",10.945832,11.020832,10.495832,10.513332,9073600
"2001-05-24",10.285501,10.415501,10.090501,10.338001,9324400
"2001-05-25",10.228359,10.378359,10.128359,10.223359,5101600
"2001-05-29",10.352435,10.487435,10.024935,10.142435,3372000
"2001-05-30",10.14546,10.14546,9.74046,10.11546,6669200
"2001-05-31",10.055734,10.188234,9.895734,10.090734,4746000
"2001-06-01",10.12796,10.22796,9.81546,10.11546,3074000
"2001-06-04",10.287077,10.367077,10.212077,10.257077,2226800
"2001-06-05",10.051698,10.216698,10.034198,10.126698,5043200
"2001-06-06",10.072149,10.074649,9.322149,9.387149,11105200
"2001-06-07",9.402277,9.402277,9.174777,9.252277,12032400
"2001-06-08",9.367986,9.420486,8.937986,9.290486,7369200
"2001-06-11",9.369122,9.481622,9.194122,9.414122,6295200
"2001-06-12",9.622185,9.734685,9.477185,9.609685,6145200
"2001-06-13",9.726688,9.886688,9.329188,9.346688,4375600
"2001-06-14",9.368344,9.368344,9.158344,9.175844,3242000
"2001-06-15",9.025868,9.335868,9.025868,9.153368,2508000
"2001-06-18",9.179124,9.179124,8.864124,8.879124,6752000
"2001-06-19",8.994797,8.994797,8.802297,8.962297,6956400
"2001-06-20",9.011461,9.133961,8.758961,8.791461,4713600
"2001-06-21",8.90842,8.91842,8.06842,8.30592,7860400
"2001-06-22",8.316439,8.566439,8.128939,8.546439,7061600
"2001-06-25",8.403796,8.628796,8.403796,8.436296,6090800
"2001-06-26",8.417953,8.567953,8.292953,8.532953,4338000
"2001-06-27",8.439467,8.439467,8.174467,8.251967,4978800
"2001-06-28",8.316549,8.316549,7.841549,7.899049,7068000
"2001-06-29",8.078716,8.151216,7.903716,7.991216,6892800
"2001-07-02",8.13361,8.14611,7.74611,7.83611,4527600
"2001-07-03",7.823,8.0055,7.808,7.953,3196000
"2001-07-05",7.941106,8.291106,7.941106,8.103606,3009200
"2001-07-06",8.194703,8.319703,7.957203,8.272203,2991600
"2001-07-09",8.257496,8.257496,7.932496,7.957496,6753200
"2001-07-10",8.04359,8.11859,7.80609,7.85859,10427200
"2001-07-11",7.711595,7.711595,7.299095,7.586595,6388000
"2001-07-12",7.62395,7.78645,7.34145,7.47645,5466400
"2001-07-13",7.427244,7.804744,7.364744,7.649744,3511600
"2001-07-16",7.559163,7.761663,7.271663,7.339163,3558800
"2001-07-17",7.081368,7.306368,7.081368,7.161368,8650800
"2001-07-18",7.17609,7.19109,6.91859,7.05109,5303600
"2001-07-19",7.065098,7.200098,6.965098,7.082598,3556000
"2001-07-20",7.103884,7.286384,7.086384,7.228884,5237200
"2001-07-23",7.324384,7.439384,7.199384,7.224384,4372000
"2001-07-24",7.259812,7.259812,6.929812,6.949812,3461600
"2001-07-25",7.010237,7.625237,6.842737,7.622737,7194000
"2001-07-26",7.639522,7.827022,7.579522,7.764522,5642800
"2001-07-27",7.842387,8.217387,7.577387,8.189887,6578400
"2001-07-30",8.067077,8.339577,7.964577,7.967077,5908000
"2001-07-31",8.243325,8.243325,7.743325,7.955825,4961200
"2001-08-01",8.062027,8.209527,7.737027,7.787027,6032400
"2001-08-02",7.809565,7.947065,7.647065,7.922065,4145200
"2001-08-03",7.892768,7.915268,7.667768,7.735268,2132800
"2001-08-06",7.721492,7.858992,7.563992,7.633992,2708400
"2001-08-07",7.661722,7.779222,7.564222,7.564222,2272000
"2001-08-08",7.635139,7.710139,7.225139,7.240139,2886000
"2001-08-09",7.240635,7.353135,7.138135,7.235635,3616000
"2001-08-10",7.251658,7.426658,7.201658,7.316658,1857600
"2001-08-13",7.183921,7.506421,7.183921,7.363921,5830000
"2001-08-14",7.539465,7.539465,7.441965,7.539465,3488400
"2001-08-15",7.422124,8.149624,7.422124,8.147124,8561200
"2001-08-16",8.137615,8.140115,7.870115,8.120115,7024800
"2001-08-17",8.140571,8.140571,7.745571,7.935571,2636400
"2001-08-20",7.960755,7.963255,7.673255,7.685755,2693200
"2001-08-21",7.774496,7.796996,7.611996,7.674496,1725600
"2001-08-22",7.771732,8.084232,7.534232,7.586732,4884400
"2001-08-23",7.647703,7.647703,7.457703,7.487703,5970800
"2001-08-24",7.438421,7.483421,7.283421,7.368421,3474000
"2001-08-27",7.376408,7.416408,7.226408,7.318908,4073600
"2001-08-28",7.265886,7.338386,7.223386,7.233386,3018000
"2001-08-29",7.316888,7.391888,7.071888,7.246888,4306000
"2001-08-30",7.312351,7.322351,6.964851,7.107351,6051200
"2001-08-31",7.106357,7.198857,7.023857,7.116357,3770800
"2001-09-04",7.314405,7.326905,7.189405,7.314405,3626800
"2001-09-05",7.270613,7.273113,7.023113,7.145613,6250800
"2001-09-06",7.137412,7.412412,7.074912,7.332412,3097600
"2001-09-07",7.260164,7.460164,7.210164,7.352664,3075600
"2001-09-10",7.263669,7.453669,7.238669,7.366169,4176800
"2001-09-17",7.432557,7.530057,6.907557,6.925057,4968800
"2001-09-18",6.76945,6.93695,6.43445,6.52445,6273600
"2001-09-19",6.546899,6.599399,6.054399,6.321899,7279200
"2001-09-20",6.291887,6.549387,6.206887,6.276887,4937600
"2001-09-21",5.979414,6.436914,5.954414,6.389414,4749600
"2001-09-24",6.797842,6.797842,6.097842,6.110342,9009200
"2001-09-25",6.087314,6.159814,5.909814,6.002314,5164000
"2001-09-26",6.083063,6.085563,5.880563,5.995563,5196800
"2001-09-27",5.769103,6.244103,5.769103,6.144103,6070400
"2001-09-28",6.315948,6.630948,6.263448,6.510948,4646800
"2001-10-01",6.44816,6.48316,6.20816,6.35566,5650400
"2001-10-02",6.254198,6.529198,6.254198,6.504198,2577200
"2001-10-03",6.313232,6.713232,6.265732,6.648232,4257600
"2001-10-04",6.666328,7.123828,6.666328,7.003828,4872000
"2001-10-05",7.090098,7.147598,6.890098,7.082598,5476800
"2001-10-08",7.056381,7.351381,6.976381,7.206381,3940800
"2001-10-09",7.200635,7.330635,7.025635,7.235635,3540400
"2001-10-10",7.201994,7.651994,7.201994,7.651994,5016000
"2001-10-11",7.652496,7.814996,7.499996,7.647496,3843200
"2001-10-12",7.651744,7.776744,7.426744,7.654244,4282800
"2001-10-15",7.688151,7.688151,7.250651,7.413151,3646800
"2001-10-16",7.408784,7.781284,7.408784,7.681284,3622000
"2001-10-17",7.808752,7.961252,7.636252,7.658752,6595200
"2001-10-18",7.481488,7.543988,7.343988,7.473988,4246800
"2001-10-19",7.286004,7.713504,7.176004,7.661004,4238800
"2001-10-22",7.52638,7.77388,7.49888,7.74888,4129600
"2001-10-23",7.701103,8.096103,7.566103,7.728603,7611600
"2001-10-24",7.714043,7.964043,7.569043,7.861543,27489200
"2001-10-25",7.812193,8.314693,7.789693,8.312193,14452000
"2001-10-26",8.094699,8.694699,8.094699,8.494699,14991200
"2001-10-29",8.914519,8.914519,8.537019,8.542019,13771200
"2001-10-30",8.397019,8.399519,7.869519,8.017019,12000400
