"","ESV.Open","ESV.High","ESV.Low","ESV.Close","ESV.Volume","ESV.Adjusted"
"2001-01-02",138.5,144,137.5,138.5,309200,106.468994
"2001-01-03",137,141,129.5,129.75,498200,99.742615
"2001-01-04",128.5,128.75,120.75,123,727900,94.553696
"2001-01-05",124,130.5,121,126,697900,96.859909
"2001-01-08",128.5,133.75,128.5,131,432300,100.703522
"2001-01-09",135,136.5,130.5,134,392600,103.009727
"2001-01-10",132,138.5,132,137.25,290200,105.508072
"2001-01-11",137.25,140.5,135.75,138.25,227600,106.276833
"2001-01-12",136.75,139.5,135.75,139.5,227500,107.237747
"2001-01-16",142,142.25,136.5,140.5,323500,108.00647
"2001-01-17",139,139,132.25,134.75,407000,103.586273
"2001-01-18",134.75,135.5,124,127.25,508200,97.820786
"2001-01-19",126.25,132.75,124.75,126.5,412700,97.244255
"2001-01-22",127,130.75,125,129.5,240800,99.550415
"2001-01-23",131.5,134,128.75,132.75,323900,102.04882
"2001-01-24",133.75,139,132,137.75,266700,105.892456
"2001-01-25",138.5,146.25,136,145,371200,111.465721
"2001-01-26",145.5,149.5,144.75,146.5,505600,112.618866
"2001-01-29",146.479996,148.759995,140.639999,142.199997,254000,109.313316
"2001-01-30",142,144,139,141.759995,295000,108.975052
"2001-01-31",142,145.479996,142,144.199997,239300,110.850739
"2001-02-01",142,144.399994,138.679993,143,178700,109.928261
"2001-02-02",143.039993,147.880005,143.039993,146,242400,112.234451
"2001-02-05",148,154,148,153.919998,355100,118.322792
"2001-02-06",153.919998,159.199997,151.080002,158.360001,346100,121.735992
"2001-02-07",158.360001,162.800003,153.360001,161.199997,641800,123.919174
"2001-02-08",161.199997,161.800003,157.199997,158.559998,241500,121.889671
"2001-02-09",158.559998,162.559998,157.199997,160.880005,339700,123.673195
"2001-02-12",159,159.600006,154.119995,156.360001,273400,120.198494
"2001-02-13",154.720001,157.600006,152.679993,155.199997,225100,119.306808
"2001-02-14",155.199997,158.399994,153.399994,157.199997,207800,120.844284
"2001-02-15",155.199997,157.199997,153.639999,156,230800,119.921745
"2001-02-16",157.600006,160.399994,155.399994,156.600006,200400,120.38298
"2001-02-20",159.600006,161.399994,157.720001,159.320007,299900,122.473923
