"","Open","High","Low","Close","Volume"
"2001-01-02",11.596192,11.639161,10.201661,10.357911,2412800
"2001-01-03",10.03685,11.34935,9.97435,11.34935,4147200
"2001-01-04",11.073843,12.214468,11.073843,11.636343,3183200
"2001-01-05",11.729801,11.729801,11.448551,11.479801,1654800
"2001-01-08",11.479801,11.542301,10.979801,11.479801,2389600
"2001-01-09",11.588295,11.69767,10.463295,11.01017,1688400
"2001-01-10",10.999269,11.030519,10.749269,10.749269,1311200
"2001-01-11",10.653231,10.934481,10.653231,10.918856,882400
"2001-01-12",10.921288,11.015038,10.327538,10.827538,1021600
"2001-01-16",10.837863,10.837863,10.462863,10.775363,1068800
"2001-01-17",10.775651,11.088151,10.713151,10.931901,940000
"2001-01-18",10.927388,11.021138,10.818013,10.954732,877600
"2001-01-19",11.014747,11.014747,10.670997,10.670997,1572400
"2001-01-22",10.726197,10.944947,10.616822,10.944947,2196800
"2001-01-23",10.803884,11.163259,10.694509,10.710134,3930000
"2001-01-24",10.712711,10.759586,10.587711,10.697086,1530400
"2001-01-25",10.65854,11.267915,10.43979,10.97104,1257600
"2001-01-26",10.976637,11.445387,10.757887,11.179762,856400
"2001-01-29",11.085336,12.210336,11.061899,12.210336,2609600
"2001-01-30",12.053497,12.662872,11.826935,11.897247,2484400
"2001-01-31",11.815729,12.499323,11.686823,12.171198,2395200
"2001-02-01",12.189256,12.470506,11.548631,12.079881,816400
"2001-02-02",12.199138,12.230388,11.699138,11.792888,739200
"2001-02-05",11.774976,12.009351,11.528882,11.962476,455600
"2001-02-06",11.94943,12.10568,11.85568,11.94943,724400
"2001-02-07",11.957166,12.035291,11.847791,11.910291,746000
"2001-02-08",11.912228,11.912228,11.646603,11.900509,303200
"2001-02-09",11.990414,11.990414,11.443539,11.584164,979600
"2001-02-12",11.499089,11.874089,11.436589,11.698308,1208800
"2001-02-13",11.626317,12.095067,11.626317,11.845067,1701200
"2001-02-14",11.845359,12.032859,11.782859,12.001609,3659200
"2001-02-15",11.960189,12.382064,11.960189,12.132064,1167200
"2001-02-16",12.139509,12.264509,11.811384,11.936384,954400
"2001-02-20",11.866439,12.288314,11.819564,12.132064,2773600
"2001-02-21",11.749763,12.734138,11.734138,12.406013,1837600
"2001-02-22",12.463203,12.463203,12.150703,12.353828,2876000
"2001-02-23",12.327448,12.374323,12.093073,12.171198,3490400
"2001-02-26",12.257064,12.319564,11.850814,12.132064,2544800
"2001-02-27",12.108843,12.296343,12.077593,12.249468,2289600
"2001-02-28",12.246741,12.277991,11.949866,12.184241,1635200
"2001-03-01",12.111276,12.173776,11.939401,12.158151,2427600
"2001-03-02",12.245718,12.245718,11.448843,11.636343,3490400
"2001-03-05",11.626026,12.094776,11.376026,11.688526,1190400
"2001-03-06",11.693976,11.928351,11.600226,11.818976,2008800
"2001-03-07",11.813817,12.032567,11.751317,11.845067,1682000
"2001-03-08",11.90182,11.99557,11.46432,11.55807,1673200
"2001-03-09",11.648366,11.648366,10.913991,11.101491,3791200
"2001-03-12",11.123098,11.216848,9.810598,10.123098,4108400
"2001-03-13",10.133997,10.493372,9.665247,10.383997,2515200
"2001-03-14",10.352613,10.364332,9.567457,9.614332,2471600
"2001-03-15",9.906271,10.148458,9.523458,9.757833,1232000
"2001-03-16",9.798523,9.829773,9.048523,9.236023,2909200
"2001-03-19",9.216264,10.060014,9.185014,9.810014,4083600
"2001-03-20",9.825639,10.122514,9.747514,9.810014,2914400
"2001-03-21",9.461395,10.367645,9.44577,9.992645,2022800
"2001-03-22",9.991917,9.991917,9.523167,9.601292,5368800
"2001-03-23",9.611315,9.830065,9.236315,9.392565,1550000
"2001-03-26",9.438178,10.188178,9.395209,10.110053,3308000
"2001-03-27",10.085579,10.409798,10.066048,10.253548,3415200
"2001-03-28",10.209254,10.365504,10.037379,10.240504,1985200
"2001-03-29",10.206528,10.300278,9.956528,10.175278,1358400
"2001-03-30",10.230622,10.824372,10.074372,10.527497,2008400
"2001-04-02",10.647196,10.772196,10.350321,10.475321,2019600
"2001-04-03",10.536797,10.536797,9.849297,9.927422,1808000
"2001-04-04",9.885554,9.979304,9.588679,9.823054,2234400
"2001-04-05",9.914227,9.988446,9.554852,9.836102,2384800
"2001-04-06",9.862933,9.874652,9.546527,9.562152,1942800
"2001-04-09",9.599224,9.674224,9.536724,9.611724,1288000
"2001-04-10",9.701521,10.101521,9.604021,9.726521,1599200
"2001-04-11",9.718792,9.718792,9.523792,9.601292,2526800
"2001-04-12",9.379746,9.444746,9.282246,9.444746,6311200
"2001-04-16",9.484428,9.596928,9.369428,9.496928,2318400
"2001-04-17",9.435014,9.932514,9.435014,9.810014,1954000
"2001-04-18",9.892172,11.019672,9.884672,10.519672,4205600
"2001-04-19",10.633186,10.775686,10.450686,10.615686,1153600
"2001-04-20",10.706797,10.771797,9.521797,10.319297,5734800
"2001-04-23",10.398665,10.401165,9.926165,9.981165,951600
"2001-04-24",10.023217,10.110717,9.710717,9.743217,1612800
