"","EXPE.Open","EXPE.High","EXPE.Low","EXPE.Close","EXPE.Volume","EXPE.Adjusted"
"2005-07-21",48.220001,49.200001,47.84,48.040001,109200,31.871658
"2005-07-22",49.240002,49.799999,47.900002,49.720001,56800,32.98624
"2005-07-25",49.799999,49.799999,48.299999,48.48,39600,32.16357
"2005-07-26",48.700001,48.700001,47.5,48,102400,31.84511
"2005-07-27",48,48.240002,47.299999,48.139999,98100,31.938004
"2005-07-28",48.200001,48.240002,47.82,48.099998,93600,31.91147
"2005-07-29",48.200001,48.700001,47.700001,48.68,60700,32.296257
"2005-08-01",48.459999,49,48.200001,48.700001,164900,32.309528
"2005-08-02",52,52,47.279999,48.099998,299700,31.91147
"2005-08-03",48.540001,48.540001,47.52,47.700001,147700,31.64608
"2005-08-04",47.540001,47.779999,46.700001,47.200001,141200,31.314377
"2005-08-05",47.380001,47.380001,46.299999,46.740002,207000,31.009186
"2005-08-08",47,47.299999,42.52,45,6384200,29.854795
"2005-08-09",46.540001,47.700001,45.040001,47.700001,4870300,31.64608
"2005-08-10",48.380001,49.040001,47.34,47.400002,2559000,31.44705
"2005-08-11",47.16,47.560001,45.560001,45.740002,1705100,30.345743
"2005-08-12",45.459999,45.5,43,44.599998,1688900,29.589424
"2005-08-15",45,45.16,42.599998,42.880001,1489800,28.448303
"2005-08-16",42.580002,43.200001,41.380001,42.900002,2345600,28.461578
"2005-08-17",42.360001,43.98,42.299999,43.380001,1120600,28.780025
"2005-08-18",42.580002,44,42.580002,43.5,1339900,28.859638
"2005-08-19",43.220001,43.799999,43.080002,43.299999,736700,28.726946
"2005-08-22",43.400002,43.599998,42.400002,43.200001,1630600,28.66061
"2005-08-23",42.759998,43.279999,42.419998,42.900002,1077200,28.461578
"2005-08-24",42.599998,43.560001,42.439999,43.200001,1159600,28.66061
"2005-08-25",42.860001,44.619999,42.860001,44.32,789600,29.40366
"2005-08-26",44.279999,45.060001,43.799999,44.220001,539900,29.33732
"2005-08-29",44.099998,45,43.799999,44.68,465000,29.642496
"2005-08-30",44.080002,45,44,44.799999,606100,29.722111
"2005-08-31",44.540001,44.860001,44,44.52,826900,29.536339
"2005-09-01",44.279999,44.880001,44.119999,44.439999,740500,29.483267
"2005-09-02",44.380001,45.259998,43.439999,44.740002,918500,29.682304
"2005-09-06",43.380001,45.099998,43.380001,44.18,1242200,29.310778
"2005-09-07",43.900002,45.18,43.82,44.560001,683400,29.562883
"2005-09-08",44.34,45.939999,44.040001,44.900002,640200,29.788454
"2005-09-09",44,44.700001,43.5,44.119999,1995900,29.270967
"2005-09-12",43.900002,45.580002,43.900002,44.200001,1010600,29.324053
"2005-09-13",44.68,44.82,44,44.139999,748300,29.284237
"2005-09-14",43.880001,44.279999,43.5,43.639999,727300,28.952518
"2005-09-15",43.459999,43.700001,42.099998,42.82,1261400,28.408503
"2005-09-16",42.5,42.919998,41.5,42,951900,27.864477
"2005-09-19",41.599998,42.619999,41.52,42.099998,1082000,27.930822
"2005-09-20",42.139999,42.139999,41.52,41.880001,665300,27.784859
"2005-09-21",42.880001,43,37.220001,41.299999,896600,27.400066
"2005-09-22",41.32,41.34,39.259998,40.5,972600,26.869324
"2005-09-23",40.580002,40.599998,39.5,40.16,690200,26.643755
"2005-09-26",40.060001,40.66,39.799999,40.080002,765500,26.590681
"2005-09-27",40.080002,40.540001,39.299999,39.84,676500,26.43145
"2005-09-28",39.759998,39.860001,39.279999,39.459999,651600,26.179338
"2005-09-29",39.220001,40.220001,39.080002,40.040001,1144100,26.564133
"2005-09-30",39.299999,39.98,39.040001,39.619999,1072900,26.285492
"2005-10-03",40.82,42.5,40.400002,40.82,1023300,27.081619
"2005-10-04",40.880001,42.040001,40.799999,41.18,672800,27.320452
"2005-10-05",41.200001,41.540001,39.84,40.18,538700,26.657022
"2005-10-06",40.599998,40.599998,39.32,40.080002,367700,26.590681
"2005-10-07",39.84,40.799999,39.439999,40.200001,546500,26.670296
"2005-10-10",40,41,39.799999,40.599998,442300,26.935659
"2005-10-11",40.619999,41.16,39.799999,40.099998,446000,26.603947
"2005-10-12",39.900002,40.5,39.080002,39.299999,620300,26.073198
"2005-10-13",39.040001,39.82,38.599998,39.52,621500,26.219145
"2005-10-14",39.619999,41.919998,39.400002,40.279999,479800,26.723356
"2005-10-17",40.16,41,39.5,40.84,600700,27.094893
"2005-10-18",40.939999,41.16,39.400002,39.740002,300700,26.365105
"2005-10-19",39.700001,39.98,38.900002,39.18,467400,25.993576
"2005-10-20",39.040001,39.400002,37.959999,39,588100,25.874161
"2005-10-21",38.720001,39.880001,38.419998,39.16,417200,25.980305
"2005-10-24",39.240002,39.240002,37.720001,38.540001,794000,25.568977
"2005-10-25",38.18,38.48,37.5,37.66,491100,24.985151
"2005-10-26",37.619999,38.060001,37.02,37.48,471600,24.865726
"2005-10-27",38.16,38.200001,37.400002,37.66,572600,24.985151
"2005-10-28",37.18,37.779999,37.16,37.560001,607300,24.918814
"2005-10-31",37.220001,38.459999,36.98,37.700001,903800,25.011694
"2005-11-01",37.360001,38.380001,37.360001,38.080002,820800,25.263798
"2005-11-02",37.880001,39.080002,37.599998,38.799999,824000,25.741472
"2005-11-03",41,41.939999,40.259998,41.419998,2266800,27.479687
"2005-11-04",46.959999,48.240002,44.400002,45.459999,4354600,30.159983
"2005-11-07",45.599998,45.740002,44.119999,45.259998,723600,30.027298
"2005-11-08",44.84,45.799999,43.799999,45.18,704700,29.974218
"2005-11-09",45.240002,45.580002,44.040001,44.599998,823200,29.589424
"2005-11-10",44.200001,44.919998,43.82,44,647100,29.191362
"2005-11-11",43.98,44.240002,42.759998,43,686900,28.527927
"2005-11-14",43,43.639999,42.299999,43.139999,949800,28.6208
"2005-11-15",42.919998,43.18,42.16,43.02,661400,28.541193
"2005-11-16",43.380001,44.16,42.740002,42.82,575300,28.408503
"2005-11-17",42.900002,43.740002,42.32,43.299999,1132600,28.726946
"2005-11-18",43.299999,43.82,43.099998,43.400002,833900,28.793301
"2005-11-21",43.360001,45.799999,43.360001,45.200001,2279800,29.987495
"2005-11-22",45.439999,47.380001,44.84,46.799999,1898600,31.04899
"2005-11-23",46.200001,46.799999,45.099998,45.599998,1132300,30.252859
"2005-11-25",45.880001,46.84,45.880001,46.279999,193300,30.703999
"2005-11-28",46.700001,46.939999,45.84,46.380001,645500,30.770346
"2005-11-29",46.259998,48.5,46.200001,47.32,1951800,31.393974
"2005-11-30",47.939999,49.98,47.48,49.779999,2771500,33.026047
"2005-12-01",49.779999,50.16,49.259998,49.68,1448900,32.959702
"2005-12-02",49.299999,49.860001,48.799999,49.799999,470800,33.03931
"2005-12-05",49.939999,49.939999,48.279999,48.759998,1101300,32.349339
"2005-12-06",49.259998,49.580002,48.419998,48.619999,676400,32.256443
"2005-12-07",48.419998,49.599998,48.419998,49.16,995900,32.614708
"2005-12-08",49,49.540001,48.400002,49.240002,528500,32.667786
"2005-12-09",49.099998,50.240002,48.66,49.799999,980900,33.03931
"2005-12-12",50.5,50.599998,49.200001,50.400002,704400,33.437374
"2005-12-13",50.299999,50.860001,49.459999,50.240002,891500,33.331234
"2005-12-14",50.419998,50.959999,49.619999,50.720001,693100,33.649685
"2005-12-15",50.860001,51.16,50.060001,50.860001,834800,33.742546
"2005-12-16",51.299999,52.639999,49.919998,52.200001,8207900,34.631565
"2005-12-19",51.32,51.880001,49.599998,50.84,2319800,33.729282
"2005-12-20",50.98,51.119999,48.900002,49.52,1073300,32.85355
"2005-12-21",49.32,49.52,48.299999,48.639999,1044600,32.269718
"2005-12-22",48.82,49.119999,47.220001,48.360001,1500000,32.083961
"2005-12-23",48.52,48.779999,47.540001,47.919998,498500,31.792046
"2005-12-27",47.799999,48.439999,46.299999,47.439999,550500,31.473587
"2005-12-28",47.139999,48.119999,46.200001,47.900002,946900,31.778778
"2005-12-29",48,48.459999,47.360001,47.66,449400,31.619545
"2005-12-30",47.360001,48.380001,46.799999,47.919998,529000,31.792046
"2006-01-03",48,48.400002,46.900002,48,1029700,31.84511
"2006-01-04",48,48.599998,47.18,48.5,1135500,32.176846
"2006-01-05",48.66,48.700001,47.599998,48,618800,31.84511
"2006-01-06",48.48,48.68,47.220001,48.02,1600500,31.858391
"2006-01-09",48.080002,49.02,47.599998,48.84,1079500,32.402412
"2006-01-10",49.720001,50.799999,49.040001,50.619999,1861100,33.583332
"2006-01-11",50.560001,51.299999,50.099998,50.880001,966900,33.755825
"2006-01-12",50.5,51.400002,50.099998,51.259998,854700,34.007935
"2006-01-13",51.060001,51.599998,50.740002,51.439999,635100,34.127354
"2006-01-17",51.68,51.98,51.439999,51.740002,1292000,34.326382
"2006-01-18",51.34,52.259998,51.34,51.919998,1305900,34.445816
"2006-01-19",51.900002,52.220001,51.259998,51.959999,437200,34.472351
"2006-01-20",51.459999,52,50.419998,50.700001,760500,33.636417
"2006-01-23",50.540001,51.540001,50,51.32,634200,34.047737
"2006-01-24",51.32,51.759998,50.5,50.98,1179400,33.822166
"2006-01-25",50.84,51,49.400002,50.599998,589100,33.570065
"2006-01-26",51.200001,51.799999,50.619999,51.34,605000,34.061016
"2006-01-27",51.380001,53.099998,51.139999,52.34,972600,34.724449
"2006-01-30",52.66,53.220001,52.259998,52.619999,736800,34.910213
"2006-01-31",52.580002,52.919998,51.200001,52.040001,587300,34.525414
"2006-02-01",51.860001,52.599998,50.959999,52.360001,418400,34.737717
"2006-02-02",52.02,55.099998,51.240002,51.779999,753800,34.352917
"2006-02-03",50.959999,51.34,49.599998,50.939999,846800,33.79562
"2006-02-06",50.459999,51.18,50.400002,51.040001,393200,33.861984
"2006-02-07",50.540001,51.439999,50.400002,51.080002,491200,33.888515
"2006-02-08",51.060001,51.740002,50.66,51.400002,486600,34.1008
"2006-02-09",51.259998,52.220001,50.200001,50.48,440400,33.490444
"2006-02-10",48.619999,48.799999,47.099998,48.48,2202100,32.16357
"2006-02-13",48.040001,48.560001,47.639999,48.400002,735400,32.110497
"2006-02-14",48.16,48.400002,46.560001,47.66,1425600,31.619545
"2006-02-15",47.419998,49.279999,46.98,48.5,1952100,32.176846
"2006-02-16",39.400002,41.52,38.900002,39.639999,13689600,26.298758
"2006-02-17",39.599998,41,39.459999,40.240002,2051000,26.696825
"2006-02-21",40.139999,40.419998,39.560001,39.959999,2299400,26.511059
"2006-02-22",40.200001,41.119999,39.959999,40.599998,1656900,26.935659
"2006-02-23",40.560001,40.599998,39.880001,40.040001,852400,26.564133
"2006-02-24",39.880001,40,39,39.040001,1933200,25.900698
"2006-02-27",39.240002,39.68,38.98,39.02,1206600,25.887428
