"","Open","High","Low","Close","Volume"
"2005-07-21",32.051658,33.031658,31.671657,31.871658,109200
"2005-07-22",32.506241,33.066238,31.166241,32.98624,56800
"2005-07-25",33.483569,33.483569,31.983569,32.16357,39600
"2005-07-26",32.545111,32.545111,31.34511,31.84511,102400
"2005-07-27",31.798005,32.038007,31.098004,31.938004,98100
"2005-07-28",32.011473,32.051474,31.631472,31.91147,93600
"2005-07-29",31.816258,32.316258,31.316258,32.296257,60700
"2005-08-01",32.069526,32.609527,31.809528,32.309528,164900
"2005-08-02",35.811472,35.811472,31.091471,31.91147,299700
"2005-08-03",32.48608,32.48608,31.466079,31.64608,147700
"2005-08-04",31.654377,31.894375,30.814377,31.314377,141200
"2005-08-05",31.649185,31.649185,30.569183,31.009186,207000
"2005-08-08",31.854795,32.154794,27.374795,29.854795,6384200
"2005-08-09",30.48608,31.64608,28.98608,31.64608,4870300
"2005-08-10",32.427049,33.087049,31.387048,31.44705,2559000
"2005-08-11",31.765741,32.165742,30.165742,30.345743,1705100
"2005-08-12",30.449425,30.489426,27.989426,29.589424,1688900
"2005-08-15",30.568302,30.728302,28.1683,28.448303,1489800
"2005-08-16",28.141578,28.761577,26.941577,28.461578,2345600
"2005-08-17",27.760025,29.380024,27.700023,28.780025,1120600
"2005-08-18",27.93964,29.359638,27.93964,28.859638,1339900
"2005-08-19",28.646948,29.226946,28.506949,28.726946,736700
"2005-08-22",28.860611,29.060607,27.860611,28.66061,1630600
"2005-08-23",28.321574,28.841575,27.981574,28.461578,1077200
"2005-08-24",28.060607,29.02061,27.900608,28.66061,1159600
"2005-08-25",27.943661,29.703659,27.943661,29.40366,789600
"2005-08-26",29.397318,30.17732,28.917318,29.33732,539900
"2005-08-29",29.062494,29.962496,28.762495,29.642496,465000
"2005-08-30",29.002114,29.922112,28.922112,29.722111,606100
"2005-08-31",29.55634,29.87634,29.016339,29.536339,826900
"2005-09-01",29.323267,29.923269,29.163267,29.483267,740500
"2005-09-02",29.322303,30.2023,28.382301,29.682304,918500
"2005-09-06",28.510779,30.230776,28.510779,29.310778,1242200
"2005-09-07",28.902884,30.182882,28.822882,29.562883,683400
"2005-09-08",29.228452,30.828451,28.928453,29.788454,640200
"2005-09-09",29.150968,29.850969,28.650968,29.270967,1995900
"2005-09-12",29.024054,30.704054,29.024054,29.324053,1010600
"2005-09-13",29.824238,29.964238,29.144238,29.284237,748300
"2005-09-14",29.19252,29.592518,28.812519,28.952518,727300
"2005-09-15",29.048502,29.288504,27.688501,28.408503,1261400
"2005-09-16",28.364477,28.784475,27.364477,27.864477,951900
"2005-09-19",27.430822,28.450823,27.350824,27.930822,1082000
"2005-09-20",28.044857,28.044857,27.424858,27.784859,665300
"2005-09-21",28.980068,29.100067,23.320068,27.400066,896600
"2005-09-22",27.689324,27.709324,25.629322,26.869324,972600
"2005-09-23",27.063757,27.083753,25.983755,26.643755,690200
"2005-09-26",26.57068,27.170679,26.310678,26.590681,765500
"2005-09-27",26.671452,27.131451,25.891449,26.43145,676500
"2005-09-28",26.479337,26.57934,25.999338,26.179338,651600
"2005-09-29",25.744133,26.744133,25.604134,26.564133,1144100
"2005-09-30",25.965492,26.645493,25.705494,26.285492,1072900
"2005-10-03",27.081619,28.761619,26.661621,27.081619,1023300
"2005-10-04",27.020453,28.180453,26.940451,27.320452,672800
