"","Open","High","Low","Close","Volume"
"2001-01-02",2.511963,2.511963,2.297119,2.336181,3912000
"2001-01-03",2.272454,2.392571,2.111321,2.34179,12102400
"2001-01-04",2.354909,2.362721,2.175221,2.179127,9368000
"2001-01-05",2.188141,2.246735,2.160798,2.195954,8500800
"2001-01-08",2.184235,2.23111,2.102204,2.195954,5556800
"2001-01-09",2.220693,2.291005,2.103505,2.123036,3801600
"2001-01-10",2.085377,2.261159,2.081471,2.179127,3152000
"2001-01-11",2.184161,2.277911,2.156817,2.235919,3534400
"2001-01-12",2.222796,2.390765,2.191546,2.207171,4568000
"2001-01-16",2.157893,2.177424,2.079768,2.173518,8881600
"2001-01-17",2.097096,2.339284,2.09319,2.179127,7094400
"2001-01-18",2.150583,2.341989,2.107614,2.271677,4196800
"2001-01-19",2.27388,2.301223,2.203567,2.266067,3232000
"2001-01-22",2.287001,2.318251,2.185439,2.212782,2780800
"2001-01-23",2.176751,2.325188,2.173821,2.314446,3555200
"2001-01-24",2.336982,2.391669,2.262763,2.274482,2513600
"2001-01-25",2.248642,2.412705,2.24083,2.350205,2360000
"2001-01-26",2.32887,2.375745,2.281995,2.324963,1608000
"2001-01-29",2.270879,2.454473,2.270879,2.442754,2356800
"2001-01-30",2.381107,2.613529,2.363529,2.554935,6844800
"2001-01-31",2.600609,2.635766,2.487328,2.538109,2075200
"2001-02-01",2.514169,2.553232,2.475107,2.549325,1284800
"2001-02-02",2.487527,2.612527,2.487527,2.577371,1414400
"2001-02-05",2.567456,2.661206,2.551831,2.602612,2512000
"2001-02-06",2.612028,2.670622,2.584685,2.588591,2355200
"2001-02-07",2.559143,2.660705,2.527893,2.61383,1729600
"2001-02-08",2.628053,2.639771,2.518678,2.55774,1648000
"2001-02-09",2.522785,2.698566,2.487629,2.597004,1736000
"2001-02-12",2.581379,2.60091,2.526691,2.597004,1600000
"2001-02-13",2.55133,2.680236,2.55133,2.61383,3076800
"2001-02-14",2.610376,2.69436,2.608423,2.647485,1819200
"2001-02-15",2.628455,2.812049,2.601112,2.745643,3200000
"2001-02-16",2.754858,2.758764,2.684546,2.692358,3518400
"2001-02-20",2.715995,2.726737,2.614432,2.622245,3923200
"2001-02-21",2.640911,2.640911,2.554974,2.55888,2782400
"2001-02-22",2.565695,2.572531,2.478781,2.513937,3222400
"2001-02-23",2.479265,2.530047,2.479265,2.502703,2105600
"2001-02-26",2.474916,2.603822,2.451478,2.603822,3126400
"2001-02-27",2.591266,2.653766,2.536579,2.645954,2542400
"2001-02-28",2.630108,2.719952,2.591045,2.696514,14265600
"2001-03-01",2.616194,2.729475,2.553694,2.702132,10980800
"2001-03-02",2.659163,2.741194,2.659163,2.702132,8603200
"2001-03-05",2.532321,2.684665,2.516696,2.676852,28040000
"2001-03-06",2.638535,2.724472,2.603378,2.704941,13014400
"2001-03-07",2.662627,2.850127,2.65872,2.803252,12046400
"2001-03-08",2.770904,2.821685,2.770904,2.80606,13848000
"2001-03-09",2.782845,2.806283,2.712533,2.755501,6379200
"2001-03-12",2.74803,2.749007,2.670882,2.702132,9550400
"2001-03-13",2.655795,2.812045,2.647982,2.740755,15926400
"2001-03-14",2.6499,2.778806,2.626463,2.735838,8944000
"2001-03-15",2.763091,2.861724,2.688872,2.80606,14036800
"2001-03-16",2.792982,2.921888,2.750013,2.769545,14393600
"2001-03-19",2.807405,2.810334,2.592561,2.672639,19009600
"2001-03-20",2.75248,2.78373,2.553261,2.553261,12331200
"2001-03-21",2.586183,2.613527,2.426027,2.468996,15651200
"2001-03-22",2.478974,2.493623,2.364716,2.395966,15889600
"2001-03-23",2.409043,2.502793,2.409043,2.432481,6128000
"2001-03-26",2.39788,2.517021,2.395927,2.516044,6590400
"2001-03-27",2.520522,2.540053,2.461928,2.497084,7536000
"2001-03-28",2.46961,2.504766,2.43836,2.477423,6968000
"2001-03-29",2.447662,2.541412,2.447662,2.5336,4411200
"2001-03-30",2.565544,2.566521,2.441521,2.449333,7830400
"2001-04-02",2.457277,2.500246,2.457277,2.468996,7483200
"2001-04-03",2.456492,2.478953,2.339305,2.351023,14022400
"2001-04-04",2.276897,2.394084,2.171428,2.280803,44849600
"2001-04-05",2.258018,2.429893,2.258018,2.379112,13692800
"2001-04-06",2.357255,2.396318,2.326005,2.365068,5888000
"2001-04-09",2.3696,2.447725,2.291475,2.301475,6851200
"2001-04-10",2.283711,2.468086,2.283711,2.409336,5545600
"2001-04-11",2.380541,2.521791,2.379916,2.483041,10252800
"2001-04-12",2.454522,2.508897,2.438272,2.477647,5337600
"2001-04-16",2.466186,2.528686,2.466186,2.486186,3740800
"2001-04-17",2.481305,2.53443,2.46443,2.49068,5273600
"2001-04-18",2.39069,2.791315,2.38944,2.773815,14174400
"2001-04-19",2.680313,2.948438,2.647188,2.891563,15105600
"2001-04-20",2.833094,2.893094,2.745594,2.866844,9081600
"2001-04-23",2.807551,2.827551,2.777551,2.785051,6620800
"2001-04-24",2.801091,2.849216,2.753591,2.753591,6267200
"2001-04-25",2.794903,2.842403,2.749903,2.763028,3603200
"2001-04-26",2.733831,2.883831,2.727581,2.856956,5041600
"2001-04-27",2.848143,2.996893,2.848143,2.887518,4456000
"2001-04-30",2.878233,2.930108,2.877608,2.914483,7696000
"2001-05-01",2.873783,3.020658,2.817533,3.010658,5465600
"2001-05-02",3.003322,3.032072,2.913322,2.941447,14500800
"2001-05-03",2.926419,2.937669,2.750794,2.789544,15011200
"2001-05-04",2.75768,2.87643,2.608305,2.858305,5832000
"2001-05-07",2.864086,2.867211,2.736586,2.814711,3116800
"2001-05-08",2.828078,2.865578,2.743703,2.743703,3107200
"2001-05-09",2.726665,2.791665,2.72354,2.772915,2617600
"2001-05-10",2.740387,2.864137,2.740387,2.795387,2780800
"2001-05-11",2.809144,2.856644,2.730394,2.769769,2164800
"2001-05-14",2.784715,2.784715,2.71909,2.734715,4268800
"2001-05-15",2.734715,2.822215,2.712215,2.734715,6864000
"2001-05-16",2.725894,2.844644,2.656519,2.750894,8342400
"2001-05-17",2.66465,2.964025,2.66465,2.93965,10524800
"2001-05-18",2.910359,2.964734,2.887234,2.952234,4686400
"2001-05-21",2.895244,3.240869,2.883994,3.176494,10748800
"2001-05-22",3.142877,3.308502,3.142877,3.209752,8660800
"2001-05-23",3.19104,3.19479,3.02479,3.121665,4806400
"2001-05-24",3.127184,3.180309,3.055309,3.105934,5209600
"2001-05-25",3.067211,3.164086,3.064086,3.163461,2347200
"2001-05-29",3.091752,3.134877,2.986752,3.054252,7603200
"2001-05-30",3.059395,3.08002,2.96752,3.021895,7131200
"2001-05-31",3.027926,3.071676,3.005426,3.016051,6902400
"2001-06-01",3.018664,3.048664,2.958039,3.006164,4092800
"2001-06-04",2.974906,3.055531,2.894281,3.031781,2590400
"2001-06-05",3.042319,3.072944,2.919819,2.924819,15172800
"2001-06-06",2.888213,3.006338,2.856963,3.005713,5142400
"2001-06-07",2.982004,2.982004,2.916379,2.917629,4544000
"2001-06-08",2.902782,2.994032,2.892782,2.954032,1814400
"2001-06-11",2.98072,2.981345,2.853845,2.88572,5891200
"2001-06-12",2.874003,2.936503,2.801503,2.802128,9129600
"2001-06-13",2.793349,2.865224,2.777724,2.824599,12112000
"2001-06-14",2.797984,2.842984,2.766734,2.796734,7028800
"2001-06-15",2.577484,2.733734,2.576859,2.681234,17857600
"2001-06-18",2.655348,2.754098,2.655348,2.709098,2257600
