"","FDX.Open","FDX.High","FDX.Low","FDX.Close","FDX.Volume","FDX.Adjusted"
"2001-01-02",39.450001,39.970001,38.200001,38.200001,936600,34.458481
"2001-01-03",38.209999,41.259998,38,41.060001,2203000,37.038345
"2001-01-04",43,45,42.700001,44.259998,3410600,39.924923
"2001-01-05",44.700001,44.700001,43.009998,43.810001,1485800,39.519016
"2001-01-08",42.950001,43.349998,42.669998,43.130001,1120700,38.90564
"2001-01-09",42.75,42.950001,42.009998,42.27,1134400,38.129848
"2001-01-10",40.700001,43.25,40.360001,41.91,1895500,37.805119
"2001-01-11",42.41,43.330002,41.200001,41.200001,1561200,37.164658
"2001-01-12",41.700001,42.32,40.849998,41.5,1044300,37.435272
"2001-01-16",41.509998,43.150002,41.450001,42.349998,893300,38.202023
"2001-01-17",42.549999,44.25,42.549999,43.75,1334100,39.464901
"2001-01-18",42.5,42.849998,41.5,41.5,1549500,37.435272
"2001-01-19",41.099998,41.639999,39.900002,39.91,2299800,36.001015
"2001-01-22",39.990002,42.349998,39.82,41.23,1137300,37.19173
"2001-01-23",41.48,43.5,41.48,42.84,1946300,38.64402
"2001-01-24",42.5,43.240002,42.040001,42.040001,751700,37.922386
"2001-01-25",42.200001,43.849998,41.759998,43.400002,1176700,39.149185
"2001-01-26",43.75,44.450001,43.560001,43.709999,1057200,39.428818
"2001-01-29",43.349998,44.599998,43.299999,44.029999,1223500,39.717449
"2001-01-30",44.700001,45.150002,44.049999,44.439999,1067800,40.087311
"2001-01-31",45.25,45.950001,45.049999,45.380001,1677700,40.935249
"2001-02-01",45.400002,45.52,44.419998,45.27,799000,40.836018
"2001-02-02",45.110001,45.299999,44.279999,44.290001,744700,39.952007
"2001-02-05",44,44.389999,43.830002,44.18,553400,39.852783
"2001-02-06",43.779999,44.509998,43.779999,43.799999,750100,39.509991
"2001-02-07",44.150002,44.150002,42.900002,43.09,624700,38.869537
"2001-02-08",43.75,45,43.580002,44.860001,1424600,40.466171
"2001-02-09",44.700001,44.709999,43,43.330002,1241700,39.086025
"2001-02-12",43.450001,44.099998,43.220001,43.68,966500,39.401749
"2001-02-13",44.400002,44.950001,44.169998,44.700001,1371200,40.321854
"2001-02-14",44.700001,44.700001,43.650002,43.650002,683500,39.374699
"2001-02-15",43.849998,45.200001,43.830002,45.119999,949100,40.700714
"2001-02-16",44.849998,45.009998,44.099998,44.59,688900,40.222614
"2001-02-20",44.299999,45,43.279999,43.279999,1759300,39.040932
"2001-02-21",43.279999,43.450001,42,42.009998,871800,37.895321
"2001-02-22",41.599998,42.450001,41.200001,42,1004300,37.886284
"2001-02-23",42.150002,42.490002,41.110001,41.68,717000,37.597652
"2001-02-26",41.259998,41.549999,40.299999,41.450001,1757700,37.390167
"2001-02-27",41,42.630001,41,41.700001,1283900,37.615662
"2001-02-28",41.700001,41.700001,40.889999,40.93,1051200,36.921108
"2001-03-01",40.470001,41.110001,40.200001,41.02,1062800,37.002296
"2001-03-02",40.849998,42.490002,40.59,41.950001,968400,37.841198
"2001-03-05",41.950001,42.740002,41.66,42.48,674800,38.319271
"2001-03-06",42.5,43.549999,42.310001,43.119999,571100,38.896603
"2001-03-07",43,43.98,43,43.200001,1097700,38.968781
"2001-03-08",43.299999,44.200001,43.25,43.849998,863500,39.555103
"2001-03-09",43.349998,44.240002,42.599998,43.919998,995400,39.618248
"2001-03-12",43.580002,43.650002,41.880001,41.900002,1125300,37.796108
"2001-03-13",41.650002,42.299999,40.380001,42,1696100,37.886284
"2001-03-14",40.75,41.5,40.52,41.18,1305000,37.146614
"2001-03-15",41.43,41.799999,41.299999,41.32,1195600,37.272911
"2001-03-16",41.400002,41.84,40.549999,40.799999,2689400,36.803844
"2001-03-19",40.810001,42.299999,40.599998,41.93,1263600,37.823174
"2001-03-20",41.25,41.619999,40,40.25,1805200,36.307693
"2001-03-21",40.240002,43.18,39.599998,42.599998,2483400,38.42754
"2001-03-22",41,41.200001,39.25,41.029999,2282200,37.011295
"2001-03-23",41.029999,41.400002,39.950001,40.169998,1408600,36.235538
"2001-03-26",40.299999,41.200001,39.5,40.279999,1361600,36.334763
"2001-03-27",40.5,42.349998,40.400002,41.98,1053100,37.868248
"2001-03-28",41.990002,42.150002,41.07,41.98,752800,37.868248
"2001-03-29",41,41.849998,40.759998,41.220001,659600,37.18269
"2001-03-30",40.799999,41.959999,40.740002,41.68,703800,37.597652
"2001-04-02",41.549999,41.790001,40.700001,40.919998,615600,36.912083
"2001-04-03",40.25,40.25,38.990002,39,1228400,35.180149
"2001-04-04",39.25,39.849998,39,39.599998,697400,35.721367
"2001-04-05",39.599998,39.599998,35.5,38.970001,3433400,35.153076
"2001-04-06",38,38.060001,36.790001,37.490002,1744700,33.818047
"2001-04-09",37.740002,38.599998,37.709999,38.369999,975100,34.611851
"2001-04-10",38.619999,39.400002,38.450001,38.900002,820200,35.08992
"2001-04-11",39.299999,40.200001,39.150002,39.889999,1216800,35.982956
"2001-04-12",39.599998,39.799999,38.799999,39.799999,1046000,35.901783
"2001-04-16",39.700001,40.23,39,39.540001,510200,35.667263
"2001-04-17",38.849998,40.099998,38.610001,40.009998,1039100,36.091225
"2001-04-18",39.900002,42.360001,39.610001,41.490002,1236500,37.426247
"2001-04-19",41.490002,43.349998,41.279999,43.349998,1143000,39.104065
"2001-04-20",43.349998,43.75,43,43.5,1074300,39.239395
"2001-04-23",43.25,43.259998,42.259998,42.369999,652900,38.220081
"2001-04-24",42,42.450001,41.700001,41.810001,761000,37.714905
"2001-04-25",41.700001,42.310001,40.299999,41.040001,1545700,37.020332
"2001-04-26",40.849998,41.98,40.5,41.299999,747300,37.254852
"2001-04-27",41.549999,42.84,41.549999,42.48,825100,38.319271
"2001-04-30",42.150002,42.310001,41.900002,42.07,544200,37.949459
"2001-05-01",41.82,41.900002,41.310001,41.830002,627200,37.732971
"2001-05-02",41.599998,42.75,41.200001,42.75,1097800,38.562843
"2001-05-03",42.299999,42.400002,40.91,41.349998,713900,37.299953
"2001-05-04",40.349998,41.32,40.349998,41.279999,820800,37.236816
"2001-05-07",40,40.869999,39.360001,40.279999,1644300,36.334763
"2001-05-08",39.799999,39.950001,38.080002,38.450001,2480400,34.68401
"2001-05-09",38.459999,39.200001,38.009998,39.09,1356600,35.26133
"2001-05-10",39,39.259998,38.5,39.200001,889200,35.360558
"2001-05-11",39.349998,39.41,38.400002,38.41,1260800,34.647938
"2001-05-14",38.25,38.700001,38.110001,38.200001,794200,34.458481
"2001-05-15",38.150002,38.560001,38.029999,38.25,1027600,34.503586
"2001-05-16",38.200001,39.540001,38.099998,39.259998,1150700,35.414661
"2001-05-17",39.259998,40.5,39.099998,40.25,1337600,36.307693
"2001-05-18",40.599998,40.599998,40.07,40.509998,659100,36.542236
"2001-05-21",40.5,40.75,40.130001,40.610001,798900,36.632439
"2001-05-22",40.610001,40.75,40.119999,40.52,939500,36.551266
"2001-05-23",39.900002,40.27,39.619999,40.009998,1866700,36.091225
"2001-05-24",40.009998,40.450001,39.900002,40.360001,1121700,36.406929
"2001-05-25",39.799999,40.25,39.599998,39.720001,574800,35.829624
"2001-05-29",39.5,40.099998,39.5,39.639999,539800,35.757454
"2001-05-30",39.889999,40.099998,39.630001,39.799999,906500,35.901783
"2001-05-31",39.599998,40.299999,39.48,40,1122700,36.082184
"2001-06-01",40,41.25,39.73,40.849998,1174200,36.848919
"2001-06-04",40.599998,40.599998,39.900002,40.07,978200,36.145336
"2001-06-05",39.900002,40.400002,39.720001,39.889999,1170400,35.982956
"2001-06-06",40.25,40.25,39.5,39.549999,1175000,35.676277
"2001-06-07",39.549999,39.799999,39.389999,39.700001,782600,35.811573
"2001-06-08",39.639999,39.639999,39.290001,39.599998,485000,35.721367
"2001-06-11",39.349998,39.349998,38.549999,38.799999,761300,34.999718
"2001-06-12",38.549999,38.549999,37.34,38.110001,1390000,34.377289
"2001-06-13",38.049999,38.110001,37.5,37.52,1136800,33.8451
"2001-06-14",38.049999,38.099998,37.32,37.439999,955500,33.772938
"2001-06-15",37.25,38.119999,37.200001,37.959999,1364600,34.242001
"2001-06-18",37.900002,38.25,37.439999,37.549999,747100,33.872169
"2001-06-19",37.5,37.689999,37,37.040001,838700,33.412106
"2001-06-20",37,37.299999,36.75,37,1024700,33.37603
"2001-06-21",37.18,38.650002,37.099998,38.650002,1063000,34.864418
"2001-06-22",37.900002,38.139999,37.48,37.48,783300,33.809017
"2001-06-25",37.23,37.360001,36.369999,36.630001,1467900,33.042259
"2001-06-26",36,36.740002,35.990002,36.349998,1927200,32.789688
"2001-06-27",36.349998,36.880001,36,36.799999,1495000,33.195637
"2001-06-28",37,39.5,37,38.709999,2771100,34.918552
"2001-06-29",38.720001,40.200001,38.709999,40.200001,1644400,36.2626
"2001-07-02",40,40.700001,39.5,40.48,1617500,36.515186
"2001-07-03",40.48,41.220001,40.349998,41.220001,958200,37.18269
"2001-07-05",40.849998,41.110001,40.299999,40.599998,720000,36.623421
"2001-07-06",40.599998,40.599998,39.52,39.990002,904500,36.073166
"2001-07-09",39.900002,40.349998,39.57,40.139999,747000,36.208485
"2001-07-10",40,40.240002,39.700001,39.82,401500,35.919811
"2001-07-11",39.400002,40.299999,39.400002,39.950001,1113900,36.037094
"2001-07-12",40.099998,41.150002,39.900002,41.139999,867700,37.110538
"2001-07-13",40.900002,42.34,40.25,42.080002,1053000,37.958466
"2001-07-16",42,42.599998,41.75,41.849998,1076600,37.751003
"2001-07-17",42.049999,42.450001,41.880001,42.130001,1319100,38.003574
"2001-07-18",41.900002,42.099998,41.110001,41.400002,916700,37.345066
"2001-07-19",41.400002,41.549999,40.700001,41.369999,806600,37.318001
"2001-07-20",41.259998,41.27,40.830002,41.25,518100,37.209763
"2001-07-23",41.049999,41.16,40.16,40.5,1010300,36.533218
"2001-07-24",40.75,40.75,39.75,40.130001,901500,36.199459
"2001-07-25",40,40.720001,39.720001,40.619999,831100,36.641464
"2001-07-26",40.400002,40.990002,40.360001,40.880001,535300,36.876003
"2001-07-27",40.939999,41,40.549999,40.889999,388500,36.885025
"2001-07-30",41.099998,41.220001,40.700001,41.009998,522900,36.993267
"2001-07-31",41.02,41.59,41.009998,41.369999,731200,37.318001
"2001-08-01",41.200001,41.75,41.099998,41.700001,843700,37.615662
"2001-08-02",41.5,41.869999,41.150002,41.740002,879000,37.651779
"2001-08-03",41.490002,41.490002,40.599998,41,602800,36.984241
"2001-08-06",41.23,41.299999,40.57,41,310500,36.984241
"2001-08-07",40.799999,41.099998,40.68,41.049999,463300,37.029346
"2001-08-08",40.66,41.310001,40.66,40.759998,524600,36.76775
