"","FE.Open","FE.High","FE.Low","FE.Close","FE.Volume","FE.Adjusted"
"2001-01-02",31.4375,31.75,30.625,30.625,453000,13.324903
"2001-01-03",30.6875,31.5625,29.9375,30,774900,13.05297
"2001-01-04",29.875,29.9375,27.5625,28.3125,1160400,12.318735
"2001-01-05",28.375,29.3125,28,28.125,748400,12.237159
"2001-01-08",27.875,28.5,27.75,28.125,534500,12.237159
"2001-01-09",28.125,28.25,27.6875,27.9375,319100,12.155574
"2001-01-10",27.375,28.0625,27.375,27.6875,495100,12.046801
"2001-01-11",27.6875,27.6875,26.125,26.25,839500,11.421342
"2001-01-12",26.0625,26.875,25.75,26.875,676000,11.693279
"2001-01-16",26.3125,26.5,25.1875,26.25,821300,11.421342
"2001-01-17",26.25,26.4375,25.625,25.8125,1110200,11.230989
"2001-01-18",26.0625,27.1875,25.875,27,782900,11.747671
"2001-01-19",27.0625,27.75,26.5,27.625,1180400,12.019605
"2001-01-22",27.4375,28.8125,27.125,28.6875,1890900,12.481897
"2001-01-23",28.625,29.25,28.4375,28.5,1062900,12.400321
"2001-01-24",28.25,28.5625,27.625,28.0625,1429300,12.209962
"2001-01-25",28.0625,28.375,27.5,28,802800,12.182767
"2001-01-26",28.25,28.25,27.0625,27.8125,383200,12.10119
"2001-01-29",27.809999,28.440001,27.76,28.190001,916600,12.265438
"2001-01-30",28.85,28.85,27.950001,28.110001,734100,12.230628
"2001-01-31",28.120001,28.120001,27.299999,27.85,563500,12.117505
"2001-02-01",27.85,28,27.530001,27.950001,590200,12.161011
"2001-02-02",28.200001,28.5,27.700001,27.790001,3704400,12.091395
"2001-02-05",27.66,28,27.5,27.799999,921700,12.261204
"2001-02-06",27.799999,27.799999,27.379999,27.379999,742700,12.07596
"2001-02-07",27.299999,27.6,27.24,27.299999,762300,12.040675
"2001-02-08",27.690001,28.09,27.4,28,1113600,12.349411
"2001-02-09",27.85,28.139999,27.85,28,1162500,12.349411
"2001-02-12",28.440001,28.950001,27.860001,28.1,1343200,12.393517
"2001-02-13",28.1,28.540001,27.85,27.959999,1239700,12.331768
"2001-02-14",28,28.24,27.799999,27.93,761300,12.318537
"2001-02-15",27.809999,27.9,27.52,27.700001,241500,12.217098
"2001-02-16",27.950001,28.299999,27.870001,28,915800,12.349411
"2001-02-20",28.25,28.34,27.75,27.809999,412800,12.265607
"2001-02-21",27.65,28.790001,27.65,28.030001,566200,12.362645
"2001-02-22",28,28.4,27.809999,28.01,610800,12.353824
"2001-02-23",28.25,28.309999,27.01,27.469999,438700,12.11566
"2001-02-26",28.15,28.26,27.58,27.83,478000,12.27443
"2001-02-27",27.83,28.5,27.700001,27.98,481000,12.34059
"2001-02-28",28.23,28.379999,27.75,28.17,552900,12.42439
"2001-03-01",28.18,28.34,27.860001,27.969999,812200,12.336178
"2001-03-02",28.4,28.4,27.6,27.85,688900,12.283256
"2001-03-05",27.85,28.18,27.700001,27.99,538800,12.344999
"2001-03-06",28.24,28.24,27.51,27.73,486200,12.230332
"2001-03-07",27.49,28.33,27.49,28.049999,698300,12.371469
"2001-03-08",28.26,28.4,27.91,28.15,541200,12.415569
"2001-03-09",28.1,28.1,27.610001,27.950001,406200,12.327356
"2001-03-12",28.190001,28.190001,27.75,27.799999,489500,12.261204
"2001-03-13",27.799999,27.98,27.43,27.620001,447800,12.181815
"2001-03-14",27.200001,27.35,26.6,26.969999,673400,11.895132
"2001-03-15",27,27.5,26.9,27.41,424300,12.08919
"2001-03-16",26.5,27.41,26.5,27.120001,731200,11.961289
"2001-03-19",27.200001,27.41,26.639999,26.860001,888300,11.846619
"2001-03-20",26.9,27.200001,26.450001,26.74,700600,11.793686
"2001-03-21",26.49,27.6,26.469999,26.76,810300,11.802509
"2001-03-22",27,27.200001,25.34,25.889999,1135100,11.418796
"2001-03-23",25.639999,26.15,25.1,26,794700,11.467312
"2001-03-26",26,27.059999,25.85,26.99,554600,11.903954
"2001-03-27",27.059999,27.450001,27.059999,27.25,464300,12.018628
"2001-03-28",27.309999,27.540001,26.459999,27.190001,984100,11.992159
"2001-03-29",27.25,27.65,26.629999,27.51,561900,12.133295
"2001-03-30",27.6,28,27.35,27.92,595300,12.314131
"2001-04-02",27.75,28.34,27.59,28,1207600,12.349411
"2001-04-03",28,28.219999,27.1,27.99,677000,12.344999
"2001-04-04",28.1,28.4,27.709999,27.799999,1093200,12.261204
"2001-04-05",27.799999,28.15,27.33,28,736000,12.349411
"2001-04-06",27.75,27.99,26.799999,27.4,544400,12.08478
"2001-04-09",27.51,28.27,27.280001,27.85,628800,12.283256
"2001-04-10",28,29.15,28,28.5,899200,12.56994
"2001-04-11",28.25,28.25,27.459999,27.889999,747300,12.3009
"2001-04-12",27.99,28.24,27.68,27.99,772300,12.344999
"2001-04-16",27.74,28.59,27.74,28.459999,384200,12.552297
"2001-04-17",28.26,29.4,28.26,28.799999,952100,12.702254
"2001-04-18",29.200001,29.200001,27.9,28.379999,1068800,12.517008
"2001-04-19",28.5,28.700001,27.74,28.530001,952600,12.583173
"2001-04-20",28.799999,28.92,27.799999,28.07,1028000,12.380288
"2001-04-23",28.4,28.879999,28.25,28.610001,615000,12.61845
"2001-04-24",28.719999,29.700001,28.719999,29.43,1769500,12.980116
"2001-04-25",29.85,29.879999,29.32,29.549999,1371900,13.033041
"2001-04-26",29.559999,29.68,29.1,29.51,1801700,13.015402
"2001-04-27",29.75,30.049999,29.5,30.01,943000,13.235927
"2001-04-30",30.049999,30.65,30,30.299999,1007800,13.363832
"2001-05-01",30.1,30.620001,29.9,30.15,986500,13.297672
"2001-05-02",30.1,30.139999,29.799999,30,1268900,13.231518
"2001-05-03",29.59,29.85,29.1,29.459999,705000,13.15782
"2001-05-04",29.5,29.98,29.280001,29.959999,423500,13.381137
"2001-05-07",30.049999,30.059999,29.559999,29.799999,556400,13.309675
"2001-05-08",29.700001,29.700001,29.15,29.379999,613700,13.122088
"2001-05-09",29.129999,29.450001,29.01,29.26,802100,13.068498
"2001-05-10",29.5,29.5,29.110001,29.309999,491000,13.090827
"2001-05-11",29.200001,29.799999,29.200001,29.719999,304700,13.273944
"2001-05-14",29.6,30.25,29.6,29.950001,619900,13.376672
"2001-05-15",29.75,29.85,29.51,29.65,423500,13.242682
"2001-05-16",29.75,29.790001,29.200001,29.790001,513700,13.305205
"2001-05-17",29.58,30.1,29.459999,29.540001,583100,13.193555
"2001-05-18",29.5,29.83,29.35,29.370001,709400,13.117619
"2001-05-21",29.49,29.620001,29.23,29.4,1369000,13.131021
"2001-05-22",29.299999,29.59,29.059999,29.43,317200,13.144421
"2001-05-23",29.25,30.030001,29.25,29.870001,879500,13.340941
"2001-05-24",29.879999,30.58,29.799999,30,3401300,13.399007
"2001-05-25",30.25,30.5,29.93,30.25,1460300,13.51066
"2001-05-29",30.25,30.379999,29.809999,30.25,968500,13.51066
"2001-05-30",30.049999,30.66,30.049999,30.389999,1088700,13.573182
"2001-05-31",30.25,30.709999,30.15,30.65,1168600,13.68931
"2001-06-01",30.790001,30.85,29.85,30.77,752800,13.742913
"2001-06-04",30.77,31.190001,30.77,31.049999,1082700,13.867966
"2001-06-05",31.049999,31.1,30.549999,30.76,1668700,13.738444
