"","Open","High","Low","Close","Volume"
"2001-01-02",14.137403,14.449903,13.324903,13.324903,453000
"2001-01-03",13.74047,14.61547,12.99047,13.05297,774900
"2001-01-04",13.881235,13.943735,11.568735,12.318735,1160400
"2001-01-05",12.487159,13.424659,12.112159,12.237159,748400
"2001-01-08",11.987159,12.612159,11.862159,12.237159,534500
"2001-01-09",12.343074,12.468074,11.905574,12.155574,319100
"2001-01-10",11.734301,12.421801,11.734301,12.046801,495100
"2001-01-11",12.858842,12.858842,11.296342,11.421342,839500
"2001-01-12",10.880779,11.693279,10.568279,11.693279,676000
"2001-01-16",11.483842,11.671342,10.358842,11.421342,821300
"2001-01-17",11.668489,11.855989,11.043489,11.230989,1110200
"2001-01-18",10.810171,11.935171,10.622671,11.747671,782900
"2001-01-19",11.457105,12.144605,10.894605,12.019605,1180400
"2001-01-22",11.231897,12.606897,10.919397,12.481897,1890900
"2001-01-23",12.525321,13.150321,12.337821,12.400321,1062900
"2001-01-24",12.397462,12.709962,11.772462,12.209962,1429300
"2001-01-25",12.245267,12.557767,11.682767,12.182767,802800
"2001-01-26",12.53869,12.53869,11.35119,12.10119,383200
"2001-01-29",11.885436,12.515438,11.835437,12.265438,916600
"2001-01-30",12.970627,12.970627,12.070628,12.230628,734100
"2001-01-31",12.387506,12.387506,11.567504,12.117505,563500
"2001-02-01",12.06101,12.21101,11.741011,12.161011,590200
"2001-02-02",12.501395,12.801394,12.001395,12.091395,3704400
"2001-02-05",12.121205,12.461205,11.961205,12.261204,921700
"2001-02-06",12.49596,12.49596,12.07596,12.07596,742700
"2001-02-07",12.040675,12.340676,11.980676,12.040675,762300
"2001-02-08",12.039412,12.439411,11.749411,12.349411,1113600
"2001-02-09",12.199411,12.48941,12.199411,12.349411,1162500
"2001-02-12",12.733518,13.243518,12.153518,12.393517,1343200
"2001-02-13",12.471769,12.91177,12.221769,12.331768,1239700
"2001-02-14",12.388537,12.628537,12.188536,12.318537,761300
"2001-02-15",12.327096,12.417097,12.037097,12.217098,241500
"2001-02-16",12.299412,12.64941,12.219412,12.349411,915800
"2001-02-20",12.705608,12.795608,12.205608,12.265607,412800
"2001-02-21",11.982644,13.122645,11.982644,12.362645,566200
"2001-02-22",12.343824,12.743824,12.153823,12.353824,610800
"2001-02-23",12.895661,12.95566,11.655661,12.11566,438700
"2001-02-26",12.59443,12.70443,12.02443,12.27443,478000
"2001-02-27",12.19059,12.86059,12.060591,12.34059,481000
"2001-02-28",12.48439,12.634389,12.00439,12.42439,552900
"2001-03-01",12.546179,12.706179,12.22618,12.336178,812200
"2001-03-02",12.833256,12.833256,12.033256,12.283256,688900
"2001-03-05",12.204999,12.534999,12.055,12.344999,538800
"2001-03-06",12.740332,12.740332,12.010332,12.230332,486200
"2001-03-07",11.81147,12.65147,11.81147,12.371469,698300
"2001-03-08",12.525569,12.665569,12.175569,12.415569,541200
"2001-03-09",12.477355,12.477355,11.987356,12.327356,406200
"2001-03-12",12.651206,12.651206,12.211205,12.261204,489500
"2001-03-13",12.361813,12.541814,11.991814,12.181815,447800
"2001-03-14",12.125134,12.275133,11.525133,11.895132,673400
"2001-03-15",11.67919,12.17919,11.57919,12.08919,424300
"2001-03-16",11.341288,12.251288,11.341288,11.961289,731200
"2001-03-19",12.186619,12.396618,11.626617,11.846619,888300
"2001-03-20",11.953686,12.253687,11.503687,11.793686,700600
"2001-03-21",11.532509,12.642509,11.512508,11.802509,810300
"2001-03-22",12.528797,12.728798,10.868797,11.418796,1135100
"2001-03-23",11.107311,11.617312,10.567312,11.467312,794700
"2001-03-26",10.913954,11.973953,10.763954,11.903954,554600
"2001-03-27",11.828627,12.218629,11.828627,12.018628,464300
"2001-03-28",12.112157,12.342159,11.262157,11.992159,984100
