"","FTI.Open","FTI.High","FTI.Low","FTI.Close","FTI.Volume","FTI.Adjusted"
"2001-06-15",5.45,5.62,5.4375,5.4625,4937600,3.855094
"2001-06-18",5.4625,5.5,5.355,5.375,3216800,3.793342
"2001-06-19",5.4125,5.4125,5.2,5.2125,4008400,3.67866
"2001-06-20",5.1875,5.2,4.95,5.2,5226800,3.669838
"2001-06-21",5.175,5.175,4.9975,5,4319200,3.528691
"2001-06-22",5,5.025,5,5,1360000,3.528691
"2001-06-25",5,5.0025,5,5,130800,3.528691
"2001-06-26",5,5.0125,5,5.0025,728800,3.530455
"2001-06-27",5,5.0025,4.9,4.95,4140800,3.493403
"2001-06-28",4.95,5,4.925,4.925,2248800,3.47576
"2001-06-29",4.925,5.1625,4.925,5.1625,780800,3.643373
"2001-07-02",5.1625,5.1625,4.925,4.95,380400,3.493403
"2001-07-03",4.9375,4.9375,4.75,4.7775,919200,3.371665
"2001-07-05",4.8125,4.875,4.8125,4.875,673200,3.440473
"2001-07-06",4.8625,4.875,4.85,4.855,391600,3.426359
"2001-07-09",4.8675,4.9375,4.7875,4.7875,2055200,3.378721
"2001-07-10",4.7875,4.7875,4.4875,4.5,3034400,3.175822
"2001-07-11",4.52,4.6,4.4875,4.525,2623600,3.193465
"2001-07-12",4.525,4.525,4.4875,4.525,1444000,3.193465
"2001-07-13",4.55,4.725,4.55,4.6725,1692800,3.297562
"2001-07-16",4.6275,4.6275,4.4575,4.4875,695600,3.167
"2001-07-17",4.4625,4.52,4.3525,4.3975,1402800,3.103483
"2001-07-18",4.3725,4.5125,4.3725,4.46,549600,3.147591
"2001-07-19",4.485,4.6375,4.475,4.5375,695200,3.202287
"2001-07-20",4.525,4.5375,4.475,4.5225,1542800,3.191701
"2001-07-23",4.5225,4.53,4.475,4.5,308000,3.175822
"2001-07-24",4.475,4.725,4.4625,4.5,851200,3.175822
"2001-07-25",4.5125,4.85,4.44,4.8,1179600,3.387543
"2001-07-26",4.775,4.8,4.725,4.775,384400,3.3699
"2001-07-27",4.7375,4.7375,4.6125,4.6175,343600,3.258746
"2001-07-30",4.63,4.6425,4.5525,4.6225,106800,3.262274
