"","Open","High","Low","Close","Volume"
"2001-01-02",26.222545,26.342739,22.256199,23.337929,38311200
"2001-01-03",22.07955,25.625223,21.658876,25.50503,40774000
"2001-01-04",24.917233,26.299443,24.736943,25.638386,28003400
"2001-01-05",25.658976,25.719073,24.096476,25.238306,23702000
"2001-01-08",25.927385,25.927385,23.403345,24.304789,24139300
"2001-01-09",25.066723,25.367203,22.963357,23.804703,20868600
"2001-01-10",23.297161,24.258701,22.395721,23.838028,25797500
"2001-01-11",23.936792,25.258906,23.576216,24.838232,24543000
"2001-01-12",25.453201,25.573391,23.710411,24.371471,17475000
"2001-01-16",23.649055,25.451938,23.588958,25.271648,20548800
"2001-01-17",26.166933,26.647703,24.664529,24.904913,25388400
"2001-01-18",25.164627,25.825687,24.443474,25.405014,20061900
"2001-01-19",25.852865,26.153348,24.711038,25.071615,20134500
"2001-01-22",25.486542,25.967308,24.104328,24.404808,21519500
"2001-01-23",24.724626,25.325586,24.364046,24.904913,21966400
"2001-01-24",24.885158,25.546215,24.224098,24.704868,19910900
"2001-01-25",24.925515,25.706765,24.384648,24.504841,21644500
"2001-01-26",25.547493,25.90807,23.744607,23.804703,27932800
"2001-01-29",24.145157,25.47208,23.30862,23.674004,23948200
"2001-01-30",23.238835,24.690758,22.911915,24.671528,20636800
"2001-01-31",25.267887,25.460194,24.123657,24.527504,22199900
"2001-02-01",24.920469,25.141622,24.343546,24.660852,18290300
"2001-02-02",24.658691,25.283691,24.274078,24.687538,16682100
"2001-02-05",24.11156,25.765407,23.794254,25.525024,22720800
"2001-02-06",25.632063,25.862829,25.007063,25.391676,16601100
"2001-02-07",25.737243,25.862243,24.727626,25.044933,13552300
"2001-02-08",25.732833,26.11745,25.040526,25.146296,18416800
"2001-02-09",25.779874,25.789491,24.097181,24.356798,19217800
"2001-02-12",23.564809,25.641732,23.564809,25.343655,18671300
"2001-02-13",25.63773,25.955037,25.128114,25.15696,14894900
"2001-02-14",25.542253,25.5711,24.542253,24.67687,13769200
"2001-02-15",23.979,25.70977,23.83477,25.594387,24972000
"2001-02-16",24.590848,25.388925,24.360078,25.071615,17593600
"2001-02-20",24.968531,26.035837,24.939684,25.439684,20833500
"2001-02-21",25.616249,26.337406,25.154713,25.231636,19237400
"2001-02-22",25.365356,25.509586,24.124969,25.124969,23817300
"2001-02-23",24.989958,25.422648,23.518801,24.634188,24303200
"2001-02-26",24.652077,25.62323,23.882847,25.594387,21916500
"2001-02-27",25.105043,25.605043,24.643503,25.605043,23482000
"2001-02-28",26.247195,26.477965,23.939501,24.804888,27615500
"2001-03-01",24.095926,24.644003,23.528619,24.490156,24916100
"2001-03-02",24.525352,24.823429,23.727275,23.775352,22860300
"2001-03-05",23.816739,24.403275,23.672509,24.134045,17338700
"2001-03-06",25.11415,25.45069,24.21992,24.316074,16319200
"2001-03-07",24.125492,24.885109,24.125492,24.615879,14445000
"2001-03-08",24.826214,25.028137,23.720444,24.556984,17234900
"2001-03-09",24.838747,24.95413,23.107977,23.45413,20686900
"2001-03-12",24.469509,24.757973,20.238739,21.200279,47536600
"2001-03-13",21.863732,22.825268,21.142578,22.661808,44657200
"2001-03-14",21.696606,23.138913,21.071606,21.965836,36854500
"2001-03-15",22.39646,22.732996,21.62723,21.992613,25841600
"2001-03-16",21.543325,22.841402,21.254865,21.735632,46645000
"2001-03-19",21.618706,22.503319,21.089859,22.003319,21665000
"2001-03-20",22.835417,23.41234,21.39311,21.441187,23217300
"2001-03-21",21.88868,22.417523,20.754063,20.879063,27914400
"2001-03-22",21.192694,21.250384,18.952307,20.183077,58179000
"2001-03-23",20.216761,21.409067,19.639837,21.409067,47566000
"2001-03-26",21.797162,22.277932,21.364472,21.537548,32389600
"2001-03-27",21.321574,22.754264,21.129264,22.436958,38014300
"2001-03-28",21.955765,22.292305,21.523075,22.244228,27938400
"2001-03-29",22.067772,22.240849,21.490849,22.163925,28043200
"2001-03-30",22.304417,22.46788,21.794804,22.410187,30605200
"2001-04-02",22.108827,23.195367,21.493443,22.378057,25218300
"2001-04-03",23.041175,23.079635,20.839252,21.243099,24543200
"2001-04-04",21.152203,22.450279,20.661816,21.200279,27904500
"2001-04-05",21.480978,22.682901,21.096361,22.538671,24746400
"2001-04-06",22.40617,22.5504,21.252324,22.040787,25639300
"2001-04-09",21.946685,22.869762,21.735149,22.485149,18492500
"2001-04-10",22.426389,25.099466,22.282159,23.464849,27155500
"2001-04-11",24.251582,24.347735,22.665045,23.165045,20953800
"2001-04-12",22.824837,23.930607,22.50753,23.930607,17955900
"2001-04-16",23.788459,23.999999,23.192305,23.903845,14695400
"2001-04-17",23.029799,24.366335,22.924029,24.337492,21327600
"2001-04-18",23.70572,25.70572,23.359567,25.638414,37897000
"2001-04-19",24.99918,26.008796,24.83572,25.970333,22944400
"2001-04-20",26.145065,26.145065,25.173912,25.750835,24201800
"2001-04-23",25.797859,25.807476,24.961322,25.269016,16860300
"2001-04-24",25.592383,26.361616,24.525076,24.621229,19359000
"2001-04-25",24.528267,26.239803,24.239803,25.595573,18572100
"2001-04-26",26.056723,26.479799,25.614416,26.393263,21886000
"2001-04-27",26.116245,26.741245,25.145091,26.741245,16308500
"2001-04-30",27.384894,27.404127,25.481047,25.981047,18978900
"2001-05-01",25.357559,26.222943,25.117176,26.184483,13590000
"2001-05-02",26.218901,26.613131,25.343901,26.286211,18844300
"2001-05-03",26.541896,26.551509,25.493816,25.964973,19206200
"2001-05-04",24.490171,26.778634,24.403634,26.730558,19045200
"2001-05-07",26.717764,26.78507,26.28507,26.746607,15319000
"2001-05-08",26.951174,26.989637,25.749254,26.489637,15741100
"2001-05-09",26.049417,27.395574,25.818651,26.462881,24023100
"2001-05-10",26.984708,27.032785,26.273172,26.677015,14110600
"2001-05-11",27.036091,27.189937,25.757244,26.238014,12348300
"2001-05-14",25.931179,26.873486,25.719639,26.623486,11411000
"2001-05-15",26.444478,27.050248,26.031018,26.848324,18547700
"2001-05-16",25.81655,27.989626,25.489626,27.951166,25459800
"2001-05-17",27.791865,28.397635,27.503405,27.897635,20232500
"2001-05-18",27.522589,28.368742,27.359126,28.368742,17994000
"2001-05-21",28.194013,28.732473,27.915167,28.588243,18974300
"2001-05-22",28.654718,28.789331,27.260488,28.202795,18074000
"2001-05-23",28.548458,28.913842,27.336918,27.490765,16638900
"2001-05-24",27.373299,28.027145,26.892529,27.517529,13597500
"2001-05-25",27.943168,27.943168,26.356628,26.741245,16262000
"2001-05-29",27.283668,27.437515,26.572128,26.591362,13538300
"2001-05-30",26.868364,27.233747,26.22413,26.243364,16223300
"2001-05-31",26.376889,26.857655,25.992272,26.232655,13923100
"2001-06-01",26.223042,26.626889,25.271119,26.232655,13997700
"2001-06-04",26.137037,26.637037,25.954344,26.473574,14352700
"2001-06-05",26.348262,26.492492,25.790569,26.329029,15842100
"2001-06-06",26.339195,26.618042,25.771889,26.098812,14578400
"2001-06-07",26.030636,26.251789,25.472943,26.184483,11594500
"2001-06-08",26.445329,26.445329,25.435712,25.772249,17478000
"2001-06-11",25.808785,26.866475,25.203015,25.376091,18594600
"2001-06-12",24.792217,26.590294,23.696064,26.109524,39075700
"2001-06-13",25.85737,27.0016,25.472753,25.616987,34429400
"2001-06-14",26.071177,27.455794,25.186564,26.157717,62533200
"2001-06-15",25.640557,26.650173,25.352097,26.130943,45507100
"2001-06-18",26.232655,26.924965,25.790349,26.232655,20907100
"2001-06-19",27.057305,27.230381,26.047688,26.163071,23491700
"2001-06-20",25.189859,27.257166,25.064859,27.180243,31202700
"2001-06-21",26.619928,28.562235,26.600695,27.437235,33248000
"2001-06-22",27.033028,28.311871,27.023411,27.763794,25598900
"2001-06-25",28.296094,29.171094,26.805707,26.901861,28177400
"2001-06-26",26.322162,27.254856,26.110626,26.120239,32036500
"2001-06-27",26.259574,26.644191,25.336498,25.836498,28091400
"2001-06-28",25.086148,26.720765,24.739995,26.163071,24518000
"2001-06-29",26.232655,28.242272,25.732655,26.232655,54797900
"2001-07-02",25.644325,26.875095,25.605865,26.875095,24110200
"2001-07-03",26.49608,26.880697,26.26531,26.505697,18273000
"2001-07-05",26.350358,26.927281,25.965741,26.033051,20241200
"2001-07-06",26.444057,26.472904,24.905597,25.184444,24379100
"2001-07-09",25.211042,25.432196,24.634119,25.162966,16799900
"2001-07-10",25.529447,26.000601,24.510217,24.577524,19783900
"2001-07-11",25.104097,25.238714,23.66179,23.959867,28223100
"2001-07-12",24.185829,25.435829,23.224289,25.243519,22284600
"2001-07-13",24.667905,25.773672,24.225595,25.485212,18324500
"2001-07-16",25.718812,26.055349,24.401502,24.824579,14301800
"2001-07-17",24.419354,25.159741,24.082818,24.765511,18986300
"2001-07-18",24.258148,24.883148,24.065842,24.786995,17630700
"2001-07-19",24.791154,25.896924,24.531541,24.964231,13396200
"2001-07-20",25.112107,25.35249,24.612107,25.0448,12478900
"2001-07-23",25.484307,25.59969,24.234307,24.33046,15811300
"2001-07-24",24.978377,25.122607,22.91107,23.632223,27363700
"2001-07-25",24.101733,24.592119,22.899809,23.524809,26078500
"2001-07-26",23.690263,23.834493,23.017186,23.497953,24558100
"2001-07-27",23.500584,24.173661,23.212121,23.981354,17125800
"2001-07-30",24.330848,24.667385,23.225078,23.417385,17360000
"2001-07-31",23.219448,24.084832,22.873295,23.363678,25751500
"2001-08-01",23.180015,23.689632,22.603092,22.987709,24257600
"2001-08-02",23.530846,23.607769,22.569309,22.665462,25453800
"2001-08-03",22.52817,23.00894,22.143553,22.960863,15885700
"2001-08-06",23.201565,23.307335,22.124642,22.230412,22137700
"2001-08-07",21.70237,23.048523,21.519677,22.9716,24262200
"2001-08-08",23.043128,23.187358,22.225822,22.370052,15176300
"2001-08-09",22.263947,22.84087,21.92741,22.50433,15449200
"2001-08-10",22.316109,23.094952,21.729569,22.864185,13887700
"2001-08-13",22.941187,23.527727,22.479651,22.681574,14763500
"2001-08-14",23.198633,23.342863,22.333246,22.477476,13062100
"2001-08-15",22.651415,22.949491,22.372568,22.439875,15543800
"2001-08-16",22.27589,22.631657,21.766274,22.343197,17765800
"2001-08-17",22.394302,22.490455,21.480839,21.913532,16302600
"2001-08-20",21.795983,22.661366,21.228676,22.305599,13289000
"2001-08-21",22.74589,23.043966,21.668966,21.736273,14475400
"2001-08-22",21.651926,22.373083,21.401926,21.94039,16469500
"2001-08-23",21.907814,22.302044,21.628968,22.042431,10927400
"2001-08-24",21.696903,22.81229,21.610366,22.552673,14140400
"2001-08-27",22.485876,23.024336,22.149336,22.649336,14893100
"2001-08-28",23.125248,23.173325,22.067555,22.144478,13243200
"2001-08-29",22.811476,22.811476,21.811476,21.811476,12375500
"2001-08-30",22.07204,22.84127,21.245116,21.59127,22944100
"2001-08-31",21.246075,22.255688,21.169152,21.967228,17950000
"2001-09-04",21.996948,23.218102,21.468102,21.929642,19225600
"2001-09-05",21.704608,22.675761,21.243068,22.396914,20971000
"2001-09-06",22.521636,22.733173,21.665866,21.752403,19156900
"2001-09-07",21.628158,21.916618,20.993541,21.301235,25150300
"2001-09-10",20.807816,21.913582,20.750122,21.134739,25058800
"2001-09-17",19.215473,20.850086,18.253933,18.878933,74302100
"2001-09-18",19.478778,20.440318,17.901855,18.180702,47955100
"2001-09-19",19.28255,19.522934,16.013319,17.455627,58927200
"2001-09-20",17.205843,17.426998,16.311613,16.311613,48543400
"2001-09-21",14.599564,17.974564,14.118796,16.811102,89324400
"2001-09-24",17.511551,19.165398,16.550013,18.905781,73813300
"2001-09-25",18.78807,19.672683,18.26884,19.066917,45809400
"2001-09-26",19.642452,19.642452,18.680916,19.142452,27547900
"2001-09-27",19.059493,19.444106,18.5018,19.39603,21839800
"2001-09-28",19.205061,20.166597,18.935831,20.070444,33769800
"2001-10-01",19.980903,20.423213,19.74052,20.307827,25713300
"2001-10-02",20.048267,20.586727,19.221344,20.529037,23258800
"2001-10-03",20.102223,20.890683,19.86184,20.582993,26674100
"2001-10-04",21.192179,21.432566,19.894103,20.172949,27695500
"2001-10-05",20.147623,20.436083,19.013007,20.205317,23766300
"2001-10-08",19.806554,20.287321,19.325784,19.854631,16369200
"2001-10-09",19.846193,20.201959,19.471193,19.865423,14741200
"2001-10-10",19.395804,20.674651,19.107344,20.453497,18713800
"2001-10-11",20.485776,21.533852,20.389622,21.014622,25689900
"2001-10-12",20.983901,21.176211,19.608901,21.041594,23001000
"2001-10-15",20.667983,21.177599,20.196829,20.966059,13388400
"2001-10-16",21.130638,21.505638,20.399872,20.755638,17261000
"2001-10-17",21.581931,21.591544,19.918467,20.043467,22557000
"2001-10-18",19.953192,20.337808,19.712808,20.097422,15757800
"2001-10-19",19.857038,20.241655,19.414732,20.097422,17027600
"2001-10-22",19.84934,20.47434,19.714727,20.291647,16922800
"2001-10-23",20.810133,20.858213,19.771673,20.108213,15818100
"2001-10-24",20.198005,20.794159,19.832622,20.005699,16649500
"2001-10-25",19.451162,20.518469,18.672316,20.431929,23410500
"2001-10-26",20.36146,21.073,19.746077,20.976847,19363800
"2001-10-29",21.367609,21.463766,20.117609,20.194532,14708900
"2001-10-30",20.000673,20.221826,19.58721,19.60644,15887200
