"","Open","High","Low","Close","Volume"
"2010-11-18",27.837196,28.827198,26.727195,27.027195,457044300
"2010-11-19",26.972531,27.322529,25.93253,27.082527,107842000
"2010-11-22",27.060242,27.340241,26.670242,26.940243,36650600
"2010-11-23",26.984131,27.024132,26.224129,26.28413,31170200
"2010-11-24",26.715942,26.785941,26.205943,26.465942,26138000
"2010-11-26",26.328907,26.728908,26.128906,26.718906,12301200
"2010-11-29",26.718906,26.728908,25.988907,26.718906,27776900
"2010-11-30",26.365099,27.0851,26.195101,27.035101,57476900
"2010-12-01",27.363596,27.663595,27.133592,27.493593,34633200
"2010-12-02",27.654541,27.714543,27.244541,27.414543,23196100
"2010-12-03",27.311781,27.36178,26.731783,27.311781,19395200
"2010-12-06",27.256435,27.556434,27.186435,27.256435,11676500
"2010-12-07",27.484543,27.624542,27.194542,27.414543,20823000
"2010-12-08",27.392727,27.512726,27.112728,27.232727,12603900
"2010-12-09",27.291473,27.361472,26.551471,26.671474,18402200
"2010-12-10",26.766807,26.906811,26.446808,26.72681,11741700
"2010-12-13",26.878906,26.968906,26.618908,26.718906,11029300
"2010-12-14",26.630044,26.820042,26.350045,26.790043,15165600
"2010-12-15",26.768705,26.968702,26.568705,26.568705,10182700
"2010-12-16",26.528704,26.818705,26.518705,26.568705,9885700
"2010-12-17",26.407,26.877001,26.067,26.877001,35681600
"2010-12-20",26.837283,26.977282,26.667285,26.687281,12476400
"2010-12-21",26.768426,26.848424,26.628426,26.758423,9012400
"2010-12-22",26.404262,27.634262,26.21426,27.604259,20935100
"2010-12-23",27.377308,28.22731,27.327309,27.517311,20529200
"2010-12-27",27.161307,27.641306,26.941306,27.351305,7368300
"2010-12-28",27.980465,28.270462,27.670464,27.920464,23489000
"2010-12-29",27.923813,28.753811,27.703812,28.473812,20960800
"2010-12-30",28.386214,29.266216,28.306216,29.106216,16980800
"2010-12-31",29.117826,29.237825,28.847826,29.137827,6163900
"2011-01-03",29.555926,30.235926,29.265925,29.295927,24874900
"2011-01-04",29.159955,30.049959,28.739957,29.959959,32363400
"2011-01-05",29.494338,30.324336,29.494338,30.094337,22503900
"2011-01-06",30.09046,31.330458,29.920458,30.75046,38556900
"2011-01-07",30.673686,31.163688,30.343684,30.813686,19901100
"2011-01-10",31.261685,31.281686,30.361684,30.481686,18341600
"2011-01-11",30.541876,31.311876,30.391874,30.631876,14856500
"2011-01-12",30.859116,31.279114,30.279114,30.529114,16773900
"2011-01-13",30.642436,30.692435,30.092437,30.252436,11358300
"2011-01-14",30.177103,30.467104,30.037104,30.197104,5894200
"2011-01-18",30.082723,30.362726,29.352724,30.062723,8918200
"2011-01-19",29.944698,30.094699,29.424697,29.564701,12667700
"2011-01-20",29.320796,29.500796,28.480795,29.390795,15844900
"2011-01-21",29.528223,30.048219,29.018221,29.438223,9548500
"2011-01-24",29.824421,29.974423,29.144421,29.754421,12202800
"2011-01-25",29.8052,30.445204,29.665201,30.355204,12318700
"2011-01-26",30.812046,30.972046,29.922047,29.952045,11534600
"2011-01-27",30.098631,30.848631,29.928629,30.568628,13950000
"2011-01-28",30.332314,30.352314,28.342312,28.932312,37134600
"2011-01-31",29.245343,29.405343,28.245343,28.845346,13954800
"2011-02-01",29.293722,29.593722,28.493723,28.813723,28091600
"2011-02-02",28.985037,29.085039,28.10504,28.205038,17434700
"2011-02-03",28.415428,28.505428,27.575428,28.505428,19350000
"2011-02-04",28.584397,29.064397,28.224396,28.924397,11115000
"2011-02-07",29.261351,29.40135,28.921351,29.011351,7328800
"2011-02-08",29.241545,29.321543,28.671546,29.161543,6243000
"2011-02-09",29.19211,29.28211,28.652109,28.78211,6399300
"2011-02-10",28.653143,29.123144,28.003145,28.363146,11542400
"2011-02-11",28.12372,28.933722,27.913721,28.813723,13508300
"2011-02-14",28.947248,28.95725,27.86725,28.68725,7121200
"2011-02-15",28.624952,28.844953,28.234952,28.544954,10336500
"2011-02-16",28.410876,29.140875,28.320875,29.050875,8680900
"2011-02-17",28.930479,29.080481,28.680479,28.750479,7463000
"2011-02-18",28.771147,29.111147,28.73115,28.861147,6815800
"2011-02-22",28.366181,28.656182,27.956181,28.27618,13937400
"2011-02-23",28.603393,28.693394,26.553394,27.343395,28192500
"2011-02-24",27.982314,28.082312,25.132311,26.102312,63562800
"2011-02-25",26.704128,27.234131,26.084129,26.28413,29017800
"2011-02-28",26.465464,26.715464,25.835463,26.505461,15886400
"2011-03-01",26.786974,26.846975,25.526975,26.046976,27321600
"2011-03-02",26.011643,26.281639,25.701641,25.991642,14306700
"2011-03-03",26.110214,26.250213,25.730217,26.110214,17614800
"2011-03-04",26.284299,26.294301,25.224297,25.604298,24240900
"2011-03-07",25.70885,25.858852,24.878852,25.058853,15077100
"2011-03-08",24.88517,25.96517,24.835171,25.865171,14509400
"2011-03-09",25.98363,26.003626,25.343626,25.493628,11225600
"2011-03-10",24.88751,25.197512,24.367512,24.837511,38333600
"2011-03-11",24.560671,25.370672,24.550671,25.240671,14024000
"2011-03-14",25.521898,25.681898,24.811899,24.971899,9976500
"2011-03-15",24.202676,25.712678,23.872676,25.572674,21471300
"2011-03-16",25.762088,25.872089,24.74209,25.122091,14148900
"2011-03-17",25.593324,25.803323,24.743324,24.853325,11025600
"2011-03-18",25.067427,25.277428,24.747427,25.177427,9861200
"2011-03-21",25.686844,25.746841,24.676842,24.726843,13196500
"2011-03-22",24.839972,24.909971,24.069971,24.299971,16982100
"2011-03-23",24.071983,24.751984,23.671984,24.631983,23016000
"2011-03-24",24.743794,25.023794,24.663794,24.813793,15743100
"2011-03-25",24.89704,25.107041,24.49704,24.877039,15242300
"2011-03-28",25.116925,25.116925,24.386925,24.386925,10302600
"2011-03-29",24.414549,24.654549,24.164549,24.584549,9756700
"2011-03-30",24.550278,25.030277,24.430279,24.940277,7657000
"2011-03-31",24.899218,25.049217,24.499218,24.529219,8976600
"2011-04-01",24.600107,25.840109,24.050108,25.620108,29883100
"2011-04-04",25.714299,25.9343,25.4143,25.604298,12331400
"2011-04-05",25.433729,25.983728,25.213727,25.983728,10106900
"2011-04-06",26.113729,26.393728,25.633729,25.983728,8160100
"2011-04-07",26.071053,26.071053,25.301053,25.541054,11242400
"2011-04-08",25.796563,26.146561,24.726561,24.916561,16057700
"2011-04-11",24.893685,25.003686,24.103684,24.323685,15179100
"2011-04-12",23.874079,24.814079,23.574079,24.624079,19648600
"2011-04-13",24.764832,24.854832,24.124832,24.394833,13781100
"2011-04-14",24.243492,24.453493,23.943492,24.173492,9044800
"2011-04-15",24.254718,24.384717,23.844718,23.904718,9882800
"2011-04-18",23.78128,24.061281,23.621281,23.69128,12745600
"2011-04-19",23.610897,23.710898,22.970898,23.390898,19914800
"2011-04-20",23.489664,24.109663,23.149664,23.659664,22038100
"2011-04-21",23.565977,24.515978,23.525978,24.465979,18920800
"2011-04-25",24.476172,24.666173,23.796172,24.616171,15442500
"2011-04-26",24.83894,24.958941,24.40894,24.718941,15700000
"2011-04-27",24.812089,25.132091,24.622091,25.122091,14945600
"2011-04-28",25.074855,25.414853,24.794855,25.224855,15810100
"2011-04-29",25.267142,25.857144,25.187142,25.367142,13774600
"2011-05-02",25.66829,25.75829,25.17829,25.43829,11014500
"2011-05-03",25.468595,26.288595,25.448595,26.078596,29894800
"2011-05-04",26.238117,26.548118,25.788116,26.118118,20492000
"2011-05-05",25.351812,25.971811,24.781811,25.311811,26623400
"2011-05-06",25.814855,25.914853,25.154855,25.224855,12801800
"2011-05-09",25.163794,25.483795,24.783795,24.813793,10716400
"2011-05-10",24.847707,25.017707,24.707708,24.987709,7841900
"2011-05-11",25.012656,25.302657,24.552657,24.742655,9073300
"2011-05-12",24.487511,25.017511,24.347511,24.837511,14128200
"2011-05-13",24.950836,25.030838,24.340837,24.560837,10837200
"2011-05-16",24.734549,24.984549,24.564549,24.584549,7291700
"2011-05-17",24.544548,24.864548,24.314549,24.584549,11191200
"2011-05-18",24.466561,25.016562,24.396561,24.916561,9949400
"2011-05-19",24.937041,25.197041,24.717039,24.877039,9575300
"2011-05-20",24.827792,24.967791,24.567791,24.647791,7224100
"2011-05-23",24.193882,24.673882,24.013882,24.473881,8971700
"2011-05-24",24.671112,24.741114,24.041113,24.371113,8779100
"2011-05-25",24.00894,24.82894,23.948941,24.718941,14390800
"2011-05-26",24.652539,24.672539,24.092539,24.252539,12244400
"2011-05-27",24.216842,24.926842,24.036842,24.726843,9114200
"2011-05-31",24.775807,25.205807,24.465805,25.145805,22938900
"2011-06-01",25.366819,25.366819,23.816818,23.896818,19134400
"2011-06-02",24.128802,24.358801,23.198802,23.398802,22440900
"2011-06-03",23.17936,23.459358,22.799359,23.01936,21968400
"2011-06-06",23.036684,23.426684,22.566683,22.576683,13416100
"2011-06-07",22.860589,23.010591,22.360589,22.750591,15237900
"2011-06-08",22.47383,23.29383,22.35383,22.813831,16534000
"2011-06-09",23.030222,23.410221,22.740221,23.280222,13593600
"2011-06-10",23.255919,23.255919,22.60592,22.80592,11734000
"2011-06-13",22.910397,23.090397,22.300398,22.600397,9791900
"2011-06-14",22.821456,23.391456,22.761457,23.011457,10948400
"2011-06-15",22.704971,23.044972,22.57497,22.884972,11669900
"2011-06-16",22.710398,23.000397,22.180397,22.600397,14079400
"2011-06-17",22.654503,22.984502,22.494503,22.924503,16732300
"2011-06-20",22.685565,23.415564,22.585564,23.335564,9038000
"2011-06-21",23.310898,23.800898,23.230898,23.390898,12648300
