"","Open","High","Low","Close","Volume"
"2001-01-02",12.524948,12.931198,12.337448,12.462448,4855600
"2001-01-03",12.855677,12.855677,12.136927,12.293177,5978400
"2001-01-04",12.094609,12.344609,11.563359,12.250859,9108400
"2001-01-05",12.36479,12.64604,11.98979,12.20854,5969600
"2001-01-08",12.534062,12.690312,12.346562,12.377812,6244000
"2001-01-09",12.854365,13.135615,12.448115,12.885615,7611400
"2001-01-10",12.652535,13.496285,12.652535,13.308785,9012200
"2001-01-11",13.271354,13.646354,13.052604,13.583854,7804200
"2001-01-12",13.25019,13.59394,13.25019,13.56269,5547400
"2001-01-16",13.450714,13.794464,13.044464,13.731964,5759000
"2001-01-17",13.640495,13.640495,13.015495,13.202995,6504000
"2001-01-18",13.372603,13.591353,12.216353,12.716353,6811000
"2001-01-19",12.78699,13.47449,12.34949,12.56824,6532400
"2001-01-22",12.850466,13.037966,12.600466,12.631716,3589400
"2001-01-23",12.857301,13.263551,12.419801,13.076051,4915000
"2001-01-24",13.009316,13.634316,12.728066,13.478066,6639200
"2001-01-25",13.279163,14.185413,12.904163,14.091663,6602000
"2001-01-26",14.26419,14.51419,13.45169,13.79544,5625800
"2001-01-29",13.757687,13.857685,13.467686,13.507687,2925600
"2001-01-30",13.454553,13.844552,13.034553,13.629552,3864400
"2001-01-31",13.594401,14.0994,13.3244,13.944399,5271200
"2001-02-01",13.709244,13.774242,13.359243,13.609243,3668800
"2001-02-02",13.54877,14.09377,13.528769,13.57877,5423200
"2001-02-05",13.713926,14.183926,13.613926,13.913925,5043000
"2001-02-06",13.998664,14.613664,13.363664,14.438665,5786800
"2001-02-07",14.057157,14.852157,13.772157,14.557157,7126200
"2001-02-08",14.664445,14.809443,13.949445,14.489444,6566200
"2001-02-09",14.617721,14.94272,14.342722,14.377722,3630600
"2001-02-12",14.238664,14.438665,13.838664,14.438665,5976200
"2001-02-13",13.916788,14.666788,13.826787,14.641788,6938000
"2001-02-14",14.534545,14.909545,14.389545,14.604545,6659200
"2001-02-15",14.594494,14.719494,13.924494,14.059494,6354800
"2001-02-16",14.75976,14.784759,14.00976,14.184761,9356600
"2001-02-20",14.268667,14.718668,14.003668,14.113666,9272600
"2001-02-21",14.104343,14.539343,13.984342,14.049343,4856800
"2001-02-22",14.678619,14.828618,13.418618,13.56862,5519400
"2001-02-23",13.764189,14.014189,12.919189,13.389189,3781600
"2001-02-26",13.188825,14.168825,13.018825,13.798824,5282600
"2001-02-27",14.094014,14.264014,13.894013,14.119013,4725400
"2001-02-28",14.503791,14.548791,13.253791,13.563791,4598000
"2001-03-01",13.566644,14.211645,13.501644,13.696644,3407800
"2001-03-02",13.519734,14.144734,13.454735,14.074734,4347600
"2001-03-05",14.137234,14.532235,13.662234,14.347233,3246400
"2001-03-06",14.105892,14.640892,13.930893,14.595892,4815200
"2001-03-07",14.293086,15.343087,14.288087,15.243087,7932200
"2001-03-08",15.177749,15.402749,14.712749,15.382749,6202000
"2001-03-09",15.491335,15.856337,14.876335,15.161335,5537800
"2001-03-12",15.487434,15.617434,14.602434,14.667435,5053000
"2001-03-13",14.97205,15.057051,13.84705,14.02705,5633800
"2001-03-14",14.083041,14.723043,13.673041,13.918042,7192400
"2001-03-15",14.146698,14.251698,13.576699,13.621699,6113600
"2001-03-16",13.56854,14.093542,13.268541,13.31854,5755400
