"","HBAN.Open","HBAN.High","HBAN.Low","HBAN.Close","HBAN.Volume","HBAN.Adjusted"
"2001-01-02",16.1875,16.25,15.75,16,1049600,8.710121
"2001-01-03",16.4375,18,16.125,17.59375,1864400,9.577731
"2001-01-04",17.3125,17.5625,17.0625,17.4375,1030400,9.49267
"2001-01-05",17.4375,17.4375,16.625,16.6875,338700,9.084386
"2001-01-08",16.625,16.8125,16.5,16.5625,452200,9.016335
"2001-01-09",16.625,16.75,16.3125,16.5625,791000,9.016335
"2001-01-10",16.453125,17,16.375,16.8125,496100,9.152434
"2001-01-11",16.96875,17.25,16.75,17.0625,543700,9.288526
"2001-01-12",17.0625,17.0625,16.25,16.375,348400,8.914266
"2001-01-16",16.25,17,16.125,16.75,332400,9.118407
"2001-01-17",16.8125,17.375,16.6875,17.0625,587600,9.288526
"2001-01-18",16.9375,17,15.1875,15.375,1581200,8.369885
"2001-01-19",15.4375,16,14.8125,15.5625,1297400,8.471952
"2001-01-22",15.5625,15.6875,15.375,15.5,685000,8.437932
"2001-01-23",15.5,16,15.375,15.875,938200,8.642076
"2001-01-24",15.8125,16.1875,15.625,15.875,577600,8.642076
"2001-01-25",15.9375,16,15.4375,15.625,602400,8.505974
"2001-01-26",15.625,15.75,15.375,15.625,485800,8.505974
"2001-01-29",15.625,16,15.4375,15.609375,533900,8.497472
"2001-01-30",15.5625,15.8125,15.3125,15.625,588200,8.505974
"2001-01-31",15.625,15.671875,15.25,15.4375,606000,8.403906
"2001-02-01",15.40625,15.4375,14.6875,14.75,867100,8.029644
"2001-02-02",14.8125,15.0625,14.8125,15,787900,8.165739
"2001-02-05",14.96875,15.125,14.875,15.125,252600,8.233783
"2001-02-06",15.0625,15.125,14.625,14.6875,487600,7.99562
"2001-02-07",14.8125,15,14.125,14.8125,489700,8.063664
"2001-02-08",14.875,15.0625,14.75,15,570100,8.165739
"2001-02-09",14.875,15.0625,14.8125,14.8125,610600,8.063664
"2001-02-12",14.9375,15.0625,14.8125,15.0625,493300,8.199763
"2001-02-13",14.9375,15.0625,14.75,14.875,436800,8.097691
"2001-02-14",14.9375,15.1875,14.875,15.1875,1365800,8.267808
"2001-02-15",15.0625,15.3125,14.9375,15.3125,694800,8.335858
"2001-02-16",15.1875,15.75,15.1875,15.5,972000,8.437932
"2001-02-20",15.375,15.5625,15,15.0625,1024400,8.199763
"2001-02-21",15.1875,15.25,14.875,14.875,766800,8.097691
"2001-02-22",15,15.0625,14.6875,15,670900,8.165739
"2001-02-23",14.875,15.0625,14.625,15,338100,8.165739
"2001-02-26",14.875,15.5,14.875,15.5,423200,8.437932
"2001-02-27",15.4375,15.6875,15.0625,15.3125,488700,8.335858
"2001-02-28",15.3125,15.5,14.8125,14.9375,649500,8.131718
"2001-03-01",14.9375,15.25,14.5625,15.25,651600,8.301832
"2001-03-02",15.25,15.9375,15.0625,15.3125,418100,8.335858
"2001-03-05",15.1875,15.4375,15,15.1875,308800,8.267808
"2001-03-06",15.1875,15.375,15.0625,15.1875,206800,8.267808
"2001-03-07",15.1875,15.5625,15.125,15.5,578700,8.437932
"2001-03-08",15.625,15.6875,15.1875,15.375,327200,8.369885
"2001-03-09",15.25,15.3125,14.875,15,326700,8.165739
"2001-03-12",15,15,14.5,14.5,307000,7.893549
"2001-03-13",14.5625,15,14.25,14.984375,512300,8.157233
"2001-03-14",14.5,14.625,13.875,14.3125,526000,7.896882
"2001-03-15",14.1875,14.75,14.125,14.5625,299000,8.034817
"2001-03-16",14.5,14.75,14.0625,14.4375,1040300,7.965846
"2001-03-19",14.25,14.5625,14.25,14.5,309100,8.00033
"2001-03-20",14.4375,14.4375,13.9375,13.9375,306700,7.689976
"2001-03-21",13.9375,14.0625,13.25,13.5,507700,7.448586
"2001-03-22",13.375,13.4375,12.625,12.9375,781600,7.138226
"2001-03-23",13.25,14,13,13.734375,836400,7.5779
"2001-03-26",14.25,14.375,13.9375,14.3125,620800,7.896882
"2001-03-27",14.1875,14.5,13.875,14.3125,529800,7.896882
"2001-03-28",14.3125,14.3125,14.0625,14.1875,327400,7.827908
"2001-03-29",14.15625,14.1875,13.875,13.890625,333900,7.664111
"2001-03-30",13.9375,14.3125,13.9375,14.25,622700,7.862395
"2001-04-02",14.25,14.625,14.1875,14.5625,711500,8.034817
"2001-04-03",14.5,14.625,14.21875,14.3125,539300,7.896882
"2001-04-04",14.25,14.375,13.875,14,867700,7.724456
"2001-04-05",14.125,14.5625,13.9375,14.5,667300,8.00033
"2001-04-06",14.3125,14.6875,14,14.0625,621900,7.758942
"2001-04-09",14.19,14.6,14.16,14.57,355500,8.03895
"2001-04-10",14.42,14.72,14.41,14.5,354600,8.00033
"2001-04-11",14.5,14.65,14.28,14.49,346300,7.994815
"2001-04-12",14.28,14.5,14.11,14.24,430400,7.856876
"2001-04-16",14.21,14.36,13.85,14.13,412300,7.796187
"2001-04-17",13.9,14.15,13.89,14.07,502800,7.763079
"2001-04-18",14.04,14.48,13.96,14.41,975100,7.950671
"2001-04-19",14.3,14.32,14.1,14.17,732300,7.818254
"2001-04-20",13.94,14.1,13.93,14.04,1477800,7.746524
"2001-04-23",14.08,14.1,13.95,13.99,1577200,7.718941
"2001-04-24",14,14.38,13.98,14.34,1078100,7.912052
"2001-04-25",14.06,14.47,14.06,14.32,361100,7.901018
"2001-04-26",14.4,14.49,14.3,14.41,583400,7.950671
"2001-04-27",14.38,15.06,14.38,14.99,1160100,8.270686
"2001-04-30",14.99,15.27,14.7,15.07,1223400,8.31482
"2001-05-01",14.97,15.1,14.87,15.02,1049200,8.287235
"2001-05-02",14.94,15.15,14.88,14.91,357600,8.226546
"2001-05-03",14.94,14.95,14.66,14.93,398900,8.237582
"2001-05-04",14.9,15.12,14.62,15.12,394000,8.342416
"2001-05-07",15.11,15.11,14.86,14.94,368700,8.243099
"2001-05-08",15,15.1,14.73,14.9,855700,8.221027
"2001-05-09",14.74,14.84,14.58,14.67,325200,8.094126
"2001-05-10",14.94,14.95,14.55,14.67,657100,8.094126
"2001-05-11",14.74,14.8,14.46,14.52,442000,8.011365
"2001-05-14",14.51,14.72,14.4,14.7,654000,8.11068
"2001-05-15",14.75,14.94,14.67,14.74,534700,8.132752
"2001-05-16",14.72,15,14.7,14.9,741600,8.221027
"2001-05-17",14.85,14.97,14.74,14.83,866400,8.182405
"2001-05-18",14.85,14.94,14.73,14.9,900600,8.221027
"2001-05-21",14.9,15,14.73,14.95,294000,8.248614
"2001-05-22",14.94,15.2,14.81,15.2,481700,8.386553
"2001-05-23",15.17,15.3,15.11,15.19,943900,8.381035
"2001-05-24",15.18,15.36,15.15,15.23,509800,8.403103
"2001-05-25",15.21,15.24,14.52,14.93,551300,8.237582
"2001-05-29",14.98,15,14.8,14.85,581200,8.193441
"2001-05-30",14.84,15.07,14.55,14.8,732500,8.165854
"2001-05-31",14.81,15,14.78,14.98,412300,8.265166
"2001-06-01",14.98,15.54,14.95,15.48,811700,8.54104
"2001-06-04",15.47,15.47,15.16,15.39,391800,8.491385
"2001-06-05",15.36,15.62,15.36,15.58,457200,8.596217
"2001-06-06",15.59,15.61,14.5,15.45,528400,8.524487
"2001-06-07",15.49,15.81,15.38,15.75,538300,8.690013
"2001-06-08",15.52,15.7,15.28,15.32,371400,8.452763
"2001-06-11",15.51,15.51,15.25,15.26,439700,8.419657
"2001-06-12",15.23,15.4,15.05,15.35,643900,8.469317
"2001-06-13",15.38,15.38,15.06,15.2,353700,8.497263
"2001-06-14",15.1,15.2,14.84,14.92,388700,8.340735
"2001-06-15",14.94,15.15,14.85,14.93,1335300,8.34633
"2001-06-18",14.98,15.07,14.67,15.06,507600,8.419002
"2001-06-19",15.05,15.27,14.93,15.24,556600,8.519626
"2001-06-20",15.23,15.46,15,15.4,441500,8.609075
"2001-06-21",15.33,15.89,15.25,15.89,778400,8.883
"2001-06-22",15.83,16,15.56,15.82,962000,8.843865
"2001-06-25",15.79,16,15.69,15.8,675700,8.832685
"2001-06-26",15.73,15.95,15.61,15.86,677500,8.866231
"2001-06-27",15.85,16.290001,15.79,15.9,1081900,8.888586
"2001-06-28",15.97,16.120001,15.86,15.93,529600,8.90536
"2001-06-29",15.93,17,15.7,16.35,680900,9.14015
"2001-07-02",16.17,16.23,15.76,16.190001,1099700,9.050706
"2001-07-03",16.17,16.25,16.08,16.17,290200,9.039527
"2001-07-05",16.17,16.389999,16.08,16.379999,787500,9.156923
"2001-07-06",16.23,16.379999,16,16.139999,679200,9.022755
