"","Open","High","Low","Close","Volume"
"2001-01-02",3.043617,3.100539,2.75901,2.901313,291800
"2001-01-03",2.527889,3.068644,2.527889,3.011723,300600
"2001-01-04",3.036259,3.064719,2.637807,3.036259,283000
"2001-01-05",2.989397,3.1317,2.79017,3.017857,251200
"2001-01-08",3.002155,3.17292,2.83139,3.115999,328500
"2001-01-09",3.081404,3.166787,2.853717,3.109865,194300
"2001-01-10",2.985963,3.128266,2.758276,3.128266,240200
"2001-01-11",3.020556,3.1344,2.764408,3.1344,236200
"2001-01-12",3.156728,3.156728,3.014423,3.128266,112600
"2001-01-16",3.105938,3.1344,2.935173,3.1344,178300
"2001-01-17",3.077478,3.16286,3.049017,3.1344,207500
"2001-01-18",3.061285,3.175129,3.004364,3.146668,265200
"2001-01-19",3.152802,3.181262,3.038958,3.152802,97200
"2001-01-22",3.175129,3.203589,2.975903,3.146668,116300
"2001-01-23",3.079688,3.16507,2.937384,3.16507,191700
"2001-01-24",3.142741,3.256585,2.915055,3.171202,158500
"2001-01-25",3.221992,3.221992,2.965845,3.16507,387100
"2001-01-26",3.24211,3.299031,3.014423,3.128266,179600
"2001-01-29",3.053739,3.222227,3.049186,3.149367,151700
"2001-01-30",3.131505,3.163382,3.004001,3.154274,153000
"2001-01-31",3.30172,3.424671,3.037604,3.115017,363600
"2001-02-01",3.101156,3.242322,2.891685,3.242322,191200
"2001-02-02",3.462522,3.462522,3.20296,3.20296,134800
"2001-02-05",3.21455,3.360269,3.159905,3.200888,156500
"2001-02-06",3.024996,3.252683,2.751772,3.252683,144900
"2001-02-07",3.302126,3.302126,3.165514,3.224714,100300
"2001-02-08",3.407662,3.407662,3.116224,3.193637,100300
"2001-02-09",3.123044,3.286978,3.08206,3.182242,113500
"2001-02-12",2.923561,3.242322,2.878024,3.242322,120700
"2001-02-13",3.365213,3.52004,3.146634,3.173956,146600
"2001-02-14",3.104439,3.209175,2.990596,3.209175,147300
"2001-02-15",3.147925,3.261769,3.002206,3.229893,163100
"2001-02-16",3.307502,3.307502,3.152675,3.216427,94800
"2001-02-20",3.210857,3.256394,3.010493,3.23818,161100
"2001-02-21",3.442062,3.442062,3.200714,3.237144,196700
"2001-02-22",3.247071,3.515741,3.151442,3.228856,194300
"2001-02-23",3.123086,3.428186,2.827093,3.227821,395900
"2001-02-26",3.140889,3.254733,3.140889,3.231964,115900
"2001-02-27",3.367499,3.390268,3.153474,3.18535,214700
"2001-02-28",3.011119,3.284343,3.011119,3.243359,294400
"2001-03-01",3.003305,3.299298,2.889462,3.299298,640700
"2001-03-02",3.040013,3.559139,3.040013,3.376989,263700
"2001-03-05",3.341809,3.455653,3.186982,3.387347,214100
"2001-03-06",3.475295,3.475295,3.343236,3.361451,149100
"2001-03-07",3.196307,3.474085,3.196307,3.396671,149700
"2001-03-08",3.221814,3.586113,3.221814,3.449501,279300
"2001-03-09",3.569303,3.569303,3.332509,3.400815,234500
"2001-03-12",3.299012,3.440178,3.116863,3.440178,184000
"2001-03-13",3.27771,3.459859,3.072791,3.459859,148600
"2001-03-14",3.611322,3.611322,3.247023,3.40185,178300
"2001-03-15",3.345328,3.522924,3.327113,3.386312,184200
"2001-03-16",3.457706,3.571549,3.298325,3.366631,250500
"2001-03-19",2.901002,3.470219,2.855465,3.470219,181600
"2001-03-20",3.822004,3.89031,3.366631,3.366631,180000
"2001-03-21",3.211455,3.46191,3.188686,3.439141,728800
"2001-03-22",3.354712,3.48677,3.190778,3.464002,389700
"2001-03-23",3.192698,3.625302,3.192698,3.52512,548500
"2001-03-26",3.391659,3.573807,3.318799,3.573807,211200
"2001-03-27",3.595305,3.66361,3.34485,3.54066,361400
"2001-03-28",3.656747,3.665855,3.506474,3.506474,248100
"2001-03-29",3.488885,3.602729,3.466117,3.511654,473400
"2001-03-30",3.44542,3.71409,3.44542,3.513726,729500
"2001-04-02",3.416476,3.58041,3.393708,3.553088,297100
"2001-04-03",3.570678,3.570678,3.40219,3.547909,452300
"2001-04-04",3.547909,3.552463,3.438619,3.547909,269000
"2001-04-05",3.449409,3.631558,3.385657,3.576914,610900
"2001-04-06",3.796684,3.796684,3.48703,3.518905,390600
"2001-04-09",3.391659,3.710419,3.350674,3.573807,182400
"2001-04-10",3.779113,3.779113,3.483122,3.546874,308000
"2001-04-11",3.507551,3.598625,3.416476,3.553088,648600
"2001-04-12",3.421268,3.694492,3.352963,3.585202,417600
"2001-04-16",3.616019,3.684325,3.497623,3.561375,373900
"2001-04-17",3.426036,3.621846,3.344069,3.594524,413200
"2001-04-18",3.625602,3.766768,3.443452,3.625602,356800
"2001-04-19",3.620422,3.66596,3.588547,3.620422,471900
"2001-04-20",3.902045,3.902045,3.059605,3.524085,2640200
"2001-04-23",3.451655,3.620143,3.451655,3.54273,251600
"2001-04-24",3.379249,3.720779,3.310943,3.584166,470100
"2001-04-25",3.232379,3.73329,3.209611,3.687754,432100
"2001-04-26",3.687171,3.823783,3.641633,3.728154,431500
"2001-04-27",3.391867,3.801703,3.391867,3.801703,428200
"2001-04-30",4.058312,4.058312,3.634814,3.73955,535100
"2001-05-01",3.888172,3.888172,3.637716,3.824419,345800
"2001-05-02",4.013654,4.013654,3.74043,3.795075,290900
"2001-05-03",3.80853,3.872282,3.681025,3.799422,246600
"2001-05-04",3.58556,3.872446,3.553684,3.867891,262800
"2001-05-07",3.82282,3.973095,3.781837,3.882019,280600
"2001-05-08",4.091688,4.091688,3.745604,3.782033,711000
"2001-05-09",3.61075,3.811115,3.519676,3.7929,2898700
"2001-05-10",3.850339,3.850339,3.622652,3.782033,525700
