"","Open","High","Low","Close","Volume"
"2001-01-02",31.257414,31.882414,30.194914,31.132414,6497200
"2001-01-03",29.271725,35.209225,28.771725,35.146725,17594900
"2001-01-04",33.442554,36.130054,33.255054,35.317554,15560100
"2001-01-05",34.243679,34.806179,33.556179,33.993679,8803200
"2001-01-08",34.396896,34.396896,31.896896,32.584396,7037800
"2001-01-09",33.033438,33.220938,30.408438,31.345938,8026000
"2001-01-10",30.788578,32.538578,29.976078,32.413578,7515900
"2001-01-11",32.273918,33.961418,31.961418,33.523918,6131600
"2001-01-12",33.50412,34.69162,33.50412,33.56662,8391900
"2001-01-16",33.27079,33.64579,32.14579,33.39579,5983700
"2001-01-17",33.187588,33.937588,31.375088,31.687588,8951500
"2001-01-18",32.485594,33.110594,30.110594,30.235594,12073100
"2001-01-19",28.764883,30.014883,28.014883,28.014883,34361100
"2001-01-22",28.14395,30.08145,27.08145,29.89395,15010000
"2001-01-23",29.452219,30.702219,28.577219,30.577219,8310800
"2001-01-24",30.540756,31.103256,30.103256,30.790756,7287500
"2001-01-25",30.806334,31.493834,29.618834,31.431334,9890400
"2001-01-26",31.577219,31.577219,29.952219,30.577219,7185400
"2001-01-29",30.889705,31.559707,30.089706,31.089706,5499900
"2001-01-30",31.181334,31.821333,30.861334,31.431334,9632700
"2001-01-31",31.384583,33.734581,30.994579,32.934582,14702100
"2001-02-01",32.11206,33.492062,31.652061,33.242062,8844000
"2001-02-02",33.799474,33.799474,31.719472,32.039471,5833100
"2001-02-05",32.108146,32.148147,31.338145,31.848148,4199700
"2001-02-06",32.652178,32.942179,31.102178,31.192179,4063200
"2001-02-07",31.40103,32.251028,30.571028,31.281027,5983400
"2001-02-08",32.067922,32.317922,29.647924,30.057924,7761100
"2001-02-09",30.428564,31.678564,29.978563,30.358564,5922700
"2001-02-12",30.086843,31.406842,29.956842,31.246843,5510200
"2001-02-13",31.323157,31.973154,30.183153,31.643156,6083500
"2001-02-14",32.270018,32.390017,30.660017,31.240019,6110300
"2001-02-15",31.271568,31.271568,29.871566,30.481567,6318000
"2001-02-16",31.38147,31.38147,28.88147,29.38147,7435300
"2001-02-20",30.516259,31.636257,29.836258,30.126259,8286100
"2001-02-21",30.180737,30.520737,27.830734,27.980736,8240700
"2001-02-22",28.831594,28.831594,27.231596,27.331594,12723600
"2001-02-23",27.278445,28.408446,26.948443,27.338442,10725900
"2001-02-26",27.14395,30.013949,27.14395,29.89395,10543400
"2001-02-27",30.374741,30.83474,29.42474,30.474739,8935800
"2001-02-28",31.139829,31.469831,28.739832,29.039831,7979800
"2001-03-01",29.256535,29.346535,27.606533,28.356533,7726600
"2001-03-02",27.390699,29.240702,27.1607,28.390699,6377600
"2001-03-05",28.678701,28.828703,27.928701,28.308702,4188300
"2001-03-06",28.928186,29.278184,28.058187,28.288187,6202900
"2001-03-07",27.638617,30.088618,27.598616,29.888617,8762300
"2001-03-08",29.766265,31.366263,29.666262,30.586264,8456500
"2001-03-09",30.909461,31.009463,29.529459,30.449461,7067500
"2001-03-12",30.256947,30.686948,28.306946,28.766949,8396100
"2001-03-13",28.564678,29.304676,27.764675,29.204678,10060000
"2001-03-14",28.146013,29.646013,27.346014,28.466013,7025300
"2001-03-15",29.596657,30.096657,28.926659,29.546658,7711500
"2001-03-16",29.193752,30.443752,28.543755,28.903751,9820300
"2001-03-19",28.57789,29.66789,27.567892,29.067892,8090000
"2001-03-20",29.741712,30.881711,28.691713,28.691713,8313400
"2001-03-21",28.833933,29.883932,28.153932,28.383932,7536100
"2001-03-22",28.417832,28.477834,25.227834,27.877831,14021200
"2001-03-23",28.062324,28.062324,25.772327,27.132324,10532600
"2001-03-26",28.53134,28.94134,27.931342,28.28134,8100700
"2001-03-27",28.214482,29.97448,27.864479,29.72448,8471200
"2001-03-28",29.727168,29.78717,28.05717,29.567169,8035200
"2001-03-29",29.917334,30.637331,28.767332,29.177332,7181800
"2001-03-30",29.878258,30.128258,29.048256,29.478256,7060200
"2001-04-02",29.652075,30.072077,28.652075,29.102076,7320100
"2001-04-03",29.686278,29.836275,27.836275,29.136274,7647300
"2001-04-04",28.6311,29.6311,28.431099,28.931099,7249300
"2001-04-05",29.206455,30.106457,28.936459,30.066456,6122500
"2001-04-06",29.313351,30.253349,28.463348,29.943348,6806900
"2001-04-09",29.965864,30.015863,28.425863,28.855864,6231900
"2001-04-10",29.496708,29.796707,28.906708,29.416706,5711500
"2001-04-11",28.933931,29.383932,26.963934,28.383932,11755200
"2001-04-12",27.986519,28.486519,26.886516,28.486519,6806100
"2001-04-16",27.683931,28.783934,27.383932,28.383932,5037600
"2001-04-17",28.254352,29.054351,27.494354,28.664352,5187700
"2001-04-18",28.334968,31.604968,28.104968,31.194969,14545300
"2001-04-19",30.43642,31.52642,29.766422,31.516422,7419700
"2001-04-20",31.235342,31.645342,30.685343,31.605341,5638400
"2001-04-23",31.611673,33.141676,31.211675,31.591673,6682900
"2001-04-24",31.271443,31.711442,30.671445,30.791443,6692400
"2001-04-25",31.005404,31.695407,30.765406,31.475405,4606800
"2001-04-26",31.550843,32.450845,31.200845,32.350842,4794700
"2001-04-27",32.77802,33.198022,32.308018,32.898018,7059000
"2001-04-30",33.214066,33.614068,32.074067,32.214066,6381300
"2001-05-01",31.4477,34.187702,31.187702,33.677704,7525100
"2001-05-02",33.279946,34.329945,33.079945,33.369946,7186700
"2001-05-03",33.20842,33.38842,32.568421,33.178417,5144400
"2001-05-04",32.077107,34.067109,31.937108,33.917107,5701500
"2001-05-07",34.075127,34.685128,33.285126,33.575127,4870800
"2001-05-08",33.684369,34.384366,32.604367,34.204365,6602000
"2001-05-09",33.77842,34.268417,32.688419,33.178417,6166200
"2001-05-10",33.944553,34.684555,33.414555,33.684555,6788400
"2001-05-11",33.435448,34.335445,33.335445,34.115448,4914500
"2001-05-14",34.346157,34.346157,32.866158,33.616158,5068600
"2001-05-15",34.415925,35.005925,33.655927,34.265923,11519500
"2001-05-16",33.815094,35.155094,33.225094,35.025093,10689200
"2001-05-17",35.055424,36.265423,34.91542,35.565422,6027400
"2001-05-18",35.274185,36.044186,34.744187,36.044186,5857900
"2001-05-21",35.82927,36.859269,35.00927,36.50927,6873300
"2001-05-22",36.152531,36.852527,35.252529,36.242531,5401600
"2001-05-23",36.219459,36.569462,35.069462,35.98946,4794300
"2001-05-24",35.607147,36.557148,34.907146,36.557148,5039200
"2001-05-25",36.426922,36.676922,35.75692,35.75692,3354500
"2001-05-29",36.176854,36.386853,34.216851,34.566853,7858700
"2001-05-30",35.450683,36.040683,33.700683,34.190685,7964800
"2001-05-31",34.5219,34.7719,32.821904,33.711903,8098300
"2001-06-01",33.431389,33.72139,33.031387,33.691387,5124600
"2001-06-04",33.697517,34.247516,33.057518,34.197517,4721900
"2001-06-05",34.436905,34.986909,33.586907,34.436905,7372100
"2001-06-06",34.302384,34.592385,33.832383,33.862381,4114200
"2001-06-07",33.323108,34.873112,33.023109,34.683109,5732200
"2001-06-08",34.664684,35.134682,34.294681,34.744682,3235400
"2001-06-11",34.766792,35.066791,34.516792,34.696793,3974500
"2001-06-12",34.654297,35.084297,33.2043,34.984299,4186000
"2001-06-13",35.173604,35.513604,34.513604,34.573601,3952400
"2001-06-14",34.439106,34.979103,33.539105,33.889103,3411400
"2001-06-15",33.521572,33.96157,32.671569,33.471573,7731100
"2001-06-18",33.940018,34.740017,33.540016,33.540016,4486800
"2001-06-19",34.285423,34.475421,33.43542,33.875423,3572300
"2001-06-20",33.954281,35.364281,32.584278,33.704281,7581600
"2001-06-21",33.718392,35.088391,33.22839,34.758389,6567200
"2001-06-22",34.800472,35.040474,33.780472,34.710472,5113500
