"","HSY.Open","HSY.High","HSY.Low","HSY.Close","HSY.Volume","HSY.Adjusted"
"2001-01-02",32.09375,33.0625,32.09375,32.5625,1066000,19.72489
"2001-01-03",32.53125,32.5625,30.53125,30.6875,2448400,18.589111
"2001-01-04",30.59375,30.65625,27.5625,28.5,2824000,17.264015
"2001-01-05",28.6875,29.21875,28.375,28.875,1249400,17.491177
"2001-01-08",29,29.71875,28.75,29.59375,956200,17.926561
"2001-01-09",29.5,29.71875,29.21875,29.625,863400,17.945494
"2001-01-10",29.5625,29.625,29,29.25,964400,17.718332
"2001-01-11",29.1875,29.25,28.65625,28.65625,838600,17.358671
"2001-01-12",28.65625,28.71875,27.9375,28.59375,732600,17.320808
"2001-01-16",28.78125,29.46875,28.78125,29.4375,896200,17.831911
"2001-01-17",29.5,29.5,28.84375,28.9375,776200,17.529034
"2001-01-18",29,29.40625,28.96875,29.125,738200,17.642612
"2001-01-19",29,29,28.375,28.625,686200,17.339739
"2001-01-22",28.4375,28.65625,28.25,28.5,512600,17.264015
"2001-01-23",28.875,29.21875,28.53125,28.65625,860800,17.358671
"2001-01-24",28.75,29.3125,28.65625,29.21875,813600,17.699408
"2001-01-25",29.28125,29.375,29,29.1875,1375800,17.680481
"2001-01-26",29.28125,29.6875,28.96875,29.25,1124200,17.718332
"2001-01-29",29.375,29.875,29.285,29.655001,680000,17.963665
"2001-01-30",30.5,30.5,29.35,29.504999,1296600,17.872805
"2001-01-31",29.625,29.875,29.355,29.75,1249000,18.021212
"2001-02-01",29.775,30.07,29.35,29.9,1026400,18.112078
"2001-02-02",29.9,30.125,29.700001,29.905001,634600,18.115105
"2001-02-05",30,30.905001,29.940001,30.35,848200,18.384666
"2001-02-06",30.275,30.6,30.174999,30.525,751600,18.490673
"2001-02-07",30.625,31,30.450001,31,1065200,18.778406
"2001-02-08",30.975,31.950001,30.975,31.82,1278400,19.275122
"2001-02-09",31.85,32.150002,31.825001,32.02,1028800,19.396276
"2001-02-12",32.014999,32.334999,31.9,32.334999,1022400,19.58709
"2001-02-13",32.334999,32.525002,31.9,32.459999,1449200,19.662813
"2001-02-14",32.375,32.375,31.275,31.76,1959600,19.238779
"2001-02-15",31.76,31.76,31.225,31.615,713800,19.150946
"2001-02-16",31.674999,32.25,31.674999,32.195,756000,19.502289
"2001-02-20",32,32.75,31.790001,32.5,789200,19.687033
"2001-02-21",32.259998,32.299999,31.725,31.975,772200,19.53734
"2001-02-22",31.98,32.165001,31.295,31.504999,1143800,19.25017
"2001-02-23",31.594999,31.674999,31.155001,31.41,877200,19.192118
"2001-02-26",31.6,31.959999,31.360001,31.959999,987400,19.528183
"2001-02-27",31.735001,32,31.655001,31.950001,787000,19.522062
"2001-02-28",31.875,32.049999,31.799999,32.044998,944400,19.580112
"2001-03-01",32.049999,32.575001,32.040001,32.450001,759600,19.827568
"2001-03-02",32.455002,32.5,31,31.75,1555800,19.399862
"2001-03-05",31.924999,32,31.375,32,751800,19.552618
"2001-03-06",31.725,31.775,31.299999,31.77,547200,19.412083
"2001-03-07",31.74,31.860001,31.545,31.860001,540800,19.467072
"2001-03-08",31.875,32.25,31.66,32.25,7e+05,19.705368
"2001-03-09",32.349998,32.474998,32.189999,32.325001,519000,19.751202
"2001-03-12",32.450001,32.755001,32.275002,32.605,2202000,19.922283
"2001-03-13",32.599998,32.599998,32.134998,32.375,1442600,19.781754
"2001-03-14",32.275002,32.474998,32.134998,32.259998,1106000,19.711475
"2001-03-15",32.360001,32.625,32.080002,32.599998,1065800,19.91923
"2001-03-16",33.25,33.25,32.755001,33.049999,1721800,20.19418
"2001-03-19",33.055,33.650002,33.055,33.205002,1402000,20.288895
"2001-03-20",33.205002,33.450001,33.025002,33.224998,1116200,20.301119
"2001-03-21",33.075001,33.235001,32.599998,32.91,1387400,20.108646
"2001-03-22",32.810001,32.810001,31.9,32.48,1352000,19.845901
"2001-03-23",32.48,32.52,31.815001,32.355,1209400,19.769522
"2001-03-26",32.299999,32.5,32.075001,32.32,930800,19.748142
"2001-03-27",32.799999,33.43,32.755001,33.275002,1175400,20.331659
"2001-03-28",33.48,34,33.450001,33.950001,1889600,20.744108
"2001-03-29",34.125,34.5,33.825001,34.485001,1883400,21.070993
"2001-03-30",34.625,35.075001,34.5,34.66,1971600,21.177923
"2001-04-02",34.66,34.790001,34.255001,34.389999,1249000,21.012945
"2001-04-03",34.400002,34.400002,33.450001,33.740002,2312200,20.615788
"2001-04-04",33.450001,33.669998,33.209999,33.665001,1511000,20.569965
"2001-04-05",33.965,33.965,33.125,33.400002,1581800,20.408043
"2001-04-06",33.275002,33.610001,33,33.165001,1171200,20.264452
"2001-04-09",33.279999,33.740002,33.279999,33.525002,1024600,20.484417
"2001-04-10",33.525002,33.555,33.105,33.5,1430200,20.469147
"2001-04-11",33.375,33.375,32.759998,33.224998,1129200,20.301119
"2001-04-12",33.25,33.485001,32.889999,32.945,859000,20.130032
"2001-04-16",32.950001,33.205002,32.415001,32.75,1572200,20.010872
"2001-04-17",32.755001,32.805,32.450001,32.450001,1962000,19.827568
"2001-04-18",32.5,32.525002,31.275,31.475,2490000,19.231829
"2001-04-19",31.225,32.049999,31.105,31.764999,1353400,19.409027
"2001-04-20",32.049999,32.080002,30.75,30.995001,1717600,18.938545
