"","HUM.Open","HUM.High","HUM.Low","HUM.Close","HUM.Volume","HUM.Adjusted"
"2001-01-02",14.5,15.25,14.3125,14.9375,933100,13.866574
"2001-01-03",14.6875,15.625,14.25,14.4375,1077200,13.402423
"2001-01-04",14.375,14.4375,12.25,13.1875,1217600,12.242038
"2001-01-05",13,14.25,12.75,13.625,1606100,12.648172
"2001-01-08",13.625,14.5,13.3125,13.5625,873700,12.590155
"2001-01-09",13.5625,14.1875,13.0625,14,1285400,12.996289
"2001-01-10",13.875,14.75,13.75,14.375,837000,13.344402
"2001-01-11",14.8125,14.8125,14,14.125,519700,13.112325
"2001-01-12",14.0625,14.0625,13.5,13.625,503300,12.648172
"2001-01-16",13.3125,13.4375,12.8125,13.25,768200,12.300056
"2001-01-17",13.125,13.1875,12.25,12.5625,871400,11.661846
"2001-01-18",12.75,12.75,11.9375,12.1875,800900,11.313734
"2001-01-19",11.8125,12,10.875,11,2032700,10.211368
"2001-01-22",11.4375,12.3125,11.125,12.25,1466400,11.371749
"2001-01-23",12.0625,12.9375,12.0625,12.6875,841100,11.777884
"2001-01-24",12.6875,12.9375,12.375,12.5,660900,11.603827
"2001-01-25",12.75,12.875,12.25,12.625,483500,11.719865
"2001-01-26",12.5,12.8125,12.3125,12.5,573000,11.603827
"2001-01-29",12.9,12.9,12.45,12.8,330700,11.882318
"2001-01-30",12.4,12.68,12.35,12.51,667600,11.613111
"2001-01-31",12.51,12.81,11.89,11.95,784400,11.093262
"2001-02-01",11.95,12.45,11.95,11.99,698200,11.130393
"2001-02-02",11.99,12.62,11.99,12.3,841900,11.418169
"2001-02-05",12.6,13.12,12.31,12.79,786200,11.873037
"2001-02-06",12.3,12.74,12.05,12.25,1080400,11.371749
"2001-02-07",12.75,13.25,12.35,12.58,2915600,11.678093
"2001-02-08",13,13.13,12.71,12.8,1302500,11.882318
"2001-02-09",12.8,12.95,12.27,12.36,560400,11.473866
"2001-02-12",12.36,13.49,12.36,13.45,1362700,12.485719
"2001-02-13",13.18,13.5,13,13.09,770900,12.151531
"2001-02-14",13.45,13.99,13.11,13.45,1472800,12.485719
"2001-02-15",13.74,13.75,13.42,13.6,657300,12.624961
"2001-02-16",13.7,13.74,13.3,13.33,556200,12.374322
"2001-02-20",13.3,13.6,13.1,13.19,724800,12.24436
"2001-02-21",13.25,13.55,13,13.12,773500,12.179379
"2001-02-22",13.5,13.5,12.8,13.1,739500,12.160814
"2001-02-23",12.8,13,12.5,12.5,1737900,11.603827
"2001-02-26",12.65,13.1,12.5,12.85,938700,11.928735
"2001-02-27",12.55,13.6,12.5,13.25,860500,12.300056
"2001-02-28",13.65,13.8,13.15,13.5,757800,12.532132
"2001-03-01",13.5,13.95,12.92,13.75,889700,12.764208
"2001-03-02",13.5,13.97,13.41,13.63,795700,12.652815
"2001-03-05",13.65,13.99,13.4,13.8,538000,12.810624
"2001-03-06",13.4,14,13.4,13.61,358600,12.634247
"2001-03-07",13.85,13.98,13.77,13.96,428900,12.959155
"2001-03-08",14,14,13.71,13.85,296000,12.85704
"2001-03-09",13.85,13.99,12.9,13.1,933500,12.160814
"2001-03-12",12.65,13.25,12.59,12.59,1147600,11.687375
"2001-03-13",12.5,13.05,12.45,13,496900,12.067982
"2001-03-14",12.75,13.03,12.26,12.81,507800,11.891603
"2001-03-15",12.71,12.98,12.47,12.97,535500,12.040131
"2001-03-16",12.7,12.8,12.37,12.5,860300,11.603827
"2001-03-19",12.4,12.5,12,12.3,873700,11.418169
"2001-03-20",11.85,12.45,11.85,11.93,633100,11.074693
"2001-03-21",11.5,11.51,11.06,11.07,1396300,10.276347
"2001-03-22",11,11,9.8,10.2,1964900,9.468724
"2001-03-23",10.35,10.72,10.3,10.5,959000,9.747214
"2001-03-26",10.6,10.99,10.4,10.59,635500,9.830763
"2001-03-27",10.69,10.69,10.35,10.38,769500,9.635822
"2001-03-28",9.8,10,9.75,9.84,968200,9.134532
"2001-03-29",9.85,10.4,9.75,10.27,1353400,9.533703
"2001-03-30",10.37,10.72,10.01,10.48,649000,9.72865
"2001-04-02",10.74,10.88,9.65,9.84,1560000,9.134532
"2001-04-03",9.45,9.75,9,9.6,1051300,8.91174
"2001-04-04",9.5,9.8,9.26,9.4,484100,8.726081
"2001-04-05",9.5,9.91,8.4,8.58,1292000,7.964868
"2001-04-06",9.2,9.25,8.55,8.99,1325000,8.345475
"2001-04-09",9,9.18,8.92,9.06,993800,8.410455
"2001-04-10",9.2,9.29,9.05,9.17,1812600,8.512569
"2001-04-11",9.5,9.5,8.65,8.73,597500,8.104113
"2001-04-12",8.73,9.08,8.73,8.94,473000,8.299054
"2001-04-16",9.1,9.28,8.92,9.05,454300,8.401175
"2001-04-17",9,9.95,8.9,9.95,495200,9.236646
"2001-04-18",9.25,9.65,8.93,9.1,1175300,8.447587
"2001-04-19",9,9.28,9,9,420200,8.354755
"2001-04-20",8.7,9.05,8.38,9.05,635900,8.401175
"2001-04-23",8.95,8.98,8.6,8.71,495000,8.085549
"2001-04-24",8.95,9.19,8.9,8.95,567700,8.308342
"2001-04-25",9.05,9.45,8.95,9.44,704900,8.76321
"2001-04-26",9.54,9.95,9.5,9.5,914500,8.818911
"2001-04-27",10.1,10.85,9.9,10.09,1380000,9.366611
"2001-04-30",10,10.35,9.83,9.88,2398300,9.171665
"2001-05-01",9.7,10.11,9.67,10.05,1634700,9.329477
"2001-05-02",10.2,10.25,9.51,9.91,1651200,9.199515
"2001-05-03",9.9,9.9,9.52,9.6,409800,8.91174
"2001-05-04",9.61,9.61,9.21,9.31,920200,8.642532
"2001-05-07",9.39,9.48,8.98,9.02,2012600,8.373322
"2001-05-08",9.02,9.4,9,9.4,1452900,8.726081
"2001-05-09",9.45,9.7,9.45,9.7,1371800,9.004571
"2001-05-10",9.6,9.6,9.02,9.28,596000,8.61468
"2001-05-11",9.38,9.48,9.15,9.29,440800,8.623963
"2001-05-14",9.39,9.39,9.18,9.34,238400,8.67038
"2001-05-15",9.33,9.58,9.15,9.58,347800,8.893172
"2001-05-16",9.48,9.75,9.4,9.58,571500,8.893172
"2001-05-17",9.48,9.55,9.19,9.45,549700,8.772493
"2001-05-18",9.4,9.53,9.28,9.42,376400,8.744646
"2001-05-21",9.5,9.6,9.39,9.52,630200,8.837474
"2001-05-22",9.5,9.64,9.5,9.59,987700,8.902454
"2001-05-23",9.56,9.6,9.25,9.26,800200,8.596119
"2001-05-24",9.16,9.74,9.16,9.72,1014500,9.023137
"2001-05-25",9.65,9.68,9.35,9.35,355800,8.679665
"2001-05-29",9.45,9.57,9.35,9.41,471500,8.73536
"2001-05-30",9.32,9.55,9.25,9.4,452700,8.726081
"2001-05-31",9.4,9.67,9.39,9.55,672100,8.865326
"2001-06-01",9.46,9.69,9.32,9.61,961600,8.921022
"2001-06-04",9.55,10.06,9.55,9.9,839400,9.190231
"2001-06-05",10,10.8,10,10.71,1206800,9.942158
"2001-06-06",10.7,10.7,10.25,10.47,597900,9.719364
"2001-06-07",10.7,10.9,10.1,10.2,1724100,9.468724
"2001-06-08",10.2,10.61,10.2,10.26,867700,9.524421
"2001-06-11",10.21,10.22,9.95,9.99,649600,9.273781
"2001-06-12",9.75,10.15,9.75,9.86,952200,9.1531
"2001-06-13",9.96,10.29,9.94,10.05,639300,9.329477
"2001-06-14",10.15,10.25,9.95,9.95,1864500,9.236646
"2001-06-15",10,10.25,9.96,10.15,554200,9.42231
"2001-06-18",10.15,10.2,10,10,327000,9.283062
"2001-06-19",9.97,10.05,9.77,9.79,392800,9.088119
"2001-06-20",9.75,10.1,9.6,10.09,492300,9.366611
"2001-06-21",10,10.36,9.96,10.24,402200,9.505856
"2001-06-22",10.24,10.26,9.4,9.85,760500,9.143817
"2001-06-25",9.85,9.9,9.6,9.7,773800,9.004571
"2001-06-26",9.8,10.06,9.64,10.04,692900,9.320196
"2001-06-27",9.94,10.22,9.8,10.01,446600,9.292345
"2001-06-28",10.3,10.54,10.25,10.54,758000,9.784347
"2001-06-29",10.44,10.69,9.85,9.85,1870800,9.143817
"2001-07-02",10,10.25,9.9,10.17,467200,9.440876
"2001-07-03",10.17,10.17,9.97,9.97,386000,9.255208
"2001-07-05",9.95,9.95,9.56,9.72,650800,9.023137
"2001-07-06",9.82,10,9.6,9.71,379900,9.013853
"2001-07-09",9.71,9.85,9.51,9.66,535100,8.967438
"2001-07-10",9.51,9.64,9.39,9.41,519600,8.73536
