"","Open","High","Low","Close","Volume"
"2001-01-02",13.8694,13.9319,13.6194,13.8694,550500
"2001-01-03",13.955009,14.892509,13.892509,13.955009,497300
"2001-01-04",14.024357,14.649357,13.774357,14.211857,445500
"2001-01-05",13.988387,14.613387,13.863387,14.425887,241800
"2001-01-08",14.225535,14.913035,14.225535,14.725535,425600
"2001-01-09",14.827422,14.889922,14.577422,14.639922,601000
"2001-01-10",14.49523,14.80773,14.43273,14.68273,379100
"2001-01-11",14.850535,14.850535,14.413035,14.725535,345200
"2001-01-12",14.771755,15.084255,14.334255,14.896755,208900
"2001-01-16",14.610792,15.235792,14.610792,15.110792,245600
"2001-01-17",15.380488,15.567988,15.005488,15.067988,316800
"2001-01-18",15.298292,15.360792,14.923292,15.110792,326700
"2001-01-19",15.173292,15.235792,14.798292,15.110792,527100
"2001-01-22",14.942988,15.380488,14.817988,15.067988,420700
"2001-01-23",15.067988,15.130488,14.942988,15.067988,514700
"2001-01-24",15.002066,15.064566,14.752066,14.939566,379600
"2001-01-25",15.038035,15.038035,14.725535,14.725535,209300
"2001-01-26",14.554305,14.804305,14.429305,14.554305,257000
"2001-01-29",14.0917,14.791701,13.791701,14.581702,392300
"2001-01-30",14.456631,14.786631,14.34663,14.76663,253800
"2001-01-31",14.355929,15.14593,14.345929,15.11593,627500
"2001-02-01",15.076064,15.386064,14.986064,15.246064,335700
"2001-02-02",15.554834,15.554834,15.014835,15.074834,307800
"2001-02-05",14.967988,15.247988,14.957987,15.067988,452900
"2001-02-06",14.995515,15.385514,14.985515,15.225515,196300
"2001-02-07",14.982913,15.432914,14.982913,15.252913,164700
"2001-02-08",15.357708,15.407709,15.087707,15.307708,292700
"2001-02-09",15.512097,15.562098,14.822096,14.972098,217600
"2001-02-12",14.655798,15.105799,14.655798,14.985798,625300
"2001-02-13",14.904971,15.364972,14.80497,15.204972,444900
"2001-02-14",15.390877,15.610876,14.790876,14.800877,344200
"2001-02-15",14.850322,14.900323,14.400323,14.780322,450000
"2001-02-16",15.162509,15.212508,14.832509,14.86251,608700
"2001-02-20",15.297836,15.657836,15.197835,15.437837,555800
"2001-02-21",15.533324,15.563325,15.073325,15.143325,377400
"2001-02-22",15.244021,15.594022,14.744021,14.794022,381600
"2001-02-23",14.76061,15.01061,14.310609,14.540609,313000
"2001-02-26",14.743345,14.843345,14.443345,14.643344,327800
"2001-02-27",14.662798,15.022799,14.602799,14.622799,339100
"2001-02-28",15.081997,15.361996,13.381996,13.841995,836900
"2001-03-01",13.718156,14.338157,13.668157,14.198156,538400
"2001-03-02",14.195556,14.405557,13.935556,14.225556,505000
"2001-03-05",13.881017,14.461017,13.811018,14.431017,365300
"2001-03-06",14.335815,14.545814,14.235815,14.485815,382900
"2001-03-07",14.525946,14.725947,14.485945,14.615946,328100
"2001-03-08",14.345929,15.21593,14.345929,15.11593,516000
"2001-03-09",14.983737,15.253737,14.903737,15.033738,331600
"2001-03-12",15.307037,15.337038,14.657038,14.657038,244700
"2001-03-13",14.773626,14.873626,14.243627,14.403627,318200
"2001-03-14",13.711857,14.311857,13.711857,14.211857,326400
"2001-03-15",14.293772,14.593771,13.413773,14.033772,1799900
"2001-03-16",13.778021,14.278021,13.398022,14.068022,2465400
"2001-03-19",13.928688,15.038686,13.928688,14.718687,629600
"2001-03-20",14.371007,15.231007,14.141007,14.931006,551000
"2001-03-21",15.025534,15.025534,14.675536,14.725535,486800
"2001-03-22",14.740332,15.200331,14.190333,14.470332,1023600
"2001-03-23",14.187947,14.707948,14.147948,14.697947,473200
"2001-03-26",14.701045,15.021045,14.621046,14.691045,453100
"2001-03-27",14.701045,14.841047,14.391046,14.691045,387300
"2001-03-28",14.846187,14.846187,14.306188,14.346187,1162400
"2001-03-29",14.085554,14.925554,14.035555,14.925554,607300
"2001-03-30",14.545225,15.405226,14.165226,15.215225,377100
"2001-04-02",15.2735,15.6835,14.9435,15.063501,511000
"2001-04-03",14.956559,15.30656,14.65656,14.65656,365000
"2001-04-04",14.655226,15.395226,14.605227,15.215225,363000
"2001-04-05",15.069398,15.569398,15.069398,15.5394,534700
"2001-04-06",15.586977,15.816977,14.596977,15.366978,620700
"2001-04-09",15.102843,15.782844,15.102843,15.442843,387800
"2001-04-10",15.313928,16.053928,15.313928,15.973928,602500
"2001-04-11",16.144587,16.144587,15.484587,15.594588,353900
"2001-04-12",15.727691,15.887691,15.387691,15.587691,408100
"2001-04-16",15.137328,15.837327,15.137328,15.477329,731500
"2001-04-17",15.711809,15.911807,15.381809,15.511808,656200
"2001-04-18",15.404618,16.064618,15.204618,15.994619,358700
"2001-04-19",16.050468,16.050468,15.390468,15.870467,501200
"2001-04-20",15.784226,16.034226,15.464226,15.484227,437300
"2001-04-23",15.704876,15.794876,15.084875,15.104876,349500
"2001-04-24",15.282449,15.282449,14.662448,14.932449,561200
"2001-04-25",14.764188,15.08419,14.734189,15.08419,267000
"2001-04-26",14.953549,15.803549,14.693549,15.663548,332700
"2001-04-27",16.299121,16.299121,15.50912,16.229122,1006400
"2001-04-30",15.579893,17.359894,15.559893,17.049892,1057600
"2001-05-01",17.164018,17.164018,16.944019,16.97402,604700
"2001-05-02",16.905073,17.205073,16.855072,17.105072,733000
"2001-05-03",17.048155,17.048155,16.548155,16.898155,1010900
"2001-05-04",16.699219,17.239218,16.399218,17.229218,220300
"2001-05-07",17.21301,17.533012,17.193012,17.243011,333900
"2001-05-08",17.080958,17.430958,16.630959,17.380959,576000
"2001-05-09",17.319258,17.629257,17.309258,17.629257,344500
"2001-05-10",18.122456,18.672455,17.972456,18.622456,1140000
"2001-05-11",18.686902,18.936902,18.116902,18.256901,356700
"2001-05-14",18.32688,18.876879,17.876879,18.056879,346000
"2001-05-15",18.173071,18.173071,17.773069,17.843071,527200
"2001-05-16",17.39143,18.741431,17.351431,18.691431,520400
"2001-05-17",18.749054,19.149054,18.549054,19.119053,543600
"2001-05-18",19.205936,19.355938,18.875936,18.925938,229200
"2001-05-21",18.724248,19.484248,18.714247,19.374247,357300
"2001-05-22",19.5049,19.5049,18.854901,18.994902,291200
"2001-05-23",18.920061,19.020061,18.65006,18.850061,311500
"2001-05-24",18.996918,19.086918,18.096919,18.456919,592600
"2001-05-25",18.843454,18.843454,18.283455,18.353455,435500
"2001-05-29",18.474154,18.554154,18.224154,18.374153,520500
"2001-05-30",18.352771,18.652771,18.332771,18.332771,225500
"2001-05-31",18.305163,18.465163,18.025162,18.105162,714800
"2001-06-01",18.307909,18.307909,17.877908,17.987909,451400
"2001-06-04",17.984812,18.104813,17.804812,17.994812,372100
"2001-06-05",18.015179,18.46518,17.665179,18.30518,269500
"2001-06-06",19.021391,19.021391,18.221392,18.291391,689900
"2001-06-07",18.550018,18.700018,18.230019,18.450018,176600
"2001-06-08",18.572096,18.622097,18.292097,18.512096,164100
"2001-06-11",18.277599,18.427599,18.167598,18.277599,177200
"2001-06-12",18.040009,18.32001,18.040009,18.250008,293300
"2001-06-13",18.24139,18.471392,18.211392,18.291391,133000
"2001-06-14",18.508588,18.508588,17.608589,17.808588,242300
"2001-06-15",18.179272,18.179272,17.729271,17.829271,457800
"2001-06-18",17.922356,18.052356,17.572356,17.622355,300600
"2001-06-19",17.634417,17.684416,17.414418,17.484417,394000
"2001-06-20",17.639599,17.819597,17.509598,17.539598,221300
"2001-06-21",17.590976,17.740976,17.290977,17.580976,520900
"2001-06-22",17.649148,17.689147,17.299148,17.449148,244300
"2001-06-25",17.663492,17.673492,16.903491,16.963493,403700
"2001-06-26",16.908375,17.318375,16.808374,17.088373,398000
"2001-06-27",17.107334,17.357334,17.107334,17.317333,176500
"2001-06-28",17.245079,17.655078,17.245079,17.345079,283600
"2001-06-29",17.505282,18.155281,17.395281,17.43528,592500
"2001-07-02",17.566439,18.086439,17.51644,17.976439,360100
"2001-07-03",17.948071,18.09807,17.568071,18.01807,264700
"2001-07-05",18.139738,18.159739,17.70974,17.71974,236000
"2001-07-06",17.642021,18.082022,17.312021,17.352022,347300
"2001-07-09",17.370552,17.920551,17.280552,17.740551,280800
"2001-07-10",17.70729,17.93729,17.62729,17.657291,185400
"2001-07-11",17.500127,18.160126,17.500127,17.900126,209000
"2001-07-12",18.538895,18.658896,17.798895,18.038895,427600
"2001-07-13",18.002758,18.092758,17.832758,18.052759,322000
"2001-07-16",18.129701,18.279701,17.939701,18.059702,332400
"2001-07-17",18.035204,18.505203,18.035204,18.115204,187300
"2001-07-18",17.769205,18.899204,17.769205,18.899204,461500
"2001-07-19",18.876492,19.776491,18.826491,19.426491,480100
"2001-07-20",19.426491,19.586491,19.14649,19.426491,272700
"2001-07-23",19.539749,19.58975,18.889749,19.50975,414000
"2001-07-24",19.383625,19.933624,19.103624,19.523624,665500
"2001-07-25",19.569564,19.629566,19.349565,19.419565,396400
"2001-07-26",19.194856,19.794856,18.404855,19.384857,602700
"2001-07-27",19.475485,19.675486,19.215485,19.315485,247900
"2001-07-30",19.064203,19.874205,18.764204,19.794205,201400
"2001-07-31",19.680486,20.560486,19.680486,20.210485,490100
"2001-08-01",20.210485,20.420486,19.920486,20.210485,521900
"2001-08-02",19.971658,20.831659,19.96166,20.751659,524000
"2001-08-03",20.920061,20.940061,19.81006,20.370062,384700
"2001-08-06",20.564131,20.564131,20.374131,20.474131,285900
"2001-08-07",20.330226,20.820226,20.330226,20.800226,438200
"2001-08-08",20.956384,21.076384,20.436383,20.446383,444400
"2001-08-09",20.571922,20.581923,20.031923,20.161922,259500
"2001-08-10",20.207041,20.347043,19.607043,20.037041,442500
"2001-08-13",20.024362,20.274362,19.844361,20.224361,425000
"2001-08-14",20.171302,20.331302,20.061302,20.231302,424100
"2001-08-15",20.192701,20.542701,19.9927,20.522701,312600
"2001-08-16",20.128294,21.848293,19.938293,21.688293,1151600
"2001-08-17",21.377286,22.027285,21.277285,21.577286,488700
"2001-08-20",21.577286,21.627286,21.177287,21.577286,318100
"2001-08-21",21.691969,21.691969,21.451969,21.611969,267600
"2001-08-22",21.566853,22.006853,21.216852,21.736853,307800
"2001-08-23",21.816461,22.086461,21.54646,21.556461,265200
"2001-08-24",21.623833,21.663834,21.313833,21.403833,515600
"2001-08-27",21.459763,21.619762,21.249762,21.299763,343000
"2001-08-28",21.374065,21.374065,20.964065,21.154066,247900
"2001-08-29",21.237553,21.237553,20.657553,20.987553,265900
"2001-08-30",21.143665,21.233665,20.813665,20.973665,339800
"2001-08-31",20.868169,21.068168,20.768169,20.918169,278500
"2001-09-04",20.928169,21.268169,20.918169,20.918169,326800
"2001-09-05",20.680414,20.920413,19.780414,20.890415,707800
"2001-09-06",20.536348,20.826349,20.506349,20.786348,282500
"2001-09-07",20.667198,20.667198,20.377197,20.467197,379400
"2001-09-10",20.330486,20.600486,20.080486,20.210485,263300
"2001-09-17",18.33665,19.856651,18.276651,19.856651,335500
"2001-09-18",19.577509,19.577509,18.797508,19.537508,513900
"2001-09-19",19.831453,19.911453,18.271453,18.871454,669300
"2001-09-20",18.929627,18.929627,18.479626,18.739626,403600
"2001-09-21",18.18586,18.485859,17.385861,17.70586,632900
"2001-09-24",17.817742,18.367741,17.747742,17.747742,645200
"2001-09-25",19.13001,19.13001,17.78001,18.990009,732300
"2001-09-26",19.163237,19.713237,18.613236,18.913237,524600
"2001-09-27",18.640011,19.060011,18.35001,18.990009,502800
"2001-09-28",18.935003,19.435003,18.935003,19.325005,560100
"2001-10-01",19.233335,19.363336,18.883337,19.213337,416100
"2001-10-02",19.062506,19.552506,18.962506,19.492506,382000
"2001-10-03",18.710339,19.010338,16.920338,17.880339,3018600
"2001-10-04",17.944709,17.944709,16.41471,17.754711,1661500
"2001-10-05",17.353867,18.743866,17.283865,18.703865,695100
"2001-10-08",18.601885,18.751887,18.181885,18.361885,299800
"2001-10-09",18.2122,18.912199,18.1922,18.592199,442000
"2001-10-10",18.298128,19.198128,18.248129,18.948128,323400
"2001-10-11",18.802814,19.442816,18.802814,19.052814,455800
"2001-10-12",19.087405,19.087405,18.337405,18.857405,327200
"2001-10-15",19.053866,19.063866,18.403866,18.703865,325400
"2001-10-16",18.914583,19.014584,18.454584,18.794584,311300
"2001-10-17",18.867611,19.117611,18.617611,18.787611,434200
"2001-10-18",18.715103,19.055103,18.595102,18.955103,223600
"2001-10-19",18.738539,19.51854,18.668539,19.478539,606200
"2001-10-22",19.282289,19.632289,19.23229,19.56229,575800
"2001-10-23",19.930622,20.030623,18.980622,19.450623,457500
"2001-10-24",19.626773,19.626773,18.616775,19.066774,327100
"2001-10-25",18.741352,19.541351,18.691351,19.541351,684700
"2001-10-26",19.49906,19.699061,19.14906,19.639059,436100
"2001-10-29",19.580928,19.970928,19.370927,19.680929,412100
"2001-10-30",19.717182,19.717182,19.017181,19.597181,396600
"2001-10-31",19.48728,20.28728,19.187279,19.89728,553800
"2001-11-01",19.75926,20.23926,19.48926,20.23926,297000
"2001-11-02",20.063417,20.363418,19.863418,20.183418,420700
"2001-11-05",20.904661,20.904661,20.154661,20.434662,788200
"2001-11-06",20.045914,20.695914,19.955914,20.685913,331100
"2001-11-07",20.900293,20.900293,20.470295,20.560293,499900
"2001-11-08",20.747273,20.797274,19.997273,20.567272,455600
"2001-11-09",20.38821,20.608211,20.21821,20.588211,351000
