"","INTC.Open","INTC.High","INTC.Low","INTC.Close","INTC.Volume","INTC.Adjusted"
"2001-01-02",30.6875,31.875,30.25,31.0625,50342900,20.140133
"2001-01-03",30.125,34.625,30.125,34.234375,78291900,22.196695
"2001-01-04",34,35.375,32.6875,33.796875,68769000,21.913029
"2001-01-05",34.0625,34.625,31.75,32.0625,44974700,20.788504
"2001-01-08",31.5,32.3125,30.625,31.9375,45070800,20.707453
"2001-01-09",32.53125,32.9375,31.875,32.25,40814400,20.910076
"2001-01-10",31.625,33.375,31.125,33,51494300,21.39636
"2001-01-11",32.375,34.25,32,33.375,64954600,21.639496
"2001-01-12",33.5625,33.8125,31.8125,32.125,51374500,20.829029
"2001-01-16",32.1875,32.375,31,31.375,60301100,20.34276
"2001-01-17",33,33.0625,30.125,30.5,7427400,19.775415
"2001-01-18",30.9375,32.3125,30,32.1875,86633300,20.869553
"2001-01-19",33.375,34.625,32.3125,33.5625,81348900,21.761072
"2001-01-22",32.6875,33.875,32.5,33.375,45756600,21.639496
"2001-01-23",33.4375,35.890625,32.75,35.375,84553900,22.936245
"2001-01-24",35.6875,37.0625,35.1875,36.25,73579100,23.503574
"2001-01-25",35.8125,36.0625,34.3125,34.5,45890400,22.368916
"2001-01-26",34.125,36.0625,33.75,35.875,48063700,23.260439
"2001-01-29",35.25,37.375,34.75,37.0625,49092800,24.030386
"2001-01-30",37.375,38.1875,36.8125,37,60806400,23.989843
"2001-01-31",37.3125,38.59375,36.5,37,71894200,23.989843
"2001-02-01",37.0625,37.9375,36.5,37.8125,50297000,24.516655
"2001-02-02",37.671875,38.234375,35.5,35.6875,47151200,23.138861
"2001-02-05",35.0625,35.3125,33.671875,34.6875,39185100,22.503099
"2001-02-06",34.5625,35.9375,34.484375,35.4375,40329200,22.989649
"2001-02-07",35,36.0625,33.875,34.9375,53148000,22.665283
"2001-02-08",35.375,36.125,34.5625,34.625,42899000,22.462557
"2001-02-09",34.3125,35.5625,33.4375,33.5,40892100,21.732729
"2001-02-12",33.6875,35.1875,33.625,34.5625,30482000,22.422003
"2001-02-13",34.125,35.25,32.375,32.4375,41910800,21.043447
"2001-02-14",32.5625,34.546875,31.9375,34.125,47442300,22.138182
"2001-02-15",35.4375,36.5,35.125,35.8125,58334500,23.232927
"2001-02-16",34.75,35.3125,33.625,34.375,41543900,22.300367
"2001-02-20",34.0625,34.125,31.375,31.4375,52397300,20.394695
"2001-02-21",31,32.75,30.5,30.75,51582200,19.948698
"2001-02-22",30.9375,31.5625,29.625,30,58517400,19.462137
"2001-02-23",30.375,30.75,28.5,29.9375,63558300,19.421591
"2001-02-26",30.5625,30.703125,28.4375,29.5,60349600,19.137774
"2001-02-27",29.5,30.875,29,29,40787300,18.8134
"2001-02-28",29.375,30.1875,28,28.5625,48601400,18.529583
"2001-03-01",28.25,29.25,27.0625,29.125,56268300,18.894497
"2001-03-02",28.5,31.125,28.375,29.3125,54626200,19.016136
"2001-03-05",29.875,30.75,29.5,30.375,33275700,19.705418
"2001-03-06",31.625,32.875,31.4375,31.5,59734200,20.435246
"2001-03-07",32.75,33.6875,31.6875,32.9375,77832700,21.367804
"2001-03-08",32.9375,33.6875,32.6875,33.25,64903100,21.570541
"2001-03-09",30.1875,30.59375,29,29.4375,95273400,19.097221
"2001-03-12",28.5,29.375,27.5625,27.75,59597600,18.00247
"2001-03-13",28.25,29.625,27.75,29.375,52027200,19.056683
"2001-03-14",28.375,29.875,28,29.0625,57451000,18.853945
"2001-03-15",29.75,29.9375,28.4375,28.5,40752100,18.489029
"2001-03-16",28.4375,28.8125,27.6875,27.875,59068600,18.083574
"2001-03-19",27.5,27.75,25.375,27.0625,76656300,17.556475
"2001-03-20",27.375,27.4375,24.5625,24.625,64431100,15.97518
"2001-03-21",24.75,26.75,24.625,25.5625,68549500,16.583363
"2001-03-22",26.125,28.8125,26.0625,28.6875,94022700,18.61067
"2001-03-23",29.6875,29.75,27.6875,28.8125,84795800,18.691763
"2001-03-26",29.5,29.5625,27.875,28.3125,64433900,18.367386
"2001-03-27",28.375,29.703125,28.0625,29.375,72645800,19.056683
"2001-03-28",28.6875,29.3125,26.8125,26.9375,7.3e+07,17.475378
"2001-03-29",26.875,27.5625,25.75,26.5625,64852600,17.2321
"2001-03-30",26.625,26.75,25.3125,26.3125,47297100,17.06992
"2001-04-02",26.0625,26.875,25.0625,25.796875,44925500,16.735416
"2001-04-03",25.3125,26.375,24.84375,25,57239500,16.218451
"2001-04-04",24.6875,25.09375,22.4375,22.625,84555800,14.677698
"2001-04-05",24.25,25.8125,24.09375,25.625,67714900,16.623913
"2001-04-06",25.0625,25.234375,23,23.625,73965900,15.326441
"2001-04-09",23.690001,24.200001,22.25,23.200001,60543900,15.050719
"2001-04-10",23.48,25.1,23.35,24.77,55847600,16.069235
"2001-04-11",27.9,28.290001,27.18,27.52,91360800,17.853266
"2001-04-12",27.459999,28.51,26.309999,28.120001,54027200,18.24251
"2001-04-16",26.77,26.799999,25.52,26.299999,59342200,17.061804
"2001-04-17",25.25,26.73,25.18,26.040001,74191900,16.893137
"2001-04-18",29.219999,32.189999,28.6,31.280001,49959200,20.29253
"2001-04-19",30.790001,32.52,30.450001,32.490002,85981400,21.077486
"2001-04-20",31.969999,32.57,31.26,32.43,62659300,21.038578
"2001-04-23",31.07,31.299999,29.65,30.32,58508800,19.669743
"2001-04-24",29.940001,31.040001,28.9,29.139999,50134100,18.904222
"2001-04-25",29,29.360001,27.5,29.030001,64640600,18.832861
"2001-04-26",30.23,30.360001,28.6,28.639999,53730100,18.579849
"2001-04-27",29.6,30.23,29.049999,30.18,42007500,19.578909
"2001-04-30",30.85,31.65,30.530001,30.91,41266300,20.052496
"2001-05-01",30.77,31.41,30.120001,31.18,37209500,20.227652
"2001-05-02",31.889999,32.5,31.200001,31.940001,45022200,20.72069
"2001-05-03",31.139999,31.200001,30.110001,30.4,37080900,19.73399
"2001-05-04",29.9,31.049999,29.299999,30.879999,35393400,20.045574
"2001-05-07",31.049999,31.68,30.34,31.16,33647800,20.227346
"2001-05-08",31.49,31.799999,30.9,31.48,41514400,20.435072
"2001-05-09",30.99,30.99,29.299999,29.93,61622800,19.428894
"2001-05-10",30.48,30.540001,28.9,29.01,49116200,18.831682
"2001-05-11",29.030001,29.24,27.790001,27.940001,47531600,18.1371
"2001-05-14",28.049999,28.15,26.709999,27.41,41994500,17.793049
"2001-05-15",27.620001,28.1,26.93,27.200001,47310800,17.656725
"2001-05-16",27,28.5,26.5,28.360001,59906400,18.409727
"2001-05-17",28.780001,29.190001,28,28.6,56376100,18.565531
"2001-05-18",28.530001,29.139999,27.99,28.76,34775000,18.669392
"2001-05-21",28.370001,30.01,28.190001,29.9,44417800,19.409418
"2001-05-22",30.190001,30.43,29.4,29.530001,39665300,19.169235
"2001-05-23",29.370001,30.25,28.559999,28.799999,53488500,18.695364
"2001-05-24",28.84,29.4,28.120001,29.209999,47217900,18.961508
"2001-05-25",29.440001,29.549999,28.68,29.1,29592100,18.890102
"2001-05-29",28.959999,29.02,27.780001,27.85,37797600,18.078671
"2001-05-30",27.34,27.700001,26.4,26.6,47272800,17.267242
"2001-05-31",27.030001,27.58,26.84,27.01,38761100,17.533388
"2001-06-01",27.26,29.07,27.190001,28.74,60601900,18.656406
"2001-06-04",29.120001,29.5,28.059999,28.5,37894700,18.500618
"2001-06-05",28.860001,29.950001,28.85,29.73,51625800,19.299063
"2001-06-06",29.450001,30.690001,29.049999,29.82,72646300,19.357483
"2001-06-07",29.709999,31.23,29.67,31.139999,75686000,20.214357
"2001-06-08",31.889999,31.93,30,30.67,68334700,19.909264
"2001-06-11",30.17,30.51,29.42,30.33,41072800,19.688549
"2001-06-12",29.700001,30.209999,29,30.129999,54088900,19.558725
"2001-06-13",29.879999,30.129999,29,29.059999,41032400,18.864138
"2001-06-14",28.559999,29.1,27.559999,27.610001,41913100,17.922886
"2001-06-15",27.34,28.299999,27.110001,27.68,54910400,17.968319
"2001-06-18",27.870001,28.540001,27.43,27.549999,27854300,17.88393
"2001-06-19",28.530001,28.790001,26.139999,26.67,60427600,17.312689
"2001-06-20",26.309999,27.66,26.26,27.49,43070200,17.844978
"2001-06-21",27.35,28.09,26.950001,27.27,45895500,17.702171
"2001-06-22",27.469999,28.299999,27.27,27.51,30366800,17.857964
"2001-06-25",28,28.690001,27.469999,28.58,28358600,18.552547
"2001-06-26",28.09,29.07,28.030001,28.969999,34780200,18.805719
"2001-06-27",29,29.209999,28.34,28.65,33729600,18.597986
"2001-06-28",29.23,30.5,29.200001,29.639999,54522800,19.240641
"2001-06-29",29.809999,30.77,28.75,29.25,49436600,18.987478
"2001-07-02",29.58,30.540001,29.16,30.059999,38578300,19.513285
"2001-07-03",29.940001,30.690001,29.65,30.459999,22120800,19.772943
"2001-07-05",30.08,31,29.799999,29.84,35630900,19.370468
"2001-07-06",29.139999,29.85,28.299999,28.43,37375700,18.455172
"2001-07-09",28.530001,29.43,28.110001,28.9,30139400,18.760275
"2001-07-10",27.790001,29.17,27.459999,27.790001,41241500,18.039724
"2001-07-11",27.65,28.5,27,28.059999,50333800,18.214998
"2001-07-12",29.35,30.190001,29.049999,30.1,49223400,19.539249
"2001-07-13",30.01,30.379999,29.25,30.190001,42796300,19.597666
"2001-07-16",30.030001,30.75,28.77,29.129999,65739200,18.909575
"2001-07-17",28.57,29.940001,28.08,29.9,104487600,19.409418
"2001-07-18",28.870001,30.15,28.52,28.889999,71663500,18.753773
"2001-07-19",29.59,30.219999,29.43,29.959999,54602300,19.448366
"2001-07-20",29.41,30.030001,28.93,29.93,50444200,19.428894
"2001-07-23",29.969999,30.23,28.91,29,35057400,18.825188
"2001-07-24",28.709999,29.59,28.43,28.879999,38032700,18.74729
"2001-07-25",28.969999,29.48,28.190001,29.42,35538100,19.097832
"2001-07-26",29.1,29.9,28.799999,29.780001,46221000,19.331526
"2001-07-27",29.610001,29.85,29.01,29.219999,35482900,18.968004
"2001-07-30",29.51,29.74,28.799999,29.040001,30514600,18.851158
"2001-07-31",29.16,30.42,29.030001,29.809999,50354000,19.350998
"2001-08-01",30.620001,30.98,30.280001,30.75,45023900,19.961195
"2001-08-02",31.41,32.23,31.33,32.110001,74140400,20.844027
"2001-08-03",32.049999,32.080002,31.25,31.68,35671500,20.577715
"2001-08-06",30.43,30.68,30.040001,30.280001,54176800,19.668344
"2001-08-07",29.950001,31,29.77,30.620001,44101300,19.889187
"2001-08-08",30.389999,31.190001,29.389999,29.610001,49096000,19.233143
"2001-08-09",29.5,30.030001,29.18,29.65,35734300,19.259132
