"","Open","High","Low","Close","Volume"
"2001-01-02",19.765133,20.952633,19.327633,20.140133,50342900
"2001-01-03",18.08732,22.58732,18.08732,22.196695,78291900
"2001-01-04",22.116154,23.491154,20.803654,21.913029,68769000
"2001-01-05",22.788504,23.351004,20.476004,20.788504,44974700
"2001-01-08",20.269953,21.082453,19.394953,20.707453,45070800
"2001-01-09",21.191326,21.597576,20.535076,20.910076,40814400
"2001-01-10",20.02136,21.77136,19.52136,21.39636,51494300
"2001-01-11",20.639496,22.514496,20.264496,21.639496,64954600
"2001-01-12",22.266529,22.516529,20.516529,20.829029,51374500
"2001-01-16",21.15526,21.34276,19.96776,20.34276,60301100
"2001-01-17",22.275415,22.337915,19.400415,19.775415,7427400
"2001-01-18",19.619553,20.994553,18.682053,20.869553,86633300
"2001-01-19",21.573572,22.823572,20.511072,21.761072,81348900
"2001-01-22",20.951996,22.139496,20.764496,21.639496,45756600
"2001-01-23",20.998745,23.45187,20.311245,22.936245,84553900
"2001-01-24",22.941074,24.316074,22.441074,23.503574,73579100
"2001-01-25",23.681416,23.931416,22.181416,22.368916,45890400
"2001-01-26",21.510439,23.447939,21.135439,23.260439,48063700
"2001-01-29",22.217886,24.342886,21.717886,24.030386,49092800
"2001-01-30",24.364843,25.177343,23.802343,23.989843,60806400
"2001-01-31",24.302343,25.583593,23.489843,23.989843,71894200
"2001-02-01",23.766655,24.641655,23.204155,24.516655,50297000
"2001-02-02",25.123236,25.685736,22.951361,23.138861,47151200
"2001-02-05",22.878099,23.128099,21.487474,22.503099,39185100
"2001-02-06",22.114649,23.489649,22.036524,22.989649,40329200
"2001-02-07",22.727783,23.790283,21.602783,22.665283,53148000
"2001-02-08",23.212557,23.962557,22.400057,22.462557,42899000
"2001-02-09",22.545229,23.795229,21.670229,21.732729,40892100
"2001-02-12",21.547003,23.047003,21.484503,22.422003,30482000
"2001-02-13",22.730947,23.855947,20.980947,21.043447,41910800
"2001-02-14",20.575682,22.560057,19.950682,22.138182,47442300
"2001-02-15",22.857927,23.920427,22.545427,23.232927,58334500
"2001-02-16",22.675367,23.237867,21.550367,22.300367,41543900
"2001-02-20",23.019695,23.082195,20.332195,20.394695,52397300
"2001-02-21",20.198698,21.948698,19.698698,19.948698,51582200
"2001-02-22",20.399637,21.024637,19.087137,19.462137,58517400
"2001-02-23",19.859091,20.234091,17.984091,19.421591,63558300
"2001-02-26",20.200274,20.340899,18.075274,19.137774,60349600
"2001-02-27",19.3134,20.6884,18.8134,18.8134,40787300
"2001-02-28",19.342083,20.154583,17.967083,18.529583,48601400
"2001-03-01",18.019497,19.019497,16.831997,18.894497,56268300
"2001-03-02",18.203636,20.828636,18.078636,19.016136,54626200
"2001-03-05",19.205418,20.080418,18.830418,19.705418,33275700
"2001-03-06",20.560246,21.810246,20.372746,20.435246,59734200
"2001-03-07",21.180304,22.117804,20.117804,21.367804,77832700
"2001-03-08",21.258041,22.008041,21.008041,21.570541,64903100
"2001-03-09",19.847221,20.253471,18.659721,19.097221,95273400
"2001-03-12",18.75247,19.62747,17.81497,18.00247,59597600
"2001-03-13",17.931683,19.306683,17.431683,19.056683,52027200
