"","IVZ.Open","IVZ.High","IVZ.Low","IVZ.Close","IVZ.Volume","IVZ.Adjusted"
"2001-01-02",41.5,41.8125,40.75,40.75,16700,23.575747
"2001-01-03",40.0625,43.5,39.75,42.5,74800,24.588205
"2001-01-04",42.4375,42.5,41.875,42.25,33000,24.443565
"2001-01-05",42.625,43,42.25,42.5,30000,24.588205
"2001-01-08",44.75,44.75,43.125,43.625,45100,25.239065
"2001-01-09",43,44.25,43,44.125,37400,25.528345
"2001-01-10",43.25,45,43,44.8125,22000,25.92609
"2001-01-11",43.25,43.5,42.75,43.125,38000,24.949793
"2001-01-12",42.25,43,41.6875,42.75,40800,24.732841
"2001-01-16",42.6875,43.875,42,43.75,42600,25.311388
"2001-01-17",46.3125,47,46.25,46.375,29600,26.830069
"2001-01-18",45.75,46.0625,45,46.0625,21200,26.649275
"2001-01-19",46.125,46.125,44.75,45.75,35600,26.468475
"2001-01-22",45.5,46.25,45.5,46,25900,26.613115
"2001-01-23",45.75,46,45.25,45.625,30700,26.396164
"2001-01-24",46.75,47.25,45.875,46.25,27800,26.757751
"2001-01-25",46.75,48,46.625,47.25,38100,27.336292
"2001-01-26",45.875,46,45,45.75,25200,26.468475
"2001-01-29",45.5,46.25,45.5,46.25,21400,26.757751
"2001-01-30",46.099998,46.75,46,46.75,17500,27.047026
"2001-01-31",46.25,46.5,45.509998,46.099998,28300,26.670969
"2001-02-01",45.799999,46.75,45.799999,46.299999,79100,26.786669
"2001-02-02",43.75,44.950001,43.27,44.470001,67000,25.727936
"2001-02-05",43.139999,43.240002,42.25,43.169998,44400,24.97583
"2001-02-06",42.400002,43.349998,42.400002,42.950001,66200,24.848555
"2001-02-07",43.060001,44,43,43.150002,42900,24.964256
"2001-02-08",42.950001,43.700001,42.549999,43.549999,19900,25.195669
"2001-02-09",42.799999,42.799999,41.389999,41.720001,34100,24.136932
"2001-02-12",41.470001,42.25,41.380001,42,42400,24.298933
"2001-02-13",44.5,44.59,43.299999,43.82,54800,25.351883
"2001-02-14",43.82,43.82,43,43.459999,13800,25.143608
"2001-02-15",42.990002,43.610001,42.560001,43.57,10700,25.207251
"2001-02-16",42.290001,42.290001,41.599998,42,8100,24.298933
"2001-02-20",42.5,42.5,40.099998,40.099998,60100,23.19969
"2001-02-21",38.400002,38.549999,37.599998,38.450001,47300,22.245089
"2001-02-22",38.099998,39.009998,37.849998,38.700001,44700,22.389734
"2001-02-23",38.099998,38.099998,37.34,37.849998,70600,21.897964
"2001-02-26",38.200001,39.5,38.200001,39.200001,20600,22.679001
"2001-02-27",39.259998,39.75,39.049999,39.59,14800,22.904633
"2001-02-28",39.75,40,39,39.790001,31700,23.020344
"2001-03-01",37.669998,37.669998,35.200001,36.02,52700,20.839231
"2001-03-02",36.040001,36.040001,35.029999,35.400002,34700,20.480534
"2001-03-05",34.75,36.25,34.689999,36.25,18300,20.97229
"2001-03-06",37.599998,38.049999,37.5,37.650002,42900,21.782259
"2001-03-07",38.09,38.299999,36.75,37.450001,63900,21.666542
"2001-03-08",39.439999,39.799999,38.900002,38.900002,23100,22.505444
"2001-03-09",37.41,37.41,36.259998,36.259998,16200,20.978079
"2001-03-12",34.41,34.450001,32.75,33.310001,44800,19.271362
"2001-03-13",32.5,32.919998,31.700001,32.919998,37700,19.045734
"2001-03-14",30,32.349998,29.99,31.450001,160000,18.195271
"2001-03-15",31.940001,33.110001,31.83,33.110001,38100,19.155653
"2001-03-16",29.99,30.74,28.5,30.6,65500,17.703506
"2001-03-19",29.65,29.74,28.49,29.74,357400,17.205959
"2001-03-20",29.65,30.629999,29.559999,29.65,160200,17.153885
"2001-03-21",29.049999,29.1,28.6,28.65,31300,16.575346
"2001-03-22",26.1,26.129999,24.4,26,117400,15.0422
"2001-03-23",27.440001,28,26.5,27,57800,15.620734
"2001-03-26",29.85,31.09,29.299999,30.26,55200,17.506804
"2001-03-27",31.75,32.200001,31.1,32.07,50100,18.553976
"2001-03-28",30.5,30.879999,28.799999,29.25,40300,17.014467
