"","Open","High","Low","Close","Volume"
"2001-01-02",44.899051,46.590755,40.084209,40.734867,3923700
"2001-01-03",36.137577,44.465954,33.795215,43.4249,6576200
"2001-01-04",43.288651,44.85022,42.507858,43.809174,5640000
"2001-01-05",45.122685,45.122685,41.088627,43.040585,3609200
"2001-01-08",44.846684,45.106945,40.552365,41.983807,2651100
"2001-01-09",41.437095,43.649322,41.306968,42.608276,2530000
"2001-01-10",40.802204,45.096523,40.021419,43.665081,3887400
"2001-01-11",43.126274,45.338501,42.605751,44.81797,4227000
"2001-01-12",44.237172,47.490445,43.065991,45.538479,6489000
"2001-01-16",46.347221,47.128006,44.655525,45.826698,4371500
"2001-01-17",47.90702,48.167282,44.133224,44.914009,4577500
"2001-01-18",43.267784,47.562104,42.096611,47.171715,6630300
"2001-01-19",48.280888,48.541142,44.767353,46.97958,3933400
"2001-01-22",47.636337,48.677376,44.252929,46.595291,3936700
"2001-01-23",46.008438,48.350784,45.748176,47.700134,5255000
"2001-01-24",47.487907,48.268684,45.535941,47.748161,4476300
"2001-01-25",47.796207,47.926334,46.494892,47.796207,3378500
"2001-01-26",47.487907,49.439872,45.666076,47.748161,3345000
"2001-01-29",49.384952,49.843006,46.282627,47.844196,3410700
"2001-01-30",47.121792,48.683361,45.851711,48.266949,2786200
"2001-01-31",49.843193,49.968116,47.032364,47.344673,3371700
"2001-02-01",48.185303,48.331055,45.103806,46.85276,2903700
"2001-02-02",48.76616,48.76616,45.226593,46.330109,4738200
"2001-02-05",46.280289,48.466492,46.176186,47.175591,3061800
"2001-02-06",47.886139,48.073524,46.657699,46.845085,3510800
"2001-02-07",45.205219,46.267086,44.89291,46.038059,9967400
"2001-02-08",46.143169,46.351376,45.164585,45.976604,3696800
"2001-02-09",46.801853,46.822674,44.511547,45.469311,4485000
"2001-02-12",44.801674,46.113396,44.364433,45.884361,3902900
"2001-02-13",46.41798,47.354924,45.252011,45.876637,4295300
"2001-02-14",45.690819,46.107239,42.692604,46.107239,3196300
"2001-02-15",45.778866,46.549244,43.800877,46.299389,2847200
"2001-02-16",47.119572,47.327786,43.309338,44.308743,5138600
"2001-02-20",44.374432,46.456532,41.980023,44.270329,4713300
"2001-02-21",47.477254,48.310086,41.210149,42.272015,5004200
"2001-02-22",42.292836,43.292241,37.941258,42.272015,6379800
"2001-02-23",43.874492,44.915539,37.628208,41.334339,5253100
"2001-02-26",41.591901,43.98631,39.509808,42.487202,4056400
"2001-02-27",46.13366,46.13366,39.783272,41.657158,3752000
"2001-02-28",41.066071,42.731743,39.837632,42.003014,5467300
"2001-03-01",41.860484,43.796832,41.235858,41.964588,3711600
"2001-03-02",40.656497,43.134189,38.366199,41.57262,4639400
"2001-03-05",43.017468,43.017468,40.019253,40.727169,3464900
"2001-03-06",40.321251,43.236183,39.800728,42.195137,3702300
"2001-03-07",40.98212,44.729885,40.5657,43.334881,3798400
"2001-03-08",42.902135,44.088933,42.215047,43.58923,3824900
"2001-03-09",46.944432,46.944432,40.073521,41.177029,4164500
"2001-03-12",42.675091,42.695911,37.615604,39.073071,4624100
"2001-03-13",35.403492,36.09058,30.302357,36.09058,24876900
"2001-03-14",34.702454,36.409768,33.453195,34.973122,10458400
"2001-03-15",34.922306,36.379772,33.46484,36.067455,8785300
